model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,509,128,37.485962273798194,6.1225780741284295,0.2543831852583543,40.96039009094238,6.400030475782313,0.1683004609639904,13.46875,-45044045551663.26,-1.6478377943099831,8.185525221776325,8.97026004853367,0.5964081589236585,4.451656360575687,-0.1775185245340145,-8.790880251698471,-1452009288284.409,7694482524607.665,-7768546370660.617,7694482524607.971,13612022094405.268,-1873614757152.7075,-140920197852.35245,7694482524610.809,47900016008.12013,7694482524608.737,-6348279774.431195,7694482524609.468,44547033.71064661,7694482524607.718,388137.4384210758,7694482524607.823,27294.091151159257,7694482524608.929,242.9321551322937,-2.6058311462402344,-2.546844482421875,7694482524603.076,-0.00390625,7694482524610.242,37349563027057.14,7694482524607.354,1.9073486328125e-06,7694482524607.079,0.0,7694482524609.006,0.0,7694482524606.52,0.0,7694482524606.469,0.0,7694482524605.753,0.0,7694482524608.022,0.0,7694482524609.201,37349563027061.44,7694482524614.976,0.0,0.0,0.0,7694482524609.818,0.0,7694482524607.391,0.0,0.0,0.0,0.0,0.0,7694482524607.334,0.0,0.0,0.0,0.0,0.0,7694482524608.717,0.0,0.0,0.0,7694482524610.492,0.0,0.0,0.0,7694482524609.146,0.0,7694482524608.746,0.0,7694482524606.551,0.0,7694482524608.464,0.0,7694482524606.316,0.0,0.0,0.0,7694482524608.157
"Random Forest (100 estimators, 20 depth)",509,128,7.437425650060327,2.7271643973292714,0.8520654323191285,43.06173886695628,6.562144380227875,0.125632634693676,13.46875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",509,128,17.778287820252345,4.216430696721143,0.6463798837741926,40.04568158244501,6.328165736012688,0.1868735908384983,13.46875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",509,128,31.480280909779864,5.610729088966947,0.3738395560535248,39.27963475863628,6.267346708028548,0.2024281494944866,13.46875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),509,128,37.56290909222365,6.128858710414497,0.2528526698819625,40.73138993390453,6.382114848066002,0.1729503025456913,13.46875,4.422932898581033,-1.8441228950530948,6.64549002725244,5.082176730407332,0.5887389233092637,4.690964623328667,3.4261349264870176,-6.874512392720219,0.0,-0.5447010583781593,0.0,-0.2309314226455415,0.0,0.0,0.0,2.353214520703281,0.0,0.4689644880786114,0.0,1.1517180012867023,0.0,-0.5842814649894192,0.0,-0.3822251884947116,0.0,0.6525349353566484,0.0,0.0,0.0,-4.881990631701156,0.0,1.91692644672872,-1.994252896610648,-0.7435758916599224,0.0,-1.0841079217806515,0.0,0.7483742566694771,0.0,-1.6162691619836398,0.0,-1.6702807575549188,0.0,-2.3290489019508813,0.0,-0.2644028683247356,0.0,0.9272190748492132,1.994252896611842,5.666715489928164,0.0,0.0,0.0,1.4865827870248771,0.0,-0.8564807902964304,0.0,0.0,0.0,0.0,0.0,-0.8938675393473259,0.0,0.0,0.0,0.0,0.0,0.4797262174543541,0.0,0.0,0.0,2.15626381159893,0.0,0.0,0.0,0.8675446620521625,0.0,0.4211168231440632,0.0,-1.525115891987214,0.0,0.2395148709307874,0.0,-1.8550610904448808,0.0,0.0,0.0,-0.0740758042654624
Ridge (lambda=0.1),509,128,37.48668204325553,6.1226368537792215,0.2543688686401438,40.99830776952558,6.40299209506974,0.1675305435943329,13.46875,4.314147489851816,-1.806302524160221,8.020858571235717,7.432087520985903,0.6068173721405804,4.4811229970230615,1.4196990343076497,-8.545347383321063,0.0,-0.5990847538367263,0.0,-0.2917119944028711,0.0,0.0,0.0,2.517474520697088,0.0,0.4901093160116756,0.0,1.194016073954055,0.0,-0.5556106266117474,0.0,-0.4343196762708495,0.0,0.6804789740143983,0.0,0.0,0.0,-5.1488905315894575,0.0,1.962770790625351,-2.1256110025012,-0.881278296221474,0.0,-1.167702747327767,0.0,0.7456914721888185,0.0,-1.712921712404248,0.0,-1.7914753201773106,0.0,-2.498059977960752,0.0,-0.2542682120936614,0.0,0.9274251846756468,2.125611002513303,6.5712652163492,0.0,0.0,0.0,1.5361095533006586,0.0,-0.879383961515034,0.0,0.0,0.0,0.0,0.0,-0.9277607873572512,0.0,0.0,0.0,0.0,0.0,0.4566360278669061,0.0,0.0,0.0,2.238669984759876,0.0,0.0,0.0,0.8915617235176914,0.0,0.4533869049108093,0.0,-1.6920643779336424,0.0,0.2116008389208493,0.0,-1.9400061609153112,0.0,0.0,0.0,-0.1026574451646337
Lasso (lambda=0.1),509,128,41.94211419967459,6.476273172100957,0.1657478240874549,39.05622977757521,6.249498362074768,0.2069643811894069,13.46875,7.066171648123357,-0.0,0.0,2.67687100667399,0.1338328272597712,6.058125053245828,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2.400682941012581,0.0,0.0,-0.7121342682930387,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),509,128,50.27510315306795,7.090493858192668,0.0,49.251358045360334,7.0179311798677775,-4.740414524762038e-05,13.46875,13.420432220039292,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",509,128,30.88120587442403,5.557086095646174,0.3857554945157868,37.92050783859031,6.157962961774803,0.2300251823934389,13.46875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),509,128,37.61815916785389,6.133364424836819,0.2517537148890304,39.95588929087474,6.321067100646435,0.1886968207282082,13.46875,6.258547746008836,-0.1310037831223824,6.142895343483619,8.429418954832352,0.5550709466394548,4.656910596452797,0.0,-8.335732532701611,0.0,-0.2044452903612998,0.0,-0.0,0.0,0.0,0.0,2.3573684019775145,0.0,0.2048500807732014,0.0,1.0583022894805092,0.0,-0.1789446625610248,0.0,-0.0,0.0,0.3857682925968426,0.0,0.0,0.0,-4.79783724470643,0.0,1.8392444380765527,-4.024137901771126,-0.285890408121268,0.0,-0.8098297630985163,0.0,0.6163655520359088,0.0,-1.3808393521823457,0.0,-1.3641740676171548,0.0,-2.111370059778916,0.0,-0.0,0.0,0.7979062647195055,0.037144089137546,5.911159672716928,0.0,0.0,0.0,1.4057710206576697,0.0,-0.4262742190493589,0.0,0.0,0.0,0.0,0.0,-0.6474067113077748,0.0,0.0,0.0,0.0,0.0,0.2916225385310452,0.0,0.0,0.0,1.9808773791630068,0.0,0.0,0.0,0.7115138016764642,0.0,0.312436851044774,0.0,-1.206278636220537,0.0,0.0221790451392421,0.0,-1.566260786034702,0.0,0.0,0.0,0.0
