Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1992-11-06,22-258,ATL,,NYK,L (-12),0,9:00,1,3,0.333,0,0,,0,0,,1,2,3,1,0,0,0,2,2,1.5,
2,2,1992-11-07,22-259,ATL,@,CHI,W (+1),0,9:00,1,2,0.5,0,0,,0,0,,0,1,1,1,0,0,2,2,2,-0.8,
3,3,1992-11-11,22-263,ATL,@,HOU,L (-19),0,15:00,2,3,0.667,0,0,,1,1,1.0,0,1,1,1,0,0,3,0,5,1.7,
4,4,1992-11-12,22-264,ATL,@,SAS,W (+7),0,8:00,0,0,,0,0,,2,4,0.5,1,0,1,2,0,0,0,3,2,2.1,
5,5,1992-11-14,22-266,ATL,@,DAL,L (-8),0,27:00,5,5,1.0,0,0,,3,5,0.6,2,5,7,2,0,1,2,4,13,12.1,
6,6,1992-11-17,22-269,ATL,,MIL,L (-8),1,15:00,1,3,0.333,0,0,,2,3,0.667,0,2,2,2,4,0,4,2,4,3.1,
7,7,1992-11-19,22-271,ATL,,NJN,L (-7),0,18:00,3,6,0.5,0,0,,2,3,0.667,1,0,1,0,0,0,1,2,8,3.5,
8,8,1992-11-21,22-273,ATL,,BOS,W (+9),0,6:00,0,2,0.0,0,0,,0,0,,0,2,2,1,0,0,0,2,0,-0.9,
9,9,1992-11-23,22-275,ATL,@,BOS,W (+4),0,14:00,1,5,0.2,0,0,,3,4,0.75,2,2,4,0,0,0,2,1,5,1.1,
10,10,1992-11-25,22-277,ATL,@,PHI,W (+6),0,21:00,4,10,0.4,0,0,,3,3,1.0,3,1,4,2,0,0,0,2,11,8.6,
11,11,1992-11-27,22-279,ATL,@,CLE,L (-21),0,31:00,5,8,0.625,0,0,,2,3,0.667,4,9,13,3,3,0,1,3,12,16.4,
12,12,1992-11-28,22-280,ATL,,MIA,W (+12),0,13:00,1,1,1.0,0,0,,0,0,,1,1,2,0,1,0,1,2,2,1.9,
13,13,1992-12-01,22-283,ATL,,IND,W (+12),0,28:00,6,10,0.6,0,0,,4,9,0.444,8,6,14,2,3,0,1,4,16,18.6,
14,14,1992-12-02,22-284,ATL,@,NJN,L (-7),0,20:00,1,6,0.167,0,0,,1,2,0.5,3,7,10,0,0,0,6,4,3,-4.6,
15,15,1992-12-04,22-286,ATL,@,IND,L (-16),0,20:00,4,4,1.0,0,0,,1,2,0.5,2,3,5,2,2,0,1,4,9,10.5,
16,16,1992-12-05,22-287,ATL,,SAS,W (+8),0,11:00,0,1,0.0,0,0,,2,4,0.5,2,4,6,0,0,0,1,1,2,1.7,
17,17,1992-12-08,22-290,ATL,,CHI,W (+9),0,21:00,1,2,0.5,0,0,,3,4,0.75,0,3,3,2,0,0,2,2,5,3.1,
18,18,1992-12-11,22-293,ATL,,DEN,W (+5),0,22:00,3,7,0.429,0,0,,0,0,,0,6,6,3,0,0,1,1,6,4.8,
19,19,1992-12-12,22-294,ATL,,PHI,L (-7),0,18:00,0,2,0.0,0,0,,4,6,0.667,3,2,5,1,1,0,1,3,4,4.0,
20,20,1992-12-15,22-297,ATL,,DET,L (-13),0,22:00,2,7,0.286,0,0,,2,4,0.5,3,3,6,2,1,0,1,5,6,3.5,
21,21,1992-12-16,22-298,ATL,@,DET,L (-1),0,19:00,5,7,0.714,0,0,,0,2,0.0,2,4,6,0,0,0,4,3,10,3.7,
22,22,1992-12-18,22-300,ATL,@,MIA,W (+8),0,18:00,3,5,0.6,0,0,,4,6,0.667,2,2,4,0,0,1,1,4,10,7.0,
23,23,1992-12-19,22-301,ATL,,ORL,L (-41),0,24:00,0,5,0.0,0,0,,2,4,0.5,1,6,7,1,1,0,3,3,2,-2.3,
24,24,1992-12-22,22-304,ATL,,CHH,L (-16),0,30:00,7,13,0.538,0,0,,2,2,1.0,2,4,6,1,1,0,1,3,16,11.8,
