Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1999-11-02,23-086,TOR,,BOS,L (-13),0,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
4,2,2000-04-18,23-254,TOR,@,MIA,L (-24),0,4:31,0,2,.000,0,0,,1,2,.500,0,0,0,0,1,0,1,0,1,-0.8,-6
5,3,2000-04-19,23-255,TOR,@,ORL,L (-6),0,19:04,2,5,.400,0,0,,2,4,.500,2,6,8,1,1,1,4,5,6,2.1,-4
1,1,2004-11-30,28-114,UTA,,PHO,L (-13),0,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+1
3,2,2004-12-04,28-118,UTA,@,DAL,L (-23),0,4:06,0,0,,0,0,,2,4,.500,0,0,0,0,0,0,1,0,2,0.2,-4
4,3,2004-12-06,28-120,UTA,,MIA,L (-20),0,7:13,0,1,.000,0,0,,0,0,,0,4,4,1,0,0,2,6,0,-3.2,-3
9,4,2004-12-15,28-129,UTA,@,PHO,L (-22),0,6:41,1,4,.250,0,0,,0,0,,1,0,1,0,0,1,1,3,2,-1.2,-1
10,5,2004-12-17,28-131,UTA,@,BOS,L (-8),0,17:11,2,4,.500,0,0,,0,0,,3,3,6,1,0,0,0,4,4,4.1,+12
11,6,2004-12-19,28-133,UTA,@,NYK,L (-1),1,25:30,0,1,.000,0,0,,5,6,.833,2,2,4,0,0,0,3,4,5,1.3,+8
12,7,2004-12-20,28-134,UTA,@,PHI,W (+2),1,13:26,0,3,.000,0,0,,0,0,,1,1,2,1,0,0,0,4,0,-2.0,-1
13,8,2004-12-22,28-136,UTA,@,TOR,L (-12),1,16:00,2,3,.667,0,0,,0,0,,1,4,5,0,0,0,4,2,4,-0.2,-12
14,9,2004-12-27,28-141,UTA,,SEA,L (-10),1,13:49,1,2,.500,0,0,,0,0,,1,1,2,3,0,1,0,3,2,3.6,0
15,10,2004-12-29,28-143,UTA,@,LAC,L (-11),1,10:51,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-1.9,-10
16,11,2004-12-31,28-145,UTA,,SAC,L (-7),1,8:40,0,0,,0,0,,0,0,,0,1,1,0,0,0,3,3,0,-3.9,-6
17,12,2005-01-02,28-147,UTA,@,HOU,L (-19),0,2:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
