model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,118,30,17.20184326171875,4.147510489645415,0.4548915657489556,59.27150014241536,7.698798616824274,-0.2772500928570296,9.833333333333334,-25534583172999.6,5.003032020334688,2.8726820893655862,-14.509453593340565,1.2503638195208011,3.8655261001500953,16.739084784021387,-7.818633479761596,-74728511323078.69,25534583173006.26,79951602858814.92,25534583172997.63,-39941465442844.27,42709012494436.79,23184145985417.24,25534583173011.86,-1005364052733.1652,25534583173000.89,-309381183462.9568,25534583173006.16,-11486450074.359602,25534583173004.65,5854840593.279301,25534583173000.586,210181773.7861061,25534583173003.0,-19983643.74852705,-7377915.375435343,-2961935.82367308,25534583173004.61,4254.0666553378105,25534583173001.785,87.57729721069336,25534583173001.15,1.7841796875,25534583173003.395,0.0,25534583173001.96,0.0,25534583173002.258,0.0,25534583173002.19,0.0,25534583173007.58,0.0,25534583173004.98,0.0,25534583173002.875,0.0,25534583173002.062,0.0,0.0,0.0,0.0,0.0,25534583173000.85,0.0,0.0,0.0,0.0,0.0,25534583173003.523,0.0,0.0,0.0,0.0,0.0,25534583173002.48,0.0,0.0,0.0,25534583173004.6,0.0,0.0,0.0,25534583173003.047,0.0,25534583173012.094,0.0,25534583172998.68,0.0,25534583173002.69,0.0,25534583173002.016,0.0,0.0,0.0,25534583173001.22
"Random Forest (100 estimators, 20 depth)",118,30,3.958432170040804,1.989580903115228,0.8745614217342712,45.63681889917695,6.755502860570555,0.0165656169218421,9.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",118,30,4.218416848360708,2.053878489190806,0.8663227790044186,43.56485066786512,6.600367464608703,0.0612147587434784,9.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",118,30,9.42622909415602,3.0702164572153574,0.7012926519426019,45.50733570605273,6.745912518410888,0.0193558688986599,9.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),118,30,18.232897744031664,4.269999735835081,0.4222185268234191,49.04636210952192,7.003310796296415,-0.0569071207606786,9.833333333333334,3.456689725099501,1.639082423241151,3.610233354404118,-1.966229089678004,0.8707369590968281,3.152793214962112,2.128401010585236,-0.7877596488613585,0.0,2.517255041289841,0.0,-3.616474182692776,0.0,0.0,0.0,6.702411069542857,0.0,-1.6128687728107067,0.0,2.3989218639640626,0.0,0.9223672084285024,0.0,-2.649696831492576,0.0,0.5545279163992706,0.0,0.0,0.0,0.5885087784385709,0.0,-0.509399923134337,0.0,-1.4256201711836658,0.0,-0.0940616403274827,0.0,-0.8994710921221611,0.0,-0.861151196040283,0.0,-0.6558132995098033,0.0,3.285216462420261,0.0,0.8549510902603281,0.0,-0.7600017987096582,0.0,-0.877696619420586,0.0,0.0,0.0,0.0,0.0,-1.6799472204982229,0.0,0.0,0.0,0.0,0.0,0.6566014137105819,0.0,0.0,0.0,0.0,0.0,-1.109499979352406,0.0,0.0,0.0,0.9465101803150204,0.0,0.0,0.0,-0.322218827099932,0.0,3.9459151626691824,0.0,-3.567281443254526,0.0,-0.2527878226626892,0.0,-0.8123420094228824,0.0,0.0,0.0,-1.6668533577038511
Ridge (lambda=0.1),118,30,17.330284696756127,4.162965853421828,0.4508213909147277,56.82270452390049,7.53808361083243,-0.2244806433978321,9.833333333333334,3.479194527007611,2.7305128695290133,3.8665854271690057,-8.734498365768564,1.1035156334951215,3.528823862969353,10.254419124525231,-4.324579388521315,0.0,3.212350332797837,0.0,-5.286344259058304,0.0,0.0,0.0,8.214785166429408,0.0,-2.214230560549724,0.0,2.766998130229137,0.0,1.1280205644171393,0.0,-2.862957602358697,0.0,0.0329754067201627,0.0,0.0,0.0,0.9799840178435788,0.0,-1.1441168090830485,0.0,-1.9557012562375813,0.0,-0.0311432482830071,0.0,-1.2469417089015118,0.0,-1.1154302371496243,0.0,-1.0436519508436377,0.0,4.115217286587573,0.0,1.3402511874850254,0.0,-0.7089387110387514,0.0,-1.2090264089718004,0.0,0.0,0.0,0.0,0.0,-2.252633286143472,0.0,0.0,0.0,0.0,0.0,0.4713969703689521,0.0,0.0,0.0,0.0,0.0,-1.0627206005282073,0.0,0.0,0.0,1.1366102466658516,0.0,0.0,0.0,-0.4166510584859007,0.0,7.530874710944021,0.0,-4.667458670777732,0.0,-0.5062650375112645,0.0,-1.1676988674526156,0.0,0.0,0.0,-2.037553747114368
Lasso (lambda=0.1),118,30,21.6805016676139,4.656232561590314,0.3129675617896932,43.10172871487552,6.565190683816847,0.0711946404073272,9.833333333333334,3.505787968090848,0.0,4.907354496413086,-0.0,0.0,3.071459093181736,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,6.147613021607307,0.0,-0.0,0.0,0.8545813900803703,0.0,0.0,0.0,-0.5038560772138237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.8961692609122738,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),118,30,31.2353738783649,5.588861590553563,0.0101836478202967,54.10928904267589,7.355901647158959,-0.1660088624065201,9.833333333333334,6.88235294117647,0.0,0.0,-0.0,0.0,0.1576470588235298,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",118,30,9.360040724799402,3.059418363806984,0.7033900921899451,45.888096991974365,6.774075360665422,0.0111507891110513,9.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),118,30,17.568292796208034,4.19145473507803,0.4432791630001167,54.79012869206123,7.402035442502369,-0.1806803740657279,9.833333333333334,2.2441872354049157,0.0,5.195904123217224,-5.919201929058651,0.8928714015414851,3.341940357976344,7.844643956037642,-1.5019337677704578,0.0,4.011337731672168,0.0,-4.016877185027605,0.0,0.0,0.0,8.966161981226444,0.0,-1.1655124364598175,0.0,3.3737071243022245,0.0,1.6313980070908047,0.0,-1.9406579694994477,0.0,0.7594521851931172,0.0,0.0,0.0,1.2679679274024132,0.0,-0.0,0.0,-1.009989635701743,0.0,0.1912794091396939,0.0,-0.1134154944930661,0.0,-0.2222876663729115,0.0,-0.0,0.0,4.670142564430409,0.0,1.6106662846903186,0.0,-0.0,0.0,-0.2551360029399532,0.0,0.0,0.0,0.0,0.0,-1.085168266227095,0.0,0.0,0.0,0.0,0.0,0.8669527859954501,0.0,0.0,0.0,0.0,0.0,-0.0870958864669949,0.0,0.0,0.0,1.5917276153488509,0.0,0.0,0.0,0.0,0.0,7.5298787345983875,0.0,-3.515551906193025,0.0,0.0,0.0,-0.1896665591559698,0.0,0.0,0.0,-1.0112426606849532
