model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,264,66,19.065575686368074,4.36641451151492,0.2057145025042041,23.352908047762785,4.832484666065976,-0.407222048694869,5.636363636363637,33942662935288.867,10.447712186306862,-6.481590638312577,26.98019800444908,0.5324604818243692,0.5729080308780281,-16.677715066968883,-4.428388063076754,-54872753053969.805,-593888693105.5061,32053913411041.707,-593888693104.1244,-3920759375015.5215,-1947132878808.8672,-5862839428925.063,-593888693103.2979,162051178802.93393,-593888693104.2222,-70566388719.97452,-593888693104.9254,-12091825080.95123,-593888693106.0111,-637682606.5188755,-593888693105.6757,11477187.807647476,-593888693103.2809,141346.92346298415,12322.439678806812,-8418.84712523222,-593888693102.4316,-61.2484073638916,-593888693105.8264,-0.134521484375,-593888693105.2852,0.015625,-593888693107.4297,0.0,-593888693105.458,0.0,-593888693102.9219,0.0,-593888693103.8892,0.0,-593888693107.1992,0.0,-593888693105.3477,0.0,-593888693105.0557,0.0,-593888693104.2539,0.0,0.0,0.0,-593888693103.2739,-33348774242182.945,-593888693103.6611,0.0,0.0,0.0,0.0,0.0,-593888693103.7969,0.0,0.0,0.0,0.0,0.0,-593888693099.8516,0.0,0.0,0.0,-593888693103.1167,0.0,0.0,0.0,-593888693105.3159,0.0,-593888693104.7148,0.0,-593888693103.7314,-33348774242187.406,-593888693102.0381,0.0,-593888693106.418,0.0,0.0,0.0,-593888693104.4626
"Random Forest (100 estimators, 20 depth)",264,66,3.200888787250865,1.78910278834137,0.86664868742316,19.323372584117102,4.395835823153215,-0.1644064156763791,5.636363636363637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",264,66,6.858311629299039,2.6188378394431067,0.7142778401202995,17.930400695615674,4.234430386204935,-0.0804673725943707,5.636363636363637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",264,66,13.147283063887054,3.625918237341688,0.4522747993083613,16.258647358215438,4.032201304277285,0.0202707518206833,5.636363636363637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),264,66,19.68359285628975,4.436619530260596,0.1799674658897699,20.54703362001812,4.532883587741706,-0.2381429621624464,5.636363636363637,2.107706115359621,4.101016902792126,-4.243092701890627,6.254311838816482,0.6008350327762583,0.963569529499684,0.7426827990359034,-0.6735196658783354,0.0,-1.120592224172259,0.0,0.2829471351955308,0.0,0.0,0.0,1.2128025028026004,0.0,0.3624049837562311,0.0,-0.5691886959548714,0.0,-1.6590932210665057,0.0,-0.9219416497402836,0.0,1.3498718865227188,0.0,0.0,0.0,1.8333479899524432,0.0,-1.6801185079179424,0.0,-0.7474629924262919,0.0,-2.27013957638348,0.0,-0.9883896846317778,0.0,1.6171313616906309,0.0,0.5644571617758989,0.0,-2.259980145792872,0.0,-0.4166233825096421,0.0,-0.2525122196746407,0.0,0.1246183750388356,0.0,0.0,0.0,0.657036207223122,0.8891675670874065,0.8189788472362565,0.0,0.0,0.0,0.0,0.0,0.3442329873632664,0.0,0.0,0.0,0.0,0.0,4.260673622737769,0.0,0.0,0.0,1.1218506839291098,0.0,0.0,0.0,-0.5385089415612652,0.0,-0.6331359153033937,0.0,0.5148614369308838,-0.8891675670873139,1.1970611687481203,0.0,-1.8365458690284004,0.0,0.0,0.0,-0.3680433247399056
Ridge (lambda=0.1),264,66,19.16322936835316,4.377582594121231,0.2016461803798802,22.2351130395521,4.7154122873352335,-0.3398648793754004,5.636363636363637,0.1717884644090457,8.34062657844976,-5.99031466663762,18.113330225269248,0.5603289143913729,0.7366157598335514,-8.565511438266297,-3.318974855470528,0.0,-1.160047787980112,0.0,0.3084435280415672,0.0,0.0,0.0,1.2244184222538173,0.0,0.3027677231845381,0.0,-0.5614579448469781,0.0,-1.6774439765287783,0.0,-1.130453697974342,0.0,1.373482153739558,0.0,0.0,0.0,1.977556346988519,0.0,-1.5906274547995043,0.0,-0.8035703216263009,0.0,-2.884994498612814,0.0,-1.0855533080156237,0.0,1.6272674465975814,0.0,0.5386193630584551,0.0,-2.654449697540937,0.0,-0.7433439557554972,0.0,-0.4919981510576928,0.0,0.1346055182544053,0.0,0.0,0.0,0.966142455972456,1.785992648669824,0.8699796484398661,0.0,0.0,0.0,0.0,0.0,0.5154949475887316,0.0,0.0,0.0,0.0,0.0,4.575910369750307,0.0,0.0,0.0,1.235191220984177,0.0,0.0,0.0,-0.7592678285805051,0.0,-0.5301475285671582,0.0,0.6214504205614724,-1.7859926486679938,2.006764047946249,0.0,-2.0301765834642684,0.0,0.0,0.0,-0.1745608780130617
Lasso (lambda=0.1),264,66,22.476786622368685,4.740968953955371,0.0636010190229985,17.825445843558597,4.222019166649838,-0.0741429019275847,5.636363636363637,5.260243854658654,0.0,-0.0,1.983967441939107,0.1721720575846842,0.6409176889362539,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.703569223156229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),264,66,24.003429178145087,4.899329462094286,0.0,17.69595098714417,4.206655558415042,-0.0663396760181498,5.636363636363637,6.6856060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",264,66,13.071682877754249,3.615478236382325,0.4554243570474546,15.712278168027792,3.963871613464264,0.0531943932612734,5.636363636363637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),264,66,19.6510041174496,4.432945309548675,0.1813251360209121,20.429523002673047,4.519902985980235,-0.2310618940853779,5.636363636363637,0.4876940856333185,4.774927185778381,-5.109782913652219,8.106409872842088,0.557185343689357,0.7892260796082101,-0.1881473744842236,-0.2726808750716724,0.0,-0.8888746913728407,0.0,0.0,0.0,0.0,0.0,1.1687060239800973,0.0,0.2517358879561358,0.0,-0.332158536650857,0.0,-1.314871202616916,0.0,-0.7502691629281266,0.0,1.1248731682426611,0.0,0.0,0.0,1.772686050902987,0.0,-1.4437676607867869,0.0,-0.5160124801070407,0.0,-2.196605387654467,0.0,-0.7464391823088646,0.0,1.6292155013987295,0.0,0.3829826253304765,0.0,-2.21018458641865,0.0,-0.0559528059441202,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6295270653249325,1.9979102210220407,0.5974027785778241,0.0,0.0,0.0,0.0,0.0,0.2430889941170083,0.0,0.0,0.0,0.0,0.0,4.448635336391901,0.0,0.0,0.0,1.0538159690234672,0.0,0.0,0.0,-0.3176027522199712,0.0,-0.3425097838287892,0.0,0.261755393809603,-0.0228143180728156,0.5443928269008023,0.0,-1.620444522016984,0.0,0.0,0.0,-0.0083212405834712
