Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,2013-11-01,21-206,POR,@,DEN,W (+15),0,1:22,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
4,2,2013-11-05,21-210,POR,,HOU,L (-15),0,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
9,3,2013-11-15,21-220,POR,@,BOS,W (+13),0,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
14,4,2013-11-23,21-228,POR,@,GSW,W (+12),0,0:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
16,5,2013-11-27,21-232,POR,@,PHO,L (-14),0,5:13,1,1,1.000,0,0,,2,3,.667,0,1,1,1,0,0,0,0,4,4.3,+8
20,6,2013-12-06,21-241,POR,,UTA,W (+32),0,10:56,3,6,.500,2,2,1.000,0,0,,0,0,0,0,1,0,1,0,8,5.0,-6
24,7,2013-12-14,21-249,POR,@,PHI,W (+34),0,12:25,2,4,.500,2,3,.667,1,1,1.000,0,0,0,2,0,0,2,0,7,4.4,+3
33,8,2014-01-02,21-268,POR,,CHA,W (+30),0,7:06,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,0.9,+1
55,9,2014-02-21,21-318,POR,,UTA,W (+8),0,3:26,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1
56,10,2014-02-23,21-320,POR,,MIN,W (+11),0,1:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
58,11,2014-02-26,21-323,POR,,BRK,W (+44),0,7:09,0,4,.000,0,3,.000,0,0,,0,1,1,0,0,0,0,0,0,-2.5,+13
61,12,2014-03-05,21-330,POR,,ATL,W (+24),0,6:08,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,-3
69,13,2014-03-20,21-345,POR,,WAS,W (+13),0,1:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
70,14,2014-03-22,21-347,POR,@,CHA,L (-30),0,10:34,2,3,.667,1,1,1.000,0,0,,0,2,2,1,0,0,0,0,5,5.0,0
82,15,2014-04-16,22-007,POR,,LAC,W (+6),0,29:02,2,8,.250,0,1,.000,0,0,,1,4,5,2,1,1,0,6,4,1.8,-11
