Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1992-11-13,22-279,CHH,@,IND,L (-1),1,19:00,4,10,0.4,0,0,,4,5,0.8,1,2,3,0,0,1,2,4,12,4.6,
2,2,1992-11-14,22-280,CHH,,MIA,L (-9),1,15:00,5,10,0.5,0,0,,0,0,,0,4,4,2,0,3,2,6,10,5.3,
3,3,1992-11-17,22-283,CHH,,DAL,W (+23),1,26:00,6,19,0.316,0,0,,3,4,0.75,2,12,14,1,1,4,3,5,15,8.2,
4,4,1992-11-20,22-286,CHH,,GSW,W (+7),1,39:00,12,17,0.706,0,0,,10,14,0.714,5,9,14,3,0,3,1,2,34,33.9,
5,5,1992-11-21,22-287,CHH,@,MIA,W (+12),1,29:00,7,13,0.538,0,0,,0,4,0.0,5,5,10,0,1,3,3,5,14,9.2,
6,6,1992-11-24,22-290,CHH,,PHI,W (+8),1,20:00,4,9,0.444,0,1,0.0,6,10,0.6,3,7,10,2,0,2,3,4,14,10.1,
7,7,1992-11-25,22-291,CHH,@,DET,W (+4),1,24:00,6,13,0.462,0,0,,1,2,0.5,3,2,5,0,0,5,4,4,13,6.5,
8,8,1992-11-27,22-293,CHH,@,BOS,L (-9),1,29:00,5,18,0.278,0,1,0.0,6,11,0.545,5,7,12,1,0,1,3,3,16,6.2,
9,9,1992-11-28,22-294,CHH,,IND,L (-12),1,34:00,12,19,0.632,0,0,,6,10,0.6,3,5,8,1,0,5,1,2,30,25.9,
10,10,1992-12-01,22-297,CHH,@,PHO,L (-19),1,23:00,3,7,0.429,0,0,,7,10,0.7,2,5,7,2,0,3,6,6,13,6.1,
11,11,1992-12-02,22-298,CHH,@,GSW,W (+1),1,30:00,4,11,0.364,0,0,,6,7,0.857,1,4,5,2,0,5,6,6,14,5.9,
