,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1981-10-30,23-029,MIL,@,DET,L (-5),0,16:00,3,5,0.6,0,0,,0,0,,,,2,0,0.0,3.0,2.0,4,6,,
1,2,2,1981-11-05,23-035,MIL,,WSB,W (+8),0,5:00,1,1,1.0,0,0,,1,2,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0,3,2.3,
2,3,3,1981-11-07,23-037,MIL,,SDC,W (+3),0,12:00,2,5,0.4,0,0,,0,0,,,,2,1,1.0,1.0,1.0,3,4,,
3,4,4,1981-11-10,23-040,MIL,@,ATL,L (-11),0,19:00,3,3,1.0,0,0,,1,2,0.5,,,6,1,0.0,2.0,2.0,3,7,,
4,5,5,1981-11-11,23-041,MIL,@,NJN,W (+12),0,19:00,2,3,0.667,0,0,,2,2,1.0,,,5,1,0.0,3.0,1.0,5,6,,
5,6,6,1981-11-13,23-043,MIL,,NYK,W (+10),0,12:00,4,7,0.571,0,0,,0,0,,,,2,0,0.0,1.0,3.0,3,8,,
6,7,7,1981-11-15,23-045,MIL,,CLE,W (+2),0,19:00,2,4,0.5,0,0,,1,6,0.167,3.0,3.0,6,1,1.0,0.0,0.0,5,5,3.7,
7,8,8,1981-11-17,23-047,MIL,@,WSB,W (+4),0,25:00,2,5,0.4,0,0,,2,4,0.5,,,5,4,1.0,2.0,0.0,5,6,,
8,9,9,1981-11-18,23-048,MIL,@,PHI,L (-2),0,3:00,0,3,0.0,0,0,,0,0,,,,3,0,0.0,0.0,0.0,0,0,,
9,10,10,1981-11-20,23-050,MIL,@,BOS,L (-23),0,11:00,2,3,0.667,0,0,,3,4,0.75,,,2,0,0.0,0.0,0.0,6,7,,
10,11,11,1981-11-21,23-051,MIL,@,NYK,L (-6),0,14:00,2,4,0.5,0,0,,4,6,0.667,,,7,0,0.0,0.0,1.0,3,8,,
11,12,12,1981-11-24,23-054,MIL,,DET,W (+8),0,10:00,2,4,0.5,0,0,,0,0,,,,5,1,0.0,0.0,0.0,4,4,,
12,13,13,1981-11-27,23-057,MIL,,GSW,L (-17),1,24:00,2,7,0.286,0,0,,2,4,0.5,2.0,3.0,5,3,1.0,1.0,2.0,4,6,3.6,
13,14,14,1981-11-29,23-059,MIL,,SAS,W (+16),1,13:00,1,3,0.333,0,0,,0,1,0.0,,,3,0,0.0,0.0,2.0,3,2,,
14,15,15,1981-12-01,23-061,MIL,@,CLE,W (+16),1,20:00,3,5,0.6,0,0,,2,3,0.667,1.0,8.0,9,4,0.0,1.0,3.0,3,8,7.7,
15,16,16,1981-12-04,23-064,MIL,,ATL,W (+17),0,10:00,2,5,0.4,0,0,,0,0,,,,5,1,0.0,1.0,2.0,2,4,,
16,17,17,1981-12-05,23-065,MIL,@,DET,W (+3),1,16:00,1,1,1.0,0,0,,1,2,0.5,,,4,1,1.0,1.0,,6,3,,
17,18,18,1981-12-09,23-069,MIL,,HOU,W (+6),1,13:00,1,4,0.25,0,0,,0,0,,,,5,1,1.0,0.0,1.0,3,2,,
18,19,19,1981-12-11,23-071,MIL,,IND,W (+3),0,10:00,1,5,0.2,0,0,,0,0,,,,9,1,1.0,0.0,4.0,1,2,,
19,20,20,1981-12-12,23-072,MIL,@,NYK,W (+18),0,13:00,4,4,1.0,0,0,,0,0,,,,4,0,0.0,1.0,1.0,4,8,,
20,21,21,1981-12-13,23-073,MIL,,PHI,W (+19),0,2:00,1,1,1.0,0,0,,0,0,,,,1,1,0.0,0.0,0.0,1,2,,
21,22,22,1981-12-15,23-075,MIL,@,IND,W (+8),1,15:00,2,2,1.0,0,0,,1,2,0.5,,,5,3,1.0,2.0,3.0,4,5,,
22,23,23,1981-12-18,23-078,MIL,,NJN,L (-12),1,17:00,2,4,0.5,0,0,,0,0,,,,3,0,2.0,1.0,3.0,4,4,,
23,24,24,1981-12-22,23-082,MIL,,KCK,L (-5),1,11:00,2,5,0.4,0,0,,0,0,,,,3,0,0.0,1.0,2.0,1,4,,
24,25,25,1981-12-26,23-086,MIL,@,CLE,W (+7),1,24:00,8,11,0.727,0,0,,2,5,0.4,6.0,5.0,11,4,0.0,0.0,2.0,5,18,16.8,
25,26,26,1981-12-27,23-087,MIL,,CHI,W (+12),1,16:00,2,4,0.5,0,0,,0,0,,3.0,4.0,7,2,0.0,1.0,0.0,1,4,7.0,
26,27,27,1981-12-29,23-089,MIL,@,IND,W (+11),1,26:00,2,6,0.333,0,0,,1,4,0.25,,,10,2,0.0,1.0,3.0,2,5,,
27,28,28,1981-12-30,23-090,MIL,,WSB,W (+4),1,12:00,1,2,0.5,0,0,,0,0,,,,5,0,0.0,0.0,3.0,4,2,,
28,29,29,1982-01-02,23-093,MIL,@,CHI,W (+7),1,15:00,2,5,0.4,0,0,,0,0,,,,3,1,0.0,1.0,0.0,1,4,,
29,30,30,1982-01-03,23-094,MIL,,DEN,L (-6),0,12:00,2,3,0.667,0,0,,1,2,0.5,2.0,1.0,3,3,0.0,3.0,3.0,2,5,5.4,
30,31,31,1982-01-05,23-096,MIL,,NYK,L (-10),0,11:00,3,3,1.0,0,0,,1,2,0.5,,,3,1,0.0,1.0,0.0,1,7,,
31,32,32,1982-01-06,23-097,MIL,@,NJN,W (+14),1,15:00,1,1,1.0,0,0,,1,2,0.5,,,4,1,0.0,1.0,2.0,5,3,,
32,33,33,1982-01-08,23-099,MIL,,ATL,L (-2),1,15:00,2,3,0.667,0,0,,0,0,,,,6,1,0.0,1.0,3.0,4,4,,
33,34,34,1982-01-10,23-101,MIL,,LAL,W (+11),0,18:00,4,11,0.364,0,0,,0,1,0.0,,,7,0,0.0,4.0,4.0,2,8,,
34,35,35,1982-01-13,23-104,MIL,@,PHI,W (+4),0,7:00,0,0,,0,0,,0,2,0.0,0.0,1.0,1,0,1.0,1.0,2.0,2,0,-1.6,
35,36,36,1982-01-15,23-106,MIL,,BOS,W (+4),0,6:00,1,1,1.0,0,0,,0,0,,0.0,0.0,0,0,0.0,0.0,1.0,2,2,-0.1,
36,37,37,1982-01-17,23-108,MIL,,DET,L (-5),0,14:00,1,1,1.0,0,0,,0,0,,,,8,1,0.0,1.0,0.0,4,2,,
37,38,38,1982-01-20,23-111,MIL,@,DAL,L (-5),0,16:00,0,2,0.0,0,0,,2,2,1.0,,,3,1,0.0,2.0,0.0,3,2,,
38,39,39,1982-01-22,23-113,MIL,@,DEN,W (+6),0,13:00,2,2,1.0,0,0,,0,0,,2.0,3.0,5,2,0.0,1.0,0.0,3,4,6.6,
39,40,40,1982-01-23,23-114,MIL,@,GSW,L (-6),0,5:00,2,2,1.0,0,0,,1,1,1.0,1.0,1.0,2,0,0.0,1.0,2.0,4,5,2.5,
40,41,41,1982-01-26,23-117,MIL,@,LAL,W (+2),0,18:00,1,4,0.25,0,0,,3,4,0.75,,,7,1,1.0,1.0,2.0,2,5,,
41,42,42,1982-01-28,23-119,MIL,@,UTA,W (+18),0,12:00,2,5,0.4,0,0,,0,0,,,,4,1,0.0,0.0,0.0,4,4,,
42,43,43,1982-02-03,23-125,MIL,,CHI,W (+15),1,19:00,1,3,0.333,0,0,,0,0,,,,4,3,0.0,1.0,3.0,6,2,,
43,44,44,1982-02-05,23-127,MIL,,DAL,W (+25),0,9:00,1,2,0.5,0,0,,0,1,0.0,0.0,0.0,0,0,0.0,1.0,0.0,3,2,0.1,
44,45,45,1982-02-09,23-131,MIL,@,IND,W (+7),0,16:00,2,5,0.4,0,0,,0,0,,,,10,0,,,,0,4,,
45,46,46,1982-02-11,23-133,MIL,,POR,W (+11),0,12:00,3,5,0.6,0,0,,0,0,,3.0,2.0,5,2,1.0,2.0,0.0,1,6,9.8,
46,47,47,1982-02-13,23-135,MIL,@,CHI,W (+30),0,19:00,1,4,0.25,0,0,,0,0,,0.0,4.0,4,0,0.0,2.0,1.0,2,2,0.4,
47,48,48,1982-02-14,23-136,MIL,@,CLE,W (+28),1,22:00,4,4,1.0,0,0,,2,2,1.0,1.0,8.0,9,1,1.0,1.0,3.0,5,10,9.3,
48,49,49,1982-02-17,23-139,MIL,,IND,W (+11),0,14:00,1,1,1.0,0,0,,2,2,1.0,,,2,3,0.0,1.0,1.0,0,4,,
49,50,50,1982-02-19,23-141,MIL,,CLE,W (+18),0,9:00,0,4,0.0,0,0,,0,2,0.0,4.0,4.0,8,0,0.0,0.0,0.0,0,0,0.4,
50,51,51,1982-02-21,23-143,MIL,@,KCK,W (+6),0,19:00,1,2,0.5,0,0,,0,0,,,,7,2,0.0,1.0,2.0,5,2,,
51,52,52,1982-02-23,23-145,MIL,@,NYK,L (-3),0,4:00,0,0,,0,0,,0,0,,0.0,0.0,0,0,0.0,0.0,2.0,0,0,-2.0,
52,53,53,1982-02-24,23-146,MIL,@,NJN,W (+7),0,6:00,1,2,0.5,0,0,,0,0,,,,1,0,0.0,0.0,2.0,3,2,,
53,54,54,1982-02-28,23-150,MIL,@,BOS,L (-4),0,12:00,0,1,0.0,0,0,,0,0,,,,5,0,0.0,2.0,0.0,3,0,,
54,55,55,1982-03-02,23-152,MIL,,DET,W (+10),0,16:00,0,1,0.0,0,0,,0,0,,,,7,1,0.0,1.0,2.0,5,0,,
55,56,56,1982-03-03,23-153,MIL,@,ATL,W (+9),0,5:00,0,0,,0,0,,0,0,,,,2,0,0.0,2.0,2.0,2,0,,
56,57,57,1982-03-06,23-156,MIL,@,SAS,L (-5),0,10:00,0,0,,0,0,,0,2,0.0,0.0,0.0,0,0,0.0,1.0,1.0,2,0,-1.9,
57,58,58,1982-03-08,23-158,MIL,@,ATL,L (-3),0,8:00,0,0,,0,0,,2,2,1.0,,,2,0,0.0,1.0,1.0,4,2,,
58,59,59,1982-03-09,23-159,MIL,@,HOU,L (-12),0,3:00,0,0,,0,0,,1,2,0.5,0.0,0.0,0,0,0.0,1.0,0.0,2,1,0.5,
59,60,60,1982-03-10,23-160,MIL,,CHI,L (-3),0,5:00,0,2,0.0,0,0,,0,0,,1.0,0.0,1,0,0.0,1.0,1.0,0,0,-1.0,
60,61,61,1982-03-12,23-162,MIL,,SEA,L (-2),0,3:00,0,0,,0,0,,0,0,,0.0,1.0,1,0,0.0,0.0,1.0,1,0,-1.1,
61,62,62,1982-03-14,23-164,MIL,,UTA,W (+29),0,14:00,4,5,0.8,0,0,,1,2,0.5,,,5,0,1.0,2.0,4.0,2,9,,
62,63,63,1982-03-16,23-166,MIL,,PHI,W (+15),0,9:00,1,2,0.5,0,0,,0,0,,,,2,2,0.0,1.0,0.0,2,2,,
63,64,64,1982-03-19,23-169,MIL,,CLE,W (+22),0,23:00,4,5,0.8,0,0,,2,3,0.667,2.0,3.0,5,0,0.0,4.0,1.0,1,10,11.4,
64,65,65,1982-03-21,23-171,MIL,,NJN,W (+16),0,12:00,2,2,1.0,0,0,,1,3,0.333,,,3,1,1.0,1.0,1.0,4,5,,
65,66,66,1982-03-23,23-173,MIL,@,POR,W (+5),0,14:00,3,5,0.6,0,0,,1,3,0.333,3.0,3.0,6,3,1.0,2.0,2.0,5,7,7.4,
66,67,67,1982-03-24,23-174,MIL,@,SEA,L (-2),0,22:00,2,5,0.4,0,0,,0,1,0.0,0.0,8.0,8,0,0.0,1.0,0.0,4,4,2.4,
