Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1984-10-27,8127,SAS,H,LAL,W (+1),0,8:00,2,4,0.5,0,0,,1,2,0.5,0,1,1,3,1,0,2,4,5,2.4,
2,2,1984-10-30,8130,SAS,H,DEN,W (+8),0,3:00,1,2,0.5,0,0,,1,1,1.0,0,0,0,1,0,0,1,0,3,1.7,
3,3,1984-11-01,8132,SAS,A,GSW,W (+15),0,20:00,5,8,0.625,0,0,,0,0,,0,3,3,5,2,0,4,2,10,8.0,
4,4,1984-11-02,8133,SAS,A,LAL,L (-19),0,18:00,1,6,0.167,0,0,,4,4,1.0,4,3,7,5,1,0,3,5,6,5.4,
5,5,1984-11-04,8135,SAS,H,NYK,W (+1),0,31:00,4,7,0.571,0,0,,8,10,0.8,1,4,5,9,4,0,1,2,16,22.3,
6,6,1984-11-06,8137,SAS,H,SEA,W (+8),0,17:00,2,4,0.5,0,0,,0,0,,1,2,3,2,3,0,4,3,4,2.5,
7,7,1984-11-07,8138,SAS,A,UTA,L (-12),0,13:00,3,7,0.429,0,0,,2,5,0.4,2,2,4,2,2,0,4,3,8,3.3,
8,8,1984-11-10,8141,SAS,H,CLE,W (+24),0,15:00,1,4,0.25,0,0,,4,6,0.667,2,1,3,5,1,2,0,2,6,9.6,
9,9,1984-11-13,8144,SAS,A,CHI,L (-3),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
10,10,1984-11-14,8145,SAS,A,WSB,L (-19),0,20:00,6,13,0.462,0,0,,1,1,1.0,0,2,2,4,2,1,1,1,13,11.0,
11,11,1984-11-16,8147,SAS,A,IND,L (-11),0,19:00,2,4,0.5,0,0,,3,4,0.75,1,1,2,5,0,1,4,3,7,4.6,
12,12,1984-11-17,8148,SAS,A,HOU,L (-8),0,28:00,5,8,0.625,0,0,,2,3,0.667,1,4,5,14,3,0,4,2,12,17.9,
13,13,1984-11-21,8152,SAS,H,DET,L (-13),0,22:00,7,13,0.538,0,0,,0,0,,3,3,6,2,0,0,4,4,14,6.5,
14,14,1984-11-24,8155,SAS,H,UTA,L (-6),0,18:00,4,5,0.8,0,0,,2,2,1.0,1,2,3,1,2,0,1,6,10,8.7,
15,15,1984-11-27,8158,SAS,H,HOU,L (-17),0,14:00,2,7,0.286,1,1,1.0,2,4,0.5,2,1,3,3,1,0,3,4,7,2.3,
16,16,1984-11-29,8160,SAS,H,DAL,W (+8),0,23:00,4,7,0.571,0,1,0.0,0,0,,2,2,4,1,2,0,1,1,8,8.0,
17,17,1984-12-01,8162,SAS,H,LAC,W (+32),0,28:00,7,10,0.7,0,0,,1,1,1.0,1,4,5,5,3,0,1,3,15,17.0,
18,18,1984-12-04,8165,SAS,H,ATL,W (+8),0,21:00,2,5,0.4,0,0,,0,0,,0,4,4,4,3,0,3,3,4,4.1,
19,19,1984-12-06,8167,SAS,A,POR,L (-17),0,10:00,0,3,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,1,1,2,-0.8,
20,20,1984-12-07,8168,SAS,A,SEA,W (+3),0,26:00,3,8,0.375,0,0,,1,1,1.0,2,3,5,4,1,0,0,3,7,7.5,
21,21,1984-12-09,8170,SAS,A,LAC,L (-3),0,28:00,5,12,0.417,0,1,0.0,2,3,0.667,1,0,1,2,2,0,3,4,12,4.7,
22,22,1984-12-11,8172,SAS,A,KCK,L (-1),0,18:00,5,7,0.714,0,0,,2,2,1.0,2,1,3,2,1,0,0,5,12,11.2,
23,23,1984-12-12,8173,SAS,H,DEN,W (+21),0,24:00,4,7,0.571,0,0,,2,2,1.0,1,1,2,0,1,0,1,2,10,6.9,
24,24,1984-12-14,8175,SAS,A,DAL,L (-17),0,22:00,4,9,0.444,0,0,,0,0,,2,0,2,3,0,1,3,3,8,3.3,
25,25,1984-12-15,8176,SAS,H,PHO,W (+9),0,14:00,0,2,0.0,0,0,,0,0,,0,1,1,1,0,0,2,3,0,-3.6,
26,26,1984-12-18,8179,SAS,A,CLE,L (-8),0,13:00,1,8,0.125,0,0,,0,0,,5,1,6,1,0,0,2,4,2,-2.3,
27,27,1984-12-19,8180,SAS,A,PHI,L (-5),0,15:00,2,7,0.286,0,0,,0,0,,3,1,4,4,1,0,0,2,4,5.3,
28,28,1984-12-21,8182,SAS,A,NJN,W (+6),0,19:00,5,7,0.714,0,0,,1,2,0.5,0,1,1,1,1,0,0,1,11,9.3,
29,29,1984-12-22,8183,SAS,A,MIL,L (-11),0,13:00,1,2,0.5,0,0,,0,0,,1,2,3,2,1,0,4,1,2,0.3,
