Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,2004-11-04,22-037,CLE,@,MIA,L (-6),0,10:17,3,5,0.6,0,0,,1,1,1.0,2,2,4,1,0,0,0,2,7,6.6,-3
3,2,2004-11-06,22-039,CLE,@,MIL,L (-14),0,7:22,0,1,0.0,0,0,,0,0,,1,2,3,0,1,1,2,4,0,-1.3,1
6,3,2004-11-13,22-046,CLE,,WAS,W (+31),0,4:31,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-1.1,4
8,4,2004-11-29,22-062,CLE,@,LAC,L (-12),0,2:00,1,2,0.5,0,0,,2,2,1.0,0,0,0,0,0,0,0,1,4,2.6,2
9,5,2004-12-01,22-064,CLE,@,PHO,L (-19),0,4:39,0,0,,0,0,,2,2,1.0,0,1,1,1,0,0,0,0,2,3.0,0
10,6,2004-12-02,22-065,CLE,@,DEN,W (+19),0,15:00,2,3,0.667,0,0,,3,5,0.6,0,1,1,0,0,2,0,3,7,5.4,-6
11,7,2004-12-04,22-067,CLE,,TOR,W (+8),0,7:15,0,1,0.0,0,0,,2,2,1.0,2,1,3,0,0,1,0,0,2,3.7,-9
12,8,2004-12-07,22-070,CLE,,NJN,W (+6),0,10:02,2,3,0.667,0,0,,2,4,0.5,3,3,6,0,0,1,1,1,6,6.2,2
13,9,2004-12-08,22-071,CLE,@,CHI,L (-28),0,12:47,1,2,0.5,0,0,,0,0,,0,0,0,1,2,1,0,4,2,2.8,-5
14,10,2004-12-11,22-074,CLE,@,SAS,L (-19),0,12:42,3,6,0.5,0,0,,4,4,1.0,2,0,2,0,0,0,0,2,10,7.6,-8
15,11,2004-12-13,22-076,CLE,@,MEM,W (+6),0,5:30,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,2,2,0.2,-3
16,12,2004-12-15,22-078,CLE,,POR,W (+24),0,13:31,3,3,1.0,0,0,,6,8,0.75,1,2,3,0,4,0,0,2,12,14.8,11
17,13,2004-12-16,22-079,CLE,@,DET,L (-12),0,15:51,2,3,0.667,0,0,,2,4,0.5,2,3,5,0,1,3,0,3,6,8.1,3
18,14,2004-12-18,22-081,CLE,,BOS,L (-7),0,10:23,0,1,0.0,0,0,,2,2,1.0,2,2,4,1,1,0,0,1,2,4.6,3
19,15,2004-12-21,22-084,CLE,,MIN,W (+10),0,15:02,1,2,0.5,0,0,,0,0,,1,2,3,1,3,0,0,2,2,5.2,1
20,16,2004-12-22,22-085,CLE,@,NJN,L (-2),0,5:01,1,1,1.0,0,0,,0,0,,0,0,0,0,1,0,0,1,2,2.3,1
21,17,2004-12-26,22-089,CLE,,NOH,W (+9),0,12:39,2,3,0.667,0,0,,1,4,0.25,4,1,5,0,1,0,0,4,5,5.0,-4
22,18,2004-12-28,22-091,CLE,@,ATL,W (+9),0,20:20,3,6,0.5,0,0,,0,0,,4,3,7,0,2,1,1,5,6,6.4,2
23,19,2004-12-29,22-092,CLE,,HOU,L (-11),0,12:37,3,4,0.75,0,0,,4,8,0.5,1,2,3,0,0,0,0,2,10,7.3,-4
24,20,2005-01-03,22-097,CLE,@,CHA,W (+11),0,19:37,2,3,0.667,0,0,,0,1,0.0,6,6,12,1,0,1,1,2,4,7.9,7
25,21,2005-01-05,22-099,CLE,,ATL,W (+16),0,25:00,0,2,0.0,0,0,,0,0,,4,7,11,0,0,0,0,2,0,2.7,16
26,22,2005-01-08,22-102,CLE,,NYK,W (+25),0,21:04,4,5,0.8,0,0,,1,3,0.333,4,6,10,0,1,3,1,2,9,12.2,22
27,23,2005-01-11,22-105,CLE,,CHA,W (+2),0,18:31,2,4,0.5,0,0,,0,0,,2,2,4,1,0,1,1,3,4,3.2,-5
28,24,2005-01-13,22-107,CLE,@,LAL,L (-4),0,16:44,0,1,0.0,0,0,,0,0,,1,2,3,1,1,1,0,2,0,2.2,9
29,25,2005-01-15,22-109,CLE,@,UTA,W (+13),0,24:34,2,3,0.667,0,0,,0,3,0.0,4,10,14,0,2,2,0,2,4,9.9,7
30,26,2005-01-16,22-110,CLE,@,SEA,L (-8),0,11:55,1,3,0.333,0,0,,3,5,0.6,2,1,3,0,0,0,0,3,5,3.0,-4
31,27,2005-01-19,22-113,CLE,@,POR,W (+6),0,18:20,1,4,0.25,0,0,,0,2,0.0,3,3,6,0,1,2,0,2,2,3.4,6
32,28,2005-01-20,22-114,CLE,@,SAC,L (-27),0,17:56,3,4,0.75,0,0,,0,0,,3,1,4,0,0,0,1,1,6,5.4,-8
33,29,2005-01-22,22-116,CLE,@,GSW,W (+18),0,25:21,3,6,0.5,0,0,,1,2,0.5,6,4,10,0,0,2,1,1,7,9.0,16
34,30,2005-01-24,22-118,CLE,,WAS,L (-9),0,18:30,2,4,0.5,0,0,,0,0,,2,8,10,1,1,3,0,3,4,8.4,7
43,31,2005-03-08,22-161,CLE,,ORL,W (+19),0,18:47,2,3,0.667,0,0,,2,4,0.5,1,2,3,0,0,0,2,4,6,1.6,-6
44,32,2005-03-13,22-166,CLE,,IND,W (+12),0,18:33,3,4,0.75,0,0,,2,2,1.0,2,4,6,0,0,1,0,3,8,8.5,15
45,33,2005-03-15,22-168,CLE,,UTA,W (+19),0,22:19,3,8,0.375,0,0,,0,3,0.0,2,7,9,0,3,1,3,3,6,3.4,13
46,34,2005-03-16,22-169,CLE,@,MIL,L (-8),0,14:13,2,3,0.667,0,0,,0,0,,0,3,3,0,2,0,0,1,4,5.2,8
47,35,2005-03-18,22-171,CLE,,PHI,L (-12),0,14:58,0,4,0.0,0,1,0.0,0,0,,1,3,4,0,1,0,1,1,0,-1.6,6
48,36,2005-03-20,22-173,CLE,@,TOR,L (-7),0,6:25,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-5
49,37,2005-03-22,22-175,CLE,,DET,W (+15),0,25:11,4,7,0.571,0,0,,3,6,0.5,1,5,6,2,1,2,1,4,11,9.9,6
50,38,2005-03-24,22-177,CLE,@,HOU,L (-19),0,17:01,0,3,0.0,0,0,,1,2,0.5,4,4,8,0,1,0,0,1,1,3.1,-10
51,39,2005-03-26,22-179,CLE,@,DAL,L (-31),0,23:18,7,9,0.778,0,0,,0,0,,1,2,3,0,0,0,1,5,14,8.8,-23
52,40,2005-03-28,22-181,CLE,@,NOH,W (+1),0,20:47,3,4,0.75,0,0,,3,5,0.6,0,3,3,2,2,1,0,4,9,10.0,4
53,41,2005-03-29,22-182,CLE,,LAC,W (+10),0,17:58,3,5,0.6,0,0,,1,2,0.5,2,0,2,1,1,1,1,3,7,5.9,1
54,42,2005-03-31,22-184,CLE,@,CHI,L (-12),0,12:45,0,2,0.0,0,0,,2,6,0.333,3,2,5,1,0,0,0,3,2,1.2,-3
55,43,2005-04-01,22-185,CLE,,SAC,L (-19),0,26:17,4,8,0.5,0,0,,4,5,0.8,2,2,4,0,1,0,1,3,12,8.4,-2
56,44,2005-04-03,22-187,CLE,,DAL,W (+20),0,19:40,3,4,0.75,0,0,,3,5,0.6,2,6,8,0,0,1,1,1,9,9.1,15
57,45,2005-04-05,22-189,CLE,,NJN,L (-31),0,23:00,1,5,0.2,0,0,,5,8,0.625,4,2,6,1,0,0,1,1,7,5.4,-16
58,46,2005-04-06,22-190,CLE,@,IND,L (-21),0,21:37,2,3,0.667,0,0,,0,0,,2,4,6,4,1,1,0,3,4,8.6,-5
59,47,2005-04-08,22-192,CLE,@,PHI,L (-5),0,9:35,0,2,0.0,0,0,,0,0,,0,1,1,0,0,1,1,0,0,-1.4,-10
60,48,2005-04-09,22-193,CLE,,MIL,W (+17),0,22:30,2,5,0.4,0,0,,0,2,0.0,1,4,5,1,1,1,1,4,4,2.2,9
61,49,2005-04-11,22-195,CLE,@,ORL,W (+8),0,22:45,2,3,0.667,0,0,,1,3,0.333,5,3,8,1,2,0,0,2,5,9.2,10
62,50,2005-04-14,22-198,CLE,,NYK,L (-6),0,10:30,0,4,0.0,0,0,,0,0,,2,1,3,0,1,0,0,1,0,-0.5,0
63,51,2005-04-15,22-199,CLE,@,WAS,L (-8),0,12:46,2,2,1.0,0,0,,2,2,1.0,4,3,7,1,0,0,0,1,6,9.4,2
64,52,2005-04-17,22-201,CLE,@,DET,L (-3),0,18:52,3,5,0.6,0,0,,1,4,0.25,1,1,2,0,2,1,0,4,7,5.6,3
65,53,2005-04-19,22-203,CLE,,BOS,W (+14),0,26:01,3,5,0.6,0,0,,0,0,,4,5,9,4,0,2,2,3,6,9.0,20
66,54,2005-04-20,22-204,CLE,@,TOR,W (+9),0,27:58,2,7,0.286,0,0,,2,6,0.333,3,3,6,0,0,0,0,3,6,2.1,-7
33,1,2006-01-12,23-106,CLE,@,LAL,L (-1),0,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
34,2,2006-01-14,23-108,CLE,@,PHO,L (-9),0,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2
35,3,2006-01-15,23-109,CLE,@,POR,L (-2),0,8:36,0,3,0.0,0,0,,0,0,,1,1,2,2,1,0,0,1,0,0.9,4
36,4,2006-01-18,23-112,CLE,@,DEN,L (-1),0,6:58,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1
37,5,2006-01-20,23-114,CLE,@,GSW,L (-20),0,10:06,0,0,,0,0,,0,0,,2,4,6,0,2,0,1,2,0,2.8,1
38,6,2006-01-21,23-115,CLE,@,UTA,W (+18),0,1:40,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-5
39,7,2006-01-24,23-118,CLE,,IND,W (+30),0,5:17,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,3,2,-0.9,3
40,8,2006-01-25,23-119,CLE,@,ATL,W (+9),0,0:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
42,9,2006-01-29,23-123,CLE,,PHO,W (+7),0,19:08,2,3,0.667,0,0,,2,3,0.667,2,5,7,0,1,0,1,2,6,6.4,13
43,10,2006-01-30,23-124,CLE,@,CHA,W (+12),0,20:22,3,7,0.429,0,0,,0,0,,3,7,10,1,2,0,1,4,6,6.6,1
44,11,2006-02-01,23-126,CLE,,NJN,W (+6),0,23:10,1,1,1.0,0,0,,2,4,0.5,1,6,7,0,2,1,0,0,4,8.1,7
45,12,2006-02-02,23-127,CLE,@,MIA,L (-28),0,18:45,2,5,0.4,0,0,,2,6,0.333,1,0,1,1,0,1,0,1,6,3.4,-15
46,13,2006-02-04,23-129,CLE,,PHI,L (-5),0,14:58,0,3,0.0,0,0,,0,0,,2,2,4,1,0,2,0,0,0,2.0,-5
47,14,2006-02-06,23-131,CLE,,MIL,W (+3),0,18:14,3,5,0.6,0,0,,3,4,0.75,1,4,5,0,0,0,0,2,9,7.4,7
48,15,2006-02-08,23-133,CLE,@,MIN,W (+6),0,18:08,2,3,0.667,0,1,0.0,1,2,0.5,3,0,3,1,0,1,0,1,5,6.4,15
49,16,2006-02-10,23-135,CLE,@,WAS,L (-12),0,14:07,1,1,1.0,0,0,,1,2,0.5,2,2,4,0,0,0,0,2,3,3.5,-1
50,17,2006-02-11,23-136,CLE,,GSW,L (-8),0,10:13,0,2,0.0,0,0,,2,4,0.5,2,2,4,1,1,0,1,3,2,1.3,-14
51,18,2006-02-13,23-138,CLE,,SAS,W (+14),0,12:22,0,1,0.0,0,0,,0,0,,0,3,3,0,1,0,0,3,0,0.0,-2
52,19,2006-02-15,23-140,CLE,@,BOS,W (+4),0,5:53,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,2,0,0.2,-11
53,20,2006-02-21,23-146,CLE,,ORL,W (+13),0,8:13,1,1,1.0,0,0,,0,0,,0,2,2,1,1,0,1,2,2,2.2,-6
54,21,2006-02-22,23-147,CLE,@,PHI,L (-9),0,13:42,4,6,0.667,0,0,,3,4,0.75,2,5,7,1,0,0,0,6,11,9.2,1
