model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,451,113,29.878964984496257,5.466165473574346,0.4413102592274072,31.427869408531528,5.606056493519445,0.302167623980491,9.08849557522124,-55167402898364.57,2.4158642442547404,9.824541851897614,30.17431806902512,0.722784255154779,5.783332622263313,-19.83867236594176,-6.55844166260311,1667545039052.8254,-3503211966550.1367,-1222020943854.4512,-3503211966553.714,1212707006666.1504,462294004006.4173,-521764845972.6001,-3503211966555.465,287068802489.50104,-3503211966555.868,-209092917373.5696,-3503211966553.9126,103164907474.8572,-3503211966555.906,-40325363358.4504,-3503211966552.165,-2041070361.2566075,-3503211966552.3096,-4377445612.605216,-3503211966551.0,-3669832.321454804,-3503211966552.3843,58670614864917.0,-5427688.312815349,-308874.2974980364,-3503211966553.9536,58670614864921.336,-3503211966555.72,-961.811173439026,-3503211966552.9883,-0.549072265625,-3503211966555.963,0.0,-3503211966555.547,0.0,-3503211966554.6675,0.0,-3503211966556.7734,0.0,-3503211966553.162,0.0,-3503211966556.38,0.0,0.0,0.0,-3503211966554.945,0.0,-3503211966556.0654,0.0,0.0,0.0,-3503211966556.0938,0.0,-3503211966555.432,0.0,0.0,0.0,-3503211966551.114,0.0,-3503211966556.793,0.0,-3503211966555.8105,0.0,-3503211966552.8823,0.0,-3503211966555.343,0.0,-3503211966552.75,0.0,-3503211966554.156,0.0,0.0,0.0,-3503211966555.5254,0.0,-3503211966556.9043,0.0,0.0,0.0,-3503211966557.7246
"Random Forest (100 estimators, 20 depth)",451,113,4.8168279141189085,2.1947272983491386,0.9099328795330875,28.13626236393832,5.304362578476166,0.3752553008761918,9.08849557522124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",451,113,9.76928840682318,3.125586090131446,0.8173296427646402,26.54802843815332,5.152477893029073,0.4105208494152371,9.08849557522124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",451,113,20.28765156584308,4.504181564484615,0.6206527635717349,24.856892241728826,4.985668685515397,0.4480712660465068,9.08849557522124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),451,113,30.35071090466163,5.5091479290958985,0.4324893510739797,30.13187999165132,5.48925131430975,0.330944101390447,9.08849557522124,0.8253552957798966,0.676061924381591,8.964858012960791,9.794728763712277,0.6935649768014841,6.001417983691649,0.4920486410290573,-6.088902697854107,0.0,3.989555104292687,0.0,1.0178128138133968,0.0,0.0,0.0,-0.7880237335396959,0.0,-1.2443130256052326,0.0,0.4679058515408101,0.0,-1.1183017366778136,0.0,2.055243937517878,0.0,1.9587500693359567,0.0,3.393645663686127,0.0,1.8030280361001103,-1.6723169595262088,0.0,0.0,0.5026287949017506,1.6723169595262062,-1.056594155025912,0.0,1.5789463219969433,0.0,-1.1898613047168325,0.0,-0.634235174602215,0.0,-0.0038329456201301,0.0,-2.07351021313048,0.0,1.2224530638808873,0.0,-1.5952677284635537,0.0,0.0,0.0,-0.4420082569556607,0.0,-1.4070391956014838,0.0,0.0,0.0,-1.3873147772073566,0.0,-1.018623973808176,0.0,0.0,0.0,2.0358075078607345,0.0,-1.5450224300406157,0.0,-1.7476045740412816,0.0,1.6018405955144592,0.0,-0.6447502394053676,0.0,1.981254101257194,0.0,0.5122320028135132,0.0,0.0,0.0,-0.8451882951472695,0.0,-2.342534271100721,0.0,0.0,0.0,-3.0370778338217983
Ridge (lambda=0.1),451,113,29.94108406622427,5.471844667589192,0.4401487299145389,30.965626146060245,5.56467664344122,0.3124313905106453,9.08849557522124,0.269332324108257,2.102806729622129,9.82456887978088,22.20067478755119,0.7205393323765311,5.813489453633969,-11.63591864319362,-7.100129333911653,0.0,4.404116087561051,0.0,0.9469363323155032,0.0,0.0,0.0,-0.9060082823087192,0.0,-1.3409846363003843,0.0,0.6017668283747389,0.0,-1.3247576500877922,0.0,2.300328618433821,0.0,2.180109476398421,0.0,3.552848904079783,0.0,2.067345940198379,-2.059969922917613,0.0,0.0,0.5629132069503431,2.059969922917681,-1.1701129918884228,0.0,1.5792478127286695,0.0,-1.349308389378569,0.0,-0.8727439684961531,0.0,-0.0623970869051939,0.0,-2.239177973022511,0.0,1.3401264008883749,0.0,-1.7827594045569335,0.0,0.0,0.0,-0.4453562986429008,0.0,-1.5135423427369088,0.0,0.0,0.0,-1.5521996537184934,0.0,-0.9376477327424037,0.0,0.0,0.0,3.111856753414509,0.0,-2.191392094945862,0.0,-1.627344796821706,0.0,1.658377973288336,0.0,-0.7354930022811,0.0,1.904761350723918,0.0,0.4442569976192583,0.0,0.0,0.0,-0.9507365434205508,0.0,-2.412037921542972,0.0,0.0,0.0,-3.2409919131663814
Lasso (lambda=0.1),451,113,34.81626117047183,5.900530583809547,0.3489905711896351,27.56820692992781,5.250543489004525,0.3878685476755035,9.08849557522124,3.5633989443372043,-0.0,2.828542351066917,5.690828926565623,0.292911024744833,6.970300829171097,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0500422230640252,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),451,113,44.56997703006245,6.676074971872504,0.1666113961415112,39.03933449963071,6.248146485129067,0.13316072438871,9.08849557522124,9.235494880546074,0.0,0.0,0.0,0.0,3.251846891605825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",451,113,20.452818226061467,4.522479212341552,0.6175644063066967,24.244538645237977,4.923874353112392,0.4616681204704754,9.08849557522124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),451,113,30.41103376786868,5.51462000212786,0.4313614082277232,29.336385809010235,5.416307396096554,0.3486074557962481,9.08849557522124,1.939743472183416,0.0,9.837853260296278,10.391744828592373,0.6689294544646223,5.991069892718736,-0.0,-6.17357848133139,0.0,4.475816671658648,0.0,1.3922353978479507,0.0,0.0,0.0,-0.0,0.0,-0.3896456990768091,0.0,0.9130771397522398,0.0,-0.3187564893445866,0.0,2.434566394392565,0.0,2.287036628299775,0.0,3.865033195721388,0.0,2.237094096996021,-3.48668160822115,0.0,0.0,0.689362375721245,2.1167559505729903e-05,-0.0,0.0,1.9481813074170664,0.0,-0.3638346549227539,0.0,-0.0,0.0,0.3565545713386144,0.0,-1.2672541564136874,0.0,1.6508769671197658,0.0,-0.9139167409102932,0.0,0.0,0.0,0.0,0.0,-0.5609585319349947,0.0,0.0,0.0,-0.4667942347803008,0.0,-0.2790699645888344,0.0,0.0,0.0,1.8501637998483813,0.0,-0.0,0.0,-0.0,0.0,1.8874054186955715,0.0,-0.0,0.0,2.4623729052453665,0.0,0.8571680964051522,0.0,0.0,0.0,-0.1110018911311652,0.0,-1.498921554542338,0.0,0.0,0.0,-2.3631220216857374
