model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,1043,261,35.025942903922825,5.918271952514757,0.3174818446773341,32.5906824426176,5.708824961637692,0.2547816219870321,12.559386973180075,13163907305491.592,-5.3590865308721645,2.710105769916843,-17.974457547178066,-1.0367387210346604,5.683165816239982,18.34668512742353,0.0224074542323093,3823976610818.127,1152092386714.441,33702341093555.395,1152092386711.95,-3776644167728.173,-3380956577554.9023,-14315999692195.82,1152092386713.569,710588832419.8096,1152092386712.8118,162054268286.92108,1152092386715.2913,165538419979.75647,1152092386714.0337,-9989035931.909002,1152092386714.4114,-14315999692200.43,1152092386712.2024,-40469247183.56606,1152092386714.9236,1867271763.743459,1152092386713.0884,9485227474.431295,1152092386711.5469,-14315999692195.924,1152092386715.477,-14315999692199.783,1152092386711.8003,-14315999692193.8,1152092386712.662,-14315999692195.355,1152092386713.7056,21907.099263025448,1152092386713.0508,-1755.9784891605375,1152092386713.6592,-14315999692197.504,1152092386713.5327,0.1611328125,1152092386713.5137,0.0,1152092386714.1377,-1.52587890625e-05,1152092386710.5713,0.0,1152092386716.4434,0.0,1152092386715.6514,0.0,0.0,0.0,1152092386713.377,0.0,1152092386712.452,0.0,1152092386713.5818,0.0,1152092386714.9453,0.0,1152092386712.7305,0.0,1152092386720.5513,0.0,1152092386713.966,0.0,1152092386711.2207,0.0,1152092386714.5342,-14315999692193.734,1152092386714.498,0.0,1152092386712.4585,0.0,1152092386714.622,-14315999692199.41,1152092386713.293,0.0,0.0,0.0,1152092386713.8232
"Random Forest (100 estimators, 20 depth)",1043,261,7.071797539916774,2.659285155811008,0.8621984217527291,33.29923357928139,5.770548810926166,0.238579895320721,12.559386973180075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",1043,261,18.76099545231135,4.331396478309432,0.6344218328896332,31.397994594952063,5.603391347652961,0.2820536162104737,12.559386973180075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",1043,261,31.14110509131368,5.580421587238161,0.3931820862058148,30.315865727188573,5.505984537499953,0.3067975693650474,12.559386973180075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),1043,261,35.107777019272866,5.925181602218861,0.3158872189564967,32.22261340931219,5.676496578816215,0.2631978866197106,12.559386973180075,8.473651314744064,-3.037805508802393,0.94929948304029,-2.236804343591404,-1.0327296202901488,5.635691896261057,1.823444430107782,0.3863046727603428,0.0,0.652881582664358,0.0,-1.7129492316756478,0.0,0.0,1.016164227540302,-0.1383323408774684,0.0,-0.8377154182322429,0.0,1.4737447302479816,0.0,0.2642851722875974,0.0,0.6372190239229257,-3.546693597230172,-1.4638287826652798,0.0,1.0767519022117022,0.0,-0.5804008497141553,0.0,-1.928814167600528,1.030450757191247,1.6824084593603903,-2.8477020634517407,-1.915678496188883,3.175630397027942,-1.08095637844078,1.5987743166000783,0.0044051620475673,0.0,-0.6896284185759727,0.0,-0.07563325305142,-0.5927330811724266,-0.1254103814935926,0.0,-0.2641800573234235,0.0,0.3381755054638684,0.0,-2.317972091680552,0.0,2.6166855964030806,0.0,1.9649651722817776,0.0,0.0,0.0,-0.2881603802609205,0.0,-1.312471803376683,0.0,-0.2713668018263687,0.0,1.1201611430997067,0.0,-0.9610726466184702,0.0,5.121728144997069,0.0,0.2097095090059729,0.0,-2.4277933887140994,0.0,0.7256118355053324,3.085360570386562,0.722110025423634,0.0,-0.8340883753265086,0.0,0.8909855992844061,-2.919251526896176,-0.3809866833090071,0.0,0.0,0.0,0.1056113827444641
Ridge (lambda=0.1),1043,261,35.041716651489814,5.91960443370077,0.3171744762469829,32.52206594905848,5.702812108868613,0.2563506063777425,12.559386973180075,8.360040988062451,-4.753307055360902,2.1816168964924394,-9.97225982070488,-1.0432290662013657,5.702129757049861,10.115005490474424,0.3990148415781053,0.0,0.6760812289163918,0.0,-1.7805945876570055,0.0,0.0,1.0746640576633513,-0.158622341707524,0.0,-0.8966422140881787,0.0,1.51796919054807,0.0,0.2813595760469984,0.0,0.6507630689954742,-3.593999761171508,-1.524288360797484,0.0,1.1414148361094056,0.0,-0.6332953174408437,0.0,-2.169509108803765,0.9765446858178352,1.7290616519457354,-2.890539510495351,-1.969546963564232,3.1098478486575694,-1.1076593792092235,1.5294878926237172,-0.0129633501558202,0.0,-0.712640366267115,0.0,-0.0901862167539873,-0.6434258478408211,-0.1742414559881868,0.0,-0.2656172350626427,0.0,0.3662057598426381,0.0,-2.969897955080348,0.0,2.7063264350062783,0.0,1.9553675331730664,0.0,0.0,0.0,-0.3463740724296354,0.0,-1.3220898276303226,0.0,-0.241419498878731,0.0,1.1925481411240515,0.0,-1.009691619977074,0.0,6.620711158264311,0.0,0.2178646821364742,0.0,-2.5152429403006265,0.0,0.759825849370633,3.180701392837628,0.7441135770821851,0.0,-1.2090833276324342,0.0,0.8866273343088305,-2.743280758135741,-0.4277966728078362,0.0,0.0,0.0,0.0911627893640641
Lasso (lambda=0.1),1043,261,37.63782141349464,6.1349671077761,0.2665865837797261,31.181053983306544,5.583999819422145,0.2870141791265852,12.559386973180075,9.056178030661345,-0.5424854753430153,-0.0,-1.354350107037693,-0.5117179448415031,5.988092582825259,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1.7797164713014937,-0.0,1.287705185828388,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.8930625881024198,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),1043,261,44.312999753523705,6.656801015016425,0.1365135570639714,37.24493504068713,6.102862856126388,0.1483575058887304,12.559386973180075,10.505050505050503,-0.0,0.0,-0.0,-0.0,2.738917323367726,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",1043,261,31.19098645828113,5.584889117814349,0.3922100941409334,30.01267124602644,5.478382174148353,0.3137304128202881,12.559386973180075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),1043,261,35.32212503398599,5.943241963271055,0.3117104174353965,31.56794197429161,5.618535572041136,0.2781676003038734,12.559386973180075,9.52517064470028,-1.6145793255002416,-0.0,-0.7668096718291422,-0.9738002419775836,5.689001511372924,-0.0,-0.0,0.0,0.4598013810429633,0.0,-1.36207705846946,0.0,0.0,0.0,-0.0,0.0,-0.5220078645470063,0.0,1.2824445209860695,0.0,0.0,0.0,0.44227033583572,-4.262978716581523,-1.1938280883589194,0.0,0.7918817167809604,0.0,-0.2063448907744307,0.0,-0.6953464832327835,0.0590212253143296,1.330484838997063,-3.684255378290933,-1.5584961235217163,2.161756480252228,-0.711595811829352,0.5964379914419652,0.0,0.0,-0.2975656144662686,0.0,-0.0,-1.0935893022061618,-0.0,0.0,-0.0,0.0,0.1017922282840225,0.0,-0.1234291105094487,0.0,2.2296368605087484,0.0,1.8024913151810715,0.0,0.0,0.0,-0.0,0.0,-1.031297268651998,0.0,-0.0,0.0,0.5966715633693732,0.0,-0.0502299533251951,0.0,3.3368329279208044,0.0,0.0,0.0,-2.03051647841433,0.0,0.4982902729702885,1.876103999708974,0.3348145483748312,0.0,-0.0,0.0,0.6700176923937007,-3.471903093417456,-0.0976204057548766,0.0,0.0,0.0,0.0
"Random Forest (100 estimators, 5 depth)",1043,261,30.983343052622025,5.566268323807434,0.3962562491462138,30.04974430453224,5.481764707147894,0.3128827004541444,12.559386973180075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=2.0),1043,261,35.14888630347373,5.928649618882341,0.3150861603555513,32.011556025558775,5.65787557529845,0.2680239236769373,12.559386973180075,8.739241020483416,-2.4668336205169896,0.6650558050998754,-1.4822421957729786,-1.0251362214284268,5.548382223395889,0.7002374501969337,0.1829585461016236,0.0,0.6452842234601627,0.0,-1.6506733039474095,0.0,0.0,0.8804060536866857,-0.1332878006243858,0.0,-0.8035725298727759,0.0,1.4434209938786124,0.0,0.2438604571324652,0.0,0.6355282763800587,-3.390338048987102,-1.415361016183073,0.0,1.0447270216764553,0.0,-0.5456451686107053,0.0,-1.7209768608341312,0.9939281867058228,1.6291413606844258,-2.809508894983224,-1.839199116540069,3.139184563703338,-1.0319296493494428,1.5992059672262766,-0.0017570176075463,0.0,-0.6601056061396872,0.0,-0.0645867490228861,-0.5638205150058843,-0.1092882642791172,0.0,-0.2426085884859084,0.0,0.3357887976179317,0.0,-1.9090191193181425,0.0,2.4934478646487155,0.0,1.928954067326258,0.0,0.0,0.0,-0.2532869691032319,0.0,-1.277925477484063,0.0,-0.2319971291113025,0.0,1.048730820079428,0.0,-0.9144137404081152,0.0,4.082238264665016,0.0,0.2006848672321423,0.0,-2.322325643956028,0.0,0.7102126852306128,2.879938153557572,0.7016612609701965,0.0,-0.6522199530819547,0.0,0.8806398436730055,-2.7289954659054203,-0.3552154726804451,0.0,0.0,0.0,0.1110743719848286
Lasso (lambda=0.05),1043,261,36.9068353355156,6.075099615275095,0.2808306334225104,30.892516438987027,5.5581036729254185,0.2936118771389613,12.559386973180075,9.597373640225028,-1.2046589210823604,-0.0,-1.597866619069758,-0.7397264284277371,5.778545234699042,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.1964092786262939,0.0,-0.0,0.0,0.0,-1.427732252894615,-0.1237514464675806,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2.550240947366964,-0.0,1.808471194937581,-0.0,0.4132324495513377,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.6864256346475138,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0374019908033194,0.0,0.0,1.2116122048715532,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
SVM (rbf kernel),1043,261,24.069306355336355,4.906047936510237,0.5309836877596115,38.271721786298336,6.186414291518014,0.1248790054161842,12.559386973180075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM (poly kernel),1043,261,24.117558354538623,4.91096307810786,0.5300434456774354,40.42433791058601,6.358013676501964,0.0756572961300813,12.559386973180075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM (linear kernel),1043,261,35.70123341650857,5.975050913298444,0.3043230830068437,33.43505764708198,5.782305565004497,0.2354741428812101,12.559386973180075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feedforward NN (3 layers, [[87, 20, 1]] activations)",1043,261,19.392767089477527,4.403721958693297,0.6221110832956358,44.53854291721295,6.673720320571799,-0.0184180945049454,12.559386973180075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feedforward NN (3 layers, [[32, 8, 1]] activations)",1043,261,29.51982102852248,5.433214612779665,0.424774549278846,38.17200328107404,6.178349559637593,0.127159168246526,12.559386973180075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (500 estimators, 5 depth)",1043,261,30.982063978559815,5.566153427508068,0.3962811732795014,30.095666724368222,5.485951761031829,0.3118326386370941,12.559386973180077,,0.03370939244590963,0.030221534673221067,0.379635095840418,0.009040161034401722,0.3897868854338041,0.007662281275296667,0.0073928084978963065,0.0,0.0051502427905821485,0.0,0.005779989758523679,0.0,0.0,0.002275757868110439,0.003091620147060113,0.0,0.005503054963488517,0.0,0.004615198403443568,0.0,0.0047092900199598425,0.0,0.0026218223906513947,0.00010308625675266281,0.0025246613856330213,0.0,0.0036411580332459757,0.0,0.0011255841259586738,0.0,2.4403355930040422e-05,0.004757215442998624,0.0030157196161202785,0.0001852311841484385,0.0018573123843685915,0.010511451350846225,0.005932968136945461,0.002518895920563765,0.00329921933464584,0.0,0.001849226951860575,0.0,0.0016553455404385395,0.001750132802950619,0.003355166134747056,0.0,0.005452547484845394,0.0,0.005828270276499765,0.0,3.2878986107849374e-05,0.0,0.006674748316101395,0.0,0.005799100113457547,0.0,0.0,0.0,0.0006167222493432809,0.0,0.0013806283734079468,0.0,2.3698976325497342e-05,0.0,0.0010354201444928524,0.0,0.00015630436869739186,0.0,0.005910678248317757,0.0,0.0013975087742129093,0.0,0.002226944007682314,0.0,0.005498600743340549,0.0006984344987136815,0.002483537678321811,0.0,4.007569458069004e-05,0.0,0.0016149652765965418,2.8788769122410115e-05,0.008645135381458821,0.0,0.0,0.0,0.005153098137452051
