model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,411,103,29.76600472480421,5.455823010766039,0.297378627149826,48.43604463743932,6.959600896419228,0.0224778140851675,11.533980582524272,-39486320407974.67,-3.915489651667942,10.318944459192489,7.796172088393453,0.9600836062322836,4.869869510337292,-4.008684737911468,-5.604249402962702,6812571177108.882,-661161266127.4937,1221849620233.4602,-661161266123.53,-3009781530173.2144,2831879672250.2827,4472037926356.821,-661161266126.1036,7054967373.754643,-661161266126.0265,307451818943.6429,-661161266128.6486,-117488309877.74498,-661161266126.2855,-9589710700.92568,-661161266127.446,4489129752.383766,-661161266123.3828,53204009.21168771,-661161266126.3257,1518266.3293181662,-661161266125.3807,106157.13882983848,-13968.447201684115,591.2306859493256,-661161266124.3674,-0.26385498046875,-661161266124.2915,40147481674102.45,-661161266126.718,0.0,-661161266124.761,0.0,-661161266126.3242,0.0,-661161266126.0024,40147481674105.016,-661161266127.2091,0.0,-661161266126.6238,0.0,-661161266124.1631,0.0,0.0,0.0,-661161266126.373,0.0,-661161266129.9619,0.0,0.0,0.0,-661161266123.1415,0.0,-661161266127.0814,0.0,0.0,0.0,-661161266128.926,0.0,0.0,0.0,-661161266135.0024,0.0,-661161266126.8029,0.0,-661161266124.7842,0.0,-661161266126.8374,0.0,-661161266127.7458,0.0,0.0,40147481674109.14,-661161266126.0747,0.0,-661161266129.3127,0.0,0.0,0.0,-661161266126.1616
"Random Forest (100 estimators, 20 depth)",411,103,5.018036686973316,2.240097472650089,0.8815501153543903,38.06728934888759,6.169869475838819,0.2317370219901529,11.533980582524272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",411,103,10.227388137946344,3.198028789417998,0.7585842789251687,37.76015971475744,6.144929593962607,0.2379354230685526,11.533980582524272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",411,103,22.06866227834801,4.6977294811800325,0.4790730590034964,36.29692952126025,6.024693313460881,0.2674659098775097,11.533980582524272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),411,103,29.92854420496414,5.470698694404961,0.2935419109446057,46.33008571724241,6.806620726707373,0.0649796653929533,11.533980582524272,4.602070407382315,-0.8506748483009151,5.25152893461599,2.904133676199685,0.9590205073092892,4.922404623051295,0.7994802033043213,-4.563479100024365,0.0,-1.0326324902111808,0.0,2.564838898437005,0.0,0.0,0.0,0.3230212288770742,0.0,0.4189276340101858,0.0,-2.035480129895949,0.0,0.0301628282957834,0.0,-0.9130896440524932,0.0,2.850840275983152,0.0,0.1941909536425598,0.0,1.0863859244192284,0.0,0.0,0.0,1.9225831142359413,0.0,2.020015089994112,-3.2932676911629937,-0.1242563078463202,0.0,1.5527197951299807,0.0,0.2319518467931684,0.0,0.3877754265412111,-0.3035181676100734,-0.8745825497134853,0.0,-0.1077236087997309,0.0,2.176302187732968,0.0,0.0,0.0,0.038557640518768,0.0,-3.1084022000821285,0.0,0.0,0.0,2.919334373034683,0.0,-0.6472007053460903,0.0,0.0,0.0,-2.185261898144748,0.0,0.0,0.0,-5.651011868583919,0.0,-0.2736216963972896,0.0,1.5301661154482156,0.0,-0.2755793714685497,0.0,-1.05086848478758,0.0,0.0,3.596785858771675,0.4291579380856196,0.0,-2.615550411606732,0.0,0.0,0.0,0.2183300957566805
Ridge (lambda=0.1),411,103,29.77362122532458,5.456520981845904,0.2971988409775999,48.056065614968325,6.932248236681108,0.0301464403618993,11.533980582524272,4.38783170634806,-2.782105194640729,9.100172393282032,5.891096971533722,0.991998436097536,4.916468129379302,-2.035584707245862,-5.8724082453188,0.0,-0.9691644491421572,0.0,2.933677503881543,0.0,0.0,0.0,0.4211820196564864,0.0,0.5143534175552373,0.0,-2.087156180399694,0.0,0.2258692639918474,0.0,-0.9219812714575688,0.0,3.10253720222513,0.0,0.2137494184988014,0.0,1.1602124874097728,0.0,0.0,0.0,2.1297874267537806,0.0,2.218929525991616,-3.144627214035863,-0.1437471823824387,0.0,1.752190422420884,0.0,0.2212201627406299,0.0,0.521100726390808,-0.4711345425016391,-0.735947804235633,0.0,-0.0955348475869067,0.0,2.3616280375801546,0.0,0.0,0.0,0.1403335146269562,0.0,-3.359738073451972,0.0,0.0,0.0,3.325497490667198,0.0,-0.5620103134128259,0.0,0.0,0.0,-2.38085868193628,0.0,0.0,0.0,-8.058728337655968,0.0,-0.2667892904495513,0.0,1.711358834854774,0.0,-0.2922909125051401,0.0,-1.1552728943342248,0.0,0.0,3.615761756521944,0.4742013334746268,0.0,-2.7405701565313736,0.0,0.0,0.0,0.3419616067634806
Lasso (lambda=0.1),411,103,33.75038534910409,5.809508184786737,0.2033280143757722,43.43838398858904,6.59078022608773,0.123339149862955,11.533980582524272,7.162049081293697,0.0,0.0,0.0,0.504295635729213,4.219960017224693,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1462866159638967,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,2.247351204988232,0.0,0.0,-0.1176490425011667,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),411,103,41.39647726602002,6.434009423836743,0.022843342372569,50.49689805733544,7.106116946500068,-0.0191137311152378,11.533980582524272,10.107142857142858,-0.0,0.0,-0.0,0.0,0.4588948787062001,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",411,103,21.927297028045125,4.682659183417593,0.4824099611897128,35.10618133356057,5.925046947793796,0.2914972439805964,11.533980582524272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),411,103,29.96181336376122,5.473738518029631,0.29275659822818,46.349642520478085,6.808057176645778,0.0645849756698031,11.533980582524272,4.570563399573889,-0.0,5.389016668866651,3.3805593025834444,0.9462776866877052,4.912341815832023,0.0,-5.425123687490103,0.0,-0.8050839489058765,0.0,2.448589933713987,0.0,0.0,0.0,0.0,0.0,0.0972991120676272,0.0,-1.98551451770982,0.0,-0.0,0.0,-0.6960400610332446,0.0,2.6307718320974245,0.0,0.0,0.0,0.7698982481595208,0.0,0.0,0.0,1.638466564408415,0.0,1.8319518362973533,-2.8552141465040632,-0.0,0.0,1.2654063164483085,0.0,0.0,0.0,0.1283121315239427,0.0,-0.5945546091469146,0.0,-0.0,0.0,1.9563230334304416,0.0,0.0,0.0,0.0,0.0,-3.145093161299815,0.0,0.0,0.0,2.7020248190500835,0.0,-0.5179736907289395,0.0,0.0,0.0,-1.9162108841305656,0.0,0.0,0.0,-6.530297941355711,0.0,-0.0402215393938031,0.0,1.2634870623516965,0.0,-0.1705531202502115,0.0,-0.9767998541183358,0.0,0.0,3.826565239081466,0.0,0.0,-2.5908909033292464,0.0,0.0,0.0,0.0
