,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1996-01-24,24-140,CHH,,WSB,W (+14),0,15:00,5,7,0.714,1,1,1.0,4,4,1.0,0,2,2,4,0,0,0,3,15,14.3,
1,2,2,1996-01-26,24-142,CHH,@,NJN,L (-8),0,10:00,0,6,0.0,0,1,0.0,0,0,,1,0,1,4,0,0,1,1,0,-2.1,
2,3,3,1996-01-27,24-143,CHH,,PHI,W (+5),0,13:00,1,4,0.25,0,1,0.0,2,2,1.0,1,0,1,3,0,0,2,2,4,1.6,
3,4,4,1996-01-29,24-145,CHH,,CLE,W (+2),0,14:00,2,5,0.4,1,4,0.25,2,2,1.0,0,1,1,2,0,0,2,4,7,2.4,
4,5,5,1996-02-01,24-148,CHH,,HOU,L (-5),0,7:00,0,4,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,3,2,0,-6.3,
5,6,6,1996-02-04,24-151,CHH,@,ATL,L (-2),0,6:00,0,1,0.0,0,0,,0,0,,0,1,1,1,1,0,0,1,0,0.9,
6,7,7,1996-02-06,24-153,CHH,,SAS,L (-7),0,13:00,3,3,1.0,1,1,1.0,0,0,,0,0,0,1,0,0,2,1,7,4.4,
7,8,8,1996-02-08,24-155,CHH,,SAC,W (+10),0,16:00,1,5,0.2,0,1,0.0,1,1,1.0,0,0,0,6,0,0,1,3,3,1.9,
8,9,9,1996-02-14,24-161,CHH,,NYK,W (+20),0,2:00,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,0.0,
9,10,10,1996-02-18,24-165,CHH,,MIL,W (+23),0,7:00,1,2,0.5,0,0,,1,2,0.5,0,1,1,1,1,0,1,0,3,2.6,
10,11,11,1996-02-21,24-168,CHH,,WSB,W (+4),0,11:00,1,3,0.333,0,1,0.0,2,4,0.5,0,0,0,1,1,0,2,2,4,0.4,
