Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1990-01-29,8441,NJN,A,DAL,L (-20),0,4:00,2,3,.667,0,0,,1,1,1.000,0,1,1,1,0,0,0,0,5,4.7,
2,2,1990-01-30,8442,NJN,A,PHO,L (-25),0,9:00,0,3,.000,0,0,,1,2,.500,1,3,4,0,1,0,1,4,1,-1.5,
3,3,1990-02-01,8444,NJN,A,DEN,L (-11),0,1:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,
4,4,1990-02-02,8445,NJN,A,GSW,L (-19),0,8:00,0,4,.000,0,0,,2,2,1.000,0,2,2,2,1,0,1,2,2,0.4,
5,5,1990-02-04,8447,NJN,A,LAL,L (-16),0,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,
6,6,1990-02-14,8457,NJN,A,PHI,L (-10),0,5:00,1,2,.500,0,0,,2,4,.500,0,1,1,1,0,0,1,1,4,1.8,
7,7,1990-02-15,8458,NJN,H,SEA,L (-11),0,2:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,
8,8,1990-02-17,8460,NJN,H,DEN,L (-9),0,6:00,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,0,0,-0.3,
9,9,1990-02-23,8466,NJN,H,HOU,L (-10),0,7:00,1,3,.333,0,0,,0,0,,1,1,2,0,0,0,0,0,2,1.3,
10,10,1990-03-02,8473,NJN,A,CHI,L (-21),0,4:00,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,1,2,2.3,
11,11,1990-03-05,8476,NJN,H,SAC,W (+17),0,1:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,
