,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1992-11-06,22-347,LAL,@,LAC,W (+2),0,6:00,2,2,1.0,0,0,,0,3,0.0,1,0,1,1,0,0,1,2,4,1.8,
1,2,2,1992-11-08,22-349,LAL,,SAC,L (-10),0,15:00,3,5,0.6,1,1,1.0,7,10,0.7,0,1,1,0,0,0,2,3,14,7.6,
2,3,3,1992-11-10,22-351,LAL,@,GSW,W (+1),0,12:00,2,3,0.667,0,0,,5,5,1.0,0,2,2,1,1,0,2,3,9,6.8,
3,4,4,1992-11-12,22-353,LAL,@,SEA,L (-12),0,15:00,2,6,0.333,0,1,0.0,5,6,0.833,3,1,4,0,0,0,0,2,9,6.8,
4,5,5,1992-11-13,22-354,LAL,,LAC,L (-26),0,28:00,3,13,0.231,3,4,0.75,7,8,0.875,3,1,4,1,1,0,2,5,16,7.8,
5,6,6,1992-11-20,22-361,LAL,,CHI,W (+2),0,25:00,3,8,0.375,1,1,1.0,1,2,0.5,1,3,4,0,1,1,4,5,8,0.5,
6,7,7,1992-11-22,22-363,LAL,,DEN,W (+12),0,12:00,0,3,0.0,0,0,,1,2,0.5,2,1,3,0,1,0,1,3,1,-1.0,
7,8,8,1992-11-25,23-000,LAL,,NJN,L (-2),0,19:00,7,9,0.778,0,0,,0,0,,0,1,1,0,0,0,0,5,14,8.8,
8,9,9,1992-11-27,23-002,LAL,@,POR,W (+8),0,27:00,5,13,0.385,1,2,0.5,5,6,0.833,2,2,4,2,1,0,3,3,16,8.7,
9,10,10,1992-11-29,23-004,LAL,,DAL,W (+29),0,31:00,5,10,0.5,2,3,0.667,3,4,0.75,1,2,3,5,3,1,5,1,15,12.7,
10,11,11,1992-12-01,23-006,LAL,@,SAC,L (-7),0,20:00,6,9,0.667,1,3,0.333,0,0,,0,2,2,1,2,0,3,5,13,7.4,
11,12,12,1992-12-03,23-008,LAL,@,HOU,W (+6),0,26:00,4,8,0.5,0,0,,2,2,1.0,2,2,4,4,0,0,3,3,10,6.6,
12,13,13,1992-12-04,23-009,LAL,@,PHO,L (-10),0,24:00,3,7,0.429,1,3,0.333,2,2,1.0,1,2,3,1,0,0,2,2,9,4.5,
13,14,14,1992-12-06,23-011,LAL,,MIN,W (+22),0,41:00,3,7,0.429,0,1,0.0,2,4,0.5,1,7,8,5,1,0,3,3,8,6.6,
14,15,15,1992-12-09,23-014,LAL,,POR,W (+13),1,36:00,5,8,0.625,1,2,0.5,2,2,1.0,1,3,4,4,0,0,1,5,13,10.8,
15,16,16,1992-12-11,23-016,LAL,,WSB,W (+25),1,27:00,5,10,0.5,1,2,0.5,5,7,0.714,0,6,6,2,2,0,4,5,16,9.4,
16,17,17,1992-12-13,23-018,LAL,,MIL,W (+18),1,39:00,8,15,0.533,0,2,0.0,5,8,0.625,2,2,4,5,1,0,0,3,21,17.8,
17,18,18,1992-12-15,23-020,LAL,@,SAS,W (+6),1,20:00,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-2.1,
18,19,19,1992-12-16,23-021,LAL,@,DAL,L (-7),1,32:00,5,8,0.625,0,1,0.0,5,6,0.833,2,2,4,3,1,0,2,1,15,13.7,
19,20,20,1992-12-18,23-023,LAL,,PHO,L (-16),1,34:00,6,15,0.4,2,5,0.4,0,0,,0,2,2,3,3,0,0,3,14,10.4,
20,21,21,1992-12-19,23-024,LAL,@,DEN,W (+6),1,29:00,4,10,0.4,0,0,,0,0,,0,2,2,2,1,0,3,5,8,0.6,
21,22,22,1992-12-23,23-028,LAL,,SEA,L (-1),1,34:00,4,11,0.364,0,1,0.0,8,8,1.0,0,1,1,2,0,0,4,4,16,6.0,
