Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1993-11-05,23-122,LAL,,PHO,W (+8),1,14:00,1,4,.250,0,0,,0,0,,0,3,3,0,3,1,1,5,2,1.2,
2,2,1993-11-06,23-123,LAL,@,SEA,L (-28),1,33:00,6,11,.545,0,0,,4,7,.571,1,3,4,0,2,1,1,1,16,12.4,
3,3,1993-11-09,23-126,LAL,,POR,L (-7),1,17:00,4,9,.444,0,0,,1,2,.500,3,3,6,0,1,0,2,5,9,3.9,
4,4,1993-11-10,23-127,LAL,@,SAC,L (-11),1,14:00,1,3,.333,0,0,,0,0,,2,0,2,1,1,1,2,1,2,1.7,
5,5,1993-11-12,23-129,LAL,,DEN,L (-29),1,16:00,1,6,.167,0,0,,0,2,.000,1,3,4,1,0,1,1,1,2,-1.0,
6,6,1993-11-14,23-131,LAL,,CLE,W (+7),0,16:00,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,0,4,4,1.7,
7,7,1993-11-16,23-133,LAL,,LAC,W (+2),0,12:00,3,9,.333,0,0,,0,0,,3,2,5,1,0,1,0,2,6,4.2,
8,8,1993-11-18,23-135,LAL,@,GSW,L (-27),0,11:00,1,4,.250,0,0,,0,0,,3,1,4,0,0,2,1,0,2,2.4,
9,9,1993-11-21,23-138,LAL,@,NJN,L (-3),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
10,10,1993-11-23,23-140,LAL,@,ATL,L (-9),0,5:00,1,2,.500,0,0,,0,0,,0,2,2,0,0,1,0,1,2,1.9,
11,11,1993-11-24,23-141,LAL,@,CHH,L (-17),0,3:00,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,0,1,0,0.9,
12,12,1993-12-01,23-148,LAL,,DAL,W (+33),0,12:00,2,4,.500,0,0,,0,0,,1,0,1,0,0,2,0,1,4,3.7,
13,13,1993-12-07,23-154,LAL,,NYK,L (-14),0,2:00,0,0,,0,0,,2,4,.500,2,0,2,0,0,1,0,0,2,3.3,
14,14,1993-12-10,23-157,LAL,@,POR,L (-18),0,1:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,
15,15,1993-12-16,23-163,LAL,@,NYK,L (-23),0,4:00,1,3,.333,0,0,,1,2,.500,2,0,2,0,0,0,0,2,3,1.5,
16,16,1993-12-17,23-164,LAL,@,PHI,L (-11),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,
17,17,1993-12-19,23-166,LAL,@,CLE,L (-30),0,8:00,1,3,.333,0,0,,0,3,.000,0,1,1,0,0,1,1,1,2,-1.3,
18,18,1993-12-23,23-170,LAL,@,MIA,L (-17),0,3:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-1.0,
19,19,1993-12-26,23-173,LAL,,HOU,L (-25),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
20,20,1994-01-04,23-182,LAL,@,DEN,W (+1),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
21,21,1994-01-05,23-183,LAL,@,SAC,L (-8),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
22,22,1994-04-08,23-276,LAL,,DEN,L (-13),0,12:00,1,3,.333,0,0,,0,0,,2,1,3,0,0,2,1,1,2,2.0,
23,23,1994-04-09,23-277,LAL,@,POR,L (-8),0,19:00,0,3,.000,0,0,,3,4,.750,1,3,4,1,1,0,1,4,3,1.2,
24,24,1994-04-12,23-280,LAL,,GSW,L (-11),0,6:00,0,0,,0,0,,0,0,,1,1,2,0,0,2,0,3,0,1.2,
25,25,1994-04-13,23-281,LAL,@,PHO,L (-29),0,15:00,1,4,.250,0,0,,0,0,,0,3,3,0,0,1,2,4,2,-2.4,
26,26,1994-04-15,23-283,LAL,,POR,L (-5),0,4:00,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,0,0,1,1.2,
27,27,1994-04-16,23-284,LAL,@,LAC,L (-5),1,14:00,3,6,.500,0,0,,0,0,,2,0,2,0,0,2,1,2,6,4.0,
1,1,1994-11-04,24-121,LAL,@,DET,W (+17),0,1:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,
2,2,1994-11-05,24-122,LAL,@,MIL,L (-1),0,4:00,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,1,2,2.3,
3,3,1994-11-09,24-126,LAL,@,MIN,W (+23),0,4:00,0,2,.000,0,0,,2,2,1.000,0,3,3,0,0,0,0,2,2,0.7,
4,4,1994-11-11,24-128,LAL,,DEN,L (-7),0,14:00,2,4,.500,1,1,1.000,1,2,.500,1,1,2,1,0,3,0,2,6,6.6,
5,5,1994-11-12,24-129,LAL,@,GSW,L (-22),0,23:00,4,9,.444,0,0,,1,1,1.000,0,4,4,2,0,0,1,5,9,3.9,
6,6,1994-11-15,24-132,LAL,@,LAC,W (+10),0,14:00,4,6,.667,0,0,,0,0,,1,2,3,2,0,1,0,2,8,8.0,
7,7,1994-11-16,24-133,LAL,,NYK,L (-21),0,10:00,0,2,.000,0,0,,0,0,,1,1,2,1,0,0,2,1,0,-2.1,
8,8,1994-11-18,24-135,LAL,,CLE,W (+2),0,6:00,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.8,
9,9,1994-11-23,24-140,LAL,,DAL,W (+12),1,43:00,8,15,.533,0,0,,0,2,.000,1,5,6,2,2,3,1,3,16,13.4,
10,10,1994-11-25,24-142,LAL,@,ATL,W (+5),0,33:00,6,12,.500,0,0,,1,3,.333,3,2,5,0,1,2,3,2,13,7.5,
11,11,1994-11-26,24-143,LAL,@,WSB,W (+16),0,12:00,0,3,.000,0,0,,0,0,,2,2,4,1,0,1,0,4,0,-0.3,
12,12,1994-11-29,24-146,LAL,@,NJN,W (+9),0,14:00,0,3,.000,0,0,,0,0,,1,0,1,0,0,1,0,3,0,-1.9,
13,13,1994-11-30,24-147,LAL,@,CLE,L (-38),0,20:00,1,6,.167,0,0,,0,0,,2,3,5,0,0,0,0,2,2,-0.3,
14,14,1994-12-02,24-149,LAL,,HOU,W (+18),0,8:00,0,2,.000,0,0,,1,2,.500,0,1,1,0,0,1,0,0,1,0.2,
15,15,1994-12-06,24-153,LAL,,GSW,W (+12),0,10:00,2,2,1.000,0,0,,0,2,.000,0,1,1,2,1,0,0,1,4,4.9,
16,16,1994-12-09,24-156,LAL,,LAC,L (-25),0,19:00,0,4,.000,0,0,,0,0,,4,3,7,0,0,3,2,1,0,0.6,
17,17,1994-12-10,24-157,LAL,@,UTA,W (+7),0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,1,0,-0.4,
18,18,1994-12-13,24-160,LAL,@,DAL,W (+7),0,5:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,2,2,1.9,
19,19,1994-12-20,24-167,LAL,,MIN,W (+13),0,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
20,20,1994-12-23,24-170,LAL,,SAC,W (+11),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
21,21,1994-12-27,24-174,LAL,@,GSW,L (-24),0,12:00,2,5,.400,0,0,,2,4,.500,2,1,3,1,1,1,1,3,6,4.4,
22,22,1995-01-03,24-181,LAL,,DET,W (+9),0,7:00,2,3,.667,0,0,,1,2,.500,0,2,2,0,0,1,0,1,5,4.2,
23,23,1995-01-06,24-184,LAL,,MIL,W (+8),0,4:00,0,1,.000,0,0,,1,2,.500,0,1,1,0,1,0,0,0,1,1.2,
24,24,1995-01-08,24-186,LAL,,MIA,W (+17),0,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,
25,25,1995-01-09,24-187,LAL,@,POR,L (-46),0,13:00,2,6,.333,0,0,,0,0,,1,1,2,1,1,2,2,0,4,2.7,
26,26,1995-01-16,24-194,LAL,,LAC,W (+8),0,9:00,0,2,.000,0,0,,0,0,,1,1,2,0,0,1,0,1,0,-0.1,
27,27,1995-01-21,24-199,LAL,@,PHI,L (-4),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-0.4,
28,28,1995-01-23,24-201,LAL,@,CHH,W (+6),0,4:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.1,
29,29,1995-01-25,24-203,LAL,,NJN,W (+4),0,2:00,2,3,.667,0,0,,0,0,,3,0,3,0,0,0,0,0,4,4.8,
30,30,1995-02-01,24-210,LAL,@,PHO,L (-9),1,36:00,7,10,.700,0,0,,4,4,1.000,1,4,5,0,1,3,1,3,18,16.6,
31,31,1995-02-03,24-212,LAL,,DEN,L (-14),1,16:00,1,3,.333,0,0,,0,0,,1,0,1,0,2,0,1,3,2,0.8,
32,32,1995-02-04,24-213,LAL,@,LAC,W (+3),1,14:00,2,4,.500,0,0,,0,0,,2,1,3,0,0,1,2,4,4,0.8,
33,33,1995-02-07,24-216,LAL,@,DEN,W (+2),1,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,2,0,2,0,0.6,
34,34,1995-02-08,24-217,LAL,,SAS,W (+16),1,15:00,2,4,.500,0,0,,0,0,,1,0,1,0,1,1,1,2,4,2.6,
35,35,1995-02-15,24-224,LAL,,SEA,W (+6),1,17:00,2,3,.667,0,0,,2,4,.500,0,2,2,1,0,3,0,2,6,6.5,
36,36,1995-02-16,24-225,LAL,@,SAC,L (-16),1,7:00,1,4,.250,0,0,,0,0,,0,1,1,0,0,0,1,2,2,-1.9,
37,37,1995-02-19,24-228,LAL,,POR,W (+10),0,13:00,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,1.3,
38,38,1995-02-20,24-229,LAL,@,SEA,W (+3),0,7:00,2,2,1.000,0,0,,1,1,1.000,0,1,1,0,1,0,0,1,5,5.3,
39,39,1995-02-22,24-231,LAL,,PHI,W (+12),0,8:00,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-1.6,
