,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1994-11-04,22-173,PHO,@,SAC,L (-18),0,6:00,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,
1,2,2,1994-11-09,22-178,PHO,,ATL,W (+4),0,3:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,
2,3,3,1994-11-12,22-181,PHO,@,LAC,W (+7),0,3:00,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,
3,4,4,1995-02-15,22-276,PHO,,POR,W (+7),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
4,5,5,1995-02-21,22-282,PHO,,BOS,L (-8),0,10:00,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,1,2,2,-0.1,
5,6,6,1995-02-24,22-285,PHO,,LAC,W (+12),0,15:00,2,3,0.667,0,0,,2,2,1.0,1,0,1,0,0,2,3,2,6,3.0,
6,7,7,1995-02-28,22-289,PHO,@,LAC,L (-11),0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-0.9,
7,8,8,1995-03-05,22-294,PHO,@,GSW,W (+10),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
8,9,9,1995-03-07,22-296,PHO,@,HOU,W (+11),0,1:00,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,
9,10,10,1995-03-10,22-299,PHO,,IND,L (-15),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
10,11,11,1995-03-14,22-303,PHO,,DET,W (+7),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
11,12,12,1995-03-21,22-310,PHO,@,ORL,L (-24),0,4:00,0,2,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,
12,1,1,1996-01-12,23-242,CLE,@,DEN,L (-7),0,4:00,0,0,,0,0,,2,2,1.0,1,0,1,0,0,1,0,2,2,2.6,
13,2,2,1996-01-14,23-244,CLE,@,PHO,W (+15),0,4:00,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,2,2,0.2,
14,3,3,1996-01-18,23-248,CLE,@,VAN,W (+8),0,5:00,0,0,,0,0,,2,2,1.0,0,0,0,1,0,0,0,2,2,1.9,
15,4,4,1996-01-20,23-250,CLE,@,LAL,W (+11),0,10:00,2,2,1.0,0,0,,3,4,0.75,1,0,1,1,1,0,0,2,7,7.6,
16,5,5,1996-01-21,23-251,CLE,@,POR,L (-7),0,14:00,1,1,1.0,0,0,,2,2,1.0,0,0,0,0,0,1,1,1,4,3.0,
17,6,6,1996-01-23,23-253,CLE,,ATL,L (-12),0,16:00,3,5,0.6,0,0,,3,5,0.6,3,0,3,0,1,2,1,2,9,8.6,
18,7,7,1996-01-24,23-254,CLE,@,PHI,W (+3),0,11:00,2,2,1.0,0,0,,0,0,,0,1,1,0,0,1,0,2,4,3.6,
19,8,8,1996-01-27,23-257,CLE,,MIA,L (-17),0,3:00,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,
20,9,9,1996-01-29,23-259,CLE,@,CHH,L (-2),0,24:00,6,7,0.857,0,0,,2,4,0.5,1,5,6,1,1,0,2,1,14,12.2,
21,10,10,1996-01-31,23-261,CLE,,MIL,W (+10),0,10:00,1,3,0.333,0,0,,2,3,0.667,0,1,1,1,0,0,1,2,4,1.1,
22,11,11,1996-02-02,23-263,CLE,,PHO,W (+22),0,14:00,4,5,0.8,0,0,,0,0,,1,1,2,1,0,1,2,1,8,6.1,
23,12,12,1996-02-03,23-264,CLE,@,MIL,W (+23),0,12:00,2,3,0.667,0,0,,0,0,,0,2,2,0,1,0,0,4,4,2.7,
24,13,13,1996-02-06,23-267,CLE,,BOS,W (+18),0,12:00,1,2,0.5,0,0,,3,3,1.0,0,1,1,0,1,0,1,4,5,2.7,
25,14,14,1996-02-13,23-274,CLE,,CHH,W (+10),0,6:00,1,1,1.0,0,0,,0,0,,2,0,2,0,0,0,1,0,2,2.1,
26,15,15,1996-02-15,23-276,CLE,@,TOR,W (+19),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
27,16,16,1996-02-20,23-281,CLE,@,CHI,L (-26),0,5:00,0,0,,0,0,,0,2,0.0,0,0,0,0,1,0,1,1,0,-1.2,
28,17,17,1996-02-22,23-283,CLE,,HOU,L (-6),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
29,18,18,1996-02-24,23-285,CLE,,NJN,W (+29),0,5:00,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.9,
30,19,19,1996-02-29,23-290,CLE,@,MIL,W (+9),0,11:00,2,4,0.5,0,0,,2,3,0.667,0,2,2,2,0,0,0,1,6,5.2,
31,20,20,1996-03-01,23-291,CLE,@,ATL,L (-6),0,13:00,2,2,1.0,0,0,,3,3,1.0,0,1,1,1,0,0,0,0,7,7.4,
32,21,21,1996-03-03,23-293,CLE,,TOR,L (-11),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
33,22,22,1996-03-05,23-295,CLE,,SEA,L (-6),0,18:00,2,6,0.333,0,0,,2,3,0.667,0,1,1,0,1,1,0,2,6,3.4,
34,23,23,1996-03-07,23-297,CLE,,ATL,L (-11),0,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,3,0,-1.5,
35,24,24,1996-03-08,23-298,CLE,@,BOS,W (+5),0,5:00,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-2.6,
36,25,25,1996-03-14,23-304,CLE,,BOS,W (+25),0,4:00,1,2,0.5,0,1,0.0,0,0,,1,1,2,0,0,1,0,0,2,2.7,
37,26,26,1996-03-17,23-307,CLE,,SAC,W (+31),0,6:00,0,2,0.0,0,0,,0,0,,1,2,3,0,0,1,0,1,0,0.2,
38,27,27,1996-03-19,23-309,CLE,@,DAL,W (+9),0,5:00,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,2,2,0.2,
39,28,28,1996-03-21,23-311,CLE,@,HOU,W (+13),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
40,29,29,1996-03-22,23-312,CLE,@,UTA,L (-13),0,18:00,1,3,0.333,0,0,,2,2,1.0,3,2,5,1,2,1,3,4,4,3.8,
41,30,30,1996-03-24,23-314,CLE,,VAN,W (+5),0,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,3,0,-1.9,
