,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,2,1,2009-10-30,21-147,DET,,OKC,L (-8),0,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
1,4,2,2009-11-03,21-151,DET,,ORL,W (+5),0,4:20,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,1.0,-8
2,5,3,2009-11-04,21-152,DET,@,TOR,L (-11),0,16:47,2,6,0.333,1,3,0.333,0,0,,0,3,3,1,1,2,1,5,5,2.6,-8
3,6,4,2009-11-06,21-154,DET,@,ORL,L (-7),0,18:26,5,7,0.714,1,2,0.5,0,0,,0,5,5,0,1,1,1,1,11,9.9,-2
4,7,5,2009-11-08,21-156,DET,,PHI,W (+7),0,14:57,3,8,0.375,0,4,0.0,1,2,0.5,0,0,0,0,0,0,0,0,7,2.2,-3
5,8,6,2009-11-11,21-159,DET,,CHA,W (+23),0,20:03,1,3,0.333,0,0,,0,0,,2,3,5,1,0,1,4,3,2,-1.2,-7
6,9,7,2009-11-14,21-162,DET,@,WAS,W (+3),0,4:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,8
7,10,8,2009-11-15,21-163,DET,,DAL,L (-5),0,10:25,1,2,0.5,0,0,,0,0,,0,5,5,0,0,0,1,0,2,1.5,4
8,11,9,2009-11-17,21-165,DET,@,LAL,L (-13),0,3:34,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,2,0,2,-0.3,-2
9,12,10,2009-11-18,21-166,DET,@,POR,L (-6),0,19:10,3,5,0.6,1,2,0.5,0,0,,2,0,2,0,0,0,1,3,7,3.9,10
10,13,11,2009-11-21,21-169,DET,@,UTA,L (-3),0,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2
11,14,12,2009-11-22,21-170,DET,@,PHO,L (-26),0,12:13,3,5,0.6,1,2,0.5,1,1,1.0,1,2,3,1,1,0,0,0,8,8.7,-5
12,15,13,2009-11-25,21-173,DET,,CLE,L (-10),0,21:33,4,8,0.5,1,3,0.333,0,0,,0,3,3,0,0,1,0,2,9,5.8,5
13,16,14,2009-11-27,21-175,DET,,LAC,L (-8),1,33:29,4,11,0.364,1,2,0.5,4,6,0.667,2,3,5,1,0,0,2,2,13,6.3,-8
14,17,15,2009-11-29,21-177,DET,,ATL,W (+6),0,11:14,1,2,0.5,0,0,,0,0,,1,3,4,0,1,0,2,3,2,0.4,-3
15,18,16,2009-12-02,21-180,DET,@,CHI,L (-7),0,14:56,2,5,0.4,1,2,0.5,0,0,,0,1,1,0,1,1,1,2,5,2.5,3
16,19,17,2009-12-04,21-182,DET,,MIL,W (+9),0,12:08,1,3,0.333,0,1,0.0,0,0,,0,5,5,0,0,1,1,0,2,1.5,0
17,20,18,2009-12-06,21-184,DET,,WAS,W (+4),0,12:23,5,5,1.0,1,1,1.0,0,0,,0,2,2,0,0,0,0,2,11,9.3,4
18,21,19,2009-12-09,21-187,DET,@,PHI,W (+4),0,9:19,0,2,0.0,0,0,,0,0,,1,0,1,0,0,1,0,2,0,-0.8,-9
19,22,20,2009-12-10,21-188,DET,,DEN,W (+2),0,22:53,3,6,0.5,1,2,0.5,0,0,,0,1,1,1,0,1,0,2,7,4.9,4
20,23,21,2009-12-12,21-190,DET,,GSW,W (+9),0,11:34,1,2,0.5,0,1,0.0,0,0,,0,2,2,0,0,2,1,1,2,1.6,-5
21,24,22,2009-12-15,21-193,DET,@,HOU,L (-11),0,18:00,5,8,0.625,0,1,0.0,0,0,,2,1,3,0,0,1,0,2,10,8.0,-9
22,25,23,2009-12-16,21-194,DET,@,NOH,L (-8),0,25:11,3,8,0.375,2,5,0.4,1,2,0.5,0,3,3,0,1,0,0,1,9,5.7,5
23,26,24,2009-12-18,21-196,DET,@,OKC,L (-11),0,20:26,1,3,0.333,1,2,0.5,1,2,0.5,0,0,0,0,0,1,1,6,4,-0.8,-6
24,27,25,2009-12-20,21-198,DET,,LAL,L (-12),0,20:56,5,10,0.5,0,1,0.0,0,0,,0,4,4,3,1,0,3,2,10,5.5,-7
25,28,26,2009-12-22,21-200,DET,@,CHA,L (-12),0,22:30,1,7,0.143,1,4,0.25,1,2,0.5,1,6,7,1,2,1,1,4,4,2.4,-2
26,29,27,2009-12-23,21-201,DET,,TOR,L (-30),0,11:27,1,5,0.2,0,0,,0,0,,1,2,3,0,0,0,0,0,2,0.2,-9
27,30,28,2009-12-27,21-205,DET,@,TOR,L (-7),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
28,31,29,2009-12-29,21-207,DET,,NYK,L (-17),0,9:01,1,4,0.25,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,2,-0.1,-4
29,32,30,2009-12-31,21-209,DET,,CHI,L (-11),0,2:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2
30,34,31,2010-01-06,21-215,DET,@,SAS,L (-20),0,3:50,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4
31,35,32,2010-01-09,21-218,DET,,PHI,L (-10),0,18:04,4,5,0.8,2,2,1.0,0,0,,3,4,7,3,0,1,0,5,10,12.2,10
32,36,33,2010-01-11,21-220,DET,@,CHI,L (-33),0,18:03,3,6,0.5,0,0,,4,4,1.0,2,4,6,0,0,1,1,2,10,8.5,0
33,37,34,2010-01-12,21-221,DET,@,WAS,W (+9),0,1:20,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,1
34,38,35,2010-01-15,21-224,DET,,NOH,W (+6),0,14:41,4,6,0.667,2,2,1.0,2,2,1.0,0,1,1,1,0,0,1,2,12,8.6,-11
35,39,36,2010-01-16,21-225,DET,,NYK,W (+4),0,10:35,0,1,0.0,0,0,,2,2,1.0,1,2,3,0,0,0,0,4,2,1.0,-1
36,40,37,2010-01-18,21-227,DET,@,NYK,L (-8),1,32:01,7,14,0.5,0,6,0.0,2,4,0.5,2,4,6,2,1,0,2,4,16,9.6,7
37,41,38,2010-01-20,21-229,DET,,BOS,W (+6),0,25:27,3,9,0.333,1,4,0.25,1,2,0.5,0,8,8,2,1,1,1,4,8,5.4,7
38,42,39,2010-01-22,21-231,DET,,IND,L (-12),0,7:49,3,4,0.75,0,0,,0,0,,0,3,3,0,1,0,0,0,6,6.3,7
39,43,40,2010-01-23,21-232,DET,,POR,L (-4),0,4:11,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-10
40,45,41,2010-01-29,21-238,DET,,MIA,L (-27),0,6:05,0,2,0.0,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-0.7,0
41,46,42,2010-01-31,21-240,DET,,ORL,L (-5),0,4:16,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-4
