model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,181,46,14.444741107519796,3.800623778739458,0.3987429599553579,27.87587811424269,5.279761179659805,-0.1048430001074689,7.173913043478261,1.6753315632631125,6.302802681100123,6.302802681100124,17.16771829699453,0.6639948023621041,5.366894066645017,-3.578773406190865,-12.328165993211677,-5.3290705182007506e-15,-2.578415162067057,-6.032854589626609,0.0564093544323283,4.440892098500626e-15,0.17384263612165,0.0,-1.9225441029409025,-8.881784197001252e-16,0.0563421436474871,-8.881784197001252e-16,0.4255484649837104,2.664535259100376e-15,2.664535259100376e-15,7.105427357601002e-15,-1.285707728812172,-8.881784197001252e-16,4.440892098500626e-16,5.275851324138922,1.4169642148310206,4.440892098500626e-16,1.1102230246251563e-16,-4.440892098500626e-16,0.0,2.220446049250313e-16,-1.5394247507397898,0.0,0.0,0.9752629335774984,1.881391204470017,0.0,1.5628424889973949,0.0,-1.641665555151274,-0.2182596680897927,0.2814740482223107,0.0,-0.3240620559869001,0.0,-0.2593233356694484,0.0,-3.0206739082851133,0.0,0.0,0.0,0.0,0.0,-0.3453746398485968,0.0,0.0,0.0,0.0,0.0,-1.863730044761725,0.0,2.92713473751491,0.0,5.543321322665896,0.0,0.0,0.0,0.0,0.0,-1.0718868720854329,0.0,0.0,0.0,1.2320634926024845,0.0,0.7705170085026749,0.0,0.0,0.0,-1.0473035233406782,0.0,1.3050872692835662,0.0,0.0,0.0,-0.7328267065863148
"Random Forest (100 estimators, 20 depth)",181,46,2.625726883372953,1.6204094801539988,0.8907050834548644,22.17870862272338,4.70942763217818,0.12096075062406,7.173913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",181,46,3.9761757575752967,1.9940350442194583,0.8344931453667656,21.784849495105306,4.6674242891669175,0.1365711108930315,7.173913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",181,46,9.253761228297288,3.041999544427528,0.6148155897020964,21.416815741773068,4.627830565370028,0.1511578985990894,7.173913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),181,46,15.105788876200476,3.8866166361245966,0.3712270895242743,25.038185169278183,5.003817059933165,0.0076271855437056,7.173913043478261,4.9525225983244665,2.293215106051927,2.293215106051929,2.797148390222133,0.5821483492469527,5.534143389122774,-0.0835640898797454,-4.869977513149085,0.0,-2.6383042963023464,-1.5966328519442237,0.0324131218167125,0.0,0.0172657087276137,0.0,-1.2179016699544771,0.0,0.0108388770876444,0.0,0.414575208322711,0.0,0.0,0.0,-1.0843606340175722,0.0,0.0,1.873771005674487,0.9810845505310576,0.0,0.0,0.0,0.0,0.0,-1.3197832867161354,0.0,0.0,-0.4401189920592537,1.7012533180201634,0.0,1.5256570622962269,0.0,-1.1810161131992716,0.1629808383286387,-0.0516478296433922,0.0,-0.2188897418126737,0.0,-0.3408929890143519,0.0,-1.2133031561729126,0.0,0.0,0.0,0.0,0.0,-0.4676858529913227,0.0,0.0,0.0,0.0,0.0,-1.7366805365771238,0.0,2.05609346747332,0.0,4.077302275194709,0.0,0.0,0.0,0.0,0.0,-0.6783699557814747,0.0,0.0,0.0,1.1834791799601831,0.0,1.1030961062567295,0.0,0.0,0.0,-1.1695656715737404,0.0,1.1025850647387083,0.0,0.0,0.0,-0.8872422066692418
Ridge (lambda=0.1),181,46,14.503239526165125,3.808311899800898,0.3963079847778746,27.00472792065302,5.196607347169211,-0.0703155068573799,7.173913043478261,2.8574437335144016,5.490675090027392,5.490675090027272,10.58912706813997,0.6588224813098003,5.458194846722037,-0.1230888063857284,-11.121123519882376,0.0,-2.6622141596773767,-4.560757420970667,0.0255293063993322,0.0,0.1093688459450435,0.0,-1.8132026828188907,0.0,0.0242437441036482,0.0,0.418012063731188,0.0,0.0,0.0,-1.1959979834428245,0.0,0.0,4.170651363772219,1.2740493182759134,0.0,0.0,0.0,0.0,0.0,-1.6168119083471924,0.0,0.0,0.4839456725839435,1.875007255120576,0.0,1.6201060026231895,0.0,-1.5408519018157476,-0.0938396153928009,0.1732706069798615,0.0,-0.2936536297828152,0.0,-0.2662064565824121,0.0,-2.653422903668966,0.0,0.0,0.0,0.0,0.0,-0.3969730773301509,0.0,0.0,0.0,0.0,0.0,-1.824821119667532,0.0,2.804845147711592,0.0,5.362705248622953,0.0,0.0,0.0,0.0,0.0,-0.9929259933969184,0.0,0.0,0.0,1.2948651618057925,0.0,0.9017068987781116,0.0,0.0,0.0,-1.0953082973447965,0.0,1.283380356341268,0.0,0.0,0.0,-0.8146998425658888
Lasso (lambda=0.1),181,46,17.816411377359202,4.220949108596217,0.2583984240886127,22.15987211500318,4.707427335074136,0.1217073238303226,7.173913043478261,4.893505236136834,0.0,0.0,-0.0,0.2442367301141504,5.316663198751962,-0.0,-0.0,0.0,-0.3306058668149945,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.239910104962493,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.1229661900621729,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.4180436211379941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.1510352517171432,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),181,46,24.024236134428136,4.9014524515115045,0.0,25.78263391121204,5.077660279224284,-0.0218785748880774,7.173913043478261,6.430939226519337,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",181,46,8.655646292600693,2.942047975917574,0.6397119040885281,21.163463320468985,4.600376432474737,0.1611993634128946,7.173913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),181,46,14.78732492026653,3.8454290944271134,0.3844830346520184,25.129678230751715,5.012951050105288,0.0040009152567873,7.173913043478261,4.1488985470054445,8.545914190505512,1.242865863166378e-13,5.811719528967083,0.589913806742542,5.554351713168264,0.0,-8.784518819509488,0.0,-2.440185889848377,-2.181219382993988,0.0142733855689372,0.0,0.0581863700551174,0.0,-1.1024338750019007,0.0,0.0,0.0,0.4898492259051361,0.0,0.0,0.0,-0.8222473957390717,0.0,0.0,2.783347783482206,1.100308901006741,0.0,0.0,0.0,0.0,0.0,-0.9360929878060312,0.0,0.0,-0.0,1.8438533225953169,0.0,1.2056700314475266,0.0,-1.067118991653706,0.0,0.0129909142730838,0.0,-0.0,0.0,-0.0173340317827291,0.0,-0.6453100161611506,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.5640635674689651,0.0,2.445420552468679,0.0,5.139295972918558,0.0,0.0,0.0,0.0,0.0,-0.3936384275489195,0.0,0.0,0.0,0.9766652104044128,0.0,1.056279472662945,0.0,0.0,0.0,-0.8182349319247245,0.0,1.0394722824286555,0.0,0.0,0.0,-0.4093793280065109
