model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,597,150,25.60577288744238,5.06021470764259,0.3445623345778921,34.348412898381554,5.860751905547748,0.2188808467620933,10.0,-3641712143062.98,-1.094672508946852,5.414555259260467,5.279022897961461,-0.0267736706304313,5.239837171366579,-5.040932715784397,-3.3448167652919896,2793013221707.4463,848698921361.2599,-1918246705068.5696,848698921361.7617,747992322723.9806,848698921363.3722,1059916428627.7852,848698921363.597,-738154870760.5355,848698921364.5626,304172830725.70654,848698921363.821,25343530316.47295,7091163587.922077,-4499340690.47281,848698921363.5537,1661510960.7396312,848698921362.7408,134591431.9278834,848698921361.5508,-2295225.774329053,848698921362.4794,268054.6216377353,-1907.0174558556755,3236.8525753095746,848698921363.1559,-25.494174659252167,848698921361.9459,0.2921066284179687,848698921363.0073,0.0,848698921362.1952,0.0,848698921362.4841,0.0,848698921361.4492,0.0,848698921362.7712,0.0,848698921362.9434,2793013221704.576,848698921362.6107,0.0,848698921361.8445,0.0,0.0,0.0,848698921362.1335,0.0,0.0,0.0,0.0,0.0,848698921360.3616,2793013221704.4253,848698921363.1595,0.0,848698921362.9995,0.0,0.0,0.0,0.0,0.0,848698921364.0537,0.0,0.0,0.0,848698921362.9192,0.0,848698921361.3589,0.0,0.0,2793013221708.163,848698921362.8184,0.0,848698921362.3832,0.0,0.0,0.0,848698921363.7344
"Random Forest (100 estimators, 20 depth)",597,150,4.784865041235542,2.1874334369839787,0.8775205581267445,30.41336134433269,5.51483103497584,0.3083680713083833,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",597,150,11.358073980027552,3.370174176511884,0.709264409792067,28.58931823381047,5.346898001066644,0.3498487363445163,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",597,150,19.879582614636565,4.458652555945188,0.4911371245937505,28.278115960129764,5.3177171756431125,0.3569258044239745,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),597,150,25.62619346779179,5.062232063802665,0.3440396236419786,34.18438658630627,5.846741535787799,0.2226109781767828,10.0,5.876860158975147,1.32386019073674,2.0790633304073483,0.7440851335392045,-0.0233102532701819,5.320728562322337,-0.8209999749030318,-2.736145403377245,1.496060144929964,-1.3025727579490771,0.0,-0.7924718450751843,0.0,0.7497435161825869,0.0,0.951358793678516,0.0,1.772550629501895,0.0,1.1907666132967814,0.0,0.0,0.0,0.8258805476723289,0.0,0.1111266779657541,0.0,-1.0197816171556335,0.0,-0.1100957915489667,0.0,0.0,0.0,0.490488553000956,0.0,-0.665022397878112,0.0,0.3163170523622678,0.0,-0.3804539040598829,0.0,-0.1106730626741951,0.0,-1.1763283310206554,0.0,0.0957719655658979,0.0,0.311061438801891,-1.852846589841572,-0.0434423324046264,0.0,-0.7621265797688322,0.0,0.0,0.0,-0.4838333261070692,0.0,0.0,0.0,0.0,0.0,-2.166703118217421,-1.6590877614613244,0.5401269324601361,0.0,0.3450563189769406,0.0,0.0,0.0,0.0,0.0,1.347513302355694,0.0,0.0,0.0,0.2922011898476493,0.0,-1.2277070055181227,0.0,0.0,2.0158742063722546,0.117319227814141,0.0,-0.2236177217460814,0.0,0.0,0.0,1.007547031640391
Ridge (lambda=0.1),597,150,25.60858157010925,5.060492226069441,0.3444904399930976,34.28468865831765,5.855312857424242,0.2203300032220062,10.0,5.80890658231165,0.5450265971297622,3.62801202571245,3.2804303111548747,-0.023319143103722,5.261907067973741,-3.0543796106503343,-3.4129713118466944,1.3742909999175708,-1.379705342110968,0.0,-0.85578475746572,0.0,0.7480722298226592,0.0,0.970570135944602,0.0,1.9032367927833225,0.0,1.2040009211838572,0.0,0.0,0.0,0.8961080198257064,0.0,0.1048392186371983,0.0,-1.072791256830682,0.0,-0.1249148830519462,0.0,0.0,0.0,0.5148388865784017,0.0,-0.6905259282319635,0.0,0.3510606230044255,0.0,-0.4247298123999342,0.0,-0.135876098642507,0.0,-1.1882009180534707,0.0,0.1196524338178893,0.0,0.3106155675109231,-1.6772031794667763,-0.0325380796279879,0.0,-0.8125246290655971,0.0,0.0,0.0,-0.4939159195679237,0.0,0.0,0.0,0.0,0.0,-2.2497391141585585,-1.7476422002462728,0.534730083723076,0.0,0.3586809200420189,0.0,0.0,0.0,0.0,0.0,1.4075686920193158,0.0,0.0,0.0,0.2947645102632221,0.0,-1.2617559013198758,0.0,0.0,2.050554379788476,0.1772491265432696,0.0,-0.2509260027920899,0.0,0.0,0.0,1.0779404816194595
Lasso (lambda=0.1),597,150,27.18513259882001,5.213936382314231,0.3041350509869031,32.2467251184847,5.678620001240152,0.266675444546285,10.0,7.437941786036125,0.0,0.038711247869526,-0.8024797475896419,0.0,5.681176016664376,-0.0,-0.0,0.0362244419883815,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0945179902333562,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0036291229290721,-1.8921255537059083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.4940738085719807,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),597,150,32.77254243103066,5.7247307736723005,0.1611126602049908,37.57263363177906,6.129651999239359,0.1455586651354063,10.0,8.671686746987952,0.0,0.0,-0.0,-0.0,2.422652875653556,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",597,150,19.49073482101837,4.414831233582817,0.5010905632645525,27.554190145176,5.249208525594692,0.3733886413316556,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),597,150,25.725064931907323,5.071988262201256,0.3415087849166015,33.65114538742298,5.800960729691504,0.2347374457074823,10.0,7.477507408966401,0.0,2.6705938138593024,-0.0,-0.0,5.4376626831811015,-0.4794661310808898,-1.9236010576292824,0.0992664493553443,-1.0246100178563995,0.0,-0.648630160965427,0.0,0.4263769480557635,0.0,0.6119841633988252,0.0,1.3725891596260014,0.0,0.9105114220577328,0.0,0.0,0.0,0.4189491848351422,0.0,0.0,0.0,-0.8961690270697575,0.0,-0.0,0.0,0.0,0.0,0.0915662017215269,0.0,-0.0310152181418673,0.0,0.0,0.0,-0.1603622945412913,0.0,-0.0,0.0,-1.1291314114721422,0.0,-0.0,0.0,0.0564460623436869,-3.211731716332639,-0.0,0.0,-0.1083440273194934,0.0,0.0,0.0,-0.3007116905039354,0.0,0.0,0.0,0.0,0.0,-2.1158692578549823,-2.9069742107930097,0.2359449556277058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956044890496668,0.0,0.0,0.0,0.0,0.0,-1.1808219121156998,0.0,0.0,0.4979923455849547,-0.0,0.0,-0.0,0.0,0.0,0.0,0.62306586427247
