Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,2019-03-03,23-072,ATL,@,CHI,W (+5),0,18:54,4,4,1.000,3,3,1.000,0,0,,0,2,2,0,1,0,1,0,11,10.4,-2
3,2,2019-03-04,23-073,ATL,@,MIA,L (-1),0,13:38,3,7,.429,0,1,.000,0,0,,2,3,5,0,1,0,0,0,6,5.6,-1
4,3,2019-03-06,23-075,ATL,,SAS,L (-7),0,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
5,4,2019-03-09,23-078,ATL,,BRK,L (-2),0,5:39,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,3,0,-3.3,-7
7,5,2019-03-13,23-082,ATL,,MEM,W (+21),0,3:39,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,0.6,-6
10,6,2019-03-19,23-088,ATL,,HOU,L (-16),0,0:45,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
16,7,2019-04-10,23-110,SAC,@,POR,L (-5),0,6:03,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,-2
15,1,2019-12-04,23-348,ORL,,PHO,W (+14),0,2:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7
32,2,2020-01-08,24-018,ORL,,WAS,W (+34),0,5:35,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+4
35,3,2020-01-15,24-025,ORL,@,LAL,W (+1),0,22:42,4,10,.400,1,4,.250,0,0,,1,2,3,1,2,0,3,0,9,4.6,-7
36,4,2020-01-16,24-026,ORL,@,LAC,L (-27),0,6:50,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-1.1,-6
41,5,2020-01-26,24-036,ORL,,LAC,L (-15),0,1:10,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1
42,6,2020-01-27,24-037,ORL,@,MIA,L (-21),0,2:31,0,1,.000,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,1.9,+2
44,7,2020-02-03,24-044,ORL,@,CHO,W (+12),0,4:05,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7
45,8,2020-02-05,24-046,ORL,@,BOS,L (-16),0,0:46,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
66,9,2020-08-11,24-234,ORL,,BRK,L (-12),0,19:13,2,8,.250,0,1,.000,4,4,1.000,2,5,7,1,1,0,2,1,8,5.4,+6
67,10,2020-08-13,24-236,ORL,,NOP,W (+6),0,17:06,2,6,.333,2,2,1.000,3,4,.750,0,2,2,0,0,0,1,2,9,4.0,+8
1,1,2021-12-17,25-361,ORL,,MIA,L (-10),0,20:19,2,5,.400,1,2,.500,0,0,,2,2,4,0,0,1,0,4,5,3.4,-11
2,2,2021-12-18,25-362,ORL,@,BRK,W (+7),0,20:02,3,8,.375,1,4,.250,0,0,,2,3,5,0,0,0,0,0,7,4.9,-8
3,3,2021-12-22,26-001,ORL,@,ATL,W (+6),0,16:23,6,7,.857,2,2,1.000,0,0,,1,3,4,0,0,0,0,0,14,13.1,+9
4,4,2021-12-23,26-002,ORL,,NOP,L (-6),0,7:51,0,5,.000,0,2,.000,0,0,,1,1,2,0,0,0,0,0,0,-2.5,-2
