,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1985-10-25,22-346,DEN,@,GSW,W (+14),0,11:00,3,7,0.429,0,0,,1,2,0.5,2,5,7,0,1,0,2,4,7,3.2,
1,2,2,1985-10-26,22-347,DEN,,SAC,W (+11),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,
2,3,3,1985-10-29,22-350,DEN,@,PHO,W (+15),0,17:00,3,6,0.5,0,0,,3,4,0.75,5,4,9,0,0,0,3,4,9,5.7,
3,4,4,1985-10-31,22-352,DEN,,SEA,W (+17),0,3:00,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-0.7,
4,5,5,1985-11-05,22-357,DEN,,ATL,W (+15),0,2:00,1,1,1.0,0,0,,0,0,,1,1,2,0,0,0,0,1,2,2.3,
5,6,6,1985-11-07,22-359,DEN,,DAL,W (+32),0,13:00,1,6,0.167,0,0,,0,0,,0,0,0,5,0,0,0,3,2,0.5,
6,7,7,1985-11-08,22-360,DEN,@,LAL,L (-29),0,11:00,3,7,0.429,0,0,,0,0,,0,2,2,1,0,0,0,1,6,3.2,
7,8,8,1985-11-12,22-364,DEN,@,HOU,L (-8),0,7:00,1,3,0.333,0,0,,0,0,,2,0,2,0,0,1,2,2,2,-0.4,
8,9,9,1985-11-16,23-003,DEN,,LAC,W (+4),0,9:00,1,3,0.333,0,0,,0,0,,0,3,3,0,0,1,1,1,2,0.5,
9,10,10,1985-11-19,23-006,DEN,,HOU,W (+14),0,2:00,1,3,0.333,0,0,,0,2,0.0,0,2,2,0,0,0,1,1,2,-1.3,
10,11,11,1985-11-24,23-011,DEN,@,SEA,L (-26),0,12:00,4,5,0.8,0,0,,2,2,1.0,0,0,0,1,0,1,1,3,10,7.3,
11,12,12,1985-11-29,23-016,DEN,@,UTA,W (+15),0,1:00,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0,
12,13,13,1985-12-03,23-020,DEN,@,NYK,L (-17),0,12:00,1,4,0.25,0,0,,7,8,0.875,1,2,3,1,0,0,2,0,9,6.2,
13,14,14,1985-12-07,23-024,DEN,@,CLE,L (-10),0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,
14,15,15,1985-12-11,23-028,DEN,,LAC,W (+39),0,18:00,7,12,0.583,0,0,,1,2,0.5,3,5,8,1,0,1,3,2,15,10.2,
15,16,16,1985-12-13,23-030,DEN,,LAL,W (+4),0,5:00,0,4,0.0,0,0,,0,0,,0,0,0,2,0,0,0,2,0,-2.2,
16,17,17,1985-12-14,23-031,DEN,@,DAL,L (-27),0,18:00,4,9,0.444,0,0,,0,0,,2,3,5,0,0,0,0,3,8,4.4,
17,18,18,1985-12-17,23-034,DEN,,GSW,W (+8),0,1:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,
18,19,19,1985-12-19,23-036,DEN,,POR,W (+5),0,1:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,
19,20,20,1985-12-22,23-039,DEN,@,POR,L (-7),0,6:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.9,
20,21,21,1985-12-28,23-045,DEN,@,SAS,L (-4),0,3:00,0,2,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,
21,22,22,1986-01-07,23-055,DEN,,DAL,W (+22),0,8:00,2,7,0.286,0,0,,0,0,,1,2,3,0,0,0,1,2,4,-0.6,
22,23,23,1986-01-15,23-063,DEN,@,BOS,L (-23),0,3:00,0,2,0.0,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-0.4,
23,24,24,1986-01-17,23-065,DEN,@,DET,L (-16),0,2:00,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,
24,25,25,1986-01-18,23-066,DEN,@,NJN,L (-11),1,18:00,4,10,0.4,0,0,,2,2,1.0,0,2,2,0,0,0,3,3,10,1.0,
25,26,26,1986-01-24,23-072,DEN,,SAS,L (-15),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
26,27,27,1986-01-25,23-073,DEN,@,LAL,W (+12),0,2:00,2,3,0.667,0,0,,0,0,,0,0,0,0,0,0,0,2,4,1.9,
27,28,28,1986-01-27,23-075,DEN,,CLE,W (+21),0,4:00,1,1,1.0,0,0,,0,0,,1,2,3,1,0,2,2,1,2,2.7,
28,29,29,1986-01-28,23-076,DEN,@,SAC,L (-5),0,12:00,1,6,0.167,0,0,,4,4,1.0,0,1,1,0,0,0,0,4,6,0.9,
29,30,30,1986-02-04,23-083,DEN,,POR,W (+1),0,4:00,2,3,0.667,0,0,,0,0,,2,0,2,0,0,0,0,1,4,3.7,
30,31,31,1986-02-06,23-085,DEN,@,SAS,W (+5),0,6:00,0,1,0.0,0,0,,2,2,1.0,2,0,2,0,0,0,0,0,2,2.7,
31,32,32,1986-02-12,23-091,DEN,@,DAL,L (-7),0,6:00,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,
32,33,33,1986-02-14,23-093,DEN,@,PHO,L (-17),0,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,
33,34,34,1986-02-15,23-094,DEN,,GSW,W (+13),0,5:00,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-1.1,
34,35,35,1986-02-18,23-097,DEN,,WSB,W (+11),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
35,36,36,1986-02-24,23-103,DEN,@,POR,W (+6),0,8:00,1,1,1.0,0,0,,0,0,,0,2,2,0,0,1,0,4,2,1.4,
36,37,37,1986-02-25,23-104,DEN,,PHO,W (+13),0,5:00,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,0,2,0.3,
37,38,38,1986-03-07,23-114,DEN,,IND,W (+17),0,8:00,3,4,0.75,0,0,,3,4,0.75,0,2,2,0,0,0,0,0,9,7.6,
38,39,39,1986-03-13,23-120,DEN,@,CHI,L (-10),0,4:00,2,2,1.0,0,0,,1,2,0.5,2,0,2,0,0,0,0,1,5,5.0,
39,40,40,1986-03-16,23-123,DEN,,SAC,W (+6),0,1:00,1,2,0.5,0,0,,0,0,,2,0,2,0,0,0,0,1,2,2.0,
40,41,41,1986-03-19,23-126,DEN,,DET,W (+16),0,4:00,0,1,0.0,0,0,,0,0,,2,1,3,1,0,0,2,1,0,-0.7,
41,42,42,1986-03-21,23-128,DEN,,LAC,W (+11),0,5:00,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,3,2,2,-2.1,
42,43,43,1986-03-23,23-130,DEN,@,GSW,L (-2),0,4:00,0,3,0.0,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1.8,
43,44,44,1986-03-26,23-133,DEN,@,UTA,L (-15),0,11:00,2,3,0.667,0,0,,0,0,,1,6,7,0,1,1,2,1,4,4.5,
44,45,45,1986-04-01,23-139,DEN,@,POR,L (-17),0,11:00,0,4,0.0,0,0,,2,2,1.0,1,1,2,0,0,1,0,2,2,0.1,
45,46,46,1986-04-06,23-144,DEN,@,SAS,W (+18),0,4:00,1,2,0.5,0,0,,2,2,1.0,0,1,1,0,0,0,1,0,4,2.3,
46,47,47,1986-04-10,23-148,DEN,,PHO,W (+2),0,9:00,1,4,0.25,0,0,,0,0,,0,2,2,0,0,0,1,1,2,-1.2,
47,48,48,1986-04-12,23-150,DEN,,UTA,L (-18),0,20:00,5,8,0.625,0,0,,1,1,1.0,1,3,4,3,0,2,2,2,11,9.7,
48,1,1,1986-10-31,23-352,DEN,,SAS,W (+30),0,17:00,2,7,0.286,0,0,,4,4,1.0,4,5,9,2,0,1,2,4,8,6.7,
49,2,2,1986-11-01,23-353,DEN,@,GSW,L (-22),0,22:00,5,13,0.385,0,0,,3,7,0.429,6,2,8,2,0,1,1,6,13,7.8,
