,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1989-11-03,24-003,UTA,,DEN,W (+9),1,17:00,2,6,0.333,0,0,,1,2,0.5,0,3,3,0,1,2,0,4,5,2.9,
1,2,2,1989-11-08,24-008,UTA,,CHH,W (+16),1,16:00,1,5,0.2,0,1,0.0,0,0,,1,1,2,5,1,0,0,4,2,2.8,
2,3,3,1989-11-10,24-010,UTA,,SAS,W (+14),1,30:00,5,11,0.455,0,0,,7,10,0.7,0,3,3,0,3,0,4,4,17,8.4,
3,4,4,1989-11-11,24-011,UTA,@,HOU,L (-8),1,34:00,1,6,0.167,0,0,,0,2,0.0,1,4,5,1,2,0,2,4,2,-1.6,
4,5,5,1989-11-13,24-013,UTA,,WSB,W (+13),1,23:00,3,7,0.429,0,0,,0,0,,0,1,1,0,1,1,2,3,6,1.1,
5,6,6,1989-11-15,24-015,UTA,,CHI,W (+1),1,21:00,5,11,0.455,0,0,,5,6,0.833,2,3,5,1,2,0,2,2,15,11.1,
6,7,7,1989-11-17,24-017,UTA,,IND,W (+14),1,25:00,6,11,0.545,0,0,,1,2,0.5,1,0,1,0,0,1,1,4,13,6.1,
7,8,8,1989-11-21,24-021,UTA,@,MIN,W (+2),1,27:00,3,8,0.375,0,1,0.0,1,2,0.5,1,1,2,1,0,0,1,5,7,0.9,
8,9,9,1989-11-22,24-022,UTA,,ORL,L (-22),1,27:00,6,12,0.5,0,1,0.0,0,0,,1,3,4,3,2,0,2,5,12,7.7,
9,10,10,1989-11-25,24-025,UTA,,LAL,L (-6),1,26:00,3,8,0.375,0,0,,2,2,1.0,0,4,4,2,1,0,1,2,8,5.4,
10,11,11,1989-11-27,24-027,UTA,,NJN,W (+37),1,23:00,3,5,0.6,0,1,0.0,5,6,0.833,0,4,4,2,2,1,7,3,11,5.4,
11,12,12,1989-11-29,24-029,UTA,@,IND,L (-12),1,28:00,3,10,0.3,0,1,0.0,1,4,0.25,2,4,6,3,2,0,2,2,7,3.9,
12,13,13,1989-12-01,24-031,UTA,@,ATL,L (-11),1,31:00,6,8,0.75,0,0,,5,9,0.556,2,2,4,1,2,1,1,3,17,15.4,
13,14,14,1989-12-02,24-032,UTA,@,WSB,W (+2),1,20:00,2,4,0.5,0,0,,1,2,0.5,2,1,3,1,0,0,3,5,5,0.0,
14,15,15,1989-12-05,24-035,UTA,@,CLE,W (+14),1,28:00,7,15,0.467,0,0,,1,2,0.5,2,0,2,1,0,1,2,1,15,7.3,
15,16,16,1989-12-07,24-037,UTA,,DAL,W (+10),1,27:00,4,8,0.5,0,2,0.0,4,5,0.8,0,7,7,1,0,1,5,3,12,4.9,
16,17,17,1989-12-09,24-039,UTA,,HOU,W (+14),1,21:00,5,8,0.625,0,0,,1,2,0.5,0,2,2,2,1,0,2,3,11,6.8,
17,18,18,1989-12-11,24-041,UTA,,CLE,L (-3),1,22:00,3,10,0.3,0,0,,1,2,0.5,0,1,1,3,1,1,3,4,7,0.3,
18,19,19,1989-12-13,24-043,UTA,,PHO,W (+7),1,26:00,2,4,0.5,0,0,,2,2,1.0,0,1,1,1,1,0,1,0,6,5.0,
19,20,20,1989-12-15,24-045,UTA,,DET,W (+3),1,21:00,1,5,0.2,0,0,,0,0,,2,2,4,1,0,1,1,4,2,-0.3,
20,21,21,1989-12-17,24-047,UTA,@,MIN,W (+10),1,25:00,3,5,0.6,0,0,,5,5,1.0,0,2,2,2,1,0,2,5,11,7.7,
21,22,22,1989-12-19,24-049,UTA,@,NYK,L (-8),1,18:00,3,6,0.5,0,0,,1,2,0.5,2,0,2,1,0,0,2,1,7,3.3,
22,23,23,1989-12-20,24-050,UTA,@,BOS,L (-4),1,27:00,8,12,0.667,1,1,1.0,2,3,0.667,0,1,1,1,0,1,1,4,19,12.5,
23,24,24,1989-12-22,24-052,UTA,@,CHH,W (+14),1,24:00,6,11,0.545,1,2,0.5,0,0,,1,0,1,1,1,0,1,5,13,7.1,
24,25,25,1989-12-23,24-053,UTA,@,SAS,L (-17),1,32:00,9,14,0.643,0,0,,2,2,1.0,3,2,5,5,0,1,3,4,20,16.1,
25,26,26,1989-12-26,24-056,UTA,,GSW,W (+15),1,27:00,5,10,0.5,0,0,,1,2,0.5,2,6,8,2,1,1,1,3,11,9.7,
26,27,27,1989-12-28,24-058,UTA,,POR,W (+4),1,18:00,2,4,0.5,1,1,1.0,1,1,1.0,0,0,0,0,0,0,3,3,6,-0.2,
27,28,28,1989-12-30,24-060,UTA,,MIA,W (+19),1,23:00,5,6,0.833,0,0,,4,4,1.0,0,3,3,2,0,0,5,5,14,7.1,
28,29,29,1990-01-02,24-063,UTA,@,GSW,L (-13),1,28:00,7,11,0.636,1,1,1.0,2,4,0.5,0,1,1,3,5,0,3,4,17,14.1,
29,30,30,1990-01-03,24-064,UTA,@,SEA,W (+11),1,26:00,7,13,0.538,0,0,,1,3,0.333,0,1,1,4,0,0,1,5,15,8.0,
30,31,31,1990-01-05,24-066,UTA,@,POR,L (-29),1,23:00,5,7,0.714,0,0,,0,0,,1,3,4,4,1,0,2,1,10,10.1,
31,32,32,1990-01-06,24-067,UTA,@,DEN,W (+3),1,39:00,7,9,0.778,0,0,,2,3,0.667,0,6,6,6,3,0,3,4,16,16.5,
32,33,33,1990-01-10,24-071,UTA,,DEN,W (+31),1,29:00,4,7,0.571,0,2,0.0,7,8,0.875,0,5,5,6,2,0,3,2,15,15.2,
33,34,34,1990-01-13,24-074,UTA,@,DAL,W (+10),1,25:00,5,9,0.556,1,1,1.0,3,4,0.75,0,3,3,3,2,1,3,4,14,10.4,
34,35,35,1990-01-17,24-078,UTA,,ATL,W (+7),1,24:00,4,7,0.571,0,1,0.0,4,4,1.0,2,2,4,2,0,0,0,4,12,10.5,
35,36,36,1990-01-19,24-080,UTA,,CHH,W (+23),1,28:00,4,5,0.8,0,0,,5,7,0.714,1,4,5,4,0,0,4,4,13,9.4,
36,37,37,1990-01-20,24-081,UTA,@,SAC,W (+13),1,27:00,2,7,0.286,0,0,,0,0,,0,4,4,1,0,0,4,4,4,-3.8,
37,38,38,1990-01-23,24-084,UTA,,HOU,W (+8),1,23:00,2,4,0.5,0,0,,3,5,0.6,2,3,5,3,1,1,0,2,7,9.5,
38,39,39,1990-01-25,24-086,UTA,,NYK,W (+26),1,34:00,9,13,0.692,0,0,,4,4,1.0,0,4,4,2,1,1,1,5,22,17.8,
39,40,40,1990-01-27,24-088,UTA,,MIL,W (+48),1,19:00,1,3,0.333,0,0,,0,0,,0,3,3,0,2,0,1,3,2,1.0,
40,41,41,1990-01-30,24-091,UTA,@,POR,L (-24),1,26:00,2,6,0.333,0,0,,2,2,1.0,1,5,6,3,3,1,2,1,6,8.2,
