Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1985-10-29,23-111,NYK,@,ATL,L (-15),0,3:00,0,1,0.0,0,0,,1,2,0.5,1,0,1,0,0,0,0,0,1,0.6,
2,2,1985-11-03,23-116,NYK,@,POR,L (-14),0,21:00,3,3,1.0,0,0,,1,2,0.5,1,4,5,0,2,0,2,6,7,5.2,
3,3,1985-11-05,23-118,NYK,@,SEA,L (-4),1,33:00,2,3,0.667,0,0,,1,2,0.5,2,2,4,1,1,0,1,6,5,3.6,
4,4,1985-11-07,23-120,NYK,,MIL,L (-4),1,29:00,4,7,0.571,0,0,,0,4,0.0,3,4,7,2,0,1,4,3,8,3.3,
5,5,1985-11-09,23-122,NYK,,CHI,L (-3),1,23:00,2,5,0.4,0,0,,0,0,,1,1,2,2,0,0,1,5,4,0.7,
6,6,1985-11-12,23-125,NYK,,PHO,W (+10),1,28:00,3,6,0.5,0,0,,1,2,0.5,3,1,4,0,2,0,1,3,7,5.8,
7,7,1985-11-16,23-129,NYK,,ATL,W (+7),1,32:00,4,9,0.444,0,0,,3,6,0.5,2,5,7,0,0,0,1,2,11,6.2,
8,8,1985-11-19,23-132,NYK,,WSB,W (+4),1,17:00,3,4,0.75,0,0,,0,5,0.0,2,4,6,1,0,0,1,5,6,2.7,
9,9,1985-11-20,23-133,NYK,@,DET,L (-11),1,21:00,0,5,0.0,0,0,,2,4,0.5,2,2,4,1,1,0,2,6,2,-3.0,
10,10,1985-11-22,23-135,NYK,@,WSB,L (-8),1,24:00,1,3,0.333,0,0,,4,4,1.0,2,0,2,0,0,2,2,4,6,3.5,
11,11,1985-11-23,23-136,NYK,,BOS,L (-9),0,7:00,0,2,0.0,0,0,,2,4,0.5,2,0,2,0,1,0,0,4,2,0.6,
12,12,1985-11-26,23-139,NYK,@,ATL,L (-10),0,19:00,1,3,0.333,0,0,,2,5,0.4,1,2,3,2,0,0,1,4,4,1.2,
13,13,1985-11-27,23-140,NYK,@,IND,W (+3),0,10:00,1,2,0.5,0,0,,0,0,,1,1,2,1,1,0,1,1,2,2.3,
14,14,1985-11-29,23-142,NYK,@,BOS,L (-6),0,1:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
15,15,1985-11-30,23-143,NYK,,PHI,L (-20),0,5:00,1,2,0.5,0,0,,0,0,,1,2,3,1,0,0,2,3,2,-0.2,
16,16,1985-12-03,23-146,NYK,,DEN,W (+17),0,14:00,1,5,0.2,0,0,,2,4,0.5,2,1,3,1,1,0,1,2,4,1.7,
17,17,1985-12-05,23-148,NYK,,MIL,L (-10),0,13:00,2,2,1.0,0,0,,2,4,0.5,2,2,4,0,0,0,3,1,6,3.2,
18,18,1985-12-06,23-149,NYK,@,IND,L (-24),0,19:00,2,7,0.286,0,0,,4,6,0.667,3,4,7,1,0,0,3,2,8,3.3,
19,19,1985-12-10,23-153,NYK,,IND,W (+18),0,9:00,1,3,0.333,0,0,,2,2,1.0,3,1,4,0,0,0,1,2,4,2.9,
20,20,1985-12-12,23-155,NYK,,NJN,L (-23),0,7:00,3,6,0.5,0,0,,0,0,,2,0,2,0,0,0,0,1,6,4.0,
21,21,1985-12-17,23-160,NYK,,LAL,L (-6),0,2:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,
22,22,1985-12-21,23-164,NYK,,DET,W (+2),0,8:00,0,1,0.0,0,0,,1,2,0.5,0,3,3,3,0,0,1,2,1,1.1,
23,23,1985-12-26,23-169,NYK,@,CHI,W (+17),0,12:00,0,1,0.0,0,0,,1,1,1.0,0,3,3,0,0,0,1,4,1,-1.4,
24,24,1985-12-28,23-171,NYK,,ATL,L (-20),0,16:00,0,2,0.0,0,0,,0,0,,1,1,2,0,2,0,0,1,0,1.2,
25,25,1985-12-30,23-173,NYK,@,NJN,L (-12),0,12:00,0,4,0.0,0,0,,0,0,,3,1,4,0,1,0,0,1,0,0.2,
26,26,1986-01-04,23-178,NYK,@,MIL,L (-33),0,4:00,0,0,,0,0,,0,2,0.0,0,1,1,0,0,0,0,1,0,-0.9,
27,27,1986-01-13,23-187,NYK,,SAC,W (+18),0,12:00,1,1,1.0,0,0,,4,5,0.8,0,3,3,0,0,1,2,1,6,4.5,
28,28,1986-01-15,23-189,NYK,@,DAL,W (+4),0,25:00,3,5,0.6,0,0,,0,0,,0,1,1,1,0,0,1,2,6,2.9,
29,29,1986-01-17,23-191,NYK,@,SAS,L (-13),0,6:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,
30,30,1986-01-18,23-192,NYK,@,HOU,L (-9),0,6:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,
31,31,1986-01-20,23-194,NYK,@,PHI,L (-10),0,12:00,2,5,0.4,0,0,,0,0,,3,2,5,0,0,0,0,2,4,3.2,
32,32,1986-01-24,23-198,NYK,@,ATL,L (-17),0,3:00,1,1,1.0,0,0,,0,1,0.0,1,0,1,0,0,0,0,0,2,2.0,
33,33,1986-01-25,23-199,NYK,,MIL,L (-16),0,4:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,
34,34,1986-01-28,23-202,NYK,,CHI,W (+7),0,24:00,6,9,0.667,0,0,,0,0,,3,2,5,2,1,0,1,6,12,9.8,
35,35,1986-01-30,23-204,NYK,@,DEN,L (-5),0,13:00,3,4,0.75,0,0,,0,0,,4,0,4,0,1,0,0,3,6,7.0,
36,36,1986-01-31,23-205,NYK,@,PHO,W (+5),0,23:00,1,3,0.333,0,0,,4,4,1.0,2,2,4,0,0,0,1,3,6,4.1,
