model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,606,152,19.62927810901856,4.430494115673619,0.2980382114298093,22.14043759044848,4.705362641757644,0.0930255725812958,8.348684210526315,-8626220146490.15,-11.20257540302454,4.760613856340916,20.531309106369072,0.2947201270062084,2.0971322172071205,-12.556097994282451,9.379097153272353,686343065186.8402,-404671735073.7928,1684826086760.213,-404671735073.3074,-1243080307770.678,-190282637858.9233,9030891881562.447,-404671735073.13153,9030891881569.734,-404671735077.79504,9030891881566.775,-404671735072.6656,187363236320.1408,-404671735074.98486,100712830350.04295,-404671735076.0032,1703543583.0324018,-404671735075.7907,-940004210.243489,-404671735075.0466,-38462441.58516761,-404671735076.69617,-3796109.872087843,-404671735075.87823,233410.595721464,-404671735075.2225,2804.807249907404,-404671735074.8611,-33.65130007266998,-404671735075.17285,-0.857025146484375,-404671735075.541,0.0,-404671735077.1075,0.0,-404671735075.9292,0.0,-404671735073.5544,0.0,-404671735075.84106,9030891881569.115,-404671735073.7899,0.0,0.0,0.0,-404671735076.3151,9030891881564.217,-404671735075.9487,0.0,0.0,0.0,-404671735076.0498,0.0,-404671735074.5879,0.0,0.0,0.0,-404671735074.3042,0.0,-404671735076.2119,9030891881566.262,0.0,0.0,-404671735073.96606,0.0,-404671735073.5442,0.0,-404671735074.729,0.0,-404671735074.7578,0.0,-404671735076.8897,0.0,-404671735075.4015,0.0,-404671735075.5898,0.0,0.0,0.0,-404671735074.6019
"Random Forest (100 estimators, 20 depth)",606,152,3.587153805192723,1.8939783011409408,0.8717199436991752,22.63264523565447,4.757377979060994,0.0728624775494976,8.348684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",606,152,8.65005159598513,2.9410970055380914,0.6906658688200864,21.75617434644919,4.664351438994406,0.108766767139016,8.348684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",606,152,16.93796598384849,4.115576020905031,0.3942821111031775,21.56593133482713,4.6439133642680215,0.11655999822722,8.348684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),606,152,19.83208566055282,4.4533229908185215,0.2907856191123608,22.008149295995285,4.691284397262149,0.0984447111880072,8.348684210526315,3.670354554372824,-5.516855542009298,2.8291944229213857,3.90927437039049,0.2976767938673865,2.134431688591806,0.4753897176843381,4.226316258983454,0.0,1.2901178116145633,0.0,1.899990572176856,0.0,0.0,-2.4304570308417883,1.8095030619899088,2.25616827999894,-2.413735807846676,1.2875142685069916,1.931644695155437,0.0,0.0296869008324325,0.0,-0.7710339357353143,0.0,-0.5982236804441161,0.0,0.3128456359535755,0.0,-1.4455423947867037,0.0,-0.6755943475159673,0.0,-0.1172309905121988,0.0,0.3077928695793855,0.0,0.0341960642625796,0.0,-0.517012883308063,0.0,-1.8149914191374068,0.0,-0.712162035820034,0.0,1.279503338646227,0.0,-0.6174290864639063,2.123408208118684,1.3041000645324363,0.0,0.0,0.0,-1.1196397709443435,-0.8298234944663134,-0.8377855804309886,0.0,0.0,0.0,-0.852791438812766,0.0,0.6230306805695128,0.0,0.0,0.0,0.7702279647651205,0.0,-0.8261507585705122,-2.4068102313173414,0.0,0.0,1.1520061494017777,0.0,1.615728296312544,0.0,0.3480046439705079,0.0,0.3138337792305141,0.0,-1.433653823734572,0.0,-0.2798340890695692,0.0,-0.41485382578715,0.0,0.0,0.0,0.4254533399268916
Ridge (lambda=0.1),606,152,19.65640125319939,4.433554020557254,0.2970682618119435,22.04937597127092,4.695676306057618,0.0967558764461581,8.348684210526315,1.8307438750849103,-10.00817963315288,4.377995329834685,12.978038853041395,0.2859168385066891,2.1137823438586434,-5.813869760079528,7.964625378935658,0.0,1.3385351775311922,0.0,1.879293169812798,0.0,0.0,-3.556248239684378,1.9780286942729497,3.020442082932813,-2.5871992945989013,0.5721061245219544,2.3441781010181084,0.0,0.1314824199013039,0.0,-0.8191070037938676,0.0,-0.630552160203821,0.0,0.1309322935622574,0.0,-1.5309177006807004,0.0,-0.695218870665316,0.0,-0.080121749209476,0.0,0.2907474347948998,0.0,-0.0050124725801007,0.0,-0.4330949052157508,0.0,-1.953822304547532,0.0,-0.7576447756431336,0.0,1.501569243423746,0.0,-0.6730929506515735,2.546475906989467,1.353273245395074,0.0,0.0,0.0,-1.1786457775015586,-1.850881042886743,-0.8258596511353058,0.0,0.0,0.0,-0.9157955161118198,0.0,0.593800690417421,0.0,0.0,0.0,0.8771322573156913,0.0,-1.0422709912352568,-0.7318948318802809,0.0,0.0,1.1758371687822518,0.0,1.6279791985305605,0.0,0.3937452933786322,0.0,0.3769956521790809,0.0,-1.6873276952899632,0.0,-0.2878124893379721,0.0,-0.4102474482563516,0.0,0.0,0.0,0.5202137163411074
Lasso (lambda=0.1),606,152,21.893108468234164,4.679007209679652,0.2170814692027801,20.820157472360343,4.56291107434282,0.1471103348739741,8.348684210526315,7.69691254270654,0.0,0.5123662857956499,-0.0,0.0,2.487492800348196,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7330504202039223,0.0,0.0,-0.0,0.7021135133181883,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-4.423053623443869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),606,152,27.96345674171378,5.288048481407275,0.0,24.57703743928328,4.957523317069046,-0.0067887939467992,8.348684210526315,8.755775577557756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",606,152,16.864710009423852,4.106666532532664,0.3969018149223894,20.931540546746227,4.575100058659507,0.142547570488556,8.348684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),606,152,20.0876915214824,4.481929441823287,0.2816449086740733,21.826474411383884,4.671881249709145,0.1058869522807428,8.348684210526315,5.887218902356647,-3.7629821139526887,2.612325379468869,1.144502022355821,0.2743314306856107,2.1188764889428167,0.0,2.753268340806771,0.0,1.1664705125488382,0.0,1.863924702436197,0.0,0.0,-1.6391055440873006,1.6072732566556316,0.7880718796384237,-2.049199832611752,1.2680339558374771,1.4208163643607452,0.0,0.0,0.0,-0.4064358195636297,0.0,-0.1727328873578306,0.0,0.0,0.0,-1.1680536945995252,0.0,-0.1603469750966039,0.0,-0.0,0.0,0.1124298684303756,0.0,0.0,0.0,-0.0217104443137001,0.0,-1.4489767786034091,0.0,-0.3675530525178136,0.0,1.0760394712072796,0.0,-0.2347554858516559,1.1819431572047312,1.1631674986610776,0.0,0.0,0.0,-0.7119613418363169,-0.2428730860297085,-0.4614377516977687,0.0,0.0,0.0,-0.3078048842181803,0.0,0.515253583533425,0.0,0.0,0.0,0.0,0.0,-0.0,-4.332995185568658,0.0,0.0,1.0559533290541483,0.0,1.477404207003875,0.0,0.2368286036453585,0.0,0.1202838749864294,0.0,-0.3812671860976358,0.0,-0.0,0.0,-0.1051850356014819,0.0,0.0,0.0,0.1939394799504827
"Random Forest (100 estimators, 5 depth)",606,152,16.680305413240955,4.084152961538164,0.4034962999278079,20.72200495601294,4.552142897143382,0.1511311145875737,8.348684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
