Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2006-11-01,22-101,POR,@,SEA,W (+4),1,35:24,10,16,0.625,0,1,0.0,0,0,,2,1,3,2,0,0,3,3,20,11.7,-8
2,2,2006-11-03,22-103,POR,@,GSW,L (-13),1,38:01,5,16,0.313,0,3,0.0,9,10,0.9,2,4,6,5,0,1,0,4,19,14.6,-15
3,3,2006-11-04,22-104,POR,,MIN,W (+2),1,41:58,4,17,0.235,0,4,0.0,8,9,0.889,1,3,4,8,0,1,1,0,16,12.2,-8
4,4,2006-11-06,22-106,POR,@,LAC,L (-13),1,14:22,1,3,0.333,0,0,,1,2,0.5,0,1,1,2,0,0,1,1,3,1.2,-8
6,5,2006-11-10,22-110,POR,,NOK,W (+1),1,6:31,0,1,0.0,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,-8
26,6,2006-12-20,22-150,POR,,HOU,W (+2),0,23:55,4,6,0.667,0,0,,1,1,1.0,1,2,3,2,0,0,2,1,9,6.7,-2
27,7,2006-12-22,22-152,POR,,TOR,L (-1),0,40:30,5,10,0.5,0,1,0.0,6,6,1.0,4,6,10,8,0,1,3,4,16,17.3,0
28,8,2006-12-26,22-156,POR,@,PHO,L (-23),1,28:23,3,12,0.25,0,0,,1,2,0.5,0,3,3,1,3,1,0,2,7,3.9,-13
29,9,2006-12-27,22-157,POR,,NOK,W (+15),1,33:01,4,11,0.364,1,3,0.333,6,6,1.0,1,1,2,2,0,0,2,0,15,9.3,15
30,10,2006-12-29,22-159,POR,,PHI,L (-3),1,32:34,6,12,0.5,0,2,0.0,3,5,0.6,0,5,5,2,2,0,2,4,15,9.5,1
31,11,2006-12-30,22-160,POR,@,UTA,L (-10),1,35:10,6,11,0.545,1,3,0.333,4,8,0.5,0,2,2,1,2,0,2,2,17,10.6,-4
32,12,2007-01-01,22-162,POR,,BOS,L (-8),1,34:35,7,16,0.438,0,2,0.0,4,4,1.0,0,4,4,5,1,0,2,4,18,11.7,-12
33,13,2007-01-03,22-164,POR,,NYK,L (-18),1,33:01,4,11,0.364,0,1,0.0,6,6,1.0,0,3,3,3,1,0,2,1,14,9.5,-19
34,14,2007-01-06,22-167,POR,@,SAC,W (+5),1,42:14,8,15,0.533,1,6,0.167,6,6,1.0,0,5,5,0,0,0,1,3,23,15.0,12
35,15,2007-01-07,22-168,POR,,MIA,L (-3),1,31:47,8,18,0.444,2,4,0.5,0,0,,2,2,4,4,0,0,1,5,18,10.4,2
36,16,2007-01-09,22-170,POR,@,SAS,L (-14),1,34:38,3,12,0.25,1,4,0.25,3,3,1.0,2,3,5,3,3,0,2,1,10,7.8,-7
37,17,2007-01-10,22-171,POR,@,DAL,L (-25),1,29:50,4,13,0.308,0,2,0.0,7,7,1.0,1,5,6,1,3,0,1,1,15,12.0,-11
38,18,2007-01-12,22-173,POR,,SAC,W (+8),1,30:02,4,8,0.5,1,1,1.0,2,2,1.0,1,1,2,5,2,0,2,3,11,10.3,2
39,19,2007-01-14,22-175,POR,,DEN,L (-16),1,24:22,4,10,0.4,1,2,0.5,0,0,,1,1,2,2,1,0,0,2,9,6.2,-31
40,20,2007-01-17,22-178,POR,,CLE,W (+18),1,30:54,8,16,0.5,2,3,0.667,1,2,0.5,5,5,10,4,6,0,2,4,19,20.8,29
41,21,2007-01-19,22-180,POR,@,PHO,L (-5),1,41:07,8,16,0.5,3,4,0.75,3,4,0.75,1,4,5,4,1,1,0,0,22,20.0,-3
42,22,2007-01-21,22-182,POR,,MIL,W (+4),1,38:58,10,15,0.667,2,3,0.667,6,8,0.75,0,9,9,2,2,0,3,2,28,23.0,4
43,23,2007-01-24,22-185,POR,,MIN,W (+3),1,36:53,4,12,0.333,1,2,0.5,4,5,0.8,1,6,7,3,1,0,3,1,13,8.0,-2
44,24,2007-01-26,22-187,POR,@,HOU,L (-30),1,27:45,3,10,0.3,0,2,0.0,0,0,,0,2,2,1,2,0,2,1,6,1.1,-24
45,25,2007-01-27,22-188,POR,@,MEM,W (+3),1,41:39,7,13,0.538,1,2,0.5,1,1,1.0,1,3,4,6,3,0,4,5,16,12.5,4
46,26,2007-01-29,22-190,POR,@,NOK,L (-12),1,36:11,6,16,0.375,2,6,0.333,5,5,1.0,2,2,4,4,1,0,0,2,19,15.2,-5
47,27,2007-01-31,22-192,POR,,DEN,W (+9),1,37:18,9,17,0.529,1,3,0.333,6,6,1.0,0,4,4,8,0,0,1,3,25,21.3,12
48,28,2007-02-02,22-194,POR,@,DEN,L (-7),1,38:18,5,11,0.455,2,4,0.5,10,11,0.909,1,1,2,11,0,0,3,5,22,19.6,-14
49,29,2007-02-03,22-195,POR,,CHI,L (-2),1,34:00,6,11,0.545,0,2,0.0,4,4,1.0,0,2,2,3,2,0,1,1,16,14.0,-4
50,30,2007-02-06,22-198,POR,,PHO,L (-7),1,49:02,8,21,0.381,0,1,0.0,11,14,0.786,0,3,3,5,2,1,0,5,27,19.4,-11
51,31,2007-02-09,22-201,POR,@,CHA,W (+8),1,44:04,5,13,0.385,1,3,0.333,4,5,0.8,2,6,8,3,0,0,5,4,15,6.2,4
52,32,2007-02-11,22-203,POR,@,WAS,W (+21),1,28:29,2,8,0.25,0,2,0.0,3,5,0.6,0,3,3,1,1,0,3,1,7,0.6,2
53,33,2007-02-13,22-205,POR,@,MIA,L (-19),1,37:09,7,16,0.438,1,4,0.25,0,0,,2,1,3,4,0,0,3,1,15,7.7,-17
54,34,2007-02-14,22-206,POR,@,ORL,L (-12),1,40:40,8,16,0.5,1,1,1.0,2,2,1.0,1,5,6,2,2,0,3,2,19,12.8,-20
55,35,2007-02-20,22-212,POR,,UTA,W (+3),1,38:18,11,15,0.733,2,3,0.667,3,6,0.5,1,1,2,7,1,1,2,1,27,24.9,-1
56,36,2007-02-21,22-213,POR,@,LAL,W (+4),1,36:45,6,11,0.545,1,2,0.5,3,6,0.5,0,0,0,7,3,0,1,4,16,14.8,-4
57,37,2007-02-23,22-215,POR,,MEM,L (-1),1,37:27,7,15,0.467,3,3,1.0,2,2,1.0,1,4,5,6,0,0,2,3,19,14.2,-5
58,38,2007-02-26,22-218,POR,@,SEA,L (-24),1,36:56,3,13,0.231,0,3,0.0,0,0,,0,3,3,5,1,0,3,2,6,-0.3,-21
59,39,2007-03-01,22-221,POR,,CHA,W (+37),1,29:58,6,8,0.75,2,2,1.0,0,0,,1,7,8,9,0,0,3,2,14,16.1,33
60,40,2007-03-03,22-223,POR,,SAC,L (-8),1,40:00,5,10,0.5,2,5,0.4,3,3,1.0,2,1,3,7,1,0,4,2,15,12.8,-3
61,41,2007-03-06,22-226,POR,,SAS,L (-5),1,36:51,8,18,0.444,1,1,1.0,2,3,0.667,1,4,5,9,2,0,1,2,19,17.6,-3
62,42,2007-03-11,22-231,POR,,GSW,W (+19),1,35:04,9,18,0.5,3,7,0.429,5,5,1.0,0,2,2,2,0,0,3,2,26,15.2,13
63,43,2007-03-13,22-233,POR,@,DEN,L (-8),1,43:46,6,13,0.462,1,2,0.5,3,4,0.75,1,5,6,6,4,0,1,6,16,15.9,-6
64,44,2007-03-14,22-234,POR,,DET,L (-12),1,39:34,4,8,0.5,2,3,0.667,5,7,0.714,0,4,4,2,0,0,4,2,15,8.0,-3
65,45,2007-03-16,22-236,POR,@,LAL,L (-5),1,44:01,6,21,0.286,0,3,0.0,2,2,1.0,4,3,7,5,2,1,2,3,14,8.4,3
66,46,2007-03-18,22-238,POR,,SEA,L (-18),1,39:56,6,13,0.462,0,1,0.0,2,2,1.0,0,3,3,5,0,0,0,2,14,10.9,-12
67,47,2007-03-20,22-240,POR,,WAS,W (+2),1,36:22,7,17,0.412,1,2,0.5,4,4,1.0,2,10,12,3,1,0,5,3,19,11.2,-3
68,48,2007-03-22,22-242,POR,@,NYK,W (+6),1,36:44,8,18,0.444,1,4,0.25,7,9,0.778,1,2,3,3,1,1,1,1,24,17.5,17
69,49,2007-03-23,22-243,POR,@,ATL,W (+2),1,39:34,7,20,0.35,2,3,0.667,7,8,0.875,3,6,9,5,2,0,3,3,23,16.6,-2
70,50,2007-03-25,22-245,POR,@,MIN,L (-1),1,35:56,9,14,0.643,1,2,0.5,3,4,0.75,2,3,5,2,2,0,3,3,22,16.9,0
