model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,334,84,18.86183742134871,4.343021692479639,0.3516618064177861,26.44584728422619,5.1425526039337885,0.25148458684656,5.619047619047619,49507806124995.95,-3.784225816085907,3.730511380243338,-0.7537698384128206,0.4966897536575314,5.098114101290472,9.487260489289664,-0.131911006892712,4180749371106.018,3966816511748.231,3240696869150.3887,3966816511751.157,-53474622636743.086,510153890703.27496,-6107563367178.408,3966816511752.909,4341085011365.938,3966816511749.0938,-1817956496283.441,3966816511752.418,2947486375.1513634,3966816511747.7646,3673747853.4962425,3966816511750.8687,-126841506.28195734,3966816511749.223,60625124.73708679,3966816511750.64,1579503.452234701,3966816511751.606,10365.130723685026,692.6869959831238,-79.5801887512207,3966816511749.96,0.06591796875,3966816511752.877,0.015625,3966816511750.326,0.0,3966816511748.999,0.0,3966816511749.6807,0.0,3966816511749.868,-53474622636751.25,3966816511748.427,0.0,3966816511748.576,0.0,3966816511749.0,-53474622636748.83,3966816511750.9727,0.0,0.0,0.0,3966816511747.984,0.0,0.0,0.0,0.0,0.0,3966816511746.826,0.0,3966816511749.6304,0.0,3966816511750.569,0.0,0.0,0.0,0.0,0.0,3966816511749.3047,0.0,0.0,0.0,3966816511750.2266,0.0,3966816511750.372,0.0,0.0,0.0,3966816511749.048,0.0,3966816511749.5312,0.0,0.0,-53474622636744.94,3966816511751.7
"Random Forest (100 estimators, 20 depth)",334,84,3.166852627229684,1.7795652916455984,0.8911457316796039,23.389791459461183,4.83629935585683,0.3379822839597983,5.619047619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",334,84,5.384992334599104,2.3205586255466817,0.814901585424735,22.543781220784,4.748029193337379,0.3619275066834129,5.619047619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",334,84,12.35248718014178,3.5146105303634685,0.5754077905710244,21.84369556344556,4.673723950282639,0.3817425233631032,5.619047619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),334,84,18.939659528867484,4.351971912692853,0.3489868260602321,26.13597523959316,5.112335595360809,0.260255113236597,5.619047619047619,-0.1461372353810652,-1.2580889233986965,0.9541397566433308,2.879024488939638,0.4860253900539347,5.362692559917725,3.674215442278667,0.4570329413094367,0.0,-1.626933892116909,0.0,1.0826764009392111,3.251424866723599,0.0,0.0,2.80728417220373,0.0,-0.7004863207322349,0.0,2.2059894847177266,0.0,-1.2651582650941826,0.0,0.7882405012321232,0.0,-0.6439977768588151,0.0,0.6614082553611799,0.0,1.6130485565910253,0.0,0.0,0.0,0.0810060925351721,0.0,2.1317359074352664,0.0,0.3899483153296037,0.0,-0.875529275301241,0.0,-0.2317727612792461,0.0,-0.1215643328060443,-3.753928152125142,-1.4483847277434088,0.0,-1.2440418548977066,0.0,-0.8474444435649842,-1.5418588274179883,1.0155857953747474,0.0,0.0,0.0,-1.9409020787668896,0.0,0.0,0.0,0.0,0.0,-2.947878739583538,0.0,-0.2061306935572603,0.0,0.5571761642877998,0.0,0.0,0.0,0.0,0.0,-0.5326431923581039,0.0,0.0,0.0,0.2546660777366827,0.0,0.4676612182188953,0.0,0.0,0.0,-0.7863072674626416,0.0,-0.2791601749069026,0.0,0.0,2.044362112819883,1.6419088550668222
Ridge (lambda=0.1),334,84,18.868868978165764,4.343831140613752,0.3514201106199164,26.4094158010591,5.139009223679123,0.2525157327342877,5.619047619047619,-1.103473822611993,-2.7712518832765425,2.4803443795620423,1.9332543178070232,0.4690395564286555,5.1731204802357045,6.453042777448396,0.2548372012162142,0.0,-1.705026566003047,0.0,1.225580523853676,3.9506587711824137,0.0,0.0,2.9951049664144502,0.0,-0.8164838231510095,0.0,2.4357505776397925,0.0,-2.059591431579181,0.0,0.8977928305126877,0.0,-0.6931794840510965,0.0,0.7225699645288135,0.0,1.6778746470677868,0.0,0.0,0.0,0.0495490234781191,0.0,2.815454399008704,0.0,0.4064006072718927,0.0,-0.9369557882881472,0.0,-0.2263947557381126,0.0,-0.0802623083207364,-4.293018205063639,-1.5258416130329449,0.0,-1.34350822159128,0.0,-0.9010499085004462,-1.792246091082341,1.0508966520131564,0.0,0.0,0.0,-1.9961864968778555,0.0,0.0,0.0,0.0,0.0,-3.092889257396913,0.0,-0.2644816627706547,0.0,0.615863931075061,0.0,0.0,0.0,0.0,0.0,-0.6240674141321165,0.0,0.0,0.0,0.2707045015198386,0.0,0.4758156240634836,0.0,0.0,0.0,-0.8359158868500859,0.0,-0.3603383930615899,0.0,0.0,2.134605524967604,1.8228147628958773
Lasso (lambda=0.1),334,84,21.660540751439594,4.654088605886183,0.2554619388826165,24.89899658501744,4.989889436151611,0.2952661899754387,5.619047619047619,4.194252223437611,0.0,0.0,-0.0,0.3346314999059498,6.083319772185404,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.4553157286116477,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.7154618177669761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.17414137446201,0.0
Lasso (lambda=1.0),334,84,28.68535611304054,5.355871181520383,0.0139978651527687,34.97412063496764,5.913892173092746,0.0101028688774322,5.619047619047619,5.973584905660378,0.0,0.0,-0.0,0.0,0.2003281378178817,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",334,84,12.125927285180436,3.482230217142519,0.5831953369142647,22.538791704767792,4.747503734044639,0.3620687284639885,5.619047619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),334,84,19.03276772970809,4.3626560407288695,0.3457864166095405,25.69380794990885,5.068905991425453,0.2727700849810793,5.619047619047619,0.7581870759443907,-0.1558327902522438,-0.0,0.0,0.4864304262465697,5.4427401161404445,6.504567233898772,-0.0,0.0,-1.3600049698084629,0.0,0.764503631948702,2.339389256039066,0.0,0.0,2.8569119087907167,0.0,-0.4082660297447871,0.0,2.1942971448006534,0.0,-0.0,0.0,0.6385618447964658,0.0,-0.4049923344226513,0.0,0.4560268957232581,0.0,1.4752645234249904,0.0,0.0,0.0,0.0,0.0,1.8291128228282207,0.0,0.2056923836101326,0.0,-0.5288156437969819,0.0,-0.0,0.0,-0.0,-4.745552335741565,-1.2116691157859223,0.0,-0.9745075786141192,0.0,-0.6289190505151062,-2.3822019943270107,0.7745437254066652,0.0,0.0,0.0,-1.7513324059089486,0.0,0.0,0.0,0.0,0.0,-2.8362335243717065,0.0,-0.0,0.0,0.4507722249341733,0.0,0.0,0.0,0.0,0.0,-0.1610244725515873,0.0,0.0,0.0,0.0,0.0,0.3370624681048999,0.0,0.0,0.0,-0.5905082479082032,0.0,-0.0,0.0,0.0,1.1275650180803596,1.4705154233685558
