Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1994-11-05,24-109,ORL,,PHI,W (+15),0,4:00,1,2,0.5,1,1,1.0,0,0,,0,0,0,0,0,0,0,2,3,1.2,
2,2,1994-11-12,24-116,ORL,@,PHI,W (+13),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,
3,3,1994-11-15,24-119,ORL,,WSB,W (+20),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
4,4,1994-11-21,24-125,ORL,,MIA,W (+35),0,6:00,1,5,0.2,0,2,0.0,0,0,,1,1,2,0,0,0,1,0,2,-1.1,
5,5,1994-11-23,24-127,ORL,,HOU,W (+23),0,2:00,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,
6,6,1994-11-30,24-134,ORL,,SAC,W (+7),0,5:00,1,3,0.333,0,2,0.0,0,0,,0,1,1,2,0,0,0,3,2,0.8,
7,7,1994-12-02,24-136,ORL,,NYK,W (+25),0,4:00,2,2,1.0,2,2,1.0,0,0,,0,0,0,1,1,0,2,1,6,4.7,
8,8,1994-12-06,24-140,ORL,@,CLE,W (+17),0,5:00,1,3,0.333,0,1,0.0,0,0,,0,1,1,2,1,0,1,0,2,2.0,
9,9,1994-12-07,24-141,ORL,,CLE,W (+15),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
10,10,1994-12-09,24-143,ORL,@,MIA,W (+14),0,3:00,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,
11,11,1994-12-10,24-144,ORL,,ATL,W (+11),0,1:00,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,
12,12,1994-12-12,24-146,ORL,@,NJN,L (-27),0,3:00,0,2,0.0,0,0,,0,0,,0,0,0,2,1,0,0,1,0,0.6,
13,13,1994-12-14,24-148,ORL,,DEN,W (+24),0,4:00,0,1,0.0,0,1,0.0,0,0,,0,2,2,2,0,0,1,2,0,-0.5,
14,14,1994-12-17,24-151,ORL,@,SEA,L (-40),0,14:00,3,7,0.429,2,6,0.333,0,0,,0,0,0,2,1,1,2,2,8,4.6,
15,15,1994-12-23,24-157,ORL,,MIL,W (+32),0,8:00,2,4,0.5,0,1,0.0,0,0,,1,0,1,4,1,0,1,2,4,4.7,
16,16,1994-12-27,24-161,ORL,,MIA,W (+20),0,2:00,0,2,0.0,0,2,0.0,0,0,,1,1,2,0,0,0,0,0,0,-0.4,
17,17,1994-12-30,24-164,ORL,,LAC,W (+11),0,3:00,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,2,0,2,-0.3,
18,18,1995-01-06,24-171,ORL,,MIN,W (+22),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,
19,19,1995-01-08,24-173,ORL,@,DET,W (+20),0,3:00,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,1.0,
20,20,1995-01-10,24-175,ORL,@,CHI,L (-32),0,8:00,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-0.7,
21,21,1995-01-14,24-179,ORL,,PHI,W (+21),0,2:00,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,1,2,0,-3.2,
22,22,1995-01-24,24-189,ORL,,BOS,W (+13),0,2:00,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,-0.7,
23,23,1995-02-08,24-204,ORL,,DAL,W (+18),0,5:00,2,4,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,4,0.6,
24,24,1995-02-14,24-210,ORL,,IND,W (+19),0,1:00,2,2,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,5,4.4,
25,25,1995-02-17,24-213,ORL,,PHI,W (+46),0,5:00,3,7,0.429,1,3,0.333,0,0,,2,0,2,1,2,0,0,1,7,7.0,
26,26,1995-02-20,24-216,ORL,@,MIL,W (+48),0,7:00,1,6,0.167,1,4,0.25,0,0,,0,1,1,1,0,0,0,1,3,-0.2,
27,27,1995-02-23,24-219,ORL,@,BOS,L (-2),0,2:00,0,1,0.0,0,0,,0,0,,1,0,1,1,0,1,0,0,0,1.4,
28,28,1995-02-24,24-220,ORL,,BOS,W (+26),0,8:00,3,3,1.0,2,2,1.0,2,2,1.0,0,1,1,0,1,0,1,2,10,8.6,
29,29,1995-02-26,24-222,ORL,,CHI,W (+2),0,9:00,1,2,0.5,0,0,,0,0,,0,2,2,1,0,0,2,2,2,-0.5,
30,30,1995-03-10,24-234,ORL,,POR,W (+12),0,1:00,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
31,31,1995-03-21,24-245,ORL,,PHO,W (+24),0,3:00,1,3,0.333,0,2,0.0,1,2,0.5,1,0,1,1,0,0,0,0,3,2.3,
32,32,1995-03-26,24-250,ORL,,GSW,W (+34),0,12:00,5,8,0.625,2,5,0.4,0,0,,0,0,0,4,1,0,0,1,12,11.8,
33,33,1995-03-31,24-255,ORL,@,UTA,W (+3),0,13:00,1,5,0.2,1,3,0.333,0,0,,0,0,0,3,1,0,1,3,3,0.8,
34,34,1995-04-02,24-257,ORL,@,LAL,L (-7),1,38:00,7,12,0.583,4,6,0.667,2,4,0.5,0,2,2,4,0,0,2,6,20,12.6,
35,35,1995-04-05,24-260,ORL,,DET,W (+3),1,28:00,2,9,0.222,0,3,0.0,0,0,,0,3,3,3,0,0,3,4,4,-3.1,
36,36,1995-04-07,24-262,ORL,@,DET,L (-10),0,16:00,3,7,0.429,1,4,0.25,0,0,,0,0,0,2,0,0,3,3,7,0.5,
37,37,1995-04-08,24-263,ORL,@,PHI,L (-10),0,10:00,0,1,0.0,0,0,,1,2,0.5,0,1,1,4,0,0,0,5,1,1.0,
38,38,1995-04-11,24-266,ORL,,CLE,W (+17),0,2:00,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
1,1,1995-11-03,25-107,ORL,,CLE,W (+11),0,1:00,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,
2,2,1995-11-04,25-108,ORL,@,ATL,L (-33),0,10:00,2,6,0.333,1,2,0.5,2,2,1.0,1,1,2,2,1,0,0,2,7,6.2,
3,3,1995-11-10,25-114,ORL,@,BOS,W (+16),0,7:00,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,2,0,-1.2,
4,4,1995-11-16,25-120,ORL,,IND,W (+9),0,6:00,2,2,1.0,0,0,,0,0,,1,0,1,0,0,0,1,0,4,3.1,
5,5,1995-11-18,25-122,ORL,@,MIA,L (-3),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
6,6,1996-01-27,25-192,ORL,@,IND,L (-23),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
7,7,1996-02-02,25-198,ORL,,ATL,W (+13),0,3:00,1,2,0.5,0,0,,3,4,0.75,0,0,0,0,1,0,0,0,5,4.6,
8,8,1996-02-06,25-202,ORL,,SAC,W (+10),0,4:00,0,0,,0,0,,1,2,0.5,0,0,0,2,0,0,0,2,1,1.2,
9,9,1996-02-13,25-209,ORL,,DEN,W (+28),0,4:00,2,4,0.5,2,2,1.0,0,0,,0,0,0,0,0,0,0,0,6,4.0,
10,10,1996-02-16,25-212,ORL,,MIL,W (+30),0,4:00,1,1,1.0,1,1,1.0,1,4,0.25,0,1,1,1,0,0,1,0,4,2.5,
11,11,1996-02-20,25-216,ORL,,PHI,W (+19),0,9:00,2,4,0.5,1,2,0.5,0,0,,0,0,0,1,1,0,0,2,5,3.9,
12,12,1996-02-23,25-219,ORL,@,MIL,W (+13),0,5:00,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,-0.1,
13,13,1996-02-29,25-225,ORL,@,NJN,W (+16),0,9:00,2,4,0.5,2,3,0.667,0,0,,0,1,1,0,1,0,2,4,6,1.7,
14,14,1996-03-02,25-227,ORL,,POR,W (+26),0,3:00,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2.4,
15,15,1996-03-04,25-229,ORL,@,PHI,W (+13),0,6:00,0,3,0.0,0,3,0.0,0,0,,0,1,1,1,2,0,3,2,0,-2.9,
16,16,1996-03-05,25-230,ORL,@,CHH,W (+26),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
17,17,1996-03-10,25-235,ORL,,PHO,W (+16),0,9:00,1,4,0.25,0,3,0.0,0,0,,0,1,1,2,1,0,1,1,2,0.9,
18,18,1996-03-12,25-237,ORL,@,DEN,L (-17),0,12:00,3,4,0.75,3,4,0.75,3,4,0.75,0,0,0,0,0,0,0,2,12,9.2,
19,19,1996-03-13,25-238,ORL,@,SEA,L (-1),0,7:00,1,3,0.333,1,3,0.333,0,0,,0,1,1,0,0,0,2,2,3,-1.2,
20,20,1996-03-15,25-240,ORL,@,VAN,W (+5),0,8:00,1,3,0.333,1,3,0.333,1,1,1.0,0,0,0,1,0,0,0,1,4,2.6,
21,21,1996-03-17,25-242,ORL,@,LAL,W (+1),0,22:00,1,6,0.167,0,5,0.0,0,0,,1,2,3,4,2,0,2,4,2,0.7,
22,22,1996-03-19,25-244,ORL,,DET,W (+22),0,21:00,6,13,0.462,4,10,0.4,5,6,0.833,0,4,4,3,1,0,0,3,21,17.0,
23,23,1996-03-20,25-245,ORL,@,BOS,W (+22),0,24:00,3,6,0.5,2,5,0.4,0,0,,0,4,4,3,1,0,2,1,8,6.9,
24,24,1996-03-22,25-247,ORL,@,WSB,W (+3),0,15:00,1,2,0.5,0,1,0.0,0,0,,0,1,1,2,0,0,3,1,2,-0.7,
25,25,1996-03-26,25-251,ORL,,LAL,L (-22),0,2:00,2,2,1.0,0,0,,0,0,,0,0,0,1,0,0,0,0,4,4.1,
26,26,1996-03-29,25-254,ORL,@,TOR,W (+40),0,9:00,5,6,0.833,1,2,0.5,2,2,1.0,0,1,1,2,0,0,1,2,13,10.7,
27,27,1996-03-31,25-256,ORL,,NYK,W (+19),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,
28,28,1996-04-04,25-260,ORL,,BOS,L (-2),0,4:00,1,2,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,2,1.3,
29,29,1996-04-10,25-266,ORL,,CLE,W (+12),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
30,30,1996-04-14,25-270,ORL,@,MIL,L (-13),0,17:00,2,7,0.286,0,3,0.0,0,0,,0,1,1,3,0,0,1,2,4,0.5,
31,31,1996-04-16,25-272,ORL,,WSB,W (+18),0,3:00,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,1,0,3,1.7,
32,32,1996-04-18,25-274,ORL,,ATL,W (+15),0,5:00,4,6,0.667,2,3,0.667,0,0,,0,0,0,0,1,0,0,0,10,8.4,
33,33,1996-04-19,25-275,ORL,@,PHI,W (+20),0,9:00,3,6,0.5,3,5,0.6,0,0,,1,0,1,1,0,0,2,1,9,5.0,
1,1,1996-11-01,26-105,UTA,,SEA,W (+8),0,1:52,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-3.0
5,2,1996-11-13,26-117,UTA,,SAC,W (+31),0,6:17,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4.0
6,3,1996-11-21,26-125,DEN,,CHI,L (-18),0,5:22,2,4,0.5,1,3,0.333,2,2,1.0,1,0,1,0,0,0,1,1,7,4.3,3.0
7,4,1996-11-23,26-127,DEN,@,POR,L (-40),0,25:36,3,11,0.273,0,7,0.0,1,2,0.5,1,4,5,4,4,0,2,2,7,6.0,-12.0
8,5,1996-11-26,26-130,DEN,,PHO,W (+9),0,24:53,10,17,0.588,6,9,0.667,0,0,,0,2,2,4,0,0,4,4,26,15.9,11.0
9,6,1996-11-27,26-131,DEN,@,UTA,L (-4),0,7:46,1,4,0.25,1,3,0.333,2,2,1.0,0,0,0,4,0,0,0,3,5,4.2,4.0
10,7,1996-11-29,26-133,DEN,,MIN,L (-5),1,30:48,4,10,0.4,2,6,0.333,4,6,0.667,1,0,1,13,2,0,4,4,14,14.0,3.0
11,8,1996-12-01,26-135,DEN,@,LAL,L (-8),0,20:00,4,8,0.5,4,6,0.667,0,0,,0,0,0,9,0,0,2,4,12,10.7,1.0
12,9,1996-12-03,26-137,DEN,@,GSW,L (-15),0,33:12,9,18,0.5,5,11,0.455,0,0,,1,2,3,6,1,0,4,4,23,14.9,-3.0
13,10,1996-12-05,26-139,DEN,,POR,L (-11),0,22:21,7,11,0.636,2,6,0.333,2,2,1.0,0,2,2,2,1,0,1,4,18,13.5,1.0
14,11,1996-12-07,26-141,DEN,,UTA,L (-13),0,15:25,1,3,0.333,1,1,1.0,0,0,,0,2,2,5,0,0,3,2,3,1.6,15.0
15,12,1996-12-10,26-144,DEN,@,ATL,L (-1),0,26:25,6,11,0.545,3,6,0.5,1,3,0.333,2,1,3,3,3,0,1,3,16,14.5,15.0
16,13,1996-12-11,26-145,DEN,@,CHH,L (-4),0,7:30,0,3,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,1,2,0,-3.2,-11.0
17,14,1996-12-13,26-147,DEN,@,WSB,L (-4),0,9:16,1,5,0.2,0,4,0.0,0,0,,0,0,0,1,1,0,1,1,2,-0.8,-5.0
18,15,1996-12-14,26-148,DEN,@,NYK,L (-7),0,9:01,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,-2.0
19,16,1996-12-18,26-152,DEN,,SAC,W (+16),0,22:07,3,6,0.5,2,5,0.4,2,3,0.667,0,3,3,2,1,0,0,4,10,8.3,11.0
20,17,1996-12-20,26-154,DEN,,VAN,W (+15),0,11:01,0,6,0.0,0,4,0.0,0,0,,1,0,1,2,0,0,0,1,0,-2.5,-7.0
21,18,1996-12-23,26-157,DEN,@,PHO,W (+3),0,7:34,1,4,0.25,1,3,0.333,0,0,,1,0,1,0,0,0,0,2,3,0.5,3.0
22,19,1996-12-26,26-160,DEN,,PHI,L (-29),0,11:59,2,5,0.4,1,3,0.333,0,0,,1,0,1,1,0,0,0,1,5,3.3,-9.0
23,20,1996-12-28,26-162,DEN,@,MIN,L (-7),0,2:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,3.0
24,21,1996-12-30,26-164,DEN,,BOS,L (-2),0,9:06,1,3,0.333,1,2,0.5,2,2,1.0,0,0,0,4,3,0,0,3,5,7.9,3.0
25,22,1997-01-03,26-168,DEN,,SAS,L (-2),0,24:25,2,6,0.333,0,1,0.0,2,2,1.0,0,2,2,3,2,0,3,3,6,3.1,-6.0
26,23,1997-01-07,26-172,DEN,@,SAC,W (+13),0,22:34,2,9,0.222,1,3,0.333,0,2,0.0,0,1,1,2,1,0,1,3,5,-0.8,10.0
27,24,1997-01-08,26-173,DEN,,SEA,L (-10),0,3:52,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-2.0
28,25,1997-01-10,26-175,DEN,,IND,L (-19),0,12:11,4,9,0.444,4,8,0.5,0,0,,0,0,0,3,1,0,0,3,12,9.2,4.0
29,26,1997-01-11,26-176,DEN,@,DAL,L (-5),0,7:08,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,1,2,5,1.9,-4.0
30,27,1997-01-13,26-178,DEN,,CHH,L (-2),0,2:08,0,1,0.0,0,0,,0,2,0.0,0,0,0,0,0,0,0,0,0,-1.5,-4.0
32,28,1997-01-16,26-181,DEN,,CLE,W (+1),0,6:51,3,4,0.75,2,2,1.0,0,0,,0,0,0,0,0,0,0,1,8,6.0,-1.0
33,29,1997-01-18,26-183,DEN,,DAL,L (-3),0,5:12,2,2,1.0,1,1,1.0,0,0,,0,0,0,1,0,0,2,0,5,3.1,0.0
34,30,1997-01-20,26-185,DEN,,NJN,W (+9),0,8:25,1,4,0.25,1,4,0.25,0,0,,0,1,1,2,1,0,0,1,3,2.9,-4.0
35,31,1997-01-22,26-187,DEN,,VAN,W (+10),0,3:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4.0
39,32,1997-01-30,26-195,DEN,@,HOU,W (+4),0,6:28,2,5,0.4,0,2,0.0,0,0,,0,1,1,0,0,0,0,1,4,1.2,1.0
40,33,1997-02-01,26-197,DEN,,SAC,L (-6),0,24:49,1,5,0.2,0,2,0.0,0,0,,1,1,2,1,1,0,1,5,2,-1.4,-7.0
41,34,1997-02-02,26-198,DEN,,ATL,W (+11),0,14:59,4,6,0.667,3,4,0.75,0,0,,0,0,0,4,0,0,0,2,11,10.4,1.0
42,35,1997-02-05,26-201,DEN,,WSB,W (+2),0,5:31,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,2,0,1.2,-7.0
43,36,1997-02-11,26-207,DEN,@,SEA,L (-27),0,10:32,0,5,0.0,0,3,0.0,0,0,,1,0,1,3,1,0,0,0,0,0.3,2.0
44,37,1997-02-13,26-209,DEN,,LAL,L (-15),0,22:44,8,13,0.615,5,7,0.714,0,0,,0,2,2,4,2,1,4,1,21,16.8,14.0
45,38,1997-02-15,26-211,DEN,@,MIL,L (-5),0,11:56,3,5,0.6,0,1,0.0,2,2,1.0,0,1,1,2,0,0,1,2,8,5.6,-1.0
46,39,1997-02-16,26-212,DEN,@,PHI,W (+15),0,6:46,0,3,0.0,0,0,,0,0,,0,2,2,1,1,0,0,1,0,-0.2,-4.0
47,40,1997-02-18,26-214,DEN,@,CHI,L (-11),0,2:45,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,-2.0
48,41,1997-02-20,26-216,DEN,@,IND,L (-24),0,27:27,6,14,0.429,2,8,0.25,0,0,,0,2,2,8,1,0,4,2,14,9.0,-6.0
49,42,1997-02-21,26-217,DEN,@,ORL,L (-13),1,16:50,0,3,0.0,0,1,0.0,0,0,,0,1,1,3,0,0,4,0,0,-3.7,-8.0
50,43,1997-02-23,26-219,DEN,@,MIA,L (-9),0,3:15,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,0,-2.8,-11.0
51,44,1997-02-25,26-221,DEN,,TOR,L (-2),0,21:43,5,9,0.556,5,6,0.833,0,0,,0,2,2,3,3,0,2,2,15,13.6,7.0
52,45,1997-02-28,26-224,DEN,,NYK,L (-4),0,10:14,1,3,0.333,0,2,0.0,0,0,,0,2,2,2,0,0,0,0,2,2.3,-6.0
53,46,1997-03-02,26-226,DEN,,LAC,W (+2),0,10:51,1,4,0.25,1,3,0.333,0,0,,0,0,0,2,1,0,0,0,3,3.0,-9.0
55,47,1997-03-07,26-231,DEN,@,MIN,L (-13),0,14:23,5,8,0.625,4,5,0.8,0,0,,1,1,2,1,0,0,1,4,14,9.5,-8.0
56,48,1997-03-11,26-235,DEN,,ORL,L (-5),0,26:58,1,7,0.143,1,2,0.5,0,0,,0,7,7,5,2,0,2,2,3,3.3,-7.0
57,49,1997-03-13,26-237,DEN,,DET,L (-20),0,34:14,5,9,0.556,3,6,0.5,0,0,,1,3,4,7,0,0,3,1,13,11.8,-1.0
58,50,1997-03-15,26-239,DEN,,SAS,W (+16),1,30:43,5,12,0.417,4,9,0.444,0,2,0.0,0,2,2,9,1,0,1,3,14,12.5,18.0
59,51,1997-03-17,26-241,DEN,,LAL,L (-19),1,31:00,5,9,0.556,4,7,0.571,0,0,,0,3,3,5,3,0,5,5,14,10.1,-10.0
60,52,1997-03-20,26-244,DEN,@,SEA,L (-26),1,31:07,3,9,0.333,3,8,0.375,0,0,,0,2,2,4,2,0,3,2,9,5.5,-23.0
61,53,1997-03-21,26-245,DEN,@,VAN,L (-7),1,35:16,2,8,0.25,1,4,0.25,1,2,0.5,2,1,3,8,3,0,1,2,6,9.3,-5.0
62,54,1997-03-23,26-247,DEN,,UTA,L (-17),0,10:29,0,1,0.0,0,0,,0,0,,0,0,0,4,1,0,1,0,0,2.1,4.0
63,55,1997-03-26,26-250,DEN,,MIN,L (-2),0,15:48,2,6,0.333,1,3,0.333,0,0,,0,0,0,2,2,0,3,1,5,1.6,-1.0
65,56,1997-03-30,26-254,DEN,,MIL,W (+2),0,18:06,2,5,0.4,1,2,0.5,0,0,,0,2,2,1,0,0,1,3,5,1.4,2.0
66,57,1997-04-01,26-256,DEN,,HOU,L (-17),0,19:27,6,9,0.667,1,4,0.25,0,0,,0,2,2,5,2,0,1,0,13,14.2,7.0
67,58,1997-04-02,26-257,DEN,@,LAL,L (-25),0,22:37,1,6,0.167,1,4,0.25,0,0,,0,4,4,5,1,0,2,3,3,1.7,-18.0
68,59,1997-04-04,26-259,DEN,,PHO,L (-9),0,29:52,4,12,0.333,3,8,0.375,0,0,,1,4,5,4,0,0,3,4,11,4.3,-1.0
69,60,1997-04-07,26-262,DEN,,POR,L (-6),0,25:16,5,10,0.5,3,6,0.5,2,2,1.0,1,1,2,2,1,0,1,2,15,11.6,2.0
70,61,1997-04-08,26-263,DEN,@,SAS,L (-6),0,24:30,5,10,0.5,4,7,0.571,1,2,0.5,0,1,1,1,0,1,1,2,15,9.5,-5.0
71,62,1997-04-10,26-265,DEN,@,GSW,L (-2),0,24:19,1,6,0.167,0,4,0.0,0,0,,0,5,5,5,2,0,1,1,2,3.8,-5.0
72,63,1997-04-12,26-267,DEN,@,LAC,L (-22),0,8:09,1,5,0.2,1,4,0.25,0,0,,0,0,0,0,0,0,2,0,3,-2.1,-5.0
73,64,1997-04-14,26-269,DEN,,GSW,L (-10),0,17:01,3,12,0.25,3,9,0.333,0,0,,1,2,3,0,0,0,1,4,9,0.5,-9.0
74,65,1997-04-16,26-271,DEN,@,POR,L (-44),0,15:47,1,9,0.111,1,5,0.2,0,0,,0,2,2,1,2,0,3,3,3,-3.8,-13.0
75,66,1997-04-17,26-272,DEN,,SEA,L (-4),0,5:09,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,1,3,1.6,-4.0
76,67,1997-04-19,26-274,DEN,@,DAL,W (+5),0,12:37,2,5,0.4,1,4,0.25,0,0,,0,1,1,1,1,0,0,2,5,3.5,0.0
1,1,1997-12-11,27-145,PHO,,ATL,W (+16),0,1:38,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,2.7,2.0
2,2,1997-12-13,27-147,PHO,@,MIN,L (-11),0,0:41,1,3,0.333,0,2,0.0,0,0,,1,0,1,0,0,0,1,1,2,-0.4,-4.0
3,3,1997-12-15,27-149,PHO,@,CHI,L (-7),0,5:11,3,5,0.6,1,3,0.333,1,2,0.5,0,0,0,1,1,0,1,3,8,4.8,11.0
5,4,1997-12-18,27-152,PHO,@,DAL,W (+14),0,9:41,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-2.0
6,5,1997-12-20,27-154,PHO,@,DEN,W (+21),0,3:53,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,2.3,-2.0
10,6,1997-12-30,27-164,PHO,,BOS,W (+10),0,0:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3.0
12,7,1998-01-04,27-169,PHO,@,WAS,L (-10),0,6:06,0,1,0.0,0,0,,0,0,,0,1,1,2,0,0,0,0,0,1.0,-1.0
14,8,1998-01-09,27-174,PHO,,SAS,W (+21),0,5:13,1,3,0.333,0,0,,0,0,,0,1,1,0,2,0,1,1,2,1.2,-6.0
16,9,1998-01-13,27-178,PHO,,CLE,L (-18),0,1:38,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1.0
17,10,1998-01-16,27-181,PHO,,ORL,W (+25),0,6:03,1,3,0.333,1,3,0.333,0,0,,0,0,0,0,1,0,2,0,3,0.3,-8.0
19,11,1998-01-20,27-185,PHO,@,GSW,W (+18),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,3.0
20,12,1998-01-21,27-186,PHO,,LAL,L (-10),0,2:26,2,5,0.4,1,3,0.333,0,1,0.0,0,0,0,0,0,0,0,0,5,1.9,4.0
21,13,1998-01-23,27-188,PHO,,DEN,W (+16),0,1:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1.0
28,14,1998-02-13,27-209,NYK,@,ORL,W (+16),0,1:42,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,0,-1.7,1.0
30,15,1998-02-17,27-213,NYK,@,DEN,W (+14),0,0:58,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,-0.1,-4.0
31,16,1998-02-18,27-214,NYK,@,UTA,L (-16),0,6:54,3,3,1.0,1,1,1.0,0,0,,0,0,0,2,1,0,1,0,7,7.5,6.0
33,17,1998-02-22,27-218,NYK,,HOU,W (+18),0,1:49,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,1.0
34,18,1998-02-24,27-220,NYK,,GSW,L (-5),0,5:55,0,0,,0,0,,0,0,,0,1,1,2,0,1,0,0,0,2.4,2.0
35,19,1998-02-26,27-222,NYK,,MIL,W (+12),0,17:23,4,6,0.667,2,3,0.667,1,1,1.0,0,4,4,2,1,0,1,3,11,9.8,1.0
36,20,1998-03-01,27-225,NYK,,LAL,W (+12),0,6:12,0,2,0.0,0,1,0.0,0,0,,0,3,3,0,1,0,0,0,0,0.5,-2.0
37,21,1998-03-03,27-227,NYK,,NJN,W (+3),0,16:39,2,4,0.5,1,2,0.5,0,0,,0,0,0,6,1,0,1,4,5,5.6,-5.0
38,22,1998-03-05,27-229,NYK,@,WAS,L (-13),0,8:41,0,1,0.0,0,0,,0,0,,0,0,0,1,1,0,1,3,0,-1.2,-13.0
39,23,1998-03-06,27-230,NYK,@,PHI,L (-9),0,4:16,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,3,0,-0.5,-5.0
40,24,1998-03-08,27-232,NYK,,CHI,L (-13),0,7:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,3.0
41,25,1998-03-10,27-234,NYK,,ORL,W (+7),0,15:23,1,3,0.333,0,2,0.0,0,0,,0,1,1,3,0,0,1,1,2,1.3,-3.0
42,26,1998-03-11,27-235,NYK,@,CHH,L (-7),0,11:16,0,1,0.0,0,0,,0,0,,0,0,0,3,0,0,2,0,0,-0.6,1.0
48,27,1998-03-24,27-248,NYK,@,GSW,W (+13),0,2:09,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,0.0,-6.0
