model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,134,34,13.94111460639136,3.733780203278088,0.4812280636047323,33.38954129930147,5.778368394218343,0.0919967596981227,4.852941176470588,180880185336.5981,16.688107405876018,-27.35768073869055,6.843674945984228,0.6376645760381798,3.879298607634178,-12.562710265188452,10.954347455929703,-39525823490734.0,-6438775998556.895,-37192038129717.79,-6438775998556.026,50829233592488.41,-6438775998563.705,-2075320342140.9705,-6438775998564.525,-1125184261607.5542,-6438775998560.19,-4830808499750.017,-6438775998561.09,-95838140623.13223,10999062428.17996,6257895813225.594,-6438775998561.396,-4855811509.778502,-6438775998559.688,676068425.4460322,-6438775998560.291,-11776892.46754273,-6438775998550.24,1941251.002191054,599134.4555886746,6257895813232.545,-6438775998560.513,9745.688120126724,-6438775998562.096,6.0130767822265625,-6438775998561.727,0.015625,-6438775998556.166,0.0,-6438775998558.205,0.0,-6438775998560.793,0.0,-6438775998560.907,0.0,-6438775998558.215,6257895813226.734,-6438775998562.581,0.0,-6438775998563.844,0.0,0.0,0.0,-6438775998557.096,0.0,0.0,0.0,0.0,6257895813223.445,-6438775998561.972,0.0,-6438775998564.901,0.0,-6438775998560.742,0.0,0.0,0.0,0.0,6257895813226.979,-6438775998561.184,0.0,0.0,0.0,-6438775998562.902,0.0,-6438775998563.635,0.0,0.0,0.0,-6438775998560.125,0.0,-6438775998558.07,0.0,0.0,0.0,-6438775998559.365
"Random Forest (100 estimators, 20 depth)",134,34,3.8397743521339582,1.959534218158478,0.8571156444647409,36.76298905644345,6.06324905116419,0.0002584076490007,4.852941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",134,34,5.978773916832104,2.445153147930024,0.7775199322525791,38.75480661758545,6.225335863837826,-0.053907559573944,4.852941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",134,34,10.242044484704095,3.200319434791486,0.6188765819670891,37.63710492041464,6.134908713291066,-0.0235125100096291,4.852941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),134,34,14.881439647768524,3.857646905533026,0.4462370132957024,32.16446611519463,5.671372507179777,0.1253117497667555,4.852941176470588,2.913279379779953,-1.793912322983597,-1.8403806518519872,1.2974199253617356,0.4242061267229592,3.5038159955006694,-2.240814373911019,3.340492068372148,0.0,2.9272389000738634,0.0,3.845013426886743,0.0,-2.2794067095734505,0.0,-1.873913055986952,0.0,-0.5880153949089589,0.0,-1.0989588933871135,0.0,0.0,-1.5560161164422823,-0.8772717968553175,0.0,0.4531624834176208,0.0,-0.2028343677329836,0.0,6.240409217844261,0.0,0.0,3.382579779618168,-0.2805577321847345,0.0,-1.3235310315350106,0.0,-1.148939846847123,0.0,3.894237485808587,0.0,0.9594473489013552,0.0,-0.5159555536518977,0.0,-0.5531292090267013,0.0,1.981356297752638,0.1020403641127791,-2.1494749134132034,0.0,-2.912694116873268,0.0,0.0,0.0,3.3390433726713127,0.0,0.0,0.0,0.0,-1.0923980589512363,-1.3558897244688737,0.0,-3.564311543011334,0.0,-0.6157928502494775,0.0,0.0,0.0,0.0,-0.8362059683377829,-0.0961574959857279,0.0,0.0,0.0,-2.1392831349395145,0.0,-2.5314576200159915,0.0,0.0,0.0,-0.029273676059831,0.0,1.9815225545267103,0.0,0.0,0.0,0.5154175788243421
Ridge (lambda=0.1),134,34,14.089895294691258,3.753650928721431,0.4756916880747461,32.53723726483236,5.704142114712111,0.1151745212038344,4.852941176470588,3.562028717929736,-1.4534781452956629,-6.758056223871836,4.783368835876445,0.5929800540245455,3.869632314216,-8.198420412492377,7.613299737135002,0.0,3.4813506540536108,0.0,4.2991877732548645,0.0,-3.184689109238346,0.0,-3.052233472304464,0.0,-0.4594258342846325,0.0,-1.0684574570154717,0.0,0.0,-2.207705845077,-1.1500323871114893,0.0,0.4627865399642941,0.0,-0.1665995564339107,0.0,9.280236809739856,0.0,0.0,4.443101909459521,-0.1898853171676366,0.0,-1.770049697660108,0.0,-1.395350619233802,0.0,4.40621869304602,0.0,1.6122227666125497,0.0,-0.5241574077542561,0.0,-0.5391932393154159,0.0,2.0787867627677645,-0.7189721304501488,-2.3548476402638947,0.0,-3.595887700391118,0.0,0.0,0.0,3.402986921091875,0.0,0.0,0.0,0.0,-1.0064523947326605,-1.6765902102478911,0.0,-4.566611905946599,0.0,-0.3875161698259837,0.0,0.0,0.0,0.0,-0.5099715392051626,-0.5497282480631172,0.0,0.0,0.0,-2.5973392376917657,0.0,-3.093276586932029,0.0,0.0,0.0,-0.0530118300258945,0.0,2.444042190314556,0.0,0.0,0.0,0.9070645160625292
Lasso (lambda=0.1),134,34,19.52000188187242,4.418144619845804,0.2736284392887981,33.11372863338244,5.7544529395401645,0.09949727586652,4.852941176470588,2.373649838002723,0.0,0.0,-0.0,0.0212532799041844,2.4005771034230188,-0.0,0.552979769969469,0.0,0.2858369183576437,0.0,2.117078815175233,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.872058027623813,0.0,0.0,2.9344081346604405,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.7770556830159938,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.7274479730559746,0.3787967792296836,-0.0,0.0,-0.0,0.0,0.0,0.0,2.8165021548631803,0.0,0.0,0.0,0.0,-0.4318710855822596,-0.0,0.0,-0.787038809505097,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0650821132666986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),134,34,26.87330140343061,5.183946508542561,0.0,36.942765321766935,6.078056047929053,-0.0046304714757481,4.852941176470588,4.440298507462686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",134,34,10.554159066764452,3.2487165260706345,0.6072622820574951,35.615054905583726,5.967835026672883,0.0314756058515893,4.852941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),134,34,14.313171300919343,3.783275208191884,0.467383218531827,32.84229316775045,5.730819589530842,0.1068787573944455,4.852941176470588,2.4663786251581907,-0.0,-6.952846560221655,1.7597896708164098,0.453447645363862,3.782781147141717,-4.736383370493047,6.164728593776155,0.0,3.8363039224169126,0.0,4.845128758295539,0.0,-2.1800020623515413,0.0,-1.8917083626023892,0.0,-0.0,0.0,-0.3233823897942586,0.0,0.0,-0.8643874818217859,-0.2791554821650847,0.0,0.8439181460095845,0.0,0.0,0.0,9.536478023559145,0.0,0.0,4.850372723662467,0.0,0.0,-0.7958164623946284,0.0,-0.6679825801329295,0.0,4.889345922556887,0.0,1.6721537717176258,0.0,0.0,0.0,-0.0,0.0,2.6103468259780422,0.0,-1.7147959035547282,0.0,-2.7854765092948077,0.0,0.0,0.0,3.92904425047164,0.0,0.0,0.0,0.0,-0.4179774193903154,-0.6809402586198805,0.0,-3.771991526515818,0.0,-0.0,0.0,0.0,0.0,0.0,0.0243975127736965,0.0,0.0,0.0,0.0,-1.7207544158936792,0.0,-2.2229427092613308,0.0,0.0,0.0,0.1945381769761652,0.0,2.681544651386757,0.0,0.0,0.0,0.9953476255961272
