Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-24,20-053,ATL,@,DET,W (+17),1,21:27,0,6,.000,0,5,.000,1,2,.500,1,6,7,1,1,0,0,1,1,0.2,+11
2,2,2019-10-26,20-055,ATL,,ORL,W (+4),1,22:59,3,9,.333,0,3,.000,0,0,,1,2,3,0,1,0,1,1,6,1.8,-1
3,3,2019-10-28,20-057,ATL,,PHI,L (-2),1,26:44,2,7,.286,0,1,.000,0,0,,0,4,4,0,2,0,2,1,4,0.7,-3
4,4,2019-10-29,20-058,ATL,@,MIA,L (-15),1,26:00,2,10,.200,0,5,.000,2,2,1.000,1,2,3,6,3,0,6,5,6,0.3,-17
5,5,2019-10-31,20-060,ATL,,MIA,L (-9),1,28:32,2,11,.182,1,4,.250,4,4,1.000,0,6,6,4,1,1,1,1,9,7.0,-18
6,6,2019-11-05,20-065,ATL,,SAS,W (+8),1,28:42,4,6,.667,3,3,1.000,1,2,.500,1,2,3,1,0,0,1,2,12,9.2,+1
7,7,2019-11-06,20-066,ATL,,CHI,L (-20),1,23:04,1,8,.125,1,4,.250,2,2,1.000,1,2,3,1,0,0,4,1,5,-2.6,-20
8,8,2019-11-08,20-068,ATL,,SAC,L (-12),1,21:44,3,8,.375,1,2,.500,0,0,,0,1,1,1,1,1,1,2,7,3.5,-16
9,9,2019-11-10,20-070,ATL,@,POR,L (-11),0,15:53,0,4,.000,0,1,.000,0,0,,0,5,5,0,2,0,2,1,0,-1.7,+1
10,10,2019-11-12,20-072,ATL,@,DEN,W (+4),0,20:01,2,7,.286,0,3,.000,1,2,.500,1,1,2,4,0,0,1,1,5,2.9,-12
11,11,2019-11-14,20-074,ATL,@,PHO,L (-16),1,20:57,2,7,.286,1,6,.167,4,4,1.000,1,4,5,1,0,0,3,5,9,2.5,-12
