,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,3,1,2015-11-01,21-085,OKC,,DEN,W (+24),0,4:27,0,0,,0,0,,0,0,,0,0,0,3,1,0,0,1,0,2.7,-1.0
1,7,2,2015-11-08,21-092,OKC,,PHO,W (+21),0,1:59,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1.0
2,8,3,2015-11-10,21-094,OKC,@,WAS,W (+24),0,3:22,1,3,0.333,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,2,0.6,1.0
3,9,4,2015-11-13,21-097,OKC,,PHI,W (+17),0,1:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4.0
4,10,5,2015-11-15,21-099,OKC,,BOS,L (-15),0,0:28,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0.0
5,11,6,2015-11-16,21-100,OKC,@,MEM,L (-8),0,11:45,1,2,0.5,1,1,1.0,0,0,,0,1,1,1,0,0,1,2,3,1.2,-8.0
6,14,7,2015-11-22,21-106,OKC,,DAL,W (+3),0,5:11,1,3,0.333,0,1,0.0,0,0,,0,2,2,1,0,0,1,1,2,0.2,-9.0
7,15,8,2015-11-23,21-107,OKC,@,UTA,W (+22),0,3:35,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-9.0
8,20,9,2015-12-06,21-120,OKC,,SAC,W (+3),0,4:29,1,3,0.333,1,2,0.5,0,0,,0,3,3,0,0,0,1,0,3,1.2,-4.0
9,21,10,2015-12-08,21-122,OKC,@,MEM,W (+37),0,6:17,2,3,0.667,1,2,0.5,0,0,,0,3,3,2,0,0,0,0,5,6.0,3.0
10,22,11,2015-12-10,21-124,OKC,,ATL,W (+13),0,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2.0
11,25,12,2015-12-16,21-130,OKC,,POR,W (+16),0,3:06,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-4.0
12,27,13,2015-12-19,21-133,OKC,,LAL,W (+40),0,9:30,3,4,0.75,0,0,,0,0,,0,1,1,3,3,1,2,0,6,8.5,5.0
13,29,14,2015-12-23,21-137,OKC,@,LAL,W (+35),0,8:34,2,5,0.4,1,3,0.333,0,0,,0,1,1,1,2,0,0,0,5,5.3,0.0
14,31,15,2015-12-27,21-141,OKC,,DEN,W (+10),0,12:08,2,4,0.5,2,2,1.0,0,0,,0,4,4,2,0,0,1,3,6,4.4,-5.0
15,32,16,2015-12-29,21-143,OKC,,MIL,W (+8),0,15:44,5,6,0.833,2,3,0.667,4,4,1.0,0,3,3,3,1,0,0,4,16,16.2,2.0
16,33,17,2015-12-31,21-145,OKC,,PHO,W (+4),0,13:32,3,7,0.429,1,2,0.5,0,0,,0,0,0,4,0,0,1,1,7,4.7,-7.0
17,34,18,2016-01-02,21-147,OKC,@,CHO,W (+19),0,19:46,3,5,0.6,0,1,0.0,1,2,0.5,0,3,3,3,1,0,0,4,7,6.7,3.0
18,35,19,2016-01-04,21-149,OKC,,SAC,L (-12),0,18:43,5,12,0.417,1,4,0.25,0,0,,1,4,5,1,1,1,0,5,11,6.9,-17.0
19,36,20,2016-01-06,21-151,OKC,,MEM,W (+18),0,18:05,3,7,0.429,2,3,0.667,0,0,,0,1,1,3,0,0,1,4,8,4.1,3.0
20,37,21,2016-01-08,21-153,OKC,@,LAL,W (+4),0,24:42,5,9,0.556,1,2,0.5,0,0,,1,0,1,1,1,0,1,1,11,7.7,-2.0
21,38,22,2016-01-10,21-155,OKC,@,POR,L (-5),0,9:46,2,5,0.4,1,2,0.5,0,0,,0,0,0,2,0,0,0,0,5,3.7,-8.0
22,39,23,2016-01-12,21-157,OKC,@,MIN,W (+5),0,14:41,2,7,0.286,2,4,0.5,0,0,,0,2,2,2,0,0,2,2,6,1.1,-6.0
23,40,24,2016-01-13,21-158,OKC,,DAL,W (+19),0,25:10,4,6,0.667,2,3,0.667,0,0,,0,3,3,3,3,0,1,3,10,11.2,5.0
24,41,25,2016-01-15,21-160,OKC,,MIN,W (+20),0,23:49,6,11,0.545,1,2,0.5,1,1,1.0,0,2,2,5,4,1,1,1,14,16.1,3.0
25,42,26,2016-01-17,21-162,OKC,,MIA,W (+25),0,14:37,0,3,0.0,0,1,0.0,0,0,,1,2,3,2,1,0,0,2,0,0.8,10.0
26,43,27,2016-01-19,21-164,OKC,@,DEN,W (+6),0,20:28,0,9,0.0,0,6,0.0,0,0,,1,3,4,6,4,0,1,2,0,1.7,12.0
27,44,28,2016-01-20,21-165,OKC,,CHO,W (+14),0,22:51,3,8,0.375,1,3,0.333,0,1,0.0,0,5,5,3,0,0,1,0,7,4.8,-5.0
28,45,29,2016-01-22,21-167,OKC,@,DAL,W (+3),0,13:24,4,10,0.4,0,4,0.0,0,0,,0,2,2,3,0,0,2,2,8,2.5,12.0
29,46,30,2016-01-24,21-169,OKC,@,BRK,L (-10),0,12:43,4,5,0.8,2,3,0.667,0,0,,0,0,0,2,1,1,0,1,10,10.8,3.0
