model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,144,36,13.577169010983168,3.684721022137656,0.3123065995140428,20.089203595599862,4.4820981242716975,0.0230907710818571,5.861111111111111,-1.8911379600258893,-0.3507095229672318,-0.3507095229672243,7.638924257672363,1.373239351472907,6.766486997752919,-9.25225105204175,7.911698921920047,9.992007221626407e-15,-0.8442501808188627,2.220446049250313e-15,-2.6947919008358943,8.881784197001252e-16,0.8536963158702284,2.664535259100376e-15,-0.5380785566375925,-1.7763568394002505e-15,1.735635546286586,-8.881784197001252e-16,-0.8101123889948085,-6.661338147750939e-16,-4.440892098500626e-16,2.8938595007148846,-2.7755575615628914e-16,0.0,-1.1102230246251563e-16,1.1102230246251563e-16,-0.9478890431188164,0.0,0.0,0.0,0.0,0.0,2.981504934836128,0.0,0.0,0.0,0.0288251196700626,0.0,-1.5358826910756704,0.0,1.141052195405427,0.0,4.698992932890008,0.0,0.4925991455575103,0.0,-0.1225481657759803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.402110040500079,0.0,0.0,0.0,0.0,-2.8938595007148784,-0.7975590473123362,0.0,0.0,0.0,0.3568031744245794,0.0,0.0,0.0,0.0,0.0,-0.9201847699341412,0.0,0.0,0.0,0.0,0.0,-2.3169660971588417,0.0,0.0,0.0,1.3037858884616458,0.0,1.100658160025307,0.0,0.0,0.0,-2.7631805312644406
"Random Forest (100 estimators, 20 depth)",144,36,2.7667009598922903,1.6633403018902326,0.8598646013983504,21.039911734693884,4.58692835508621,-0.0231408055293711,5.861111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",144,36,3.6555531735109534,1.911950097024228,0.8148435958545279,21.907432693338404,4.680537650028937,-0.0653271085725326,5.861111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",144,36,8.174633906689719,2.859131670051192,0.585948898148674,19.79393083597319,4.449037068397294,0.0374494629311751,5.861111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),144,36,14.00167399265481,3.741881076765376,0.2908051160948671,16.02870670731058,4.003586730334511,0.2205469253433449,5.861111111111111,-0.5960510230405749,1.4682784793681245,1.4682784793681305,2.9255487112764955,1.1319891342737425,4.483629223704871,-2.26597936499074,2.143534591317289,0.0,-0.6035034795922631,0.0,-2.0969754965363423,0.0,0.6654097292111385,0.0,-0.3576914913790116,0.0,1.4820688799938402,0.0,-0.550514453162362,0.0,0.0,2.025826988628005,0.0,0.0,0.0,0.0,-0.7260024843396203,0.0,0.0,0.0,0.0,0.0,2.475985743608322,0.0,0.0,0.0,-0.6631951564898538,0.0,-0.5010387588501252,0.0,0.7616573572597659,0.0,3.142743532395428,0.0,0.6586114440742946,0.0,-0.3867684326504554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6261144292394332,0.0,0.0,0.0,0.0,-2.0258269886280025,-0.3075548953101282,0.0,0.0,0.0,0.2243214041222,0.0,0.0,0.0,0.0,0.0,-0.9484146029964694,0.0,0.0,0.0,0.0,0.0,-1.612636808118601,0.0,0.0,0.0,1.436169812764248,0.0,0.9594866434724146,0.0,0.0,0.0,-2.4260440582369203
Ridge (lambda=0.1),144,36,13.605232113711423,3.688527092717556,0.310885183125415,18.70878511780066,4.325365316109226,0.0902185466710572,5.861111111111111,-1.4893592924427947,0.4472976279165173,0.4472976279164659,6.373516115156846,1.324215642404914,6.501076931101522,-7.240232299365962,5.697748356528771,0.0,-0.7863621696676527,0.0,-2.704945403484392,0.0,0.8247215811034015,0.0,-0.4728652015478167,0.0,1.7012899292055288,0.0,-0.7258723049839214,0.0,0.0,2.612742327676882,0.0,0.0,0.0,0.0,-0.9265327234945692,0.0,0.0,0.0,0.0,0.0,2.878909729896111,0.0,0.0,0.0,-0.1750929718443349,0.0,-1.3005567927301565,0.0,1.043497892177117,0.0,4.3752838588754335,0.0,0.5904460480367484,0.0,-0.1912183956822114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4605547295348173,0.0,0.0,0.0,0.0,-2.612742327676768,-0.6278091306675382,0.0,0.0,0.0,0.2814663347685394,0.0,0.0,0.0,0.0,0.0,-0.9402010191232684,0.0,0.0,0.0,0.0,0.0,-2.17161687439848,0.0,0.0,0.0,1.4312093324739836,0.0,1.0674332581026698,0.0,0.0,0.0,-2.710630247480351
Lasso (lambda=0.1),144,36,17.05740370917416,4.130060981290005,0.1360302025602957,18.64376470405124,4.317842598341357,0.0933803963659748,5.861111111111111,2.502784386972892,3.5931506742189425,0.0,0.0,0.3672491824970526,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0535950061468234,0.0,-0.0,0.0,0.0,0.3401338120483518,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.8211211034031024,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0287017150139316,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0096695816745285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.535247905317004
Lasso (lambda=1.0),144,36,19.74305555555556,4.443315828922761,0.0,22.65046296296296,4.7592502521892,-0.1014596075194176,5.861111111111111,4.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",144,36,7.783417320206651,2.7898776532684457,0.6057643003483089,21.13632103575811,4.597425479086976,-0.0278290519058388,5.861111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),144,36,13.738934716449704,3.70660690071792,0.3041130498878799,17.452111712322658,4.177572466435819,0.1513287764372757,5.861111111111111,-3.755206696908961,0.985289308261732,0.0,4.743500841065555,1.231635758055955,6.1462089454945374,-5.057012369708454,4.8276656001592695,0.0,-0.1354461841415441,0.0,-1.770813253926356,0.0,0.832309410822478,0.0,-0.0,0.0,1.9709577236913105,0.0,-0.0,0.0,0.0,4.609376211099172,0.0,0.0,0.0,0.0,-0.1646376909913584,0.0,0.0,0.0,0.0,0.0,3.1513566783698725,0.0,0.0,0.0,-0.0,0.0,-0.3948878086256823,0.0,1.1042359546101512,0.0,4.339434652299785,0.0,0.9130740488852362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0652377952290425,-0.0,0.0,0.0,0.0,0.5062064494186791,0.0,0.0,0.0,0.0,0.0,-0.3962930525281976,0.0,0.0,0.0,0.0,0.0,-1.3647755973407631,0.0,0.0,0.0,1.6145520739809855,0.0,1.405517824085691,0.0,0.0,0.0,-2.1216805389421207
