model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,455,114,21.03526502040628,4.586421810126744,0.3148366318177096,23.91230713500708,4.890021179402711,0.2442501373381518,6.719298245614035,7.514082522531897,-14.12279208990817,6.830121194088715,-8.572463336916655,-0.801363180821649,5.46110501620248,-2.116613487553641,8.997125188855778,-1.2212453270876722e-14,0.2074612584357136,-0.1366153986740164,-0.1093257160524006,-6.217248937900877e-15,-4.440892098500626e-15,3.552713678800501e-15,0.6301342433738932,-4.329869796038111e-15,-0.2347401637716506,3.8016317968796094,-1.829878838232792,1.7763568394002505e-15,0.4934664055649085,0.0438175831788294,0.26690562599951,-2.220446049250313e-16,2.4633500199465264,0.0,0.0108604041683646,-6.034468979562622,0.8587255692290889,7.979727989493313e-17,0.0,-6.549010475798522,2.537664199053532,-2.827599265842196e-16,-0.1765757440850692,3.3306690738754696e-16,0.7779964696692979,1.1102230246251563e-15,-1.559939538648529,3.3306690738754696e-16,0.5307600114833555,0.0,1.895762992036276,-5.551115123125783e-17,-0.832112123787278,0.0,0.5004799429973773,4.707706620407196,1.2074288081282092,0.0,0.0,0.0,1.3747407919279642,0.0,0.2638041620404541,0.0,0.0,0.0,-3.4344550042323863,0.0,-0.5744808584679335,0.0,0.0,0.0,1.194131156359073,0.0,0.0,0.0,-2.678867488365112,0.0,0.8561531564710079,0.0,-2.702540767722223,4.166938853569623,-1.5599718003474736,0.0,-1.1329114387842096,0.0,0.0,0.0,0.4002483969460046,0.0,0.0190158695886004,0.0,0.0,0.0,0.336709999078006
"Random Forest (100 estimators, 20 depth)",455,114,3.7554356139213287,1.9378946343703336,0.8776774663057529,22.9120716126428,4.786655576980947,0.2758626394019801,6.719298245614035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",455,114,7.012459208686054,2.648104833401815,0.7715892732512168,23.06650845683888,4.802760503797673,0.2709816539273394,6.719298245614035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",455,114,14.787504466551663,3.845452439772421,0.5183394952483698,21.35238550438099,4.6208641512579645,0.3251566098858577,6.719298245614035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),455,114,21.298293366419536,4.615007406973421,0.306269238570844,23.74835427160526,4.873228321308705,0.2494318771551997,6.719298245614035,5.856657232760849,-4.400923763954552,3.066101057454264,-2.620154898037028,-0.7827771305571051,5.02077263390488,-2.8040939256125403,2.748955750721052,0.0,0.2806658860690355,0.0694931193599917,-0.0574594193774001,0.0,0.0,0.0,0.5527906764536528,0.0,-0.2323113718702441,0.1696282719940779,-1.7003360668536642,0.0,0.423965709851075,0.8758771415285258,0.3725190869784606,0.0,2.2752517732913207,0.0,-0.0516111252340212,-3.639713387557319,0.7512115935603636,0.0,0.0,-2.6799966189005056,2.46543709740044,0.0,-0.3450816928421232,0.0,0.6144180886061029,0.0,-1.417905280798566,0.0,0.6470406343782358,0.0,1.7357457808527126,0.0,-0.952367677942831,0.0,0.5330765172195332,3.709062914097204,1.1195114755275006,0.0,0.0,0.0,0.7863982617579957,0.0,0.1128781291906796,0.0,0.0,0.0,-2.9754758919224247,0.0,-0.6070643724330997,0.0,0.0,0.0,1.0039909677586798,0.0,0.0,0.0,-1.7849543930143243,0.0,0.8797010763273456,0.0,-2.4588523349517337,1.495648559477688,-1.5104011923748013,0.0,-1.1361430066348983,0.0,0.0,0.0,0.3734700727383809,0.0,0.0816759412063152,0.0,0.0,0.0,0.2202150570824623
Ridge (lambda=0.1),455,114,21.051144734002293,4.5881526493788645,0.3143193957361742,23.786585389466847,4.877149309736872,0.248223580443796,6.719298245614035,7.115913924820671,-11.620993632379207,5.886305157213122,-6.077432871042436,-0.7995843697088117,5.365060883013448,-3.438211430130126,7.470371596911539,0.0,0.2304373231156617,-0.0722299441718593,-0.0984008567545636,0.0,0.0,0.0,0.6341304549357232,0.0,-0.2444600127693757,2.896438831135496,-1.8173780492012857,0.0,0.4778109164631015,0.2384274359082471,0.2916341350827204,0.0,2.43566952678916,0.0,0.0020962521499136,-5.48394672799391,0.8244285738183013,0.0,0.0,-5.599680715467418,2.557783592117916,0.0,-0.2283584700959256,0.0,0.7382387297444188,0.0,-1.5303338080266966,0.0,0.561636934995653,0.0,1.8777781929302888,0.0,-0.8823336898476674,0.0,0.5171339050700811,4.481595863588113,1.1901459234355232,0.0,0.0,0.0,1.2904073295842782,0.0,0.2363976359457991,0.0,0.0,0.0,-3.393097201185648,0.0,-0.5829765262701369,0.0,0.0,0.0,1.1579573744445673,0.0,0.0,0.0,-2.5058613334710893,0.0,0.8643589175766951,0.0,-2.658484713105005,3.539395256996584,-1.5625090467800642,0.0,-1.1410686624605204,0.0,0.0,0.0,0.3940209510059696,0.0,0.0352475839196947,0.0,0.0,0.0,0.3279481168428338
Lasso (lambda=0.1),455,114,23.916362566411888,4.890435825814698,0.2209931505605,23.158655729838816,4.812344099276237,0.2680693339859309,6.719298245614035,4.27978930056433,0.0,0.0792556309500145,-0.0,-0.3731801455313454,4.134669598265518,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.7654601107589158,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2.5546990430846663,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.3859695221955946,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),455,114,30.7010940707644,5.540856799337481,0.0,31.65421728454696,5.626208073342734,-0.000433384800516,6.719298245614035,6.602197802197802,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",455,114,14.468811142917293,3.803789050790973,0.5287200153334131,21.970460781340684,4.687265810826252,0.3056223046831141,6.719298245614035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),455,114,21.51854344341436,4.63880840770713,0.2990952246257004,23.404916851881925,4.837862839300214,0.2602862368505413,6.719298245614035,6.018485805098357,-2.084828697583418,2.611596891178131,-1.624948470510946,-0.7458815875043183,4.975375429955499,-2.8736700712387013,0.7102950665152838,0.0,0.0,-0.0,-0.0086951593674324,0.0,0.0,0.0,0.0,0.0,-0.1366260001483505,-0.0,-1.7224412837721188,0.0,0.0,0.8700245183911512,0.0,0.0,1.8706855100389668,0.0,-0.0019326983225662,-3.346097186179344,0.3299181963158323,0.0,0.0,-1.69528484526765,2.1100470901234964,0.0,-0.3268555334617651,0.0,0.1171574903979081,0.0,-1.4325259201864733,0.0,0.2188107682101734,0.0,1.3569052805167718,0.0,-0.9590589225444002,0.0,0.1599049823731366,3.380480932466017,0.6554828790661483,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-2.9666007874218576,0.0,-0.6863721661900481,0.0,0.0,0.0,0.4958525633360782,0.0,0.0,0.0,-1.0485632241600236,0.0,0.4159418067176764,0.0,-2.500717804010638,0.806789223237565,-1.5407593677910292,0.0,-1.114431695876863,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
