Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,2011-12-29,23-065,HOU,,SAS,W (+20),0,16:34,2,5,.400,0,2,.000,1,2,.500,2,3,5,0,0,0,1,0,5,3.2,+3
3,2,2011-12-30,23-066,HOU,@,MEM,L (-20),0,16:49,5,9,.556,3,3,1.000,0,1,.000,1,5,6,1,1,0,1,4,13,9.6,+1
4,3,2011-12-31,23-067,HOU,,ATL,W (+11),0,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
5,4,2012-01-03,23-070,HOU,@,LAL,L (-9),0,2:51,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-2
6,5,2012-01-04,23-071,HOU,@,LAC,L (-28),0,24:29,5,8,.625,1,3,.333,0,0,,2,6,8,1,0,0,4,3,11,6.1,-3
7,6,2012-01-06,23-073,HOU,@,OKC,L (-15),0,18:43,3,6,.500,0,3,.000,0,2,.000,2,2,4,0,1,1,1,3,6,3.7,-4
8,7,2012-01-07,23-074,HOU,,OKC,L (-3),1,30:15,1,6,.167,0,2,.000,0,0,,3,5,8,3,3,1,2,4,2,4.0,+14
9,8,2012-01-10,23-077,HOU,@,CHA,W (+12),1,31:18,9,16,.563,2,4,.500,0,0,,3,4,7,0,1,0,1,1,20,15.3,+7
10,9,2012-01-11,23-078,HOU,@,SAS,L (-6),1,32:43,4,10,.400,0,5,.000,0,0,,2,4,6,4,3,1,0,4,8,10.1,-4
11,10,2012-01-13,23-080,HOU,,SAC,W (+14),1,36:07,5,9,.556,0,3,.000,1,2,.500,1,5,6,2,3,1,0,1,11,13.2,+14
12,11,2012-01-14,23-081,HOU,,POR,W (+2),1,16:41,2,6,.333,0,0,,0,0,,2,3,5,0,1,1,1,4,4,2.0,-6
13,12,2012-01-16,23-083,HOU,@,WAS,W (+8),1,29:21,4,7,.571,0,1,.000,0,0,,3,5,8,4,0,2,0,2,8,11.7,+11
14,13,2012-01-17,23-084,HOU,,DET,W (+17),1,31:03,3,7,.429,1,1,1.000,0,0,,2,5,7,4,2,0,0,1,7,10.6,+14
15,14,2012-01-19,23-086,HOU,,NOH,W (+2),1,24:34,1,5,.200,1,3,.333,0,0,,2,5,7,1,1,0,1,3,3,2.3,+8
16,15,2012-01-21,23-088,HOU,,SAS,W (+3),1,22:02,2,6,.333,1,4,.250,0,0,,1,4,5,0,0,2,1,2,5,3.1,-1
