Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1995-11-03,23-023,DAL,@,SAS,W (+6),0,6:00,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-2.6,
2,2,1995-11-04,23-024,DAL,,GSW,W (+15),0,5:00,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,0,4,3.7,
3,3,1995-11-07,23-027,DAL,,VAN,W (+11),0,26:00,2,6,.333,0,0,,0,0,,4,6,10,1,1,1,3,2,4,3.8,
4,4,1995-11-09,23-029,DAL,,MIL,W (+10),0,12:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2,
5,5,1995-11-13,23-033,DAL,@,VAN,W (+5),0,13:00,0,3,.000,0,0,,2,2,1.000,2,4,6,0,1,1,0,0,2,4.2,
6,6,1995-11-15,23-035,DAL,@,LAL,L (-17),0,20:00,1,6,.167,0,0,,2,2,1.000,3,4,7,1,0,1,0,0,4,4.9,
7,7,1995-11-17,23-037,DAL,@,LAC,L (-11),0,6:00,0,2,.000,0,0,,1,2,.500,1,2,3,1,0,0,0,0,1,1.2,
8,8,1995-11-18,23-038,DAL,@,GSW,L (-13),0,7:00,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,0,0,2,3.0,
9,9,1995-11-21,23-041,DAL,,CHI,L (-6),0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0,
10,10,1995-11-28,23-048,DAL,@,MIA,L (-22),0,7:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,
11,11,1995-11-30,23-050,DAL,@,ORL,L (-14),0,17:00,2,4,.500,0,0,,2,2,1.000,1,5,6,2,1,2,1,0,6,9.0,
12,12,1995-12-01,23-051,DAL,@,ATL,W (+8),0,3:00,1,1,1.000,0,0,,0,0,,1,0,1,0,0,1,0,0,2,3.1,
13,13,1995-12-06,23-056,DAL,@,PHI,L (-21),0,5:00,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,0,2,0.6,
14,14,1995-12-19,23-069,DAL,@,CHI,L (-13),0,6:00,0,2,.000,0,0,,1,2,.500,0,1,1,0,1,1,1,1,1,-0.2,
15,15,1995-12-22,23-072,DAL,@,IND,L (-11),0,13:00,1,3,.333,0,0,,0,0,,1,2,3,0,1,0,1,0,2,1.6,
16,16,1995-12-23,23-073,DAL,@,MIN,L (-13),0,26:00,7,12,.583,0,0,,1,1,1.000,2,6,8,1,0,5,0,4,15,15.2,
17,17,1995-12-26,23-076,DAL,@,DEN,L (-12),0,9:00,1,3,.333,0,0,,0,0,,0,2,2,1,0,0,2,0,2,-0.4,
18,18,1995-12-28,23-078,DAL,,VAN,W (+2),0,7:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,
19,19,1996-01-02,23-083,DAL,,UTA,L (-10),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
20,20,1996-01-04,23-085,DAL,@,WSB,L (-12),0,12:00,1,1,1.000,0,0,,0,0,,0,5,5,0,0,0,0,3,2,2.0,
21,21,1996-01-05,23-086,DAL,@,NJN,L (-8),0,16:00,0,1,.000,0,0,,0,0,,0,3,3,0,1,1,1,1,0,0.5,
22,22,1996-01-07,23-088,DAL,@,BOS,W (+21),0,8:00,1,4,.250,0,0,,0,0,,1,1,2,0,0,0,0,1,2,0.2,
23,23,1996-01-09,23-090,DAL,,IND,L (-7),0,7:00,0,2,.000,0,0,,2,2,1.000,1,0,1,0,0,0,1,2,2,-0.5,
24,24,1996-01-12,23-093,DAL,@,PHO,W (+10),0,5:00,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,1.3,
25,25,1996-01-13,23-094,DAL,,CHH,L (-20),0,19:00,4,7,.571,0,0,,0,2,.000,3,4,7,0,0,0,0,2,8,6.4,
26,26,1996-01-15,23-096,DAL,,ORL,W (+15),0,15:00,0,3,.000,0,0,,0,0,,0,3,3,0,1,0,0,1,0,-0.6,
27,27,1996-01-21,23-102,DAL,@,SEA,L (-7),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,
28,28,1996-01-25,23-106,DAL,,DET,L (-1),0,6:00,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,3,0,-1.0,
29,29,1996-01-27,23-108,DAL,,POR,L (-9),0,21:00,1,7,.143,0,0,,0,0,,3,3,6,0,0,0,0,2,2,-0.3,
30,30,1996-01-30,23-111,DAL,,LAC,W (+4),0,10:00,0,2,.000,0,0,,1,2,.500,0,1,1,0,1,0,0,2,1,-0.3,
31,31,1996-02-01,23-113,DAL,,SEA,W (+3),0,14:00,1,4,.250,0,0,,0,0,,1,3,4,1,1,3,1,2,2,3.2,
32,32,1996-02-03,23-115,DAL,,MIN,L (-9),0,2:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,2,0,0,0,0.7,
33,33,1996-02-05,23-117,DAL,@,MIN,L (-12),0,6:00,0,1,.000,0,0,,0,2,.000,0,1,1,1,0,1,1,0,0,-0.8,
34,34,1996-02-06,23-118,DAL,@,MIL,L (-3),0,8:00,0,3,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1.8,
35,35,1996-02-08,23-120,DAL,,UTA,W (+3),0,28:00,2,4,.500,0,0,,5,6,.833,0,5,5,0,1,0,1,2,9,7.3,
36,36,1996-02-13,23-125,DAL,@,HOU,L (-15),0,13:00,2,5,.400,0,0,,0,0,,1,2,3,0,0,1,0,0,4,3.3,
37,37,1996-02-15,23-127,DAL,@,UTA,L (-3),0,17:00,1,4,.250,0,0,,0,2,.000,0,6,6,0,0,1,0,4,2,-0.3,
38,38,1996-02-16,23-128,DAL,@,LAL,L (-5),0,18:00,1,4,.250,0,0,,0,0,,1,4,5,3,0,0,0,3,2,2.4,
39,39,1996-02-19,23-131,DAL,,GSW,L (-12),0,21:00,5,6,.833,0,0,,0,0,,1,4,5,1,1,0,2,3,10,8.2,
40,40,1996-02-21,23-133,DAL,,SAC,W (+2),0,14:00,2,5,.400,0,0,,2,2,1.000,2,3,5,0,0,0,1,0,6,4.6,
41,41,1996-02-23,23-135,DAL,,LAL,L (-26),0,31:00,8,17,.471,0,1,.000,0,3,.000,5,5,10,0,0,0,1,1,16,9.7,
42,42,1996-02-25,23-137,DAL,,TOR,W (+7),1,25:00,2,6,.333,0,0,,2,4,.500,2,5,7,1,0,1,1,5,6,3.1,
43,43,1996-03-05,23-146,DAL,,NJN,W (+10),0,4:00,2,2,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,0,5,4.7,
44,44,1996-03-07,23-148,DAL,@,CHH,L (-14),0,12:00,3,5,.600,0,0,,0,0,,1,1,2,3,0,0,0,1,6,6.4,
45,45,1996-03-10,23-151,DAL,@,TOR,L (-16),0,15:00,1,2,.500,0,0,,1,2,.500,2,1,3,0,2,1,0,2,3,5.2,
46,46,1996-03-12,23-153,DAL,,MIA,L (-7),0,23:00,3,5,.600,0,1,.000,4,4,1.000,1,2,3,0,2,1,0,5,10,9.7,
47,47,1996-03-15,23-156,DAL,@,SEA,L (-23),0,20:00,3,5,.600,1,1,1.000,1,2,.500,3,0,3,1,3,1,1,2,8,10.0,
48,48,1996-03-17,23-158,DAL,@,POR,L (-26),0,36:00,9,17,.529,4,10,.400,3,4,.750,3,4,7,0,1,0,0,5,25,18.6,
49,49,1996-03-19,23-160,DAL,,CLE,L (-9),1,10:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,4,0,-1.3,
50,50,1996-03-22,23-163,DAL,,MIN,L (-26),0,15:00,0,4,.000,0,0,,0,0,,1,6,7,1,1,2,2,2,0,0.0,
51,51,1996-03-24,23-165,DAL,,NYK,L (-6),0,9:00,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,1,1,0,-1.5,
52,52,1996-03-25,23-166,DAL,@,UTA,L (-17),0,29:00,5,10,.500,0,2,.000,0,1,.000,2,4,6,0,1,1,1,2,10,7.1,
53,53,1996-03-27,23-168,DAL,,HOU,W (+3),1,28:00,4,10,.400,0,2,.000,2,2,1.000,3,4,7,2,0,1,0,3,10,8.8,
54,54,1996-03-29,23-170,DAL,,SAS,L (-15),0,16:00,4,6,.667,0,0,,0,0,,1,3,4,0,1,0,1,3,8,5.8,
55,55,1996-03-31,23-172,DAL,,POR,L (-15),0,21:00,3,5,.600,1,1,1.000,0,0,,2,2,4,1,0,0,0,2,7,6.6,
