,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,2,1,2001-11-23,23-139,DEN,@,POR,L (-7),0,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
1,6,2,2002-01-07,23-184,DEN,@,CHH,L (-14),0,2:56,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,1
2,10,3,2002-01-14,23-191,DEN,@,UTA,L (-9),0,22:13,5,9,0.556,0,2,0.0,7,8,0.875,4,5,9,0,0,2,1,2,17,16.2,8
3,11,4,2002-01-16,23-193,DEN,,SAC,L (-5),0,2:38,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-7
4,12,5,2002-01-18,23-195,DEN,,SEA,W (+6),0,4:47,0,2,0.0,0,0,,0,0,,1,1,2,1,0,0,0,1,0,-0.1,-2
5,13,6,2002-01-19,23-196,DEN,@,SEA,L (-27),0,8:19,0,6,0.0,0,0,,0,0,,2,0,2,0,1,1,1,2,0,-2.9,-4
6,15,7,2002-01-22,23-199,DEN,@,LAL,W (+16),0,11:03,2,2,1.0,0,0,,1,2,0.5,2,2,4,0,1,0,1,2,5,5.2,5
7,20,8,2002-02-12,23-220,DEN,,BOS,L (-17),0,5:15,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-1
8,21,9,2002-02-14,23-222,DEN,@,MEM,W (+15),0,7:53,0,1,0.0,0,0,,0,0,,2,1,3,0,1,1,0,3,0,1.5,2
9,23,10,2002-03-21,23-257,DEN,@,SAC,L (-36),0,18:08,1,4,0.25,0,1,0.0,1,2,0.5,1,4,5,1,0,4,1,1,3,4.2,-12
10,25,11,2002-03-25,23-261,DEN,@,NYK,W (+1),0,8:33,1,3,0.333,0,0,,2,2,1.0,1,1,2,0,0,0,1,1,4,1.9,15
11,26,12,2002-03-26,23-262,DEN,@,WAS,L (-16),0,14:28,2,3,0.667,0,0,,0,0,,2,1,3,0,0,0,0,2,4,3.6,8
12,27,13,2002-03-28,23-264,DEN,@,MIL,L (-7),0,11:45,1,4,0.25,0,0,,0,0,,1,1,2,0,0,2,1,3,2,-0.2,4
13,28,14,2002-03-30,23-266,DEN,@,CHI,W (+16),0,5:16,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,0.6,-3
14,29,15,2002-03-31,23-267,DEN,@,DET,L (-4),1,22:54,0,2,0.0,0,0,,2,2,1.0,1,4,5,0,0,1,2,3,2,0.0,-8
15,30,16,2002-04-02,23-269,DEN,,UTA,W (+8),0,7:55,1,3,0.333,0,0,,2,2,1.0,2,0,2,0,1,0,1,1,4,3.3,9
16,31,17,2002-04-04,23-271,DEN,,MIN,W (+1),0,1:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-1
17,32,18,2002-04-05,23-272,DEN,@,GSW,L (-4),0,9:48,0,1,0.0,0,0,,1,2,0.5,0,2,2,0,0,0,1,2,1,-1.3,-8
18,33,19,2002-04-07,23-274,DEN,@,LAC,L (-22),0,10:22,0,2,0.0,0,0,,0,0,,4,0,4,0,0,0,0,1,0,1.0,-2
