Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
68,1,2018-03-14,25-062,GSW,,LAL,W (+11),0,1:19,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2
7,1,2018-10-29,25-291,TOR,@,MIL,L (-15),0,2:17,1,2,.500,0,1,.000,4,6,.667,2,0,2,0,0,1,0,0,6,6.3,+8
17,2,2018-11-17,25-310,TOR,@,CHI,W (+39),0,6:38,1,4,.250,0,2,.000,0,0,,0,3,3,0,0,2,0,1,2,1.5,-1
19,3,2018-11-21,25-314,TOR,@,ATL,W (+16),0,3:03,2,2,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,1,5,5.0,-2
32,4,2018-12-16,25-339,TOR,@,DEN,L (-9),0,1:37,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
33,5,2018-12-19,25-342,TOR,,IND,W (+3),0,9:43,2,4,.500,1,2,.500,0,0,,0,2,2,0,1,3,0,0,5,6.7,-7
34,6,2018-12-21,25-344,TOR,,CLE,W (+16),0,2:01,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,1,0,0,2,2.7,+5
35,7,2018-12-22,25-345,TOR,@,PHI,L (-25),0,5:47,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,1,2,4,0,-3.0,-6
37,8,2018-12-28,25-351,TOR,@,ORL,L (-29),0,9:10,3,4,.750,3,3,1.000,0,0,,0,1,1,0,1,2,0,1,9,9.7,-1
38,9,2018-12-30,25-353,TOR,,CHI,W (+6),0,5:24,1,2,.500,1,2,.500,0,0,,1,0,1,0,0,2,0,2,3,3.3,-2
40,10,2019-01-03,25-357,TOR,@,SAS,L (-18),0,4:43,1,3,.333,1,2,.500,0,0,,1,1,2,0,0,1,0,0,3,3.0,+8
42,11,2019-01-06,25-360,TOR,,IND,W (+16),0,1:44,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,0
44,12,2019-01-11,26-000,TOR,,BRK,W (+17),0,4:53,1,4,.250,0,1,.000,0,0,,2,0,2,0,0,0,0,1,2,0.6,-18
47,13,2019-01-17,26-006,TOR,,PHO,W (+2),0,5:18,1,3,.333,0,1,.000,1,1,1.000,0,0,0,0,0,1,0,3,3,0.8,+5
48,14,2019-01-19,26-008,TOR,,MEM,W (+29),0,9:04,1,4,.250,1,2,.500,0,0,,0,3,3,0,0,2,0,1,3,2.5,-6
49,15,2019-01-22,26-011,TOR,,SAC,W (+15),0,11:39,2,4,.500,0,2,.000,4,4,1.000,1,2,3,0,0,0,0,0,8,7.3,+2
54,16,2019-02-03,26-023,TOR,,LAC,W (+18),0,6:15,4,6,.667,0,1,.000,0,0,,2,2,4,0,1,0,0,2,8,7.6,-3
59,17,2019-02-13,26-033,TOR,,WAS,W (+9),0,3:28,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,1.6,-8
61,18,2019-02-24,26-044,TOR,,ORL,L (-15),0,2:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+5
62,19,2019-02-26,26-046,TOR,,BOS,W (+23),0,4:39,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,2,0,1,2,2.3,0
66,20,2019-03-08,26-056,TOR,@,NOP,W (+23),0,3:34,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,2,0,0,0,1.0,+6
67,21,2019-03-10,26-058,TOR,@,MIA,W (+21),0,3:43,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.2,-1
68,22,2019-03-11,26-059,TOR,@,CLE,L (-25),0,3:48,0,1,.000,0,0,,2,2,1.000,0,2,2,0,1,0,1,2,2,1.1,-6
69,23,2019-03-14,26-062,TOR,,LAL,W (+13),0,7:55,1,3,.333,0,1,.000,0,0,,1,2,3,0,1,1,0,1,2,2.9,-6
71,24,2019-03-18,26-066,TOR,,NYK,W (+36),0,6:20,1,2,.500,0,1,.000,0,0,,0,2,2,0,1,0,0,1,2,2.2,+6
76,25,2019-03-28,26-076,TOR,@,NYK,W (+25),0,5:00,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,3,3,0.8,-3
77,26,2019-03-30,26-078,TOR,@,CHI,W (+23),0,3:42,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,0,0,-0.4,+3
78,27,2019-04-01,26-080,TOR,,ORL,W (+12),0,4:07,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,1,2,2,-0.1,-7
82,28,2019-04-09,26-088,TOR,@,MIN,W (+20),0,24:37,7,10,.700,1,3,.333,0,0,,1,12,13,2,0,2,2,2,15,15.1,+16
3,1,2019-10-26,26-288,TOR,@,CHI,W (+24),0,4:34,0,1,.000,0,1,.000,2,2,1.000,1,1,2,0,0,2,1,1,2,2.3,+2
4,2,2019-10-28,26-290,TOR,,ORL,W (+9),0,4:24,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,2.3,+2
5,3,2019-10-30,26-292,TOR,,DET,W (+12),0,4:04,0,2,.000,0,0,,0,0,,0,1,1,0,0,2,0,0,0,0.3,-5
6,4,2019-11-02,26-295,TOR,@,MIL,L (-10),0,4:09,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-6
7,5,2019-11-06,26-299,TOR,,SAC,W (+4),0,5:21,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,1,0,1.0,-3
8,6,2019-11-08,26-301,TOR,@,NOP,W (+18),0,13:42,1,6,.167,0,1,.000,3,4,.750,3,5,8,1,1,1,0,2,5,6.0,+4
9,7,2019-11-10,26-303,TOR,@,LAL,W (+9),0,24:22,7,11,.636,1,4,.250,0,2,.000,1,1,2,1,2,3,0,2,15,14.3,+3
10,8,2019-11-11,26-304,TOR,@,LAC,L (-10),0,22:03,5,10,.500,3,5,.600,0,0,,2,4,6,0,1,2,1,5,13,10.0,-2
11,9,2019-11-13,26-306,TOR,@,POR,W (+8),0,14:30,1,4,.250,0,2,.000,0,0,,3,4,7,1,0,0,0,2,2,2.8,-1
12,10,2019-11-16,26-309,TOR,@,DAL,L (-8),0,12:02,1,2,.500,0,1,.000,1,2,.500,2,1,3,0,0,1,1,0,3,3.0,-1
13,11,2019-11-18,26-311,TOR,,CHO,W (+36),0,18:15,5,11,.455,1,2,.500,0,1,.000,7,4,11,0,1,0,1,3,11,9.8,+10
14,12,2019-11-20,26-313,TOR,,ORL,W (+16),0,20:24,5,10,.500,0,2,.000,4,4,1.000,6,5,11,1,0,1,0,3,14,14.9,+22
15,13,2019-11-23,26-316,TOR,@,ATL,W (+3),0,15:10,5,7,.714,1,2,.500,2,2,1.000,4,4,8,0,0,0,2,2,13,11.3,-5
16,14,2019-11-25,26-318,TOR,,PHI,W (+5),0,13:10,0,2,.000,0,2,.000,0,0,,2,1,3,0,0,0,0,2,0,-0.5,+2
17,15,2019-11-27,26-320,TOR,,NYK,W (+28),0,25:29,4,10,.400,2,4,.500,3,4,.750,5,7,12,4,0,0,0,3,13,14.4,+26
18,16,2019-11-29,26-322,TOR,@,ORL,W (+7),0,11:53,2,4,.500,0,1,.000,3,6,.500,0,3,3,1,1,2,1,0,7,6.8,-1
19,17,2019-12-01,26-324,TOR,,UTA,W (+20),0,4:57,0,1,.000,0,1,.000,0,0,,1,0,1,0,1,0,0,0,0,1.0,0
21,18,2019-12-05,26-328,TOR,,HOU,L (-10),0,3:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
22,19,2019-12-08,26-331,TOR,@,PHI,L (-6),0,4:28,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-3
23,20,2019-12-09,26-332,TOR,@,CHI,W (+1),0,13:58,2,4,.500,1,2,.500,0,0,,2,3,5,0,0,0,1,1,5,3.9,-9
24,21,2019-12-11,26-334,TOR,,LAC,L (-20),0,8:59,2,5,.400,1,3,.333,0,0,,1,2,3,0,0,0,0,1,5,3.2,+2
25,22,2019-12-14,26-337,TOR,,BRK,W (+8),0,5:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,0.0,-10
26,23,2019-12-16,26-339,TOR,,CLE,W (+20),0,12:53,2,3,.667,1,1,1.000,2,2,1.000,2,3,5,1,0,0,0,4,7,7.1,+5
27,24,2019-12-18,26-341,TOR,@,DET,W (+13),0,6:12,0,2,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,2,0.9,-3
28,25,2019-12-20,26-343,TOR,,WAS,W (+4),0,12:48,1,4,.250,0,1,.000,2,2,1.000,3,2,5,0,0,0,0,3,4,3.1,-3
29,26,2019-12-22,26-345,TOR,,DAL,W (+3),0,24:06,6,12,.500,0,1,.000,9,12,.750,3,4,7,0,2,4,1,2,21,20.1,+24
30,27,2019-12-23,26-346,TOR,@,IND,L (-5),0,13:51,1,3,.333,0,1,.000,3,4,.750,2,4,6,0,0,1,1,3,5,4.0,+3
