Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
9,1,1997-11-14,22-185,ATL,,SAC,W (+1),0,5:28,2,5,.400,0,0,,2,2,1.000,1,1,2,0,1,0,1,1,6,3.9,-13
12,2,1997-11-20,22-191,ATL,,NYK,L (-21),0,8:19,2,3,.667,0,0,,0,1,.000,0,0,0,0,1,0,1,1,4,1.9,-1
13,3,1997-11-22,22-193,ATL,@,DET,L (-2),0,5:04,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-14
15,4,1997-11-29,22-200,ATL,,CHH,W (+18),0,1:44,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,+2
16,5,1997-11-30,22-201,ATL,,SAS,W (+12),0,2:21,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,1,1,2,0.6,-6
17,6,1997-12-02,22-203,ATL,@,DAL,W (+33),0,6:39,0,4,.000,0,0,,0,0,,1,0,1,0,0,0,2,1,0,-4.5,+10
19,7,1997-12-09,22-210,ATL,,MIA,L (-16),0,1:22,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-4
20,8,1997-12-11,22-212,ATL,@,PHO,L (-16),0,3:19,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-0.4,-4
23,9,1997-12-15,22-216,ATL,@,POR,W (+9),0,1:31,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-0.8,-6
24,10,1997-12-17,22-218,ATL,,CLE,W (+11),0,1:35,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-3
29,11,1997-12-27,22-228,ATL,@,CHI,L (-7),0,1:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
30,12,1998-01-02,22-234,ATL,@,LAL,L (-10),0,0:38,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,+2
31,13,1998-01-03,22-235,ATL,@,UTA,L (-15),0,4:23,2,2,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,6,5.4,+1
32,14,1998-01-07,22-239,ATL,@,GSW,W (+20),0,1:13,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-2
36,15,1998-01-14,22-246,ATL,,DAL,W (+26),0,16:09,2,4,.500,0,0,,4,4,1.000,0,3,3,3,1,1,3,0,8,7.7,+7
