Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2007-10-30,24-238,LAL,,HOU,L (-2),0,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
10,2,2007-11-20,24-259,LAL,@,IND,W (+20),0,3:23,0,1,.000,0,0,,2,2,1.000,1,0,1,2,0,0,0,1,2,3.0,+1
31,3,2008-01-04,24-304,LAL,,PHI,W (+31),0,12:00,1,3,.333,0,1,.000,2,4,.500,0,1,1,0,1,0,2,0,4,0.8,+3
32,4,2008-01-06,24-306,LAL,,IND,W (+16),0,1:48,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,1.0,-4
34,5,2008-01-09,24-309,LAL,@,NOH,W (+29),0,3:20,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,4.0,+3
35,6,2008-01-11,24-311,LAL,,MIL,W (+5),0,3:10,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,-3
36,7,2008-01-13,24-313,LAL,,MEM,W (+1),0,4:48,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-1.1,+1
39,8,2008-01-21,24-321,LAL,,DEN,W (+17),0,3:19,0,1,.000,0,1,.000,1,1,1.000,0,1,1,1,0,0,1,0,1,0.3,-1
45,9,2008-02-01,24-332,LAL,@,TOR,W (+20),0,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
46,10,2008-02-03,24-334,LAL,@,WAS,W (+12),0,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-1
52,11,2008-02-13,24-344,LAL,@,MIN,W (+25),0,7:05,1,5,.200,0,4,.000,0,0,,1,1,2,2,0,1,0,0,2,2.0,-2
53,12,2008-02-19,24-350,LAL,,ATL,W (+29),0,6:20,2,4,.500,0,1,.000,1,1,1.000,0,0,0,1,0,0,0,0,5,3.7,-3
55,13,2008-02-23,24-354,LAL,@,LAC,W (+18),0,1:25,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2
56,14,2008-02-24,24-355,LAL,@,SEA,W (+20),0,3:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,0.3,-2
62,15,2008-03-07,25-001,LAL,,LAC,W (+37),0,6:25,2,4,.500,2,2,1.000,0,0,,1,0,1,0,1,0,0,0,6,5.7,+3
64,16,2008-03-11,25-005,LAL,,TOR,W (+9),0,7:03,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,1,0,0,3,4.0,+7
69,17,2008-03-21,25-015,LAL,,SEA,W (+25),0,5:07,0,0,,0,0,,2,2,1.000,0,0,0,2,0,0,0,0,2,3.4,+1
3,1,2009-10-30,26-238,CLE,@,MIN,W (+17),0,2:40,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-0.4,0
12,2,2009-11-18,26-257,CLE,@,WAS,L (-17),0,0:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
20,3,2009-12-06,26-275,CLE,@,MIL,W (+15),0,2:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,3,0,0,-3.0,-5
38,4,2010-01-31,26-331,GSW,@,OKC,L (-8),0,24:26,2,4,.500,0,0,,2,2,1.000,1,0,1,6,2,1,0,6,6,9.2,+4
39,5,2010-02-02,26-333,GSW,@,HOU,L (-22),0,37:40,5,13,.385,1,4,.250,1,2,.500,2,5,7,7,1,0,3,3,12,9.1,-15
40,6,2010-02-03,26-334,GSW,@,DAL,L (-9),0,15:56,0,3,.000,0,1,.000,0,0,,1,5,6,1,0,0,0,2,0,0.0,-8
41,7,2010-02-06,26-337,GSW,,OKC,L (-9),1,29:57,4,12,.333,1,6,.167,1,2,.500,0,2,2,1,0,0,3,3,10,-0.1,-5
