model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,82,21,16.787038890190825,4.097198907813828,0.6990878761929256,68.2540680729888,8.261602028238155,0.0397484840110998,9.666666666666666,15.933933073972682,18.20726594187559,-28.25731160253148,-12.90142489776883,4.145205766504932,3.4659159788845884,-3.792344171702984,3.7469504054991054,2.2678697461285715,-4.627583779533479,2.131628207280301e-14,-3.7540778950430935,-5.773159728050814e-15,-2.664535259100376e-15,8.992806499463768e-15,7.742543137212001,3.552713678800501e-15,0.3246392419866168,-2.220446049250313e-15,-3.4005710863090672,8.881784197001252e-16,15.474745045823232,-4.440892098500626e-15,-4.621092364379809,8.881784197001252e-16,-3.4555351253811164,0.0,1.006972428640572,8.881784197001252e-16,2.693691570423443,7.771561172376109e-16,8.881784197001252e-16,-4.440892098500626e-16,-1.2581947561006412,2.220446049250313e-16,-0.250844500208343,-4.510281037539698e-17,2.574492928875122,0.0,1.269163815095388,0.0,-6.140693454081065,0.0,-7.165439410358193,0.0,8.460746564454073,0.0,2.903824489992231,0.0,3.024950123685933,0.0,0.0,0.0,0.0,0.0,0.4092620582707313,0.0,0.0,0.0,0.1652989719817668,0.0,-3.90850306761884,0.0,0.0,0.0,-5.153858292198885,0.0,0.0,0.0,0.0,0.0,-5.359243836104883,0.0,-3.750772345077725,0.0,3.854716724927849,-2.2678697461285373,0.0,0.0,0.0,0.0,1.822863101089585,0.0,1.2279788476199605,0.0,0.0,0.0,-0.1094791376832085
"Random Forest (100 estimators, 20 depth)",82,21,6.665501275067752,2.581763210495446,0.8805191220417432,61.49487594179893,7.841866865855281,0.1348420758523152,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",82,21,7.957415673520344,2.8208891636362363,0.8573612138508908,59.56344349486445,7.717735645567581,0.1620149753960561,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",82,21,12.33735321077906,3.512456862479461,0.7788496719940967,63.20265252741891,7.95000959291364,0.1108157415749461,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),82,21,19.601199865214404,4.427324233124835,0.6486432944374052,56.39970029254185,7.509973388271216,0.2065249847185938,9.666666666666666,13.668478477713393,-0.938105796604889,-3.1271643821822743,-7.079162287683059,3.939087605610729,4.196275197375307,-5.780123064452786,-1.2052769418780618,1.1827407258816591,-2.331901362324802,0.0,-3.0055192064202694,0.0,0.0,0.0,4.20212861521806,0.0,-0.4986003036808373,0.0,-2.5599839954379418,0.0,7.745600084912261,0.0,-2.976130289651051,0.0,-2.01092292313974,0.0,0.7740032794088015,0.0,2.924085428966761,0.0,0.0,0.0,-0.0248845777353615,0.0,0.3839678398966432,0.0,2.094978908066793,0.0,1.4439572956434188,0.0,-4.25774736855415,0.0,-4.991210486053697,0.0,4.849732092410121,0.0,2.108476784029114,0.0,2.5739513198816835,0.0,0.0,0.0,0.0,0.0,1.5770799074386508,0.0,0.0,0.0,-0.5693987564505563,0.0,-3.634360637364969,0.0,0.0,0.0,-2.9850193342536016,0.0,0.0,0.0,0.0,0.0,-3.629239087683596,0.0,-2.9851501642460203,0.0,3.3595053528977195,-1.1827407258816591,0.0,0.0,0.0,0.0,2.2042513097422463,0.0,0.3709520021568248,0.0,0.0,0.0,-0.152601727672511
Ridge (lambda=0.1),82,21,16.948335481279365,4.116835615042136,0.6961965920239436,64.79150223672039,8.049316880128425,0.0884625634405126,9.666666666666666,18.536302966031503,-1.182232527412755,-6.6914093151505165,-12.039091716209128,4.039368081926149,3.6390374892688095,-6.601841842133339,1.025109372439752,3.675022980956432,-3.9789968010887,0.0,-3.840851323196577,0.0,0.0,0.0,7.147796220482696,0.0,-0.0107875957266045,0.0,-3.34618219116005,0.0,14.75607467519442,0.0,-4.4543292150055125,0.0,-3.276564937484672,0.0,0.6906895303039484,0.0,2.907277064048396,0.0,0.0,0.0,-0.7765744819085494,0.0,-0.051144232924471,0.0,2.395940226185398,0.0,1.5472394763402504,0.0,-6.001370690368601,0.0,-6.602755325893767,0.0,8.0416787168902,0.0,2.6910219527809907,0.0,2.8347086933490973,0.0,0.0,0.0,0.0,0.0,1.13116301613611,0.0,0.0,0.0,-0.4304040990521104,0.0,-4.2612660514061815,0.0,0.0,0.0,-4.600884253820546,0.0,0.0,0.0,0.0,0.0,-5.290636388639454,0.0,-3.779104376505308,0.0,4.115778652718961,-3.675022980956432,0.0,0.0,0.0,0.0,1.9142567255062315,0.0,0.8956244191406824,0.0,0.0,0.0,-0.3673974048963657
Lasso (lambda=0.1),82,21,25.253116425812035,5.025247896951158,0.5473311912752687,54.74508794646799,7.39899236021149,0.2298033629684048,9.666666666666666,10.874606081024789,-0.0,-4.063044766409202,-11.90588455434744,4.429568962099488,4.190769817331056,-1.349191801617675,-0.0,0.0,-0.0,0.0,-1.1719797956413476,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.7420560046657292,0.0,7.142535310580386,0.0,-0.4068797522368348,0.0,-0.0,0.0,0.0,0.0,1.559877259573516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7117305428967468,0.0,0.0,0.0,-2.7808988210671024,0.0,-3.999970976265127,0.0,1.348209839454656,0.0,0.0,0.0,0.9549762443234112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4725489417757205,0.0,0.0,0.0,-1.394657803303882,0.0,0.0,0.0,0.0,0.0,-0.0697321690863722,0.0,-0.0,0.0,2.314490699933137,-0.0,0.0,0.0,0.0,0.0,1.7362025099051102,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),82,21,50.4000483846004,7.099299147422963,0.0965657672806511,65.5994090730628,8.099346212692899,0.0770962993293978,9.666666666666666,8.594433641936265,-0.0,-0.0,-0.0,0.2828479237522474,2.01712857107418,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",82,21,13.17855599642675,3.63022809151529,0.7637708889855231,55.405655806119135,7.443497551965684,0.2205099786097576,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),82,21,16.9985681845799,4.122931988837543,0.6952961574962339,64.76110585234188,8.047428524214546,0.0888902035065791,9.666666666666666,16.95851548282177,-0.0,-7.509016101261618,-14.856990033336617,4.17912884789207,3.882992428502764,-3.1008849956425264,0.0,3.472635929989365,-3.90969692985339,0.0,-3.4724051733901766,0.0,0.0,0.0,6.8477972462085575,0.0,0.0,0.0,-3.056994658271752,0.0,15.920450064439112,0.0,-4.136723404577376,0.0,-2.923289242574419,0.0,0.5890539006053258,0.0,2.9540870764678657,0.0,0.0,0.0,-0.0889186912942896,0.0,0.0,0.0,2.208322424117824,0.0,1.4054525143825856,0.0,-5.634186894377854,0.0,-6.488007875148142,0.0,7.898945667209188,0.0,2.453156098323672,0.0,2.7231660821040333,0.0,0.0,0.0,0.0,0.0,0.762541300023667,0.0,0.0,0.0,-0.0,0.0,-3.949427231303198,0.0,0.0,0.0,-4.546576964337558,0.0,0.0,0.0,0.0,0.0,-4.812701433328262,0.0,-3.3985774953377628,0.0,4.1895141642483456,-2.668655788222891,0.0,0.0,0.0,0.0,1.9567154411579264,0.0,0.7387787010053198,0.0,0.0,0.0,-0.0
