model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,317,80,23.814299248454983,4.87998967708488,0.2729159145361232,29.620663114573688,5.44248685019759,0.1955825075816774,7.95,6.721628764086213,-20.8084457980521,22.890717197526627,9.590479272406236,1.31983237105681,3.4978990978505937,-7.50761981263893,-1.0573756376389785,-1.4388490399142036e-13,0.8606985886373291,-3.5527136788005016e-14,-1.6840114480143282,5.506706202140776e-14,8.881784197001252e-16,-1.7763568394002505e-15,0.8627891522292481,1.0436096431476471e-14,-2.187788014242418,-4.440892098500626e-15,-1.9954917200029247,-4.440892098500626e-16,3.3534862457490027,2.220446049250313e-16,-0.8552024540702476,-1.1102230246251563e-16,0.1217653596511834,-4.440892098500626e-16,0.6775238221402751,4.614364446098307e-16,-1.2501903286721945,2.220446049250313e-16,0.1207710035858001,0.0,-0.8265910724477821,-2.220446049250313e-16,-0.9558167644426604,2.220446049250313e-16,3.2629640655613112,2.775557561562892e-17,0.3203271768973843,0.0,0.5003948144762633,0.0,-2.1628255355902257,0.0,0.1498072706985431,0.0,-2.740603407672512,0.0,-1.3780451516470806,0.0,0.0,0.0,1.3036184421665389,0.0,-2.854726067561645,0.0,0.0,0.0,0.4588823966560301,0.0,0.5295693105651365,0.0,0.0,0.0,4.134744621186783,0.0,0.0,0.0,2.904393120070212,0.0,-0.2468196186313435,0.0,2.001962506358568,0.0,1.3850993674556569,0.0,0.0,0.0,0.0,0.0,-1.4421340846051909,0.0,-0.128194662308983,0.0,0.0,0.0,-2.240356934175331
"Random Forest (100 estimators, 20 depth)",317,80,3.863355645222029,1.9655420741418963,0.8820463127290967,32.38511830406079,5.690792414423565,0.1205073445838607,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",317,80,7.846838431916003,2.801220882386108,0.7604249746957137,33.14213225727349,5.756920379619079,0.0999488829581509,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",317,80,17.2837664337259,4.157374945049568,0.4723022760515554,33.41623629121925,5.780677840116957,0.0925049550894357,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),317,80,24.574403087356128,4.957257617610379,0.2497088741441673,30.56105143013582,5.5282050821343285,0.170044091788015,7.95,7.214657575703359,-7.28531063952862,9.028504444630798,2.645626646635989,1.2569504842926376,3.522020512439665,-0.0756414944068765,-3.9879789480335535,0.0,0.7616842799636148,0.0,-1.5370294067745758,0.0,0.0,0.0,0.759944564272844,0.0,-1.644710698148666,0.0,-2.1369837087819343,0.0,3.205179741919093,0.0,-0.3998557059892079,0.0,0.0296843735404745,0.0,0.8514689371656213,0.0,-1.020345598306575,0.0,-0.9218465363926632,0.0,-0.8529467828588861,0.0,-0.4462381251448283,0.0,3.094795424142984,0.0,0.3593901726936844,0.0,0.7068396031836132,0.0,-1.7990724962309954,0.0,0.050881291664564,0.0,-2.228307363273716,0.0,-1.1758182032726407,0.0,0.0,0.0,1.351225322846254,0.0,-2.491309234408191,0.0,0.0,0.0,0.1526010342385092,0.0,0.7044377190740959,0.0,0.0,0.0,3.1837247269548894,0.0,0.0,0.0,1.1754369998428411,0.0,0.1414147655815072,0.0,1.901495037424717,0.0,1.5006881175080424,0.0,0.0,0.0,0.0,0.0,-1.325476582180965,0.0,-0.1069491167028579,0.0,0.0,0.0,-1.84400255355073
Ridge (lambda=0.1),317,80,23.86404571294839,4.885084002650148,0.2713970849344671,29.65954186106208,5.446057460315863,0.1945266654610069,7.95,6.865575402875895,-17.312686470748588,19.61526577464542,6.606361916922447,1.30588606533559,3.508183702542644,-4.240551328132533,-2.285628932578974,0.0,0.8272294230656687,0.0,-1.6441052869547133,0.0,0.0,0.0,0.8346621076127327,0.0,-2.0717471757636043,0.0,-2.082541960192968,0.0,3.3835815113699383,0.0,-0.7345365055129583,0.0,0.1091974827298307,0.0,0.7384249617672621,0.0,-1.2053416838013598,0.0,-0.2553640922788219,0.0,-0.8730491689718106,0.0,-0.8187427051198822,0.0,3.288497806716775,0.0,0.3158957026752084,0.0,0.5854113502418442,0.0,-2.068486667350048,0.0,0.0998165881500866,0.0,-2.6228754354819035,0.0,-1.3464931662544095,0.0,0.0,0.0,1.370548179425649,0.0,-2.859504950054788,0.0,0.0,0.0,0.385836854007105,0.0,0.6025659622080258,0.0,0.0,0.0,3.996897868950416,0.0,0.0,0.0,2.484444923534363,0.0,-0.1634077400783144,0.0,2.007067329743239,0.0,1.4343827912311866,0.0,0.0,0.0,0.0,0.0,-1.4212230286395555,0.0,-0.1409969557539633,0.0,0.0,0.0,-2.1560443212218714
Lasso (lambda=0.1),317,80,28.631389128573527,5.350830695188694,0.1258433782610734,30.49890084566345,5.522580994939182,0.1717319343970821,7.95,7.733058253038961,-1.2202588514427897,-0.0,0.8736544811818787,0.7501006018202782,3.1274917401940368,0.0,-1.4907328877763213,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.8653124196117375,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0350268017304015,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),317,80,32.75315706196699,5.7230373982673735,0.0,36.83935082446836,6.069542884309192,-0.0004576230421169,7.95,7.82018927444795,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",317,80,17.574983519676447,4.192252797682464,0.463411008397583,31.52902729211341,5.615071441407795,0.1437564724797769,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),317,80,24.097801947813178,4.908951206501566,0.2642601779663072,29.688589499513675,5.448723657840768,0.1937378097762597,7.95,6.973528358630229,-15.412950718070816,17.19102300915665,2.5355484844413727,1.23698629032333,3.518063492352097,-0.0,-2.643925439182327,0.0,0.5150314405010382,0.0,-1.377200586320948,0.0,0.0,0.0,0.4655222021104984,0.0,-1.5952764196832332,0.0,-1.8534112656975383,0.0,2.963997937371738,0.0,-0.1662871400151957,0.0,0.0,0.0,0.5918126216670858,0.0,-0.9736857752217652,0.0,-0.0,0.0,-0.5541388043957987,0.0,-0.465461288163416,0.0,3.18649813910583,0.0,0.0,0.0,0.4639072900691329,0.0,-1.7659631404018892,0.0,0.0,0.0,-2.255875750568907,0.0,-1.0231140014265387,0.0,0.0,0.0,0.8819353241652416,0.0,-2.593026457231072,0.0,0.0,0.0,0.0,0.0,0.4506990825691836,0.0,0.0,0.0,3.030835420709966,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.8410684241565047,0.0,1.3664514802396694,0.0,0.0,0.0,0.0,0.0,-1.1942079190316883,0.0,-0.0,0.0,0.0,0.0,-1.7046097763507249
"Random Forest (100 estimators, 5 depth)",317,80,17.09971308202166,4.135179933451706,0.477921684017512,31.02668433083653,5.570160171021703,0.1573987553578238,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
