,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2003-10-29,25-257,SAC,,CLE,W (+14),0,6:37,1,2,0.5,0,0,,0,0,,0,2,2,0,1,0,0,0,2,2.6,0
1,2,2,2003-10-31,25-259,SAC,,PHI,W (+11),0,19:05,4,6,0.667,0,0,,0,0,,0,3,3,2,2,1,0,3,8,9.2,6
2,3,3,2003-11-01,25-260,SAC,@,DEN,L (-21),0,13:50,0,3,0.0,0,0,,0,0,,2,0,2,0,0,0,3,1,0,-4.1,-16
3,4,4,2003-11-05,25-264,SAC,@,MIN,W (+4),0,19:22,0,1,0.0,0,0,,3,4,0.75,2,2,4,4,0,0,0,3,3,5.5,5
4,5,5,2003-11-07,25-266,SAC,@,NYK,L (-3),0,8:34,1,3,0.333,0,0,,2,2,1.0,1,2,3,0,1,1,0,2,4,4.5,6
5,6,6,2003-11-09,25-268,SAC,@,BOS,L (-9),0,5:52,0,3,0.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,1,1,-1.9,4
6,7,7,2003-11-11,25-270,SAC,,DET,W (+6),0,4:30,0,2,0.0,0,0,,0,0,,1,0,1,1,0,0,0,0,0,0.0,-3
7,9,8,2003-11-14,25-273,SAC,,TOR,W (+30),0,25:50,5,8,0.625,0,0,,4,4,1.0,2,5,7,5,3,1,3,2,14,16.7,16
8,10,9,2003-11-16,25-275,SAC,,GSW,W (+2),0,22:23,3,5,0.6,0,0,,2,2,1.0,1,5,6,0,1,0,0,2,8,8.1,-13
9,11,10,2003-11-19,25-278,SAC,@,UTA,W (+8),0,20:01,3,5,0.6,0,0,,1,1,1.0,1,4,5,0,1,1,2,3,7,5.1,2
10,12,11,2003-11-21,25-280,SAC,,ORL,W (+30),0,16:18,4,6,0.667,0,0,,3,4,0.75,3,4,7,0,0,0,1,3,11,9.1,9
11,13,12,2003-11-23,25-282,SAC,,CHI,W (+11),0,26:36,5,9,0.556,0,0,,2,2,1.0,1,4,5,2,0,0,0,4,12,9.4,-2
12,14,13,2003-11-25,25-284,SAC,,MEM,W (+20),0,21:46,5,8,0.625,0,0,,2,2,1.0,3,2,5,1,1,0,2,5,12,8.8,11
13,15,14,2003-11-28,25-287,SAC,,HOU,W (+29),0,11:42,1,2,0.5,0,0,,0,0,,1,1,2,2,1,0,0,0,2,4.4,7
14,16,15,2003-11-30,25-289,SAC,,NJN,W (+13),0,8:18,1,4,0.25,0,0,,0,2,0.0,1,1,2,1,1,0,0,2,2,0.7,5
