model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,568,143,30.419170970648107,5.515357737322947,0.2146946549030058,39.34290948614374,6.272392644449464,-0.0288493537837459,12.398601398601398,-19639821441582.14,-7.139778012996368,15.911545714529357,-6.990744771122546,0.9026025906440518,4.2292811951702864,4.197030791895337,-6.176530045817435,57000057492765.39,-7436653437603.671,-45023922827203.46,-7436653437605.774,9074083713813.172,3043510024820.1514,27076474879193.72,-7436653437600.532,27076474879193.8,-7436653437601.183,-6397796253424.726,-7436653437601.892,2287297001536.6743,-7436653437602.805,-117166186431.78316,-7436653437602.177,22368018664.585323,-7436653437603.274,143836423.7945981,-7436653437606.897,-31822057.209252693,-7436653437603.721,-6300519.833178271,-7436653437603.444,107456.85667014122,-7436653437603.378,1243.489091873169,-7436653437604.462,7.21136474609375,-7436653437603.482,0.001953125,-7436653437603.085,27076474879193.188,-7436653437602.19,0.0002593994140625,-7436653437601.58,27076474879197.324,-7436653437604.383,0.0,-7436653437602.959,0.0,-7436653437602.816,0.0,0.0,0.0,-7436653437603.508,27076474879191.305,-7436653437602.306,0.0,0.0,27076474879194.207,-7436653437600.412,0.0,-7436653437602.379,0.0,0.0,0.0,0.0,0.0,-7436653437603.96,0.0,0.0,0.0,-7436653437600.107,0.0,-7436653437603.303,0.0,-7436653437604.279,0.0,-7436653437600.756,0.0,-7436653437604.222,0.0,-7436653437602.131,0.0,-7436653437605.027,0.0,0.0,0.0,-7436653437603.665
"Random Forest (100 estimators, 20 depth)",568,143,5.486826347347607,2.342397563896361,0.8583513645934417,34.43117962262362,5.867808758184236,0.0995964109562201,12.398601398601398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",568,143,12.100221665040944,3.478537288148704,0.6876190754973541,33.23469188958084,5.764953763004595,0.1308855465852155,12.398601398601398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",568,143,23.64555103663296,4.862669126789623,0.3895633239068513,33.32657529261335,5.77291739873466,0.1284827202292556,12.398601398601398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),568,143,30.537371682061643,5.526062945901145,0.2116431696880772,39.08941612572673,6.252152919253233,-0.022220294482848,12.398601398601398,8.376641759050745,1.4268942607183464,5.396322034699399,-1.788808746636956,0.880303085899701,4.264968122014181,-0.5178060439065564,-4.132510541103246,0.0,-0.5686880599526282,0.0,-2.4717076518394547,0.0,0.0,0.0891192598968512,2.297332269485607,0.1274556898393573,1.7360362789063484,0.0,0.9816710641907131,0.0,0.2408264218824175,0.0,0.7950567194745308,0.0,-0.2682924139598204,0.0,-3.346266547791553,0.0,-0.7964832249278643,0.0,-0.4683641032219138,0.0,-0.3867105950664455,0.0,-1.2896436932880662,0.0,-0.532009811876983,0.0,0.0116754770474325,-0.7377935795769577,0.8334385623660495,0.0,1.4231222708276017,2.956518182760358,-1.4290964165099995,0.0,0.0573187772157824,0.0,0.2590641016018123,0.0,0.0,0.0,-0.4049308292936269,-2.5736047733372978,0.6229869937040362,0.0,0.0,0.1383052204165578,2.295975899540293,0.0,0.635014086665261,0.0,0.0,0.0,0.0,0.0,-0.9292195235074694,0.0,0.0,0.0,2.7747717684617808,0.0,-0.2829028268767344,0.0,-1.2078182724822155,0.0,2.2117589566410167,0.0,-1.1162900311193449,0.0,0.8771027720525276,0.0,-1.8615882135617223,0.0,0.0,0.0,-0.6931402047873141
Ridge (lambda=0.1),568,143,30.43265685141192,5.516580177194193,0.2143465016197564,39.30642161640941,6.269483361203649,-0.0278951660612967,12.398601398601398,8.673071123763151,-3.714259806995897,12.187638864887903,-4.736725399139488,0.8699582951199901,4.245575636161552,2.0044776829424675,-5.819291883129869,0.0,-0.6359703473417979,0.0,-2.688847559701459,0.0,0.0,-0.1002992107895431,2.4589014992996696,-0.0241946830921106,1.831274004232124,0.0,1.1015588659554931,0.0,0.2268981889470537,0.0,0.8392051290948102,0.0,-0.2531392484243845,0.0,-3.770404015200564,0.0,-0.7525741639911286,0.0,-0.4453344284179877,0.0,-0.3664674866554298,0.0,-1.4322592743489115,0.0,-0.4768618836601003,0.0,-0.029386687743064,-0.6952162094512849,0.8465940616957903,0.0,1.434197253213545,3.2813639368670136,-1.4167073724876,0.0,0.0536297965745986,0.0,0.2406638735090757,0.0,0.0,0.0,-0.4572983961497408,-2.6861689937454263,0.6889899751639542,0.0,0.0,0.2245151601990519,2.592718420564496,0.0,0.6437546263964063,0.0,0.0,0.0,0.0,0.0,-0.9594701858091036,0.0,0.0,0.0,2.907646535933944,0.0,-0.2691003708587164,0.0,-1.230768056641078,0.0,2.276439268588214,0.0,-1.2114078378890143,0.0,0.8994311269159152,0.0,-1.993525768224981,0.0,0.0,0.0,-0.6523795425388916
Lasso (lambda=0.1),568,143,33.1607793753836,5.758539691222385,0.1439169293535789,37.37230674430241,6.113289355519041,0.0226835242872562,12.398601398601398,8.448463185389688,0.4369405973088508,1.5298978202542122,-0.0,0.5435100721235903,3.8591025966827455,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1.0392278911535846,0.0,0.0,0.0,1.909869958753386,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),568,143,38.735469152945846,6.223782543835047,0.0,38.24616189206549,6.184348138006583,-0.0001685045997603,12.398601398601398,12.47887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",568,143,23.6090341019408,4.858912851856966,0.3905060499274907,32.37390482658424,5.689807099241962,0.1533958343365922,12.398601398601398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),568,143,30.642347762374108,5.535553067433652,0.2089330933005171,38.62310904706538,6.214749314901236,-0.0100259818910333,12.398601398601398,8.219657607706788,0.0,6.581676155465988,-2.3147739186031786,0.8625907899047798,4.288586448484504,-0.0,-3.775058008867747,0.0,-0.1841173221349177,0.0,-2.10446338646526,0.0,0.0,-0.0,2.307632524921945,0.0,1.6204301164062906,0.0,0.874621582649083,0.0,0.1660261350277538,0.0,0.7321691909140863,0.0,-0.0,0.0,-2.9129984651599554,0.0,-0.3606402839413969,0.0,-0.0,0.0,-0.0,0.0,-0.7799391840162838,0.0,-0.0970511001772286,0.0,0.0,-0.7999486689156575,0.5402786654703308,0.0,1.3567500028275268,2.917374283029797,-0.9235995908009602,0.0,0.0,0.0,0.1019147722769576,0.0,0.0,0.0,-0.0,-1.735135214896972,0.5939390964093102,0.0,0.0,0.036150800304802,1.9194725475960408,0.0,0.4548323854534279,0.0,0.0,0.0,0.0,0.0,-0.4160197828098846,0.0,0.0,0.0,2.7485674771172857,0.0,-0.0,0.0,-0.8252083820560051,0.0,2.1993132448554418,0.0,-0.2813141611570197,0.0,0.8085846460490005,0.0,-1.481808201002008,0.0,0.0,0.0,-0.3322360670319533
