model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,106,27,9.06139925091768,3.010215814674702,0.4541044781815737,26.32434303556401,5.1307253907770205,-0.9079783329614396,4.407407407407407,-1.6668327851861604,13.429712081604864,-17.556750241397662,-0.1845093139974882,0.2775266193835684,1.4499284753091288,3.638454391609062,3.444186463664666,-2.9842794901924213e-13,3.966998964260284,8.415490526658689e-14,-3.051434747519556,3.441691376337985e-14,-0.9380041470629384,1.021405182655144e-14,-2.951593034744853,4.440892098500626e-16,1.0376525839659327,6.217248937900877e-15,-0.032176484367115,-8.881784197001252e-16,-8.881784197001252e-16,-2.664535259100376e-15,11.262399518252051,2.220446049250313e-16,9.937780084623428e-05,1.1102230246251563e-15,0.7125787351182491,-2.220446049250313e-16,0.1048611633317642,0.0,0.0,8.881784197001252e-16,-4.177176800780113,0.0,-8.326672684688674e-17,2.220446049250313e-16,-0.4701035029520142,0.0,-2.501240633976784,0.0,-0.8198413373527188,0.3881896324533196,-0.9893094676896752,0.0,-2.436805663368255,-3.4624514751723234,-2.3094665575067856,0.0,-2.278122424108008,0.0,-0.5558420738835095,0.0,0.0,0.0,-0.245245475371583,0.0,0.0,0.0,0.0,0.0,-1.051792218302198,4.15036323638213,0.0,0.0,3.509098633878989,0.0,0.0,0.0,0.0,0.0,-2.220963128281025,0.0,0.0,0.0,-0.642807012332067,0.0,4.017049776796044,0.0,0.0,0.0,4.233014208535476,-1.0761013936630457,-0.2266126212179162,0.0,0.0,0.0,-0.9452156311225852
"Random Forest (100 estimators, 20 depth)",106,27,2.459197556437446,1.5681828836068343,0.8518479435513161,16.150414976832288,4.018757889800316,-0.1705759115242331,4.407407407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",106,27,3.122067548750638,1.7669373358301756,0.8119139609144799,16.475060757570365,4.058948232925664,-0.1941061137670305,4.407407407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",106,27,6.923976959765842,2.6313450856483724,0.5828714847624284,16.338469868204516,4.04208731575711,-0.1842060582542346,4.407407407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),106,27,9.74143308252075,3.121126893050129,0.4131364761018125,15.394623869932646,3.923598331880144,-0.115796460646341,4.407407407407407,0.5033677641335577,-0.0536115906637884,-0.5433494540053438,0.7578185015799449,0.4291204939090973,2.270974484792265,1.331378490561867,1.5338710391996857,0.0,2.773801512690473,0.0,-2.3753323263122312,0.0,-0.4665052863751115,0.0,-1.7824816571548032,0.0,0.9381873749409204,0.0,0.0717582331408753,0.0,0.0,0.0,5.331712701640974,0.0,0.1653889278350756,0.0,0.5677856630394584,0.0,0.0511562105640939,0.0,0.0,0.0,-2.088474869609638,0.0,0.0,0.0,0.0299930227779974,0.0,-1.4976085989729166,0.0,-0.6627252893500075,-1.2155880675324129,-0.8581422065788731,0.0,-1.7252254145568922,-0.7214578184664309,-1.843183713070773,0.0,-1.8074639634598952,0.0,-0.4518978832846096,0.0,0.0,0.0,-0.0925212683438302,0.0,0.0,0.0,0.0,0.0,-1.0986665644670668,1.618922451582622,0.0,0.0,2.1050334389865992,0.0,0.0,0.0,0.0,0.0,-1.415052864396798,0.0,0.0,0.0,-0.2476404919514845,0.0,3.330456343091873,0.0,0.0,0.0,3.749331632509527,0.318123434416209,-0.1676673878070428,0.0,0.0,0.0,-0.5340152755258336
Ridge (lambda=0.1),106,27,9.153471365027809,3.025470436977993,0.4485576797914704,23.045770287173607,4.800601033951229,-0.6703486318701093,4.407407407407407,-0.2450857544886182,1.1206355881320875,-4.264982408057831,0.8378856980885097,0.3791513111788895,1.7146872379743543,2.242650866417935,3.191833178444184,0.0,3.875412156576109,0.0,-2.851311536213658,0.0,-0.7884292822799779,0.0,-2.646998340595069,0.0,1.1589257955636496,0.0,-0.062876108376679,0.0,0.0,0.0,10.019160295250188,0.0,0.1058044623525493,0.0,0.5497116870758468,0.0,0.0927877921495469,0.0,0.0,0.0,-3.8381716694835872,0.0,0.0,0.0,-0.2716788725391564,0.0,-2.26935248679608,0.0,-0.8392984333374253,-0.8447028037639056,-0.983115226094058,0.0,-2.228552745712436,-1.635038810196645,-2.279620283655252,0.0,-2.118754069607455,0.0,-0.6846433725219208,0.0,0.0,0.0,-0.2469664866690965,0.0,0.0,0.0,0.0,0.0,-1.2193315665798,2.5211950647816512,0.0,0.0,3.199527803220283,0.0,0.0,0.0,0.0,0.0,-2.142972442192784,0.0,0.0,0.0,-0.5969848542262824,0.0,3.926750142260356,0.0,0.0,0.0,4.206623950477071,-0.0414534508212846,-0.2252596580259589,0.0,0.0,0.0,-0.8403866500186048
Lasso (lambda=0.1),106,27,12.956509769885097,3.5995152131759487,0.2194471884614658,10.797654726473262,3.285978503653556,0.2173901078147736,4.407407407407407,1.7394655886279335,0.0,0.0,0.0,0.0416271717897805,2.129547642247703,0.0,1.0724675143402742,0.0,0.0,0.0,-1.014689069260084,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3853243961290833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.1168462537519464,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.5480404009076536,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.9311675527487084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,2.0046659466847387,0.0,0.0,0.0,2.89257029127941,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),106,27,16.599145603417586,4.074204904446705,0.0,15.06123175507298,3.880880280950828,-0.0916323274456354,4.407407407407407,3.2830188679245285,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",106,27,6.449062566786757,2.539500456150137,0.611482258131469,17.59485666047848,4.194622350161988,-0.275268493287812,4.407407407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),106,27,9.3192311980664,3.052741587174781,0.4385716337021786,21.128878991666003,4.596616037006572,-0.5314130826132943,4.407407407407407,-0.5044394486749946,-0.0,-0.7596614663137897,0.0,0.3614801793447461,1.877121232285863,2.181854350544853,1.6041077609812342,0.0,4.148720194862497,0.0,-2.056256493740791,0.0,-0.0,0.0,-1.6071315515588058,0.0,1.3131032052426947,0.0,0.4193131900910696,0.0,0.0,0.0,10.590627557452796,0.0,0.2126388152159436,0.0,0.9784466728485428,0.0,0.4422442196610505,0.0,0.0,0.0,-2.666129172689793,0.0,0.0,0.0,0.4508270031032045,0.0,-1.227355176556883,0.0,-0.0178752406653071,-0.4827072710709931,-0.3203971020876182,0.0,-1.4599670458542204,-0.2463804503220383,-1.4626612695020018,0.0,-1.4162884366502473,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5634803943540451,2.1154048569008284,0.0,0.0,3.368312786820472,0.0,0.0,0.0,0.0,0.0,-1.0894539755950794,0.0,0.0,0.0,0.0,0.0,4.392317896369969,0.0,0.0,0.0,4.747643390616753,0.0,0.0,0.0,0.0,0.0,-0.0
