model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,220,55,15.085434185374869,3.8839971917310736,0.2649134423756991,17.166013821688566,4.143188846973858,-0.2300940875209154,3.5636363636363635,-12471014104304.188,31894857326.44285,-31894857327.795254,3.889431953430176,-0.1140213012695312,2.2201881408691406,-5.271944046020508,1.6376972198486328,12336523417493.604,134490686817.69908,9281053118460.191,134490686815.76506,12336523417492.137,134490686816.44743,-1887367809979.7808,134490686815.42882,-5916543222599.187,134490686815.1416,-2461421219423.831,134490686815.75172,-6353614881924.636,395754341598.5756,508579575351.3708,134490686816.35336,-2336623852185.01,134490686814.37808,12336523417490.746,134490686816.89122,-445385057539.78845,-80928075344.33307,258268651272.86823,1851945173048.3809,1109369411341.7715,134490686816.2371,336914462556.48975,119593723212.76305,-599237747411.8156,134490686815.60596,0.0,134490686816.11426,0.0,134490686815.52808,0.0,134490686819.28271,0.0,134490686818.71762,0.0,134490686813.73828,0.0,134490686816.52002,0.0,0.0,0.0,0.0,0.0,134490686816.16235,0.0,0.0,0.0,0.0,0.0,134490686819.15332,0.0,134490686816.76086,0.0,134490686817.6582,0.0,0.0,0.0,0.0,0.0,134490686815.62354,0.0,0.0,0.0,134490686815.05733,0.0,134490686816.05202,0.0,0.0,0.0,134490686815.48875,0.0,134490686818.6006,0.0,0.0,12336523417491.725,134490686821.47656
"Random Forest (100 estimators, 20 depth)",220,55,2.526975392466556,1.5896463104938017,0.8768649533302513,16.090986826573253,4.011357229987533,-0.1530590597996897,3.5636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",220,55,4.176974943967332,2.0437648944943088,0.7964633901077469,15.330883686968122,3.9154672373764186,-0.0985910634642199,3.5636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",220,55,10.223257348095249,3.197382890442627,0.5018387300377241,12.812573764109557,3.579465569622029,0.0818677302214569,3.5636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),220,55,15.154629458774997,3.892894740263984,0.2615416789446615,16.69531415184038,4.085989984304952,-0.1963643651233515,3.5636363636363635,4.689066921631877,-0.2405832991996381,-0.2405832991996369,0.0417423292418301,-0.1600043853564224,2.054654335667027,-1.4319345767338798,0.3884850169221098,1.4637993540872063,0.8719994664556754,0.0,-0.7433517982659346,0.0161082855841758,-0.1651237211272062,0.0,-1.117530597826623,0.0,-1.3717255279224376,0.0,-0.8201200366091512,0.0,0.0,0.0,-0.2346133106781376,0.0,-1.7034554884042263,-0.964351524863044,0.2489573271984934,0.0,0.0,0.0,0.0,0.0,-0.4104351965640103,0.0,0.0,0.0,-0.9481960058092466,0.0,-0.4356352719744445,0.0,-0.9152950790164616,0.0,2.2895319990544167,0.0,2.000060240231044,0.0,-2.2740202526191946,0.0,0.1577840351747681,0.0,0.0,0.0,0.0,0.0,-0.3594597746665013,0.0,0.0,0.0,0.0,0.0,2.251681303048598,0.0,0.2088789462780551,0.0,0.972402796274868,0.0,0.0,0.0,0.0,0.0,-0.9223135238155056,0.0,0.0,0.0,-1.2467517385074465,0.0,-0.4229754672732081,0.0,0.0,0.0,-0.9958456354678936,0.0,1.7417089831784935,0.0,0.0,-0.5155561148080046,4.343843329653396
Ridge (lambda=0.1),220,55,15.09041316841984,3.8846381000576926,0.2646708253278883,17.216391581555712,4.149263980702567,-0.2337040918701389,3.5636363636363635,4.496546097244621,-0.589101535646732,-0.5891015356467356,2.34495095713248,-0.133787483435689,2.19054132057416,-3.6648517322201015,1.269092006651352,1.533512960280588,1.0792038384135838,0.0,-0.7998030631262922,0.051249758381689,-0.1603262798527575,0.0,-1.1664172320940025,0.0,-1.4432191936690228,0.0,-0.8486315662296122,0.0,0.0,0.0,-0.2184210436477612,0.0,-2.159867681503425,-1.2178590261286653,0.3099776311395056,0.0,0.0,0.0,0.0,0.0,-0.3672942879409736,0.0,0.0,0.0,-0.980245835705466,0.0,-0.4537219862922271,0.0,-1.055621421103187,0.0,2.6338247914900323,0.0,2.1515391046102588,0.0,-2.74415102547331,0.0,0.0273109057368785,0.0,0.0,0.0,0.0,0.0,-0.3835397758707599,0.0,0.0,0.0,0.0,0.0,2.5477379103572466,0.0,0.2107138578865811,0.0,1.0674647620115207,0.0,0.0,0.0,0.0,0.0,-0.9525927859942652,0.0,0.0,0.0,-1.503422293145562,0.0,-0.5030699902359844,0.0,0.0,0.0,-1.1133174331000188,0.0,1.975368252527248,0.0,0.0,-0.3669036925307937,4.850521840814105
Lasso (lambda=0.1),220,55,17.1602490735368,4.142493098791693,0.1638113782849463,12.648021925443809,3.556405759393015,0.0936592996525433,3.5636363636363635,4.455510816490558,0.0,0.0,-0.0,-0.0,1.6396919931323133,-1.4190452773610245,0.0,1.5151932662948646,0.0,0.0,-0.0,0.0108073514102259,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.2473196606007708,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.2334692668737472,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.2375604507467052,2.2565318823588063
Lasso (lambda=1.0),220,55,20.521983471074385,4.530119586840328,0.0,14.883636363636365,3.857931617283589,-0.0665419055289717,3.5636363636363635,4.527272727272727,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
"Random Forest (50 estimators, 5 depth)",220,55,9.759940022212328,3.124090271136916,0.5244153648223668,14.494767342723009,3.807199409372066,-0.0386760603528952,3.5636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),220,55,15.19834109054211,3.898504981469449,0.2594116883504908,16.254252913880187,4.031656348683526,-0.1647584939709001,3.5636363636363635,3.7838003069348094,-0.0,-0.0,-0.0,-0.1045739015171784,2.0698043339775865,-1.4131147922397131,0.0,1.841573038354784,1.0665325216342925,0.0,-0.1027712598913321,0.3399281290212786,0.0,0.0,-0.5685369626371728,0.0,-0.8032219523946419,0.0,-0.2511369470713002,0.0,0.0,0.0,0.0,0.0,-1.1872570674044785,-0.4235175050692311,0.4966523566746424,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3632643736506444,0.0,-0.0,0.0,-0.2052960833625509,0.0,2.774837148480094,0.0,2.424582607220546,0.0,-1.7887631009176352,0.0,0.0422837744085045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.728901730904159,0.0,0.2466005447724647,0.0,1.3221299224682417,0.0,0.0,0.0,0.0,0.0,-0.410243461482752,0.0,0.0,0.0,-0.5387246732971647,0.0,-0.0,0.0,0.0,0.0,-0.3187996253819429,0.0,2.120279695216516,0.0,0.0,-0.0625155385995137,5.077026718836974
