Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1988-01-14,23-307,MIL,@,WSB,L (-29),0,10:00,2,2,1.0,0,0,,1,1,1.0,0,1,1,0,0,0,1,0,5,3.7,
2,2,1988-01-17,23-310,MIL,,CLE,W (+18),0,18:00,1,8,0.125,0,0,,2,2,1.0,4,0,4,0,0,0,1,1,4,0.2,
3,3,1988-01-19,23-312,MIL,@,SAS,L (-6),0,7:00,1,1,1.0,0,0,,0,0,,0,2,2,2,0,0,0,2,2,2.9,
4,4,1988-01-25,23-318,GSW,,MIL,L (-3),0,3:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,
5,5,1988-02-03,23-327,GSW,@,PHI,L (-12),0,7:00,1,3,0.333,0,0,,0,0,,0,1,1,0,1,0,0,1,2,1.2,
6,6,1988-02-09,23-333,GSW,,SAC,W (+18),0,3:00,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-1.1,
7,7,1988-02-15,23-339,GSW,@,SAS,W (+4),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,
8,8,1988-02-16,23-340,GSW,@,HOU,L (-5),0,4:00,1,1,1.0,0,0,,0,0,,2,0,2,0,0,0,0,1,2,2.7,
9,9,1988-02-19,23-343,GSW,@,DAL,L (-13),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
10,10,1988-02-26,23-350,GSW,,NYK,L (-6),0,5:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,
11,11,1988-02-27,23-351,GSW,@,SEA,L (-3),0,9:00,1,4,0.25,0,0,,0,0,,1,0,1,1,0,0,0,0,2,1.0,
12,12,1988-03-02,23-355,GSW,,HOU,L (-7),0,15:00,1,3,0.333,0,0,,1,1,1.0,1,4,5,0,0,0,1,2,3,1.4,
13,13,1988-03-04,23-357,GSW,@,LAL,L (-13),0,25:00,3,7,0.429,0,0,,4,4,1.0,2,1,3,1,2,0,2,6,10,6.3,
14,14,1988-03-05,23-358,GSW,@,POR,L (-6),0,19:00,2,5,0.4,0,0,,0,0,,2,5,7,1,0,0,1,3,4,2.7,
15,15,1988-03-08,23-361,GSW,,SEA,L (-5),0,19:00,2,5,0.4,0,0,,0,0,,3,2,5,2,0,2,2,1,4,4.4,
16,16,1988-03-10,23-363,GSW,,NJN,W (+16),0,5:00,1,2,0.5,0,0,,0,0,,0,4,4,0,1,0,1,1,2,1.8,
17,17,1988-03-13,24-000,GSW,@,HOU,L (-13),0,15:00,5,8,0.625,0,0,,1,1,1.0,1,7,8,0,0,0,0,4,11,8.6,
18,18,1988-03-14,24-001,GSW,@,DAL,L (-20),0,18:00,0,6,0.0,0,1,0.0,0,0,,2,1,3,0,2,0,0,3,0,-1.7,
19,19,1988-03-16,24-003,GSW,,PHO,L (-6),0,6:00,2,2,1.0,0,0,,0,0,,1,2,3,0,0,0,0,2,4,3.9,
20,20,1988-03-18,24-005,GSW,,POR,L (-5),0,1:00,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,
21,21,1988-03-20,24-007,GSW,,LAL,L (-3),0,10:00,1,4,0.25,0,0,,0,0,,1,1,2,0,0,0,0,0,2,0.6,
22,22,1988-03-23,24-010,GSW,,SAC,W (+8),0,13:00,0,0,,0,0,,1,2,0.5,0,0,0,3,0,0,1,1,1,1.3,
23,23,1988-03-25,24-012,GSW,@,LAC,L (-15),0,22:00,3,8,0.375,0,0,,5,5,1.0,7,6,13,0,0,1,2,3,11,10.8,
24,24,1988-03-26,24-013,GSW,,DEN,L (-23),0,16:00,4,6,0.667,0,0,,3,3,1.0,1,3,4,0,0,0,1,0,11,9.0,
25,25,1988-03-30,24-017,GSW,@,PHO,L (-18),0,15:00,0,4,0.0,0,0,,4,6,0.667,2,1,3,0,1,0,1,2,4,1.3,
26,26,1988-03-31,24-018,GSW,@,UTA,L (-23),0,11:00,0,1,0.0,0,0,,0,0,,0,2,2,2,0,0,0,1,0,0.9,
27,27,1988-04-02,24-020,GSW,@,DEN,L (-16),0,22:00,5,9,0.556,0,0,,4,5,0.8,5,8,13,2,1,0,0,3,14,16.4,
28,28,1988-04-05,24-023,GSW,,SAS,L (-13),0,27:00,3,10,0.3,0,0,,0,0,,2,3,5,0,0,0,1,5,6,-0.5,
