Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
3,1,2021-10-24,7287,BRK,H,CHO,L (-16),0,1:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
4,2,2021-10-25,7288,BRK,H,WAS,W (+14),0,4:03,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2
5,3,2021-10-27,7290,BRK,H,MIA,L (-13),0,1:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
7,4,2021-10-31,7294,BRK,H,DET,W (+26),0,6:39,2,2,1.000,1,1,1.000,0,2,.000,1,1,2,0,0,0,0,2,5,3.8,-1
11,5,2021-11-08,7302,BRK,A,CHI,L (-23),0,3:14,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,2,1,2,0.6,-4
12,6,2021-11-10,7304,BRK,A,ORL,W (+33),0,6:54,1,4,.250,0,0,,2,2,1.000,3,2,5,0,1,1,1,0,4,5.0,+2
15,7,2021-11-16,7310,BRK,H,GSW,L (-18),0,9:04,2,5,.400,0,1,.000,0,0,,2,5,7,0,0,1,3,1,4,1.5,+9
19,8,2021-11-24,7318,BRK,A,BOS,W (+19),0,2:39,2,3,.667,0,0,,0,1,.000,2,0,2,0,0,0,0,0,4,3.7,-2
28,9,2021-12-14,7338,BRK,H,TOR,W (+2),0,13:11,3,3,1.000,0,0,,1,4,.250,4,3,7,0,0,1,2,2,7,6.5,-7
29,10,2021-12-16,7340,BRK,H,PHI,W (+9),0,13:21,1,2,.500,0,0,,1,2,.500,2,3,5,0,0,0,0,1,3,3.5,+4
35,11,2022-01-03,7358,BRK,H,MEM,L (-14),0,9:24,3,3,1.000,0,0,,0,0,,1,3,4,0,0,0,0,5,6,4.7,+13
37,12,2022-01-07,7362,BRK,H,MIL,L (-12),0,6:58,2,4,.500,0,0,,2,2,1.000,3,0,3,0,0,0,0,1,6,5.7,+8
38,13,2022-01-09,7364,BRK,H,SAS,W (+2),0,11:16,3,8,.375,0,0,,1,1,1.000,5,1,6,0,1,0,1,3,7,5.2,+1
