,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,76,1,2009-04-05,22-217,OKC,,IND,L (-18),0,18:20,7,8,0.875,0,0,,0,0,,1,1,2,0,0,0,1,2,14,10.4,1
1,77,2,2009-04-07,22-219,OKC,,SAS,L (-10),0,15:28,3,5,0.6,0,0,,0,0,,0,2,2,0,0,0,0,2,6,3.5,-10
2,78,3,2009-04-08,22-220,OKC,@,DEN,L (-10),0,12:26,2,6,0.333,0,0,,3,3,1.0,2,2,4,1,0,1,0,0,7,7.0,3
3,79,4,2009-04-10,22-222,OKC,,CHA,W (+3),0,14:58,2,4,0.5,0,0,,0,0,,0,2,2,0,1,1,1,2,4,2.5,-4
4,80,5,2009-04-11,22-223,OKC,@,MIL,L (-17),0,26:23,4,9,0.444,0,0,,3,4,0.75,2,6,8,2,0,0,0,1,11,10.1,-3
5,81,6,2009-04-13,22-225,OKC,@,POR,L (-30),0,17:36,2,6,0.333,0,0,,1,2,0.5,1,2,3,1,0,0,0,3,5,2.0,-9
6,82,7,2009-04-15,22-227,OKC,@,LAC,W (+41),0,24:19,6,12,0.5,0,0,,3,4,0.75,4,7,11,2,2,3,1,0,15,18.0,22
7,5,1,2009-11-06,23-067,OKC,@,HOU,L (-11),0,9:53,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-2.3,0
8,6,2,2009-11-08,23-069,OKC,,ORL,W (+28),0,5:57,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,1,0,2,1.7,-2
9,12,3,2009-11-18,23-079,OKC,@,ORL,L (-14),0,13:11,4,5,0.8,0,0,,0,0,,0,4,4,0,2,0,0,2,8,8.5,16
10,14,4,2009-11-22,23-083,OKC,@,LAL,L (-16),0,15:19,6,7,0.857,0,0,,0,0,,2,1,3,1,1,2,0,0,12,14.3,11
11,16,5,2009-11-27,23-088,OKC,,MIL,W (+18),0,10:28,1,5,0.2,0,0,,0,0,,2,0,2,1,0,0,0,0,2,1.0,-15
12,17,6,2009-11-29,23-090,OKC,,HOU,L (-9),0,3:15,3,3,1.0,0,0,,2,2,1.0,1,1,2,0,0,0,0,0,8,8.1,5
13,19,7,2009-12-04,23-095,OKC,,BOS,L (-18),0,6:23,2,2,1.0,0,0,,2,2,1.0,0,1,1,0,0,0,0,2,6,4.9,6
14,23,8,2009-12-14,23-105,OKC,@,DEN,L (-9),0,8:04,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,3,0,-1.2,4
15,63,9,2010-03-10,23-191,OKC,,NOH,W (+15),0,5:20,2,4,0.5,0,0,,1,2,0.5,1,0,1,0,0,0,0,0,5,3.3,-6
16,67,10,2010-03-19,23-200,OKC,@,TOR,W (+26),0,12:00,3,6,0.5,0,0,,2,2,1.0,3,2,5,0,2,0,1,1,8,8.3,-6
17,68,11,2010-03-21,23-202,OKC,@,IND,L (-20),0,10:17,2,5,0.4,0,0,,2,2,1.0,1,1,2,0,0,1,0,1,6,4.6,-1
18,82,12,2010-04-14,23-226,OKC,,MEM,W (+9),0,1:45,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-4
19,3,1,2010-10-31,24-061,OKC,,UTA,L (-21),0,2:42,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.7,1
20,4,2,2010-11-03,24-064,OKC,@,LAC,L (-15),0,4:38,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,7
21,8,3,2010-11-12,24-073,OKC,,POR,W (+2),0,7:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,0
22,9,4,2010-11-14,24-075,OKC,,SAS,L (-13),0,1:33,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,3
23,10,5,2010-11-15,24-076,OKC,@,UTA,W (+7),0,6:44,0,1,0.0,0,0,,2,2,1.0,1,1,2,1,0,0,0,1,2,2.6,1
24,11,6,2010-11-17,24-078,OKC,,HOU,W (+17),0,19:09,5,7,0.714,0,0,,2,2,1.0,1,2,3,0,0,0,0,2,12,9.6,10
25,12,7,2010-11-19,24-080,OKC,@,BOS,W (+5),0,11:47,3,5,0.6,0,0,,0,0,,1,4,5,0,0,1,1,3,6,4.1,3
26,13,8,2010-11-20,24-081,OKC,@,MIL,W (+1),0,21:28,1,6,0.167,0,0,,0,0,,0,4,4,1,1,2,1,3,2,0.3,2
27,16,9,2010-11-26,24-087,OKC,@,IND,W (+4),0,12:01,1,4,0.25,0,0,,0,0,,1,3,4,0,1,2,0,0,2,3.6,6
28,17,10,2010-11-28,24-089,OKC,@,HOU,L (-1),0,12:26,1,2,0.5,0,0,,0,0,,1,2,3,0,1,0,0,2,2,2.5,-4
29,19,11,2010-12-01,24-092,OKC,@,NJN,W (+3),0,8:25,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,3
30,20,12,2010-12-03,24-094,OKC,@,TOR,L (-12),0,5:09,0,1,0.0,0,0,,0,0,,0,2,2,0,0,2,0,2,0,0.5,4
31,24,13,2010-12-10,24-101,OKC,@,NOH,W (+5),0,4:36,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2
32,25,14,2010-12-12,24-103,OKC,,CLE,W (+29),0,23:28,2,6,0.333,0,0,,0,2,0.0,2,5,7,2,2,0,0,2,4,5.3,19
33,26,15,2010-12-15,24-106,OKC,,HOU,W (+12),0,8:33,2,3,0.667,0,0,,0,0,,0,1,1,0,0,0,1,1,4,1.6,-6
34,27,16,2010-12-17,24-108,OKC,,SAC,W (+15),0,17:48,2,4,0.5,0,0,,0,0,,0,1,1,0,0,1,1,5,4,0.0,7
35,28,17,2010-12-19,24-110,OKC,,PHO,L (-3),0,7:33,1,4,0.25,0,0,,0,0,,1,1,2,0,0,0,1,1,2,-0.8,-1
36,29,18,2010-12-21,24-112,OKC,@,CHA,W (+18),0,7:29,2,2,1.0,0,0,,0,0,,1,1,2,0,0,0,0,0,4,4.4,5
37,30,19,2010-12-22,24-113,OKC,@,NYK,L (-14),0,7:30,2,4,0.5,0,0,,0,2,0.0,2,3,5,0,0,0,0,0,4,3.5,5
38,33,20,2010-12-29,24-120,OKC,,NJN,W (+21),0,5:29,2,3,0.667,0,0,,1,2,0.5,0,0,0,0,0,0,0,2,5,2.5,-2
39,35,21,2011-01-01,24-123,OKC,@,SAS,L (-27),0,12:00,0,3,0.0,0,0,,0,0,,0,3,3,0,0,0,0,1,0,-1.6,-3
40,50,22,2011-02-05,24-158,OKC,@,UTA,W (+16),0,1:57,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-4
41,54,23,2011-02-15,24-168,OKC,,SAC,W (+30),0,8:45,1,1,1.0,0,0,,0,0,,0,4,4,0,1,0,1,2,2,2.1,5
42,58,24,2011-02-27,24-180,CHA,@,ORL,L (-14),0,9:54,1,3,0.333,0,0,,2,2,1.0,1,0,1,0,0,0,0,2,4,2.2,-1
43,59,25,2011-03-02,24-183,CHA,@,DEN,L (-40),0,19:50,2,6,0.333,0,0,,2,2,1.0,0,5,5,1,1,0,0,5,6,3.8,-21
44,60,26,2011-03-04,24-185,CHA,@,LAL,L (-8),0,19:19,5,7,0.714,0,0,,1,1,1.0,2,5,7,0,0,2,1,1,11,11.0,3
45,61,27,2011-03-05,24-186,CHA,@,POR,L (-24),0,25:56,6,9,0.667,0,0,,0,0,,3,6,9,0,1,0,0,1,12,12.6,-21
46,62,28,2011-03-07,24-188,CHA,,LAC,L (-5),0,26:44,3,9,0.333,0,0,,3,4,0.75,2,4,6,0,0,1,1,2,9,5.0,-8
47,63,29,2011-03-09,24-190,CHA,,CHI,L (-17),0,21:56,5,8,0.625,0,0,,0,0,,2,3,5,0,0,0,0,0,10,8.7,-2
48,64,30,2011-03-11,24-192,CHA,,POR,W (+5),0,27:59,6,9,0.667,0,0,,4,4,1.0,5,4,9,1,2,2,1,3,16,18.7,17
49,65,31,2011-03-13,24-194,CHA,@,TOR,W (+5),0,12:07,1,3,0.333,0,0,,0,0,,1,1,2,0,0,0,1,2,2,-0.5,-2
