model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,110,28,10.965952630540135,3.311487978317321,0.4922470694251748,12.14118016033471,3.4844196303451613,0.1725760391426972,5.571428571428571,10.83759096812841,2.7233595779476816,-2.1117309304863507,-19.71072134580905,0.9304400887085544,4.371505669351959,8.728097263724418,-1.8368397401429168,4.618527782440651e-14,3.996802888650564e-15,-2.131628207280301e-14,3.305439967245817,-1.4210854715202004e-14,0.0,0.0,2.1019393705445664,-2.664535259100376e-15,-3.0933372509816217,1.6996463678059963,2.8614420641211464,1.3322676295501878e-15,-0.4082087437552921,-6.661338147750939e-16,-3.459525363395151,4.440892098500626e-16,-2.9960722590444675,-2.220446049250313e-16,0.1656750372699509,-2.220446049250313e-16,0.3542386810455922,3.3306690738754696e-16,-1.1407350726513947,-6.661338147750939e-16,-1.890923083036409,0.0,0.4038572920794765,-8.881784197001252e-16,2.957583905388922,-4.440892098500626e-16,-0.8791308578764051,0.0,-0.9269502362069346,0.0,-3.6869958544619656,0.0,0.5487948807319055,0.0,2.299993486708796,0.0,-1.69696649505194,0.0,0.0,-3.661638456589704,2.8449928422402104,0.0,3.456953902119813,0.0,0.0,0.0,-1.3179927193274164,0.0,0.5071047012297755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4704733545591204,1.9619920887836573,-0.6333089737428024,0.0,2.775834679487105,0.0,1.1538865294340204,0.0,0.0,0.0,-0.5654526713859593,0.0,-0.4463090778703977,0.0,0.0,0.0,0.8746446737001349
"Random Forest (100 estimators, 20 depth)",110,28,2.902980097204016,1.7038133985868336,0.8655842587126763,15.851196995193488,3.981356175374603,-0.0802623821480956,5.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",110,28,3.338612843706895,1.827187139760702,0.8454132976349151,15.303233710277894,3.911934778377305,-0.0429185699633056,5.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",110,28,7.877142682717005,2.806624784811288,0.6352672297191388,15.865995384900842,3.983214202738894,-0.0812708954939376,5.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),110,28,11.49080043447757,3.3898083182501,0.4679452126204306,12.601715964553335,3.549889570754749,0.1411904280067962,5.571428571428571,7.085229460578796,2.520589928463596,-3.2286225623804685,-3.698792599472222,0.847855385441403,3.621337418976732,-2.274393736767528,0.0927690185588021,0.0,0.0,0.0,2.6147657521907406,0.0,0.0,0.0,1.8031967373006443,0.0,-1.8147380967741769,-0.2600386401662226,2.400151335018064,0.0,-0.3901428979021963,0.0,-2.558578845303324,0.0,-2.063007024932096,0.0,-0.3891655186057251,0.0,0.2283545951372507,0.0,-0.5707357458440784,0.0,-1.3586339279230542,0.0,0.1078774912587614,0.0,0.5559103143773284,0.0,-0.5449866305703102,0.0,-0.4258936755230987,0.0,-3.260930055254728,0.0,0.1306751447542231,0.0,1.6790799272767447,0.0,-1.3655537578504922,0.0,0.0,-2.3503057299549046,1.875975802450884,0.0,2.8893897634018337,0.0,0.0,0.0,-0.8922453227411739,0.0,0.5799299246645967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.617969893649073,2.6103443701211613,-0.0596759774950499,0.0,2.26469154234364,0.0,1.055997047034264,0.0,0.0,0.0,-0.3979413371930279,0.0,-0.153523439613808,0.0,0.0,0.0,0.6777267699665175
Ridge (lambda=0.1),110,28,11.044175266764602,3.323277789587353,0.4886251521947786,13.265623008895272,3.642200297745207,0.095945024428556,5.571428571428571,8.858292709160011,3.5013048808544944,-3.840467947527862,-8.01704527423966,0.8940636000136326,4.118092156458327,-0.4614038238448794,-0.90707169101678,0.0,0.0,0.0,3.2575422009624395,0.0,0.0,0.0,2.0634289354367183,0.0,-2.9365744495085044,0.8549211650700859,2.8213840681328746,0.0,-0.3613721027628192,0.0,-3.14549280406489,0.0,-2.874397318364464,0.0,-0.0837219463200165,0.0,0.3126728016094772,0.0,-1.1003565336234804,0.0,-1.847303850518576,0.0,0.3705675840540192,0.0,1.7925400892909946,0.0,-0.8427731936368558,0.0,-0.7587185553791203,0.0,-3.9188354357864337,0.0,0.5992478713005316,0.0,2.5317407933209046,0.0,-1.609979005464963,0.0,0.0,-3.410668090190816,2.67025128008144,0.0,3.4760091033325584,0.0,0.0,0.0,-1.1737315005808997,0.0,0.6001935843261303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.477807019977037,2.555746925121187,-0.4217617934561982,0.0,2.7409832428573067,0.0,1.1798129775991946,0.0,0.0,0.0,-0.4796110797431709,0.0,-0.2207489781585582,0.0,0.0,0.0,0.8368110350426466
Lasso (lambda=0.1),110,28,15.708408777751902,3.963383501221135,0.2726586681253999,11.619244532480652,3.4087012970456434,0.2081460610687734,5.571428571428571,5.0823473729879804,0.5240103562714737,-0.0,-3.2460765971340115,0.2101937461488349,2.896018347339983,-0.0,0.0,0.0,0.0,0.0,0.554150768692852,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.4631623761108013,0.0,-0.0,0.0,-0.314242790786514,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-1.2197068666716793,0.0,-0.0,0.0,0.0,0.0,-0.0817875575936761,0.0,0.0,-0.0,0.0,0.0,0.1295849090135293,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.127235379305956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),110,28,21.59702479338843,4.647259923157778,0.0,14.813364817001183,3.848813429747041,-0.0095339026885366,5.571428571428571,5.945454545454545,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",110,28,6.938415973665955,2.6340873132198857,0.6787327865739157,15.941469175691433,3.992676943566989,-0.0864144500818917,5.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),110,28,11.17277533212541,3.3425701686165707,0.4826706252823413,12.444242567365617,3.5276398012503507,0.1519222728777259,5.571428571428571,9.863716261592009,1.6177886012660627,-2.5459420815469054,-9.700556189511229,0.819425817367767,4.128386282456617,-0.0,-0.0,0.0,0.0,0.0,3.0841268751404725,0.0,0.0,0.0,1.948555655435644,0.0,-2.258884959801664,-0.0,2.635678288342666,0.0,-0.0,0.0,-2.894565215434284,0.0,-2.404291870087349,0.0,-0.0,0.0,0.2313272679211413,0.0,-0.0,0.0,-1.533434305991852,0.0,0.0453070568714863,0.0,1.3501628143173574,0.0,-0.4233453227893173,0.0,-0.3180186344431933,0.0,-3.7480306559210352,0.0,0.2776454612846923,0.0,1.7190100674916708,0.0,-1.5042799069994397,0.0,0.0,-3.8748079839824423,2.302566256991822,0.0,3.311610415795511,0.0,0.0,0.0,-0.6043512096809674,0.0,0.5571773473613089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.071513820009429,1.8736577717884155,-0.0,0.0,2.526416070336833,0.0,1.0565945020745868,0.0,0.0,0.0,-0.0833617664482188,0.0,-0.0,0.0,0.0,0.0,0.7189648695152615
"Random Forest (100 estimators, 5 depth)",110,28,7.183813554154855,2.6802637098156694,0.6673702223857214,15.50451456680966,3.9375772458213008,-0.0566359023277791,5.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=2.0),110,28,12.07014838816392,3.4742119089318546,0.4411198531448186,12.197364890333596,3.4924726040920637,0.1687470380718412,5.571428571428571,6.442907580516475,2.051386556831149,-2.517826016596542,-2.853595340713769,0.7904817001041285,3.2450678867648817,-1.9326572340256007,0.2354052331032722,0.0,0.0,0.0,2.155031567126862,0.0,0.0,0.0,1.540960794289397,0.0,-1.284302921781328,-0.6214948302888768,2.059061819378527,0.0,-0.3890966228026226,0.0,-2.1056697187801663,0.0,-1.5946020549351687,0.0,-0.4683034815732668,0.0,0.1454272754304245,0.0,-0.3866146461146958,0.0,-1.050103149802909,0.0,-0.011907670072352,0.0,0.2354485967188469,0.0,-0.3749414386504425,0.0,-0.2677503906734954,0.0,-2.68585336167241,0.0,-0.0664683316298523,0.0,1.2637946360900052,0.0,-1.1951246321797035,0.0,0.0,-1.8627616713159656,1.3993593529526365,0.0,2.365908631834378,0.0,0.0,0.0,-0.688400269510726,0.0,0.5003954650790409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.037962226500176,2.48425650160487,0.043668073251829,0.0,1.8874876706559391,0.0,0.9381874092544528,0.0,0.0,0.0,-0.3425361845092266,0.0,-0.134895645100163,0.0,0.0,0.0,0.5498014542264035
