model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,91,23,8.673516148168668,2.9450833856053493,0.4522748698050487,21.32135988327561,4.617505807606051,-1.0649943936749908,3.391304347826087,0.986094385330849,-2.7345055102515774,9.91659799408637,-3.7844832316317576,0.9790753724940878,2.288001677301528,7.259448883111974,-6.891138400520085,-2.220446049250313e-15,-1.630059121459495,1.7763568394002505e-15,-1.2142805443583766,1.7763568394002505e-15,0.2783320868889323,0.0,-1.6101570785189412,-4.440892098500626e-16,3.3615929709049874,4.440892098500626e-16,1.7794991986862931,8.881784197001252e-16,-8.881784197001252e-16,8.881784197001252e-16,-0.3714899044971983,0.0,-0.2720039375396448,0.0,5.345281502746938,0.0,-2.0346370375025624,-8.881784197001252e-16,0.0,0.0,0.8203746511933441,0.0,0.0,0.0,5.387989235924897,-0.770930999059331,0.0,0.0,5.005571954889988,0.0,-4.832181731072422,0.0,2.315162761091715,0.0,0.9574929552143658,0.0,-0.2284150127964596,0.0,-0.9067543698950326,0.0,0.0,0.0,-5.787275702971617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.770930999059331,0.6385204101506271,0.0,0.0,0.0,0.0,0.0,2.6139073430043576,0.0,0.0,0.0,1.29568135213932,0.0,-3.504387090416209,0.0,0.0,0.0,-4.310503950222292,0.0,-1.603564930588596,0.0,0.0,0.0,-1.493696010996932
"Random Forest (100 estimators, 20 depth)",91,23,2.05500253968254,1.4335280044988796,0.8702283463395373,7.675631265700483,2.7704929643838625,0.2566076639407624,3.391304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",91,23,2.3911557538650805,1.5463362357084829,0.8490005582247416,7.099296298806425,2.6644504684468098,0.3124262647256318,3.391304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",91,23,5.49785486540281,2.3447504910763555,0.652815165095241,9.610762547096014,3.100122989027373,0.0691883216012829,3.391304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),91,23,9.529245151380543,3.0869475459392803,0.3982363147728102,12.983373973086882,3.6032449227171446,-0.2574523675875066,3.391304347826087,1.6745685644419028,-0.089083395668918,1.7308302783295335,0.0406241129417592,0.7678510623304836,1.5553796757476337,2.478901429384322,-1.1085017787330032,0.0,-1.3139055264048027,0.0,-1.032446693035982,0.0,0.3525006305177885,0.0,-1.2311286613779495,0.0,2.487635226488452,0.0,2.029356228545093,0.0,0.0,0.0,-0.3700733514119917,0.0,0.05378026661827,0.0,3.689161471053104,0.0,-1.1125041757311829,0.0,0.0,0.0,0.5825339159673599,0.0,0.0,0.0,2.776363512065,0.0553946507703783,0.0,0.0,3.694034659649848,0.0,-3.33203362605832,0.0,1.5053728348743136,0.0,0.6789061216603969,0.0,-0.578464464968478,0.0,-1.3267241296251264,0.0,0.0,0.0,-2.770853163204774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0553946507703786,0.4866020121940219,0.0,0.0,0.0,0.0,0.0,2.3682639506309573,0.0,0.0,0.0,0.4520901501340192,0.0,-2.269511666276179,0.0,0.0,0.0,-3.096756410570092,0.0,-1.2730363020344575,0.0,0.0,0.0,-1.449162809699357
Ridge (lambda=0.1),91,23,8.736953879747123,2.955833872149638,0.4482688312856625,19.578622696864,4.424773745273763,-0.8962086061224932,3.391304347826087,1.1870874544101198,-1.064909039321581,6.228047606896056,-2.2623596975611084,0.948947645643097,1.975164805458061,5.450735331019325,-4.640400847296121,0.0,-1.5945591003980366,0.0,-1.2686044766787852,0.0,0.4684270189478834,0.0,-1.5395705550973229,0.0,3.1655682057218253,0.0,2.028189186882735,0.0,0.0,0.0,-0.3827860137291456,0.0,-0.1455629465701493,0.0,5.2030839030499285,0.0,-1.8092802272917945,0.0,0.0,0.0,0.6988227218733053,0.0,0.0,0.0,4.99195129237147,-0.446051291268534,0.0,0.0,4.851314624518174,0.0,-4.824937776400318,0.0,2.175467474212602,0.0,0.9046407610479612,0.0,-0.4058807906798993,0.0,-1.1305900039566286,0.0,0.0,0.0,-5.359588066733277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4460512912684657,0.6421664917587456,0.0,0.0,0.0,0.0,0.0,2.683993546436266,0.0,0.0,0.0,1.0786609869471415,0.0,-3.242495135760607,0.0,0.0,0.0,-4.067587969985679,0.0,-1.5893739594399137,0.0,0.0,0.0,-1.531469191047084
Lasso (lambda=0.1),91,23,13.409334534579433,3.661875821840417,0.1532119871211714,9.285853166713506,3.0472697889608504,0.1006561103640707,3.391304347826087,2.46108614078599,0.0,0.0149003920123196,0.0,0.2754806167847802,0.0,1.6144100034626885,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.4666643156998036,0.0,0.3917272694336778,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.679928242381187,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932346875216552,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.1341972619524594,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6373994219074505,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-1.1560923337816789,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),91,23,15.835527110252382,3.979387780834181,0.0,10.485065340774849,3.238065061232533,-0.0154887523379523,3.391304347826087,3.791208791208791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",91,23,4.732797623210229,2.175499396278985,0.701127875929935,7.3409476632952035,2.7094183256365567,0.2890220955907793,3.391304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),91,23,8.955127186569436,2.9925118523690823,0.4344913734654513,18.266955889760485,4.273985948708826,-0.7691724030910467,3.391304347826087,1.4221830445610435,-0.0,3.587812197393531,-0.2921496039416952,0.8560510251855166,1.2278992700658993,3.337662781843612,-2.623460114998452,0.0,-1.32627094988168,0.0,-0.9418772747517342,0.0,0.0,0.0,-1.29842067062846,0.0,2.9338035236032955,0.0,2.1621066271504885,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,5.445212573064628,0.0,-1.2760853620144292,0.0,0.0,0.0,0.4873388454341857,0.0,0.0,0.0,4.711333794196453,-0.395132741951169,0.0,0.0,4.808958851038508,0.0,-4.757307046764541,0.0,1.9215560890319727,0.0,0.5423328214973753,0.0,-0.0865582953608415,0.0,-1.1879656102984926,0.0,0.0,0.0,-5.046822842111732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0406773073940675,0.5150869611095027,0.0,0.0,0.0,0.0,0.0,2.736615153691775,0.0,0.0,0.0,0.5942914850596539,0.0,-2.7645172382960737,0.0,0.0,0.0,-3.706114743285661,0.0,-1.4012611877529355,0.0,0.0,0.0,-1.366917877699552
