Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1994-11-04,7835,MIN,A,DEN,L (-22),0,26:00,9,18,.500,5,8,.625,3,6,.500,2,2,4,2,0,3,0,0,26,21.3,
2,2,1994-11-05,7836,MIN,H,HOU,L (-30),0,26:00,6,14,.429,0,2,.000,0,0,,4,3,7,3,0,2,1,0,12,10.8,
3,3,1994-11-08,7839,MIN,A,DET,L (-14),0,25:00,5,15,.333,1,4,.250,4,5,.800,6,2,8,1,2,0,1,0,15,12.6,
4,4,1994-11-09,7840,MIN,H,LAL,L (-23),0,32:00,5,15,.333,0,3,.000,3,3,1.000,1,4,5,2,1,3,2,1,13,8.5,
5,5,1994-11-11,7842,MIN,H,CHI,L (-12),0,24:00,5,10,.500,0,2,.000,2,2,1.000,0,0,0,3,1,0,1,1,12,8.7,
6,6,1994-11-12,7843,MIN,H,BOS,L (-13),0,25:00,8,14,.571,1,2,.500,1,2,.500,1,6,7,2,0,2,1,4,18,13.7,
7,7,1994-11-15,7846,MIN,A,GSW,W (+2),0,17:00,5,9,.556,2,4,.500,0,1,.000,2,4,6,2,1,1,1,2,12,11.2,
8,8,1994-11-16,7847,MIN,A,PHO,L (-15),1,44:00,11,26,.423,1,5,.200,7,8,.875,3,10,13,3,2,2,3,3,30,22.2,
9,9,1994-11-19,7850,MIN,H,SAS,L (-8),1,41:00,5,19,.263,2,7,.286,5,6,.833,3,5,8,3,2,2,0,1,17,14.0,
10,10,1994-11-22,7853,MIN,A,CLE,L (-33),1,42:00,4,15,.267,2,6,.333,3,4,.750,2,6,8,2,0,5,2,1,13,9.4,
11,11,1994-11-23,7854,MIN,H,ATL,L (-12),1,46:00,6,20,.300,1,2,.500,2,4,.500,2,8,10,2,1,4,4,3,15,6.4,
12,12,1994-11-25,7856,MIN,H,PHI,L (-38),0,19:00,1,3,.333,0,0,,0,0,,1,1,2,0,0,2,0,1,2,2.3,
13,13,1994-11-28,7859,MIN,A,SAS,L (-4),0,17:00,2,7,.286,0,1,.000,1,5,.200,1,0,1,0,2,0,0,1,5,1.6,
14,14,1994-11-29,7860,MIN,A,DAL,L (-1),0,23:00,1,7,.143,0,3,.000,4,4,1.000,0,5,5,0,0,4,3,1,6,2.4,
15,15,1994-12-01,7862,MIN,A,UTA,W (+2),0,15:00,3,5,.600,3,4,.750,2,4,.500,0,1,1,0,0,1,1,2,11,7.1,
16,16,1994-12-03,7864,MIN,A,LAC,W (+8),0,32:00,6,13,.462,2,3,.667,1,2,.500,0,6,6,5,1,2,2,2,15,12.8,
17,17,1994-12-06,7867,MIN,H,DEN,L (-7),0,23:00,3,8,.375,1,1,1.000,1,4,.250,3,6,9,0,0,4,2,2,8,6.3,
18,18,1994-12-10,7871,MIN,H,PHO,L (-14),0,39:00,4,16,.250,0,5,.000,6,7,.857,2,5,7,1,3,3,2,2,14,9.9,
19,19,1994-12-13,7874,MIN,A,ATL,L (-2),0,17:00,1,2,.500,1,1,1.000,2,2,1.000,0,1,1,0,0,1,0,1,5,4.6,
20,20,1994-12-14,7875,MIN,H,UTA,L (-8),0,18:00,2,3,.667,0,0,,1,2,.500,0,3,3,2,0,0,0,2,5,4.8,
21,21,1994-12-16,7877,MIN,H,NJN,W (+1),0,5:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,
22,22,1995-01-05,7897,MIN,A,MIA,L (-23),0,5:00,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-3.1,
23,23,1995-01-10,7902,MIN,H,SAC,L (-13),0,27:00,4,10,.400,0,2,.000,0,0,,2,2,4,0,0,1,5,3,8,-0.9,
24,24,1995-01-11,7903,MIN,A,CHH,L (-9),0,23:00,4,12,.333,0,2,.000,0,0,,3,2,5,1,0,0,2,3,8,1.4,
25,25,1995-01-13,7905,MIN,H,DET,W (+12),1,39:00,10,17,.588,2,3,.667,3,3,1.000,4,3,7,1,1,1,2,5,25,19.2,
26,26,1995-01-14,7906,MIN,A,NJN,L (-9),1,43:00,3,12,.250,0,5,.000,1,2,.500,0,4,4,4,1,1,2,3,7,1.9,
27,27,1995-01-16,7908,MIN,H,HOU,W (+19),0,23:00,5,11,.455,0,2,.000,1,2,.500,2,1,3,1,1,0,3,0,11,5.3,
28,28,1995-01-19,7911,MIN,H,SEA,L (-15),1,26:00,5,10,.500,1,1,1.000,3,3,1.000,4,4,8,2,0,1,1,2,14,13.3,
29,29,1995-01-20,7912,MIN,A,CHI,L (-7),0,28:00,4,11,.364,0,1,.000,5,6,.833,1,5,6,2,0,0,2,2,13,7.3,
30,30,1995-01-22,7914,MIN,H,CHH,W (+17),0,21:00,3,8,.375,1,2,.500,1,2,.500,2,3,5,2,0,1,0,0,8,7.6,
31,31,1995-01-24,7916,MIN,H,PHO,L (-15),0,22:00,2,8,.250,0,1,.000,0,0,,2,2,4,1,0,0,2,3,4,-1.3,
32,32,1995-01-30,7922,MIN,A,UTA,L (-35),0,23:00,1,11,.091,1,3,.333,6,8,.750,1,2,3,1,0,0,1,2,9,1.1,
33,33,1995-02-01,7924,MIN,H,DAL,L (-21),1,35:00,4,11,.364,1,4,.250,0,0,,2,3,5,0,1,0,0,3,9,5.0,
34,34,1995-02-03,7926,MIN,H,POR,L (-15),0,21:00,2,5,.400,0,1,.000,0,0,,0,4,4,1,1,1,0,0,4,4.9,
35,35,1995-02-05,7928,MIN,A,BOS,L (-33),0,19:00,0,6,.000,0,1,.000,2,2,1.000,0,3,3,2,0,0,3,0,2,-2.9,
36,36,1995-02-07,7930,MIN,H,GSW,W (+9),0,23:00,6,12,.500,2,2,1.000,1,5,.200,3,4,7,1,1,0,1,1,15,11.0,
37,37,1995-02-08,7931,MIN,A,MIL,L (-7),0,21:00,3,10,.300,1,3,.333,0,0,,1,1,2,0,1,1,3,2,7,0.1,
38,38,1995-02-14,7937,MIN,H,WSB,L (-3),0,20:00,3,5,.600,0,0,,5,6,.833,0,1,1,1,2,0,2,2,11,8.5,
39,39,1995-02-15,7938,MIN,A,PHI,W (+4),0,38:00,5,13,.385,1,4,.250,6,10,.600,4,7,11,2,0,2,1,0,17,15.0,
40,40,1995-02-17,7940,MIN,H,IND,L (-32),0,23:00,2,8,.250,0,3,.000,1,2,.500,0,2,2,2,0,0,1,1,5,0.4,
41,41,1995-02-20,7943,GSW,H,PHI,W (+13),1,25:00,6,11,.545,2,5,.400,0,0,,1,4,5,3,0,0,0,2,14,11.9,
42,42,1995-02-22,7945,GSW,H,POR,L (-18),1,34:00,5,16,.313,2,8,.250,1,2,.500,1,2,3,0,0,1,1,3,13,3.2,
43,43,1995-02-25,7948,GSW,A,HOU,L (-7),1,33:00,3,9,.333,0,2,.000,1,2,.500,1,7,8,1,0,4,1,3,7,5.6,
44,44,1995-02-26,7949,GSW,A,SAS,L (-30),1,36:00,7,17,.412,1,6,.167,3,4,.750,1,6,7,2,0,1,2,2,18,10.3,
45,45,1995-03-01,7952,GSW,H,UTA,L (-13),1,33:00,5,7,.714,2,3,.667,1,2,.500,0,2,2,1,2,0,1,2,13,11.2,
46,46,1995-03-03,7954,GSW,H,CHH,L (-30),1,32:00,5,14,.357,1,4,.250,3,6,.500,2,2,4,0,1,1,2,2,14,5.9,
