model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,505,127,28.539561122478823,5.342243079688421,0.1972859313523547,39.28340963679036,6.267647855199777,-0.0547202803785256,8.850393700787402,3828458540578.129,-6.140732835024908,7.185279322367294,18.98133290980383,-0.8232166292530758,3.7198943362524233,-6.861139825835551,1.9134662576945896,4844790817424.288,425046145052.5137,696461789411.973,425046145052.01385,-968058732216.1516,-163900633204.04617,-293522618818.32275,425046145053.5864,-4253504685628.856,425046145051.5886,782914862.0707004,425046145050.10034,-298806246.53349954,425046145052.1423,1501008.3455777653,425046145052.8535,-72986.73478095187,425046145051.574,-251.58514017611745,23.742459177970886,-6.369976997375488,425046145054.5479,0.003662109375,425046145052.2861,0.0,425046145053.5322,0.0,425046145052.6775,0.0,425046145053.5538,0.0,425046145053.4813,-4253504685628.7554,425046145052.94696,0.0,425046145051.76526,0.0,425046145056.5251,0.0,425046145052.6688,0.0,425046145055.56537,0.0,0.0,-4253504685628.715,425046145054.3674,0.0,425046145052.043,0.0,0.0,0.0,0.0,-4253504685628.313,425046145053.9343,0.0,0.0,0.0,0.0,0.0,425046145054.514,0.0,0.0,0.0,425046145054.66125,0.0,0.0,0.0,425046145053.6052,0.0,425046145051.2619,0.0,425046145054.9291,-4253504685624.822,425046145052.4236,-4253504685633.901,425046145051.1925,0.0,0.0,0.0,425046145053.2533
"Random Forest (100 estimators, 20 depth)",505,127,4.6688474922147805,2.1607516035432623,0.8686822985718861,45.28591057557228,6.729480706233749,-0.215881430382044,8.850393700787402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",505,127,10.829515013342965,3.290822847456691,0.6954051248183226,41.235901430903134,6.421518623417916,-0.1071427333062051,8.850393700787402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",505,127,20.36188566038832,4.512414615301692,0.4272942035217669,39.61892458575844,6.294356566461614,-0.0637285213718275,8.850393700787402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),505,127,28.71402803612637,5.358547194541294,0.1923788115302455,39.20683065377938,6.261535806316161,-0.0526642112343442,8.850393700787402,3.775583629824532,-4.484344479767495,4.363424901808913,6.765176299570956,-0.8103207027589241,3.4289727414231304,2.7432155943793184,2.1205584330903893,0.0,-0.5941620027984065,0.0,-0.9889432070604264,0.0,0.0,0.0,0.5786384823788975,0.1032109795822928,-1.448139434657503,0.0,-2.766267156923666,0.0,-0.9005972503082934,0.0,-0.1697375371915318,0.0,-1.4042860271122355,0.0,0.0,0.0,1.4038546029834205,0.0,-0.8544826067091941,0.0,0.4498152538504176,0.0,-0.2932404002037393,0.0,0.5184437415857812,0.0,0.4074523626583305,0.6407722298955099,-0.1480766327254628,0.0,-1.1500389854232789,0.0,3.1300790687514937,0.0,-0.2530544683062156,0.0,2.3589294211595138,0.0,0.0,-0.5061550641708895,1.1415618800753615,0.0,-0.9121287546574988,0.0,0.0,0.0,0.0,0.3465838637259342,0.8303592018153919,0.0,0.0,0.0,0.0,0.0,1.232212867708031,0.0,0.0,0.0,1.4290285051849252,0.0,0.0,0.0,0.7465697788861798,0.0,-1.8236961731950567,0.0,1.7410042019415268,2.912829956600926,-0.6047501796581187,-3.497241965632884,-1.7851789794846404,0.0,0.0,0.0,0.1288304274354985
Ridge (lambda=0.1),505,127,28.556171762244425,5.343797503858508,0.196818734461279,39.218866277269946,6.262496808563654,-0.0529873556940505,8.850393700787402,2.7236075623087563,-6.375168887413342,6.8928437590397165,14.074693998221548,-0.8119398450100419,3.653004958613234,-2.556187667955474,2.10797268350524,0.0,-0.5947716294149265,0.0,-1.0335283007356346,0.0,0.0,0.0,0.5330973622818327,0.0410763168190784,-1.5087478206924816,0.0,-2.951137493966933,0.0,-0.9352975882494576,0.0,-0.1943636126371745,0.0,-1.4961235166291065,0.0,0.0,0.0,1.4595378065648523,0.0,-0.8071109260746314,0.0,0.4474918978821707,0.0,-0.3601400128519468,0.0,0.492144774666829,0.0,0.4123522334865769,0.2400158787510862,-0.0974778121153327,0.0,-1.2691701063947056,0.0,3.4126113830277127,0.0,-0.3636182064884172,0.0,2.4777857979973468,0.0,0.0,0.0292212818132039,1.2910881550776965,0.0,-0.992141480559881,0.0,0.0,0.0,0.0,0.4977802683029644,0.8423488270923183,0.0,0.0,0.0,0.0,0.0,1.4056753188435394,0.0,0.0,0.0,1.5416661958822355,0.0,0.0,0.0,0.6102790228489171,0.0,-1.8261154786790463,0.0,1.8205311228176884,3.768579622401708,-0.6393843409956852,-4.576673368074149,-1.8444184499766216,0.0,0.0,0.0,0.1669368779863024
Lasso (lambda=0.1),505,127,32.20809061282815,5.675217230452782,0.0941035376037431,38.02473761471561,6.166420162032069,-0.0209261947759362,8.850393700787402,7.78616485859424,0.0,0.0,1.0463676311845276,-0.4459930302526402,2.757818442270309,0.0,0.0996961753076609,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0474526120951687,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.741773793214466,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),505,127,35.55383197725713,5.962703411813901,0.0,37.342667593959824,6.110864717366915,-0.0026132965275214,8.850393700787402,9.162376237623764,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",505,127,20.8770676420888,4.569142987704455,0.412804007864938,37.86294172591762,6.153287066756891,-0.0165821368956524,8.850393700787402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),505,127,28.76309483933361,5.363123608433206,0.1909987407902297,38.20078303979005,6.180678202251761,-0.0256528384611618,8.850393700787402,3.332082842513402,-2.781835142697019,3.758910391489586,11.134085584763575,-0.7782953789015639,3.5127846744241853,0.0,0.3594459398199944,0.0,-0.1279396899343913,0.0,-0.6410581558767957,0.0,0.0,0.0,0.3669111260407485,-0.0,-1.0802516137236715,0.0,-2.5193554258151134,0.0,-0.4342098834537206,0.0,-0.0,0.0,-1.101109425721826,0.0,0.0,0.0,1.3620946772968685,0.0,-0.5130436203926947,0.0,0.338273858138003,0.0,-0.0,0.0,0.4336102775128533,0.0,0.2159979039406721,0.1041729395159755,-0.0,0.0,-0.8431682713311747,0.0,3.135985092248605,0.0,-0.0,0.0,2.348222577028257,0.0,0.0,-0.3016632096129408,0.9582474003808484,0.0,-0.6149960579455664,0.0,0.0,0.0,0.0,0.0,0.7677827784259382,0.0,0.0,0.0,0.0,0.0,1.0730421542421305,0.0,0.0,0.0,1.329948648317579,0.0,0.0,0.0,0.6633507309477307,0.0,-1.502414984309726,0.0,1.697163191999879,3.018984325493776,-0.2300178389847119,-4.765359810604753,-1.497778415239396,0.0,0.0,0.0,0.0
