model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,540,136,31.605597036856192,5.621885541066822,0.4049952566567986,45.68494864071117,6.759064183798758,0.3985879012371505,10.088235294117649,59457309502205.73,-40.22902709628335,36.86605948849231,0.5693171607076988,-1.0095424186019262,8.307707314695776,-2.7425500684539585,4.685938134477257,-9292497689536.67,2197630853612.988,205877243540.238,2197630853611.658,-424048189618.622,2197630853612.252,-212647537664.7761,2197630853613.6096,63990245474.08498,2197630853611.794,-13401111962.980864,2197630853609.2373,-6678089281.022992,41030196419.359634,21656033752.154804,2197630853609.608,-61654940355811.2,2197630853608.6787,488913267.4761832,2197630853611.8823,157116316.8649342,2197630853608.7168,-816838.3084194933,-2798579.0297316583,388259.6997171002,2197630853612.004,781.4043635129929,2197630853609.576,-0.591552734375,2197630853610.577,0.0,2197630853610.2744,0.0,2197630853610.493,0.0,2197630853611.6035,0.0,2197630853610.789,0.0,2197630853613.2383,0.0,2197630853610.441,-61654940355810.805,2197630853610.4385,0.0,0.0,0.0,2197630853609.889,0.0,0.0,0.0,0.0,0.0,2197630853611.2263,0.0,2197630853611.1328,0.0,2197630853610.4707,0.0,0.0,0.0,0.0,0.0,2197630853611.916,0.0,0.0,0.0,2197630853608.0664,0.0,2197630853609.34,0.0,0.0,0.0,2197630853610.6885,0.0,2197630853609.6924,0.0,0.0,0.0,2197630853610.961
"Random Forest (100 estimators, 20 depth)",540,136,3.9224646400351046,1.9805213051202213,0.9261559570067524,36.114426055059546,6.009527939452445,0.5245774939969159,10.088235294117649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",540,136,9.03588029995049,3.005974101676608,0.8298911540103999,32.925185157262135,5.73804715537108,0.5665617386742848,10.088235294117649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",540,136,18.688881854756787,4.323063942941023,0.6481644267503108,31.3164930759223,5.596114104976979,0.587739104736586,10.088235294117649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),540,136,32.586827879376614,5.708487354753149,0.3865226739388241,46.122603730596346,6.791362435520309,0.3928264617702461,10.088235294117649,6.787688889334918,-9.662701546169064,8.209647616635978,-2.204869119044768,-0.9158068688552028,8.365956379476167,-2.7460835362478084,2.776706181508781,0.0,2.147850173649931,0.0,0.7001500709010897,0.0,1.4054845919182235,0.0,2.5979815363655443,0.0,0.7761485073299809,0.0,-1.4072732039579487,0.0,0.0,0.0,-1.043284616068198,-0.5123411494324566,-1.9079544134887363,0.0,0.5817955651211285,0.0,-2.195556923156349,0.0,0.0,0.0,1.3216852975996662,0.0,-0.6578936130897646,0.0,-0.1541261641606798,0.0,-0.1537958315551833,0.0,-0.0203922253399357,0.0,0.438740710088309,0.0,0.124978997147742,0.0,1.8179626834668912,0.0,-0.0833989880273951,0.5123411494324671,-0.493064815180344,0.0,0.0,0.0,-0.6226357574076553,0.0,0.0,0.0,0.0,0.0,0.3450466260855249,0.0,0.5796883826814786,0.0,-0.2523069929478241,0.0,0.0,0.0,0.0,0.0,1.059462596247651,0.0,0.0,0.0,-2.585670288418837,0.0,-1.290623707861981,0.0,0.0,0.0,-0.1295052381510264,0.0,-1.118285886502995,0.0,0.0,0.0,0.2187929267115738
Ridge (lambda=0.1),540,136,31.70762416451521,5.630952331934201,0.4030745011388438,45.666324783487816,6.757686348410069,0.398833071985789,10.088235294117649,5.943358650824843,-30.21751246083864,27.380010606275885,-0.444302018002967,-0.9817612467145088,8.356162111204611,-2.6978946003501414,4.130694005721802,0.0,2.2305964903740017,0.0,0.8439883039859252,0.0,1.4958818733126682,0.0,2.787355220975575,0.0,0.9493752177936444,0.0,-1.524505703335787,0.0,0.0,0.0,-1.1232267958289197,-0.317404628091772,-2.1615824567403297,0.0,0.9569121721927956,0.0,-2.201577473417749,0.0,0.0,0.0,1.27754360935455,0.0,-1.0631572181580045,0.0,-0.1867944307206128,0.0,-0.3800716262516245,0.0,-0.1877028296999282,0.0,0.7205369983635491,0.0,0.0582230689370036,0.0,2.285188276876981,0.0,-0.2360325376776484,0.3174046280913986,-0.3843714755098539,0.0,0.0,0.0,-0.7982609741960311,0.0,0.0,0.0,0.0,0.0,0.4304854151594431,0.0,0.4563477010473248,0.0,-0.2791965200291393,0.0,0.0,0.0,0.0,0.0,1.1213394709189366,0.0,0.0,0.0,-2.706090942466232,0.0,-1.396034607326136,0.0,0.0,0.0,-0.095717938617733,0.0,-1.093654037594794,0.0,0.0,0.0,0.2042037482760476
Lasso (lambda=0.1),540,136,35.124866101447886,5.926623499215037,0.3387417451635274,44.72957231327786,6.688017068853657,0.4111647979894867,10.088235294117649,6.332934677820276,0.0,0.0,-3.629579751354826,-0.3622597509140665,7.747716310370417,-0.0,0.6325991976260976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0367350014935039,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),540,136,41.13276272268931,6.413482885506853,0.2256375066014255,56.31470291369383,7.504312287857817,0.2586542246793748,10.088235294117649,7.089686098654711,0.0,0.0,-0.0,-0.0,4.027033144247497,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",540,136,18.72670511347319,4.327436321134395,0.6474523687461948,32.85930808394136,5.732303907151239,0.5674289667243323,10.088235294117649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),540,136,32.071364875925,5.6631585600197525,0.3962267441297459,44.975702296286336,6.706392644058826,0.407924659737089,10.088235294117649,6.267657418184701,-21.612915917029664,19.836257908642946,-0.6197599100679912,-0.886102648617728,8.28613397556148,-2.976683663328553,3.1773253147706084,0.0,1.9180814334414231,0.0,0.2561146826640942,0.0,1.0033456901500435,0.0,2.487685145501946,0.0,0.7032304705866906,0.0,-1.024418245648114,0.0,0.0,0.0,-0.9388730362753644,-0.4236843845888429,-0.7048304779240473,0.0,0.2710748605933726,0.0,-1.3730659188067893,0.0,0.0,0.0,1.0926311490890015,0.0,-0.0,0.0,-0.0,0.0,-0.1338285723206637,0.0,-0.0,0.0,0.283205017504309,0.0,0.0,0.0,1.7486590772310964,0.0,-0.0,0.0744170939740597,-0.0,0.0,0.0,0.0,-0.5853351757960276,0.0,0.0,0.0,0.0,0.0,0.0097360787656192,0.0,0.0722144279442034,0.0,-0.1216853707225695,0.0,0.0,0.0,0.0,0.0,0.92158479108368,0.0,0.0,0.0,-2.3897076520080507,0.0,-1.0557630274878345,0.0,0.0,0.0,-0.0,0.0,-1.000105304215679,0.0,0.0,0.0,0.0
