model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,466,117,27.59211855384925,5.252820057250129,0.2907639668868561,25.47108498597757,5.0468886441031735,0.2180065345833458,5.974358974358975,-72462570340575.61,-21.480844545657067,25.18772028164414,4.8860372829601335,0.0442441671804978,5.094414179125662,4.200869638934726,-3.2484802531767407,74925912295215.8,-2463341954642.374,5215944860725.303,-2463341954645.397,643777552673.3251,-2463341954644.5024,-283643880538.6322,-2463341954646.0483,-437195447250.8137,-2463341954646.0527,49417143414.51905,-2463341954645.853,91218597813.82466,524316889728.1871,-15401320012.894798,-2463341954643.424,20170820129.708744,-2463341954642.7334,-9573184.505227571,-2463341954644.57,54526521.90755127,-2463341954645.762,11784.861606390215,2284.504754856229,-3872.4697020053854,-2463341954643.0566,0.8487548828125,-2463341954645.911,0.0,-2463341954645.668,0.0,-2463341954646.993,74925912295219.25,-2463341954642.4893,0.0,-2463341954644.625,0.0,-2463341954644.914,74925912295225.16,-2463341954644.132,0.0,-2463341954642.8794,0.0,-2463341954642.584,0.0,0.0,0.0,-2463341954645.6016,0.0,0.0,0.0,0.0,0.0,-2463341954645.685,0.0,-2463341954645.4946,0.0,-2463341954644.574,0.0,0.0,0.0,0.0,0.0,-2463341954644.34,0.0,0.0,0.0,-2463341954645.754,0.0,-2463341954646.1304,0.0,0.0,0.0,-2463341954646.337,0.0,-2463341954646.0938,0.0,0.0,0.0,-2463341954646.311
"Random Forest (100 estimators, 20 depth)",466,117,3.7441964644234296,1.9349926264519537,0.9037580589384112,19.101300211955653,4.370503427747844,0.4135667186955603,5.974358974358975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",466,117,6.895297895645338,2.62588992451042,0.8227612092526809,20.055151429104907,4.478297827200074,0.3842823195739259,5.974358974358975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",466,117,17.186364542680884,4.145644044377289,0.5582365671523645,19.296405595256648,4.392767418752858,0.4075767447744265,5.974358974358975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),466,117,27.75724438095186,5.268514437766291,0.2865195234473201,25.119098588648573,5.01189570807779,0.2288129475327099,5.974358974358975,0.291550212442238,0.1736213972691518,3.597036355708374,3.955332715228147,-0.0075575777485667,4.8233647994966375,3.5533117191332195,-3.733369187012927,-4.654210092006456,2.337672405726502,0.0,-0.3794874690318878,0.0,0.3396066368748359,0.0,-1.1107027302535888,0.0,-1.225830754531955,0.0,-0.8559541326856499,0.0,0.0,0.0,1.3181645957564434,0.0,2.0617059230784283,0.0,0.3386850154344279,0.0,-0.7397209296100853,0.0,0.0,0.0,1.5963979202978371,0.0,-0.7515273954096542,0.0,-0.7651337579423689,0.0,-1.9467449359809883,-0.4854832624402072,2.343163239801935,0.0,0.2882169074128665,0.0,-0.0304232006664362,5.139693354446893,0.6309745705031475,0.0,1.981469968763785,0.0,1.6751608853124436,0.0,0.0,0.0,-0.5869433074687286,0.0,0.0,0.0,0.0,0.0,-0.6804477196637407,0.0,-0.5846697967556639,0.0,0.4253962761246176,0.0,0.0,0.0,0.0,0.0,0.491628396949594,0.0,0.0,0.0,-0.8515798308877907,0.0,-1.1582529522298328,0.0,0.0,0.0,-1.4114751845652591,0.0,-1.259680816535345,0.0,0.0,0.0,-1.4896678278186894
Ridge (lambda=0.1),466,117,27.64318406259736,5.25767858114181,0.2894513638410722,25.285607509485704,5.028479641948022,0.2237009199885399,5.974358974358975,-0.2022400101320336,-7.899243508091757,11.731513536903844,4.342548861724403,0.0304110494288687,4.943674081197827,4.170335631582983,-3.75327456411622,-4.646698333748609,2.513152812352046,0.0,-0.4343445607125412,0.0,0.3671156411449897,0.0,-1.1628574352439185,0.0,-1.2364668504708656,0.0,-0.9287464328670154,0.0,0.0,0.0,1.4211705299353092,0.0,2.189206629905446,0.0,0.3408313847643363,0.0,-0.863490036439944,0.0,0.0,0.0,1.7624238276216295,0.0,-1.1752727868619748,0.0,-0.7854938523762206,0.0,-2.081495884224148,-0.6310890287838424,2.4360828242741697,0.0,0.2835650550689544,0.0,-0.0393697850908178,5.27778736253585,0.7338678452429619,0.0,2.042273325920078,0.0,2.070577000780215,0.0,0.0,0.0,-0.6627697419832153,0.0,0.0,0.0,0.0,0.0,-0.7461971837495159,0.0,-0.6011764025756378,0.0,0.3802079284768572,0.0,0.0,0.0,0.0,0.0,0.5188593323448558,0.0,0.0,0.0,-0.8704318416995875,0.0,-1.2201709356084318,0.0,0.0,0.0,-1.453317394532821,0.0,-1.2788010442973647,0.0,0.0,0.0,-1.5189319691063787
Lasso (lambda=0.1),466,117,31.213913760334933,5.586941360022936,0.1976682642142624,25.56985214105183,5.056664131722793,0.2149742621101321,5.974358974358975,3.997061493251081,0.0,0.9182785519234424,0.086218770531165,-0.0,4.806434667292303,0.0,-0.0,-1.9534485193357345,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7762353257424874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),466,117,38.90399988948037,6.237307102386444,0.0,32.79679978771415,5.726849027843684,-0.006901870677672,5.974358974358975,6.448497854077253,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",466,117,16.674703843216026,4.083467135072355,0.5713884461601374,18.935382472520093,4.351480492030281,0.4186605962475664,5.974358974358975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),466,117,27.846626457159783,5.276990283974358,0.2842220199396643,25.10887690989216,5.010875862550593,0.229126765573736,5.974358974358975,-0.6268472012696948,0.0,3.5927963535731275,6.021541489974061,-0.0012344676870471,4.877340191211268,1.4397251279933352,-3.361400487190131,-4.164884489899439,2.465048408990444,0.0,-0.0,0.0,0.5001825422028973,0.0,-0.4630947005899745,0.0,-0.5967025432569593,0.0,-0.32370681657229,0.0,0.0,0.0,1.384517618779613,0.0,2.180047391915138,0.0,0.5094126689335732,0.0,-0.0,0.0,0.0,0.0,1.666290431688365,0.0,-0.0,0.0,-0.2332965246765984,0.0,-1.3717804633014996,0.0,2.561300895249867,0.0,0.4854211550225237,0.0,0.0,5.640033472064673,0.5856561694712408,0.0,2.1970494331069785,0.0,1.5695394735628865,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0785476140601413,0.0,0.4694880334707722,0.0,0.0,0.0,0.0,0.0,0.5016316718073642,0.0,0.0,0.0,-0.3365345950842152,0.0,-0.6094810152518488,0.0,0.0,0.0,-0.9486838127580484,0.0,-0.5942659833321362,0.0,0.0,0.0,-0.8779487575616861
