model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,260,65,39.23054228562575,6.263428955901532,0.2124336835306514,56.9575676551232,7.547023761399139,-0.1107785204568536,12.276923076923078,33222388585300.062,-6.979667874199028,1.3457071185968346,9.021824119425174,-0.7990709040691284,5.004149023263395,-6.165719104238956,5.591669736300857,5255600325770.782,-33222388585289.64,-10702335911391.502,-33222388585293.48,792098597639.424,2473063529172.161,85021158455.7281,-33222388585293.883,-43790351765.27691,-33222388585297.94,-2177994989.5102806,-33222388585292.133,-56244442.06734933,-33222388585294.28,-3920072.5734673496,-33222388585293.56,-76484.81456144154,-33222388585292.6,1055.0382347106934,-32.34732818603516,-0.53765869140625,-33222388585295.363,0.171875,-33222388585294.344,0.0,-33222388585296.12,0.0,-33222388585293.2,0.0,-33222388585292.707,0.0,-33222388585292.97,0.0,-33222388585291.64,0.0,-33222388585294.05,0.0,-33222388585292.934,0.0,-33222388585289.164,0.0,-33222388585294.387,0.0,0.0,0.0,-33222388585289.742,0.0,-33222388585295.15,0.0,0.0,0.0,0.0,0.0,-33222388585292.457,0.0,0.0,0.0,0.0,0.0,-33222388585294.08,0.0,0.0,0.0,-33222388585290.73,0.0,0.0,0.0,0.0,0.0,-33222388585292.004,0.0,-33222388585291.508,0.0,-33222388585292.11,0.0,-33222388585292.234,0.0,0.0,0.0,-33222388585289.234
"Random Forest (100 estimators, 20 depth)",260,65,7.713303608176931,2.777283494383844,0.8451528386665342,50.14250259205965,7.081137097391891,0.0221279255031154,12.276923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",260,65,14.365917062397816,3.790239710413817,0.7115993885284029,49.587429349034295,7.041834231862768,0.0329528862768299,12.276923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",260,65,29.289156189139188,5.411945693476532,0.4120103493744544,44.47258333136783,6.668776749252282,0.1327018981424578,12.276923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),260,65,39.41831451858116,6.278400633806444,0.208664092869191,54.86527977376939,7.407110082465994,-0.0699750147437556,12.276923076923078,7.292347328222376,-5.320215686683932,0.9614434416440476,3.4947204240498246,-0.7596863671442697,5.025739319052804,-0.2184001565350997,2.8159589558934166,0.0,2.820609900898281,0.0,-0.5222158665342775,0.0,0.0,0.0,-1.168667229071633,0.0,-4.466226943630745,0.0,0.5936978518247267,0.0,-1.1277168141463756,0.0,-0.5409491594425918,0.0,0.3450159456932281,0.0,0.0,0.0,-2.3153538891284127,0.0,-1.653587678191593,0.0,-2.565646141176956,0.0,-0.294940767173797,0.0,0.1015258911109292,0.0,-0.2374153389163003,0.0,1.447937064496475,0.0,-0.9072551454565416,0.0,-0.2006605598433365,0.0,3.357608498076498,0.0,-1.37002986453479,0.0,0.0,0.0,2.738504108324535,0.0,-1.8679164746927288,0.0,0.0,0.0,0.0,0.0,0.1109964153944439,0.0,0.0,0.0,0.0,0.0,-0.8693191315771208,0.0,0.0,0.0,1.81646008689376,0.0,0.0,0.0,0.0,0.0,0.9087550974587042,0.0,1.3212101874874629,0.0,0.8301207772413508,0.0,0.4743172998320896,0.0,0.0,0.0,3.2411418787849824
Ridge (lambda=0.1),260,65,39.24007651285603,6.264190012512075,0.2122422807158378,56.580227205814765,7.521982930438939,-0.1034196797751512,12.276923076923078,7.2192573078838205,-6.81154437438348,1.3281486783534513,7.223334579541742,-0.7898525323859572,4.999313714618259,-4.192635437884167,5.023191307680848,0.0,3.178257385818491,0.0,-0.578826210462168,0.0,0.0,0.0,-1.0792624859229456,0.0,-4.995887699657683,0.0,0.7247110396255323,0.0,-1.3354420750164415,0.0,-0.6428221495059432,0.0,0.3180907810356081,0.0,0.0,0.0,-2.4853307656457018,0.0,-1.5135178713905133,0.0,-3.1455829380766307,0.0,-0.3108226532002913,0.0,0.1699053214824921,0.0,-0.1542182847851601,0.0,1.3111101459113104,0.0,-1.111463726276757,0.0,-0.1187038902187624,0.0,3.6824440782814247,0.0,-1.4893281335359336,0.0,0.0,0.0,3.132698142957904,0.0,-2.207340214480676,0.0,0.0,0.0,0.0,0.0,0.3602781070058459,0.0,0.0,0.0,0.0,0.0,-1.128774286469551,0.0,0.0,0.0,2.058287755934279,0.0,0.0,0.0,0.0,0.0,0.911870993367596,0.0,1.3935349298047457,0.0,0.8177250305835055,0.0,0.6141492731012568,0.0,0.0,0.0,3.6242603997385854
Lasso (lambda=0.1),260,65,43.028304114848375,6.559596337797653,0.1361923388943151,47.9088439553904,6.921621483105703,0.0656884239195534,12.276923076923078,7.69106223231789,-1.6848046605774418,0.0,1.791234077081799,-0.1144027446462642,4.743988606150914,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-1.278523757693027,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.2382476061202927,0.0,-0.3520492266159436,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.104126901723424,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032051995979069
Lasso (lambda=1.0),260,65,49.67958579881656,7.048374691999324,0.0026656244914347,52.34367876417749,7.234893141171989,-0.0207991044314224,12.276923076923078,11.115384615384617,-0.0,0.0,0.0,-0.0,0.0659340659340663,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",260,65,28.71352460369874,5.358500219622907,0.4235663468441824,44.56175030168348,6.67545880832797,0.1309629763549167,12.276923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),260,65,39.43244171403039,6.279525596255691,0.2083804846743059,54.84377005165584,7.405657975605938,-0.0695555351506416,12.276923076923078,7.063621731698631,-5.694260041055155,0.8750747684244784,3.4831437371737617,-0.7245030378945976,5.047629564468181,-0.0,3.426046455540724,0.0,2.944734481693766,0.0,-0.2368664464642639,0.0,0.0,0.0,-0.8717624129900341,0.0,-4.679567065216587,0.0,0.4648083393004117,0.0,-0.8556193334262195,0.0,-0.1442193798746163,0.0,0.20017708456015,0.0,0.0,0.0,-2.214707046313437,0.0,-1.4714635971832537,0.0,-2.4939752100299017,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,1.402791139811107,0.0,-0.67512062184531,0.0,-0.0,0.0,3.539384047654162,0.0,-1.1647734006157149,0.0,0.0,0.0,2.8202206361924422,0.0,-1.6492102547447245,0.0,0.0,0.0,0.0,0.0,0.0187937632806695,0.0,0.0,0.0,0.0,0.0,-0.453297913138164,0.0,0.0,0.0,1.7806256940020648,0.0,0.0,0.0,0.0,0.0,0.841916092352618,0.0,1.3120656137155395,0.0,0.7688687126062518,0.0,0.3172334010621815,0.0,0.0,0.0,3.412461033544872
