model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,404,101,10.53799045676052,3.246227111087657,0.3335343162884373,15.953748646349007,3.9942143966428505,0.0425573312934246,4.554455445544554,-84160697009054.25,-78693655225.28314,78693655225.95279,-13.659770965576172,0.1069412231445312,5.025287628173828,11.045539855957031,-4.788564682006836,-2182463530799.292,6673390813453.61,-11331966934790.793,6673390813452.625,-8574592333463.616,6673390813451.905,12137971155908.283,6673390813454.061,77487306195607.5,6673390813452.85,-18630117185750.074,6673390813450.472,8907206150465.121,-90914803771.25385,23085772735571.6,6673390813451.8,-6324232345655.508,8494761024827.555,-14583507713409.586,6673390813450.331,1078562254393.2196,-3541278887549.312,13301456643111.855,16970303006835.752,77487306195610.56,6673390813453.756,-3649729951669.644,10379456949966.686,0.0,6673390813451.623,0.0,6673390813452.752,0.0,6673390813452.339,0.0,6673390813451.199,0.0,6673390813452.193,0.0,6673390813451.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6673390813453.012,0.0,6673390813452.457,0.0,0.0,0.0,6673390813450.9375,0.0,6673390813457.622,0.0,6673390813451.267,0.0,0.0,0.0,0.0,0.0,6673390813452.059,0.0,0.0,0.0,6673390813450.387,0.0,6673390813452.285,0.0,0.0,77487306195609.81,6673390813451.781,0.0,6673390813452.203,0.0,6673390813452.047,0.0,6673390813451.855
"Random Forest (100 estimators, 20 depth)",404,101,1.851957148531404,1.3608663228000772,0.8828746436747179,15.287379377459189,3.909907847694008,0.0825485825844452,4.554455445544554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",404,101,3.390468595200125,1.841322512543668,0.7855728775164155,14.628437958846318,3.8247141015827992,0.1220940614774188,4.554455445544554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",404,101,7.59167588881458,2.755299600554281,0.5198713186811177,14.27418275047279,3.778118943399319,0.1433542091472253,4.554455445544554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),404,101,10.674298829783543,3.267154546357357,0.3249136164125781,15.271519617035626,3.907879171243096,0.0835003846769555,4.554455445544554,6.76174074663117,0.3278014983705955,0.3278014983705917,-3.479979515544938,0.2025059619253116,4.943872314968882,0.4219630117814802,-3.343956191003992,0.0,1.3664886190625734,0.0,0.3834494168881563,0.0,-0.2266484553365939,0.0,1.5939910822848595,-1.6678225124399368,0.744587401456235,0.0,-1.6389566994556517,0.0,0.0,0.0,-0.4055277892110697,0.0,0.0,0.0,-1.5926233218136288,0.0,0.0,0.0,0.0,1.3077966786748725,1.3771205176406132,0.0,0.0,0.0,-0.3962471801953506,0.0,0.5371765791024147,0.0,0.0846096859238612,0.0,-0.7128098899305554,0.0,0.0522438724752379,0.0,-0.7824334375159644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784493417573787,0.0,0.3400068982901553,0.0,0.0,0.0,-1.1765571964246413,0.0,2.621792971062576,0.0,-0.796923716400812,0.0,0.0,0.0,0.0,0.0,-0.1122689035220326,0.0,0.0,0.0,-1.5764749765232513,0.0,0.2115401313505299,0.0,0.0,0.3600258337659225,-0.3035565942056554,0.0,-0.0266182433735101,0.0,-0.0643256379866555,0.0,-0.285528551215304
Ridge (lambda=0.1),404,101,10.554825293949474,3.248819061435936,0.3324696122233364,15.764163476221324,3.9704109958820792,0.0539350291159224,4.554455445544554,7.153585291903489,0.4201837808452278,0.4201837808452562,-9.614907417966004,0.1789836872127659,5.023686043877816,6.776391687430691,-4.413849737945861,0.0,1.3713437033622653,0.0,0.3648712537626915,0.0,-0.3148379499162994,0.0,1.7596892211591266,-1.776774723102655,0.6643885009670966,0.0,-1.8109371296014047,0.0,0.0,0.0,-0.4457429107972116,0.0,0.0,0.0,-1.840202688891615,0.0,0.0,0.0,0.0,1.2718175633745308,1.4815211195743634,0.0,0.0,0.0,-0.5652966184403575,0.0,0.5031594761292627,0.0,0.0784527954499239,0.0,-0.9449096061003992,0.0,-0.0170542289437504,0.0,-0.9975128699421358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7683822025965845,0.0,0.2532824575742289,0.0,0.0,0.0,-1.2952669704360835,0.0,4.842497848539895,0.0,-0.9252659206148192,0.0,0.0,0.0,0.0,0.0,-0.1667113724085791,0.0,0.0,0.0,-1.852048353084367,0.0,0.1007080144229215,0.0,0.0,0.5049571597449645,-0.4143117655648103,0.0,-0.0534556383845045,0.0,-0.1732533263798439,0.0,-0.3714892440275264
Lasso (lambda=0.1),404,101,12.115588410691265,3.4807453814795566,0.2337605592991345,14.800379608750124,3.847126149315893,0.1117752156816761,4.554455445544554,4.612064891719147,-0.0,-0.0,-0.4659418123748539,0.0,3.954400364907428,-0.0,-1.5424342244374103,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.137538678609671,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),404,101,15.81175252426233,3.97639944224198,0.0,16.720523723164394,4.08907369989395,-0.003459638894445,4.554455445544554,4.794554455445544,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",404,101,7.536192645376374,2.745212677621968,0.5233803062745593,14.876100489032222,3.856954820714422,0.1072309293636958,4.554455445544554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),404,101,10.77962732922382,3.2832342787598665,0.3182522106462878,15.123074855748186,3.8888397827306007,0.0924090964507921,4.554455445544554,6.9312392925047845,0.0,0.0,-3.106851614640496,0.1751418232723395,4.951461504422948,-0.0,-2.748969152775505,0.0,1.3265319295855913,0.0,0.2116937196279313,0.0,-0.0,0.0,1.44004878485922,-1.909347566561886,0.6675968011659142,0.0,-1.351072203093503,0.0,0.0,0.0,-0.1511085690132964,0.0,0.0,0.0,-1.3378027391286529,0.0,0.0,0.0,0.0,1.0851838906697246,1.1400370306797996,0.0,0.0,0.0,-0.0,0.0,0.4650019603412155,0.0,0.0,0.0,-0.4157539558005612,0.0,0.0,0.0,-0.3943505612984016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6863198261887852,0.0,0.0487104509213625,0.0,0.0,0.0,-0.9269293746347308,0.0,1.291052848819262,0.0,-0.598239042047202,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.9871484806979088,0.0,0.0386332590757542,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0343265575388457
