,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1983-10-29,21-079,CHI,,NJN,W (+7),1,24:00,3,6,0.5,0,0,,0,0,,0,3,3,8,2,0,4,0,6,7.5,
1,2,2,1983-11-01,21-082,CHI,@,PHI,L (-8),1,23:00,1,6,0.167,0,0,,4,4,1.0,1,0,1,5,2,0,2,3,6,5.2,
2,3,3,1983-11-03,21-084,CHI,@,NJN,L (-5),1,10:00,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,4,0,0,-4.0,
3,4,4,1983-11-04,21-085,CHI,@,ATL,L (-13),1,11:00,2,4,0.5,0,0,,1,1,1.0,0,2,2,0,0,0,1,2,5,1.8,
4,5,5,1983-11-08,21-089,CHI,,KCK,W (+3),1,13:00,0,4,0.0,0,0,,0,0,,0,0,0,2,0,0,2,1,0,-3.8,
5,6,6,1983-11-11,21-092,CHI,@,WSB,L (-1),1,27:00,2,3,0.667,0,0,,2,2,1.0,0,2,2,6,2,0,5,2,6,5.7,
6,7,7,1983-11-12,21-093,CHI,,BOS,L (-15),1,27:00,2,3,0.667,0,0,,4,5,0.8,2,0,2,6,1,1,3,4,8,9.0,
7,8,8,1983-11-15,21-096,CHI,,DET,W (+2),1,22:00,4,7,0.571,0,0,,0,0,,0,3,3,11,1,1,1,4,8,12.4,
8,9,9,1983-11-17,21-098,CHI,,SEA,L (-9),1,33:00,5,10,0.5,0,0,,0,0,,1,2,3,10,2,1,3,1,10,12.6,
9,10,10,1983-11-19,21-100,CHI,,IND,W (+5),1,11:00,0,2,0.0,0,0,,0,0,,0,0,0,2,1,0,3,1,0,-2.4,
10,11,11,1983-11-23,21-104,CHI,@,UTA,W (+11),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
11,12,12,1983-11-25,21-106,CHI,@,PHO,L (-26),0,16:00,3,6,0.5,0,0,,1,1,1.0,1,3,4,6,2,0,1,2,7,10.0,
12,13,13,1983-11-29,21-110,CHI,@,HOU,L (-6),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.2,
13,14,14,1983-12-02,21-113,CHI,@,SAS,L (-29),0,20:00,3,6,0.5,0,0,,1,4,0.25,1,1,2,5,3,0,1,3,7,8.1,
14,15,15,1983-12-06,21-117,CHI,,BOS,L (-13),0,19:00,3,7,0.429,0,0,,0,0,,0,3,3,2,1,0,0,3,6,4.4,
15,16,16,1983-12-09,21-120,CHI,,HOU,L (-3),0,29:00,3,10,0.3,0,0,,2,4,0.5,4,3,7,8,6,0,7,1,8,9.3,
16,17,17,1983-12-10,21-121,CHI,,CLE,L (-6),0,21:00,4,8,0.5,0,0,,2,2,1.0,0,0,0,4,5,0,1,0,10,12.8,
17,18,18,1983-12-13,21-124,CHI,,MIL,W (+8),1,37:00,5,11,0.455,0,1,0.0,6,10,0.6,3,5,8,8,2,0,2,3,16,16.7,
18,19,19,1983-12-15,21-126,CHI,@,NYK,W (+6),1,27:00,4,6,0.667,0,0,,4,9,0.444,1,3,4,7,2,0,6,3,12,8.7,
19,20,20,1983-12-17,21-128,CHI,,DAL,W (+18),1,32:00,4,7,0.571,0,0,,0,0,,1,3,4,16,3,1,7,3,8,13.0,
20,21,21,1983-12-22,21-133,CHI,@,MIL,W (+17),1,30:00,4,7,0.571,0,0,,0,0,,0,1,1,6,2,0,5,4,8,4.6,
21,22,22,1983-12-23,21-134,CHI,,WSB,W (+21),1,21:00,3,4,0.75,0,0,,3,3,1.0,1,2,3,7,0,1,3,2,9,10.5,
22,23,23,1983-12-27,21-138,CHI,,NYK,W (+6),1,37:00,9,11,0.818,0,0,,3,3,1.0,2,0,2,8,3,0,5,5,21,19.9,
23,24,24,1983-12-29,21-140,CHI,,POR,W (+1),1,24:00,7,10,0.7,0,0,,0,1,0.0,1,2,3,8,2,0,4,4,14,12.7,
24,25,25,1983-12-30,21-141,CHI,@,DET,L (-7),1,34:00,5,11,0.455,0,0,,3,5,0.6,0,2,2,11,0,1,5,2,13,9.7,
25,26,26,1984-01-03,21-145,CHI,,PHO,W (+5),1,39:00,2,8,0.25,0,0,,8,10,0.8,3,1,4,18,1,0,2,3,12,19.2,
26,27,27,1984-01-04,21-146,CHI,@,IND,L (-13),1,33:00,2,8,0.25,0,0,,0,0,,2,4,6,10,2,0,6,1,4,4.4,
27,28,28,1984-01-06,21-148,CHI,@,WSB,L (-8),1,44:00,6,14,0.429,0,0,,0,0,,3,5,8,9,4,0,6,0,12,12.5,
28,29,29,1984-01-07,21-149,CHI,,WSB,W (+14),1,39:00,4,13,0.308,0,0,,1,1,1.0,0,1,1,17,1,0,1,2,9,12.9,
29,30,30,1984-01-10,21-152,CHI,,IND,W (+1),1,32:00,2,8,0.25,0,0,,4,6,0.667,1,0,1,11,2,0,4,4,8,7.2,
30,31,31,1984-01-11,21-153,CHI,@,NJN,L (-15),1,25:00,3,10,0.3,0,0,,0,0,,1,1,2,7,2,0,5,2,6,2.3,
31,32,32,1984-01-13,21-155,CHI,@,DET,L (-11),1,22:00,7,9,0.778,0,0,,4,4,1.0,0,0,0,5,1,0,2,6,18,14.6,
32,33,33,1984-01-14,21-156,CHI,,NYK,L (-2),1,41:00,3,10,0.3,0,0,,2,2,1.0,3,2,5,22,4,0,3,1,8,20.9,
33,34,34,1984-01-17,21-159,CHI,,CLE,L (-2),1,35:00,4,6,0.667,0,0,,4,4,1.0,2,0,2,9,2,0,4,3,12,13.9,
34,35,35,1984-01-19,21-161,CHI,@,NYK,L (-17),1,24:00,2,3,0.667,0,0,,3,4,0.75,1,0,1,6,0,0,3,5,7,5.2,
35,36,36,1984-01-21,21-163,CHI,@,CLE,W (+17),1,15:00,0,2,0.0,0,0,,2,4,0.5,0,0,0,5,2,0,4,4,2,-0.3,
36,37,37,1984-01-24,21-166,CHI,,ATL,L (-7),1,14:00,2,8,0.25,0,0,,0,0,,1,0,1,6,0,1,1,4,4,2.2,
37,38,38,1984-01-26,21-168,CHI,,DEN,L (-1),1,31:00,4,6,0.667,0,0,,9,11,0.818,2,2,4,16,2,0,6,2,17,22.0,
38,39,39,1984-01-31,21-173,CHI,,BOS,L (-23),1,23:00,3,4,0.75,0,0,,2,5,0.4,0,1,1,5,1,0,4,1,8,5.6,
39,40,40,1984-02-01,21-174,CHI,@,ATL,L (-13),1,17:00,1,4,0.25,0,0,,6,6,1.0,1,0,1,2,1,0,3,1,8,5.3,
40,41,41,1984-02-03,21-176,CHI,@,CLE,L (-30),1,28:00,3,8,0.375,0,0,,3,4,0.75,0,1,1,5,1,0,3,2,9,5.2,
41,42,42,1984-02-04,21-177,CHI,,NJN,L (-3),1,37:00,2,3,0.667,0,0,,4,6,0.667,0,4,4,14,2,2,7,1,8,12.9,
42,43,43,1984-02-07,21-180,CHI,,PHI,W (+15),1,45:00,6,13,0.462,0,1,0.0,3,4,0.75,0,4,4,13,3,0,6,2,15,14.4,
