model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,564,141,31.2789383881481,5.592757672932746,0.2556698552233956,37.35814328565665,6.112130830214341,0.189150296119606,10.354609929078014,13506393816866.885,2.3861282748338537,-3.002049784440298,15.288267275868389,-0.1361664216336766,3.636668619759632,-2.0990312128492503,-2.084479092056834,8458956778110.628,-252975714715.853,1213480891360.5486,-252975714716.8524,124811615806.82286,-248169516740.27383,-36823829989.92862,-252975714717.82767,8986394062.599596,-252975714717.8184,-13253418102145.992,-252975714714.9786,-96435521090.22597,-252975714718.014,-399203121.6215512,-252975714719.1612,484000696.664694,-252975714717.4816,-27404148.050433163,-252975714719.51663,9568808.82626,-252975714718.2132,-9083.315323921328,-252975714716.42496,4694.021516125649,-252975714717.41656,-1.8435978889465328,-252975714718.0537,-13253418102141.354,-252975714719.8848,-13253418102151.412,-252975714720.79785,-13253418102145.451,-252975714717.6001,0.0,-252975714716.9521,0.0,-252975714717.5658,-13253418102158.86,-252975714718.9897,0.0,-252975714718.83496,0.0,0.0,0.0,-252975714719.7349,0.0,-252975714715.49423,0.0,0.0,0.0,-252975714713.4872,0.0,-252975714715.1804,0.0,0.0,0.0,0.0,0.0,-252975714717.4077,0.0,0.0,0.0,-252975714715.6425,0.0,-252975714715.99365,0.0,-252975714716.39453,0.0,-252975714717.1006,0.0,-252975714719.59924,0.0,-252975714718.66385,0.0,-252975714718.24823,0.0,0.0,0.0,-252975714718.7368
"Random Forest (100 estimators, 20 depth)",564,141,5.209194723789783,2.282366036329358,0.8760392499638945,37.7160968611107,6.141343245667897,0.1813809980460778,10.354609929078014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",564,141,11.499748937104291,3.391127974156136,0.7263458981557775,36.71629376285465,6.059397145166725,0.2030814888858053,10.354609929078014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",564,141,23.11243841421181,4.807539746503591,0.4500042035471022,36.71712669884252,6.059465875705755,0.2030634102063068,10.354609929078014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),564,141,31.40434002588712,5.603957532484263,0.2526857315931359,37.13461335216283,6.093817633648289,0.1940019606950095,10.354609929078014,2.5646590569316468,-0.452129827066124,-0.2885015435212397,6.579196397551001,-0.1442533152956011,3.7498382361697824,3.828253253359852,-2.226902633110126,0.0,1.6318241591120362,0.0,0.7877105762955448,0.0,0.0,0.0,-0.2171113029440993,0.0,-0.2229574776972414,2.1952200882997563,2.5123346835494647,0.0,-0.365398513172648,0.0,-1.5059606590231145,0.0,0.1843193101620397,0.0,-1.82060881530792,0.0,-0.600619854298235,0.0,1.1933155314991355,0.0,0.223955524581114,0.0,-0.4402313791216378,5.773841858784516,-2.170092808133667,-2.17836471337215,-2.81877393070944,2.245787825959664,-0.0680913544515932,0.0,0.6210056787892408,0.0,0.0197436628989551,-8.036485059672216,-1.3213714801075542,0.0,-1.1326611821442183,0.0,0.0,0.0,-2.0940482291660856,0.0,2.055108169621427,0.0,0.0,0.0,2.9909567996102777,0.0,2.2490457401075203,0.0,0.0,0.0,0.0,0.0,0.1700989568347855,0.0,0.0,0.0,1.7988205834243092,0.0,1.4656586297898,0.0,1.186971708219165,0.0,0.4918582887997495,0.0,-1.9287222372077648,0.0,-1.1624990400891713,0.0,-0.6108187046994172,0.0,0.0,0.0,-1.1027610350207857
Ridge (lambda=0.1),564,141,31.28721039415776,5.593497152422423,0.2554730101976994,37.34221419253329,6.110827619278202,0.1894960333352754,10.354609929078014,1.054650545979218,1.4114081161423362,-2.018423041658877,12.122897829735368,-0.1476750997042937,3.642116115030045,0.7342074802231794,-2.2916176007843108,0.0,1.7185734677265605,0.0,0.7381391987820485,0.0,0.0,0.0,-0.2406981129073921,0.0,-0.2426224551825795,2.530048442232564,2.6123861024883777,0.0,-0.4215926256358689,0.0,-1.5815976651147297,0.0,0.1342135912798631,0.0,-1.9381526633468484,0.0,-0.6238386076634803,0.0,1.1573575712167277,0.0,0.181358886684071,0.0,-0.4923403852046374,6.995023957640463,-2.2960991151210206,-2.701932559885664,-3.168652450845248,3.009466058512035,-0.0458649200887568,0.0,0.6313358523710103,0.0,-0.018093634692616,-9.832605898499429,-1.4001843596030017,0.0,-1.2442464629035108,0.0,0.0,0.0,-2.1745115146981706,0.0,2.092337396052984,0.0,0.0,0.0,3.93671875857568,0.0,2.358485156078468,0.0,0.0,0.0,0.0,0.0,0.1838146853268352,0.0,0.0,0.0,1.906084462137085,0.0,1.5568650511417383,0.0,1.1872479964214069,0.0,0.475891169986736,0.0,-2.0333788318261075,0.0,-1.1267385803613488,0.0,-0.661393572120656,0.0,0.0,0.0,-1.1608033889535756
Lasso (lambda=0.1),564,141,35.46087151240355,5.954903148868464,0.1561543649853194,38.08406606114551,6.171228893919388,0.1733943131992458,10.354609929078014,7.465545452235467,-0.5929389367417842,-0.0,0.0,-0.0,4.067955188469157,0.0,-0.1052450085849721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.6759839271489199,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.3170641578892082,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.1481438315627511,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),564,141,40.363484226741214,6.35322628486828,0.0394892024352604,44.87029258201503,6.698529135714424,0.0261008644098621,10.354609929078014,9.190184049079754,-0.0,-0.0,-0.0,-0.0,0.7593957828530187,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",564,141,23.101928483335907,4.806446554715438,0.4502543034153707,36.104903331098456,6.008735585054351,0.2163515742525787,10.354609929078014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),564,141,31.467216167077204,5.609564703885428,0.2511894977154304,36.848363081398645,6.070285255356509,0.2002149554230943,10.354609929078014,4.236952339015896,-0.4807649530511543,-0.0,10.643941852298733,-0.0719920441174374,3.684582053250584,0.0,-1.971851388308152,0.0,1.5194933045321284,0.0,0.6471366006037728,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,2.366423238640392,0.0,-0.0,0.0,-1.221267588421346,0.0,0.0,0.0,-0.93627596223645,0.0,-0.2829710754063954,0.0,1.038150401217466,0.0,0.0,0.0,-0.0304208272573577,3.8254105401074288,-1.7668610362280557,-4.467485059171772,-2.410448759530104,0.0,0.0,0.0,0.5128949023947018,0.0,0.0,-10.583324158641084,-1.0357182852096465,0.0,-0.8146060455109266,0.0,0.0,0.0,-1.763054034260071,0.0,1.9736568765752205,0.0,0.0,0.0,2.28723561608313,0.0,2.2082916844758183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.719858135685291,0.0,1.1904959990300543,0.0,1.1045855883614943,0.0,0.3724993339629054,0.0,-1.419169369070839,0.0,-0.7699143909063106,0.0,-0.2020025589753424,0.0,0.0,0.0,-0.7238796897178916
