model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,439,110,28.570331017357343,5.345122170480049,0.2930717751147261,42.90456397316672,6.5501575533086775,-0.0570187055760307,7.972727272727273,10983362346003.035,8.572834502118564,1.877648659947031,-9.895163532883934,-0.225954997807503,5.775062155462299,8.140965086214681,-10.087625137791616,-13817260318032.014,1754587417443.625,1878550990076.0847,1754587417439.1428,-1630545151864.089,2223591907715.018,-2039351310166.1887,1754587417442.6123,520221323471.56055,1754587417444.6165,-21236696852.995235,1754587417439.1138,-24763648760.861584,1754587417441.0112,-3397735442.203592,1754587417443.796,-1460049817.790078,1754587417441.9993,1406086222.447899,1754587417447.0532,-12434175.460020468,1754587417441.6682,7735150.379289477,1754587417444.4038,-1477580.1741075066,1754587417444.4011,122973.6661280999,1754587417446.3127,5425.603904820979,1754587417441.4744,4.089658737182617,1754587417445.0562,0.005859375,1754587417444.9717,0.0,1754587417442.4731,-12737949763438.557,1754587417441.423,0.0,1754587417443.577,0.0,1754587417441.7244,0.0,0.0,0.0,1754587417446.9434,0.0,1754587417442.6885,0.0,0.0,0.0,1754587417444.11,0.0,1754587417441.2805,0.0,0.0,0.0,1754587417443.83,0.0,1754587417437.5452,0.0,1754587417443.9216,0.0,1754587417446.4995,0.0,1754587417442.7634,0.0,1754587417440.066,0.0,1754587417443.8906,0.0,0.0,0.0,1754587417441.1572,0.0,1754587417442.4102,0.0,0.0,-12737949763439.574,1754587417444.181
"Random Forest (100 estimators, 20 depth)",439,110,4.093202354056243,2.023166417785804,0.8987200997954398,31.27696576470049,5.592581314983314,0.2294447302243634,7.972727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",439,110,7.535544556874436,2.745094635322148,0.8135447176338712,31.9862980671976,5.655643028621732,0.2119692580886325,7.972727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",439,110,18.12624836413189,4.2574932018890985,0.5514942906296574,31.866078667191527,5.645004753513634,0.2149310445004236,7.972727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),439,110,28.740662495320937,5.361031849870035,0.2888571886863877,41.73268816493404,6.460084222743078,-0.0281477758845256,7.972727272727273,6.933475944507682,5.1540723032756,1.7105483390513283,-1.7715182429087706,-0.2940585870315212,5.818293465533507,-0.3576202495880479,-5.554191075253477,0.0,0.3938680826839689,0.0,-3.4540517210770094,0.0,0.0,0.0,-0.5303517543775442,0.0,1.4447088577635492,0.0,-3.346333463190195,0.0,-1.8226512959947936,0.0,0.6138881727963322,0.0,-1.160245258831266,0.0,3.593393856186018,0.0,-1.1868478931219657,0.0,1.1126033078351427,0.0,1.1426125526763835,0.0,3.202539116378233,0.0,-1.401372481030002,0.0,1.7974315086218888,0.0,1.840570416559533,0.0,-0.4836122015530218,0.4347231176171086,-1.2885943473622412,0.0,0.448057726643595,0.0,-1.2539843159751958,0.0,0.0,0.0,3.4414604929562667,0.0,-0.4739800533264427,0.0,0.0,0.0,0.8517307222580799,0.0,-1.4653247532443936,0.0,0.0,0.0,0.7025348343060699,0.0,-3.386114110588432,0.0,0.6122214126739124,0.0,3.2114040195479423,0.0,-0.1331193903262057,0.0,-2.354362071734335,0.0,0.8026611392717201,0.0,0.0,0.0,-1.615848467285811,0.0,-0.7294180157030381,0.0,0.0,-0.4347231176166966,0.8745253755624735
Ridge (lambda=0.1),439,110,28.58412802994427,5.346412631844298,0.2927303895840205,42.5648775586078,6.524176389292966,-0.0486500179361004,7.972727272727273,6.9317225744890125,7.920685941674249,1.8724230392248,-6.088734908869636,-0.25630710134416,5.784345194293702,4.305238734924203,-9.026677287585036,0.0,0.5627968416558234,0.0,-3.779673151558344,0.0,0.0,0.0,-0.4374960289823563,0.0,1.5847109534032937,0.0,-3.777139159888315,0.0,-1.9324407673950248,0.0,0.763823628615505,0.0,-1.0573306316043696,0.0,4.022214329530769,0.0,-1.273871256759522,0.0,1.3861790767261737,0.0,1.3553309323752525,0.0,3.3426490007964644,0.0,-1.498432037695196,0.0,1.991914332857276,0.0,1.9928369752049613,0.0,-0.5108939736332485,0.5166627192004246,-1.576917350938778,0.0,0.5899111732536579,0.0,-1.26121969805809,0.0,0.0,0.0,3.849476321420176,0.0,-0.3565262976193475,0.0,0.0,0.0,1.080735473421882,0.0,-1.6399468749015966,0.0,0.0,0.0,0.8186677926985375,0.0,-5.099565373757594,0.0,0.8619660979438675,0.0,3.4420004088055376,0.0,-0.2088493993779334,0.0,-2.7974863436411543,0.0,0.8965350485011903,0.0,0.0,0.0,-1.774222644503196,0.0,-0.658574050018373,0.0,0.0,-0.5166627191949895,1.0988366531148288
Lasso (lambda=0.1),439,110,32.54250173316279,5.70460355617836,0.1947866137926666,39.173218916706766,6.258851245772403,0.034908613021206,7.972727272727273,7.116519669757038,0.5889570483478199,0.0,-2.2374819278798777,-0.0,5.28869238777814,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0674028833851416,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.2326987669366436,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0420872059464195,0.0
Lasso (lambda=1.0),439,110,39.22587004426776,6.263055966879728,0.0294171018484908,39.96980584640373,6.322167812262162,0.0152834914179735,7.972727272727273,7.708206686930091,0.0,0.0,-0.0,-0.0,0.5645205857971829,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
"Random Forest (50 estimators, 5 depth)",439,110,18.168734008995823,4.262479795728752,0.5504430496941387,30.869591115090536,5.556040956930621,0.2394810197222479,7.972727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),439,110,28.84167016574117,5.3704441311442,0.2863579116179284,41.59470294655265,6.449395548929578,-0.0247483017163849,7.972727272727273,6.617657020261098,5.70579425674752,1.351818772178645,-2.171522457022443,-0.2579871480988647,5.796737722083754,-0.0,-5.860297941073751,0.0,0.1596600811655457,0.0,-3.402254363439311,0.0,0.0,0.0,-0.4339789836424022,0.0,1.2451010707395789,0.0,-3.350829749114227,0.0,-1.7368851384229946,0.0,0.3988806668881239,0.0,-1.0094454572871356,0.0,3.3745993168294897,0.0,-1.006259187595942,0.0,0.0,0.0,0.9406949055845396,0.0,3.05632390276435,0.0,-1.180704010764252,0.0,1.5934077156007325,0.0,1.553933862936025,0.0,-0.1821287336226819,0.8307735622153187,-0.590559128707431,0.0,0.0,0.0,-0.9554098747458628,0.0,0.0,0.0,3.2783529044575324,0.0,-0.3523475283234277,0.0,0.0,0.0,0.4607070173621267,0.0,-1.2665960304284831,0.0,0.0,0.0,0.1953073995724951,0.0,-2.9309030644508445,0.0,0.0,0.0,3.109376621005761,0.0,-0.0,0.0,-2.0705852906921924,0.0,0.420267632592953,0.0,0.0,0.0,-1.4229668848630337,0.0,-0.5707931077350059,0.0,0.0,-0.0227200587783969,0.6502843557364478
"Random Forest (100 estimators, 5 depth)",439,110,18.394023954736,4.288825474968176,0.5448686018051785,30.62474938343705,5.533963261843816,0.2455130654138256,7.972727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=2.0),439,110,28.907834910277224,5.376600683543201,0.2847207683388939,41.25016428480054,6.422629078874206,-0.0162600716415173,7.972727272727273,6.940062677421849,3.829449224583807,1.5627319995476834,-1.3792764291596529,-0.2980872178907928,5.7830518717289605,-0.9218848373066264,-3.9878705226027553,0.0,0.3202446623162308,0.0,-3.1477616761338263,0.0,0.0,0.0,-0.5414391663665761,0.0,1.350560674935302,0.0,-3.049037216780795,0.0,-1.7378021035936586,0.0,0.5320050343600323,0.0,-1.1547241881733663,0.0,3.1797410226128857,0.0,-1.1229588358922808,0.0,0.8994508475505227,0.0,1.0187645308393694,0.0,2.997084280988896,0.0,-1.2971334660260858,0.0,1.671785473535963,0.0,1.6838673553407095,0.0,-0.4661190735511282,0.3897457502326539,-1.0592449915233657,0.0,0.3517979186947523,0.0,-1.1926968337352062,0.0,0.0,0.0,3.127613132863704,0.0,-0.5123828936331466,0.0,0.0,0.0,0.7038315917950972,0.0,-1.3480851536179177,0.0,0.0,0.0,0.612422708727099,0.0,-2.482203325904504,0.0,0.4878324491769958,0.0,3.051810388027791,0.0,-0.1009624710334429,0.0,-2.0541616273384733,0.0,0.7257488265443798,0.0,0.0,0.0,-1.5065905145022638,0.0,-0.7081440408857537,0.0,0.0,-0.3897457502324472,0.7668866803816387
