Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-04-02,24-122,MIL,,DAL,L (-4),0,8:43,2,3,0.667,1,2,0.5,0,0,,0,1,1,0,0,0,2,0,5,2.0,-9
2,2,2017-04-04,24-124,MIL,@,OKC,L (-31),0,29:56,2,8,0.25,0,2,0.0,2,3,0.667,0,2,2,3,2,1,2,1,6,3.8,-21
3,3,2017-04-06,24-126,MIL,@,IND,L (-15),0,14:53,1,4,0.25,0,2,0.0,0,0,,0,1,1,3,1,1,1,3,2,1.5,0
4,4,2017-04-08,24-128,MIL,@,PHI,W (+8),0,12:33,2,3,0.667,0,1,0.0,0,0,,0,1,1,2,0,0,2,2,4,1.6,-5
5,5,2017-04-10,24-130,MIL,,CHO,W (+10),0,0:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
6,6,2017-04-12,24-132,MIL,@,BOS,L (-18),0,32:15,1,4,0.25,0,2,0.0,1,2,0.5,0,7,7,5,0,2,3,3,3,3.0,-18
4,1,2017-10-23,24-326,MIL,,CHO,W (+9),0,3:26,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-8
15,2,2017-11-18,24-352,MIL,@,DAL,L (-32),0,4:48,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,0,-0.1,-5
16,3,2017-11-20,24-354,MIL,,WAS,L (-11),0,14:38,4,6,0.667,0,1,0.0,0,0,,0,0,0,0,1,0,1,4,8,3.8,-3
17,4,2017-11-22,24-356,MIL,@,PHO,W (+6),1,9:25,2,5,0.4,1,2,0.5,0,0,,1,1,2,3,0,0,0,4,5,3.8,5
18,5,2017-11-25,24-359,MIL,@,UTA,L (-13),1,7:09,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,-4
19,6,2017-11-28,24-362,MIL,@,SAC,W (+25),0,4:23,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,1,0,0,-1.0,-5
20,7,2017-11-30,24-364,MIL,@,POR,W (+12),0,0:54,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
24,8,2017-12-08,25-007,MIL,,DAL,W (+7),1,5:16,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,0,-0.8,4
25,9,2017-12-09,25-008,MIL,,UTA,W (+17),1,23:05,2,5,0.4,0,1,0.0,0,0,,0,3,3,2,0,0,1,1,4,2.2,20
26,10,2017-12-13,25-012,MIL,@,NOP,L (-7),1,17:01,3,9,0.333,0,2,0.0,0,1,0.0,2,2,4,1,2,1,0,2,6,5.1,6
27,11,2017-12-15,25-014,MIL,,CHI,L (-6),1,10:08,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,3.0,4
28,12,2017-12-16,25-015,MIL,@,HOU,L (-4),0,5:29,1,2,0.5,0,1,0.0,2,2,1.0,1,1,2,2,0,0,0,4,4,3.8,2
29,13,2018-01-15,25-045,LAL,@,MEM,L (-9),0,12:00,2,3,0.667,0,0,,0,0,,0,0,0,4,0,2,0,4,4,5.3,11
30,14,2018-01-17,25-047,LAL,@,OKC,L (-24),0,6:27,1,4,0.25,0,1,0.0,0,0,,1,1,2,0,0,0,0,0,2,0.6,-4
40,15,2018-02-08,25-069,LAL,,OKC,W (+25),0,3:21,0,2,0.0,0,1,0.0,0,0,,1,1,2,0,0,0,0,0,0,-0.4,2
42,16,2018-02-14,25-075,LAL,@,NOP,L (-22),0,16:31,2,4,0.5,0,1,0.0,0,0,,2,0,2,0,0,0,0,2,4,2.6,-16
47,17,2018-03-01,25-090,LAL,@,MIA,W (+18),0,1:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1
48,18,2018-03-03,25-092,LAL,@,SAS,W (+4),0,0:45,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
59,19,2018-03-26,25-115,LAL,@,DET,L (-6),0,2:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
65,20,2018-04-06,25-126,LAL,,MIN,L (-17),0,12:10,0,1,0.0,0,0,,0,2,0.0,1,4,5,4,0,0,0,2,0,2.4,0
66,21,2018-04-08,25-128,LAL,,UTA,L (-15),0,21:17,1,5,0.2,1,2,0.5,1,4,0.25,0,2,2,2,1,0,0,1,4,2.3,-2
67,22,2018-04-10,25-130,LAL,,HOU,L (-6),0,8:15,0,2,0.0,0,1,0.0,0,0,,2,0,2,1,1,0,0,0,0,1.7,-9
68,23,2018-04-11,25-131,LAL,@,LAC,W (+15),0,30:20,11,19,0.579,3,7,0.429,0,0,,2,10,12,1,2,0,4,4,25,17.6,22
1,1,2019-01-21,26-051,WAS,,DET,W (+14),0,1:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
5,2,2019-01-29,26-059,WAS,@,CLE,L (-3),0,12:00,5,8,0.625,1,2,0.5,0,0,,1,0,1,4,3,1,0,2,11,13.8,16
6,3,2019-01-30,26-060,WAS,,IND,W (+18),0,2:53,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-5
1,1,2019-12-23,27-022,WAS,@,NYK,W (+6),0,34:01,4,8,0.5,1,1,1.0,1,2,0.5,4,7,11,5,6,0,2,2,10,17.2,13
2,2,2019-12-26,27-025,WAS,@,DET,L (-30),0,30:51,4,8,0.5,2,3,0.667,0,0,,3,2,5,5,1,2,1,2,10,12.8,-6
3,3,2019-12-28,27-027,WAS,,NYK,L (-7),1,30:29,6,9,0.667,2,4,0.5,1,2,0.5,2,4,6,2,6,0,3,0,15,17.7,3
4,4,2019-12-30,27-029,WAS,,MIA,W (+18),1,14:13,2,8,0.25,1,5,0.2,0,0,,0,3,3,3,3,0,1,1,5,4.8,-2
5,5,2020-01-01,27-031,WAS,,ORL,L (-21),1,9:45,2,5,0.4,0,1,0.0,0,0,,0,3,3,0,0,0,1,3,4,0.0,-9
6,6,2020-01-03,27-033,WAS,,POR,L (-19),1,34:46,2,7,0.286,0,3,0.0,0,0,,1,0,1,4,1,0,1,4,4,1.8,-21
7,7,2020-01-04,27-034,WAS,,DEN,W (+14),1,10:53,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,2,0,1.2,-11
8,8,2020-01-06,27-036,WAS,,BOS,W (+5),1,24:49,0,2,0.0,0,1,0.0,0,0,,0,7,7,3,1,1,1,1,0,3.1,-11
9,9,2020-01-08,27-038,WAS,@,ORL,L (-34),1,21:59,2,6,0.333,0,1,0.0,0,0,,2,2,4,3,3,1,4,3,4,3.2,-27
10,10,2020-01-10,27-040,WAS,,ATL,W (+10),1,22:34,5,6,0.833,1,1,1.0,0,1,0.0,2,3,5,2,1,0,1,3,11,10.9,2
11,11,2020-01-12,27-042,WAS,,UTA,L (-11),1,12:38,2,5,0.4,0,1,0.0,0,0,,0,0,0,0,0,0,0,2,4,0.5,-2
12,12,2020-01-15,27-045,WAS,@,CHI,L (-9),1,17:32,3,4,0.75,2,3,0.667,2,2,1.0,0,2,2,2,0,1,0,1,10,10.7,-6
13,13,2020-01-17,27-047,WAS,@,TOR,L (-29),0,21:10,2,6,0.333,0,3,0.0,0,0,,2,1,3,2,1,1,1,3,4,3.2,-20
14,14,2020-01-20,27-050,WAS,,DET,W (+6),1,19:19,3,10,0.3,0,2,0.0,0,0,,2,2,4,3,4,0,1,2,6,6.5,3
15,15,2020-01-22,27-052,WAS,@,MIA,L (-5),1,14:55,1,2,0.5,0,1,0.0,0,0,,0,1,1,2,2,0,0,3,2,3.5,8
16,16,2020-01-23,27-053,WAS,@,CLE,W (+12),1,5:45,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,1,0,0.5,-10
17,17,2020-01-26,27-056,WAS,@,ATL,L (-19),1,18:22,2,6,0.333,2,4,0.5,0,0,,1,1,2,1,0,1,0,5,6,3.0,-17
