Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1994-11-05,21-299,MIL,,LAL,W (+1),0,13:00,3,5,0.6,0,0,,2,4,0.5,1,3,4,0,0,0,5,3,8,0.3,
2,2,1994-11-10,21-304,MIL,@,CLE,L (-20),0,29:00,3,13,0.231,0,3,0.0,3,4,0.75,0,4,4,1,0,1,2,2,9,0.5,
3,3,1994-11-11,21-305,MIL,,CHH,L (-8),0,21:00,6,16,0.375,0,2,0.0,0,0,,2,3,5,1,0,0,2,2,12,3.4,
4,4,1994-11-15,21-309,MIL,,IND,W (+1),0,23:00,6,18,0.333,3,5,0.6,3,4,0.75,3,3,6,0,0,0,3,1,18,7.0,
5,5,1994-11-18,21-312,MIL,@,ATL,W (+4),1,40:00,11,22,0.5,2,4,0.5,2,4,0.5,2,3,5,1,0,0,6,3,26,10.0,
6,6,1994-11-19,21-313,MIL,,SEA,L (-24),1,32:00,7,15,0.467,1,3,0.333,2,4,0.5,1,0,1,2,2,0,8,3,17,3.4,
7,7,1994-11-22,21-316,MIL,@,BOS,W (+22),1,33:00,5,13,0.385,3,6,0.5,4,4,1.0,2,5,7,4,3,1,3,2,17,15.5,
8,8,1994-11-23,21-317,MIL,@,DET,L (-5),1,37:00,2,14,0.143,0,1,0.0,5,9,0.556,1,7,8,3,2,0,6,2,9,-1.5,
9,9,1994-11-25,21-319,MIL,@,IND,L (-5),1,35:00,6,13,0.462,0,2,0.0,1,1,1.0,1,1,2,3,1,0,5,0,13,5.4,
10,10,1994-11-26,21-320,MIL,,ORL,L (-8),1,36:00,9,22,0.409,1,6,0.167,6,6,1.0,3,1,4,6,2,0,4,2,25,17.0,
