model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,199,50,5.408126936465432,2.3255379886093954,0.281515707721474,10.11971996572403,3.1811507298026656,0.0242855523039806,3.22,1.7796928996480492,-0.3159759998385993,-0.3159759998385998,1.7831281942634196,-0.7572773328647945,1.445083388321906,-1.317741716819666,0.123769127190741,1.457167719820518e-15,1.4382336001337934,-2.220446049250313e-16,0.0525630639243964,8.881784197001252e-16,-0.4507425526789556,-1.7763568394002505e-15,0.4203110028482064,0.0,0.6112906989626379,-2.220446049250313e-16,0.3678317566042368,-2.220446049250313e-16,-3.3306690738754696e-16,-2.3869795029440866e-15,0.5560163541645853,-8.881784197001252e-16,0.0,0.0,1.126189606468014,0.0,0.0,0.0,0.0,0.0,-1.1050903316872611,0.0,0.0,0.0,-0.8895472149188722,0.0,0.6545075022886324,2.039204353821766,0.1674665715464875,0.0,-0.6599018428922436,0.0,-0.451317771355073,0.0,-0.0107407359683373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1070592685893764,0.0,4.364976629048557,0.0,0.0,0.0,0.2609577950292849,0.0,0.0,0.0,-0.3237006123403763,0.0,0.0,0.0,0.0,0.0,0.3300325933136302,0.0,0.0,0.0,0.0,0.0,-0.4656114748739178,0.0,0.0,-0.9790913462648584,-0.4107845991032358,0.0,0.3617966866566335,0.0,-3.179710648912864,-1.0601130075569043,-2.65796680766858
"Random Forest (100 estimators, 20 depth)",199,50,1.077061137003249,1.0378155602048222,0.8569095145414158,11.276242782662482,3.358011730572495,-0.0872230690214128,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",199,50,1.466011931446596,1.2107897965570225,0.8052363494031285,10.771725140887474,3.2820306428928228,-0.0385789213706158,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",199,50,3.62723974779028,1.904531372225272,0.5181113879662549,9.539373289009252,3.088587588042349,0.080240918565192,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),199,50,5.4602916745061645,2.3367267008587387,0.2745854811692131,9.725144520234329,3.118516397300859,0.0623293879214074,3.22,2.0669089337235937,-0.2697315583565946,-0.2697315583565943,0.1050637370667037,-0.731155161123118,1.341622696674936,-0.1621923330022232,-0.0775666664093217,0.0,1.296700371146914,0.0,0.1314128506874765,0.0,-0.3629929610912397,0.0,0.3761318198036984,0.0,0.548105474525887,0.0,0.3783336503296906,0.0,0.0,0.0,0.5001428927288659,0.0,0.0,0.0,1.056066897918733,0.0,0.0,0.0,0.0,0.0,-0.8760721657130691,0.0,0.0,0.0,-0.7758507290609994,0.0,0.5968614385913265,1.7369174676204515,0.1748765846010994,0.0,-0.5620643361281819,0.0,-0.3282601501907587,0.0,0.0253699374360983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0596090243320042,0.0,2.136350708645097,0.0,0.0,0.0,0.2993449784010951,0.0,0.0,0.0,-0.2672645032730052,0.0,0.0,0.0,0.0,0.0,0.3076725580737116,0.0,0.0,0.0,0.0,0.0,-0.4070384723014474,0.0,0.0,-0.723032046230526,-0.3037135953629148,0.0,0.3100316541050434,0.0,-2.277325988736436,-1.0138854213901267,-1.917209890804766
Ridge (lambda=0.1),199,50,5.4100483024869765,2.3259510533300087,0.2812604490482929,10.044684995735985,3.1693351030990686,0.0315202094434816,3.22,1.8446621184893413,-0.3246937797971727,-0.324693779797163,1.1760700126819243,-0.7584961338404073,1.4408906764383294,-0.79961225323716,0.0586329062092275,0.0,1.424254686818588,0.0,0.0701977868596512,0.0,-0.4285937360299293,0.0,0.4181936177855941,0.0,0.6029712236600742,0.0,0.3701110301074281,0.0,0.0,0.0,0.5557517701326505,0.0,0.0,0.0,1.1201366737918843,0.0,0.0,0.0,0.0,0.0,-1.0650943631920575,0.0,0.0,0.0,-0.8732773244513178,0.0,0.6479171314403166,1.9846084395392043,0.1842317635952262,0.0,-0.6468891629486608,0.0,-0.4319132781742546,0.0,0.0002338856271854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1033448695688506,0.0,3.935461988847072,0.0,0.0,0.0,0.2769172868427395,0.0,0.0,0.0,-0.3098549782504691,0.0,0.0,0.0,0.0,0.0,0.3298530417701968,0.0,0.0,0.0,0.0,0.0,-0.45528789144712,0.0,0.0,-0.932122192477422,-0.401698769478604,0.0,0.3628462101790053,0.0,-3.036775000171844,-1.0524862470645089,-2.546348723745392
Lasso (lambda=0.1),199,50,6.341065460802161,2.518147227785174,0.1575723012015941,9.448835403233424,3.0738958022733014,0.0889703224928238,3.22,1.3187433667055073,-0.0,-0.0,-0.0,-0.2275833668754283,0.5454506924492951,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.71437506006686,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Lasso (lambda=1.0),199,50,7.527133153203202,2.743562128548068,0.0,11.339500012625944,3.367417409919053,-0.0933221501625543,3.22,2.236180904522613,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
"Random Forest (50 estimators, 5 depth)",199,50,3.558774395142905,1.8864714138154608,0.5272071952615247,10.139528527600088,3.184262634834019,0.0223756674379949,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),199,50,5.501550239714899,2.3455383688430467,0.2691041691784485,9.598091990736233,3.0980787579944176,0.0745794293323849,3.22,1.3597687339419222,-0.5351697705591824,-1.6823467760894734e-17,-0.0,-0.7100124535420863,1.4199863876494645,-0.0,-0.0,0.0,1.0640846300120113,0.0,0.0,0.0,-0.3344444255786704,0.0,0.0,0.0,0.241559662583977,0.0,0.1625791749096965,0.0,0.0,0.0,0.1947208849023858,0.0,0.0,0.0,0.8736803658998666,0.0,0.0,0.0,0.0,0.0,-0.7595166065367217,0.0,0.0,0.0,-0.7727562472207672,0.0,0.2247616128559617,2.452134365399471,0.0,0.0,-0.5164184852338302,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.186103037313589,0.0,0.0,0.0,0.0249368855748594,0.0,0.0,0.0,-0.1314591702175158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4261865122806666,0.0,0.0,-0.0,-0.1437883896024556,0.0,0.0,0.0,-2.4435658395168147,-0.2170221193930508,-1.934425391534576
