model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,379,95,5.279728162971828,2.297765906913023,0.2627328472654912,6.677305734773296,2.584048322840209,-0.1891760252649972,1.7578947368421052,2.522433854520941,0.9917732818290288,-2.6703251262412904,-3.285989162124537,-0.1890010893160316,3.0669310933969776,2.8752470452138934,0.2166518461801601,3.26405569239796e-14,0.9426803762669208,-1.0547118733938987e-14,-0.5035826113548852,-6.661338147750939e-15,0.5026031716321151,4.440892098500626e-16,1.0716669828519758,-0.2119741433816642,-0.6584605421717529,4.440892098500626e-16,-0.5226237701512665,0.0,2.220446049250313e-16,1.1102230246251563e-16,0.4878471627582918,0.0,-1.1511908190110638,-2.220446049250313e-16,-0.8324721908952659,2.220446049250313e-16,-1.901004540807731,1.1102230246251563e-16,-5.551115123125783e-17,6.661338147750939e-16,1.194627423994548,-3.05311331771918e-16,1.1102230246251563e-16,5.551115123125783e-17,-1.3486865825521126,0.0,0.1361806799043892,-0.2354249587706887,1.846752836897105,0.0,-0.726020603286044,0.0,0.3502628372133982,0.0,-0.0434837311655707,0.0,-1.0452039283554984,0.0,1.239309746208952,0.0,0.0,0.0,1.0802445975603785,0.0,0.0,0.0,0.0,0.0,-0.0864179206532246,0.0,0.7969730661846846,0.0,0.1632385555695937,0.0,0.0,0.0,0.0,0.0,-1.150249486252554,0.0,0.0,0.0,1.131278878851817,0.4473991021521995,-0.8162674725461628,0.0,0.0,0.0,-0.5552470150792834,0.0,0.7032285691889524,0.0,0.0,0.0,-0.3059836708006965
"Random Forest (100 estimators, 20 depth)",379,95,0.9862129615568588,0.9930825552575469,0.8622841177210107,6.579637043458058,2.5650803191046587,-0.1717819937881637,1.7578947368421052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",379,95,1.967786184592903,1.402778023991288,0.7252161337244867,6.564718819733574,2.5621707241582428,-0.1691251746013007,1.7578947368421052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",379,95,3.851892041208267,1.9626237645581148,0.462117482150096,6.35308987166339,2.520533648191071,-0.1314357110222215,1.7578947368421052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),379,95,5.296560304781882,2.3014257113324086,0.2603823881350845,6.624586861149991,2.5738272788106804,-0.1797872054202911,1.7578947368421052,2.3971826521195725,-0.1130809023895419,-1.3993138472481208,-0.4543590002842028,-0.1856856276841038,2.9694048996999687,0.1752044935954309,0.3762224388195621,0.0,0.8183082120850225,0.0,-0.500770743202155,0.0,0.4315091675380197,0.0,1.0104071244788173,-0.1492162375743291,-0.5770141238116971,0.0,-0.5149375886593138,0.0,0.0,0.0,0.4462944541677243,0.0,-1.0803873047449344,0.0,-0.8565083751766766,0.0,-0.8406849626212323,0.0,0.0,0.0,1.0648230819465967,0.0,0.0,0.0,-1.2746526460288798,0.0,0.0934244569165754,-0.1972853011120441,1.513382438422097,0.0,-0.7446303599995969,0.0,0.3154587216841728,0.0,-0.057358148385481,0.0,-1.033975509320101,0.0,0.993784125015138,0.0,0.0,0.0,0.9709807505339616,0.0,0.0,0.0,0.0,0.0,-0.1198786718913131,0.0,0.7374893649444694,0.0,0.1621348748442442,0.0,0.0,0.0,0.0,0.0,-1.007700504974783,0.0,0.0,0.0,1.0182712617650975,0.3465015386862087,-0.7719620305839553,0.0,0.0,0.0,-0.5512186377687261,0.0,0.6508001880260725,0.0,0.0,0.0,-0.2953886151990942
Ridge (lambda=0.1),379,95,5.281365132758918,2.29812208830578,0.2625042589713997,6.680832405851059,2.584730625394271,-0.1898040978531419,1.7578947368421052,2.481744008623937,0.6633114530827819,-2.366468475469796,-1.7486113696443693,-0.1897682841139235,3.0623351719685363,1.3489912791723302,0.3645001723283578,0.0,0.9333681219923214,0.0,-0.5111944760540502,0.0,0.4895959088903561,0.0,1.0820088483347867,-0.2020781293043327,-0.6598218884861692,0.0,-0.5245658379511262,0.0,0.0,0.0,0.4872781252577937,0.0,-1.1506025090848186,0.0,-0.8554945028456633,0.0,-1.6642208345860836,0.0,0.0,0.0,1.169744155424237,0.0,0.0,0.0,-1.3530726601338283,0.0,0.1156623543133545,-0.2197705299608987,1.8054917633869871,0.0,-0.7474773555673636,0.0,0.3486332769427845,0.0,-0.0457341031569294,0.0,-1.0641347569562718,0.0,1.2041767218604509,0.0,0.0,0.0,1.0691743469675188,0.0,0.0,0.0,0.0,0.0,-0.1033123682851474,0.0,0.7850566873267333,0.0,0.1693575358241245,0.0,0.0,0.0,0.0,0.0,-1.1225531734741303,0.0,0.0,0.0,1.1192643182799598,0.421848659263447,-0.8140603841268311,0.0,0.0,0.0,-0.5568864733428216,0.0,0.7024405484379271,0.0,0.0,0.0,-0.3081213891872973
Lasso (lambda=0.1),379,95,6.081231538603141,2.4660153159709166,0.1508100183965555,6.016747763972513,2.4529059835167986,-0.0715358072825782,1.7578947368421052,1.8169435215946843,-0.0,-0.0,0.0,-0.0,2.030492375841213,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),379,95,7.161214416496684,2.6760445468072245,0.0,5.8425350627423125,2.4171336460242143,-0.040509885177389,1.7578947368421052,2.2348284960422165,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",379,95,3.722462090935791,1.9293683139659443,0.4801912253373297,6.20166670357392,2.4903145792397234,-0.1044684268638929,1.7578947368421052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),379,95,5.398940053647207,2.323561932388979,0.246085965362226,6.42731321876145,2.5352146297229847,-0.1446543097190404,1.7578947368421052,2.051390378187105,-0.0,-0.9835866493393328,-0.0,-0.1377115751105736,2.876981599606203,-0.0,-0.0,0.0,0.4448504186257098,0.0,-0.2982967815290934,0.0,0.2144108248663362,0.0,0.815209511375258,-0.0,-0.0,0.0,-0.3037129018037345,0.0,0.0,0.0,0.2519306533543138,0.0,-0.7908294279261204,0.0,-0.6769591296863642,0.0,-0.0,0.0,0.0,0.0,0.8838828009513074,0.0,0.0,0.0,-0.9973622847366874,0.0,0.0,-0.0105834102736229,1.1170767976916764,0.0,-0.5244395083206982,0.0,0.0,0.0,-0.0,0.0,-0.7949988045022436,0.0,0.050314256532118,0.0,0.0,0.0,0.7386602647418411,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6176036417125417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7115129219883253,0.0,0.0,0.0,0.7928371229796518,0.3041627517216309,-0.5226285519132886,0.0,0.0,0.0,-0.3425504840626451,0.0,0.4612015570568847,0.0,0.0,0.0,-0.0
